id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
17617604,APSC,,,PreservedSpecimen,a5d88f3a-9b87-4ead-b888-ae00366950ed,APSC0069848,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Stillingia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Stillingia sylvatica,18784.0,L.,Stillingia,,sylvatica,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,a5d88f3a-9b87-4ead-b888-ae00366950ed,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17617604,Alfalfa,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
8853384,ARIZ,,,PreservedSpecimen,urn:uuid:d4ffaecf-470e-4588-a815-da97c35fe358,425561,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Aster,Plantae,Magnoliophyta,,Asterales,Asteraceae,Aster ericoides,14663.0,L.,Aster,,ericoides,,,Species,,,,,,,,Hendrickson,,23273,1999-10-15,,1999.0,10.0,15.0,288.0,,15 October 1999,,dry flats,sandy,"Rays white, the plant forming a dense colony to 1.5ft tall.",,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,"About 2 miles E of Cherokee, OK, towards the Great Sat Plains on teh trail extending from 5th street. In flats and sandy higher portions and dry flats, and adjacent disturbed areas.",,,,,,,,,,,,,,,,,,,,,,jwd3,2016-01-13 14:07:32,335948,2,6786aaab-184e-420a-bdc3-62a074a38428,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=8853384,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24823842,ARIZ,,,PreservedSpecimen,urn:uuid:e0c78b23-8018-4807-9173-a4466e295a70,438699,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Convolvulaceae|Stylisma|Stylisma pickeringii,Plantae,Magnoliophyta,,Solanales,Convolvulaceae,Stylisma pickeringii var. pattersonii,124417.0,(Fernald & B.G. Schub.) Myint,Stylisma,,pickeringii,var.,pattersonii,Variety,M. Fishbein,2016,,,,,,Mark Fishbein,Lane Greer,7581,2016-06-29,,2016.0,6.0,29.0,181.0,,29 June 2016,,"Disturbed roadside, Sandhills, grassland",,"Stems prostrate, corolla white, closed in the morning; uncommon.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0f5e07bd-cdbb-4d21-805c-15700821858d,,"Andropogon gerardii, Bromus tectorum, Stillingia, Monarda punctata, Helianthus petiolaris, Dichanthelium, Asclepias arenaria, Oenothera rhombipetala",,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,"Along OK Hwy 11, 3.5 km (rd) east of jct OK Hwy 38, 7.3 (air) north-northeast of dam on the Salt Fork Arkansas River creating the Great Salt Plains resevoir;",,,,36.81132,-98.12475,,,,,,,,,406.0,,,,,406 m,,,ocotillo,2020-02-24 11:40:10,360462,2,54b5bec4-eabf-4aee-8789-d96e63ee600e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24823842,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27099821,ARIZ,,,PreservedSpecimen,urn:uuid:614883c2-abef-45f5-8436-dad078662418,438885,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias arenaria,17913.0,Torr.,Asclepias,,arenaria,,,Species,,,,,,,,Mark Fishbein,Lane Greer,7579,2016-06-29,,2016.0,6.0,29.0,181.0,,2016-6-29,,"Disturbed roadside, sandhills, grassland",,"Stems spreading, corolla lobes reflexed, tips spreading, light green with rose tinge, corona yellowish-cream; uncommon",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9e9aa73b-d359-40c3-9ae1-708c6ac39983,,"Andropogon gerardii, Bromus tectorum, Stillingia, Monarda punctata, Helianthus petiolaris, Dichanthelium, Oenothera rhombipetala, Sylisma pickeringii",,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,"Along OK Hwy 11, 3.5 km (rd) east of jct OK Hwy 38, 7.3 km (air) north-northeast of dam on the Salt Fork Arkansas River creating the Great Salt Plains reservoir",,,,36.81132,-98.12475,,,,,,,,,406.0,,,,,406m,,,echinocacti,2020-10-21 11:58:12,360678,2,c6582a63-65f0-412c-9581-9d8c8933a7c5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27099821,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27834472,ARIZ,,,PreservedSpecimen,urn:uuid:6ab42d99-68e1-45ac-b632-0cef49300e8e,438867,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera rhombipetala,18469.0,Nutt.,Oenothera,,rhombipetala,,,Species,,,,,,,,Mark Fishbein,Lane Greer,7580,2016-06-29,,2016.0,6.0,29.0,181.0,,2016-6-29,common,"Disturbed roadside, sandhills, grassland",,"Annual?., Stems erect, flowers yellow",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=fdb22ba4-a838-4c58-b66b-1c38557cda2a,,"Andropogon gerardii, Bromus tectorum, Stillingia, Monarda punctata, Helianthus petiolaris, Dichanthelium, Asclepias arenaria, Sylisma pickeringii",,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,"Along OK Hwy 11, 3.5 km (rd) east of jct OK Hwy 38, 7.3 km (air) north-northeast of dam on Salt Fork Arkansas River creating the Great Salt Plains reservoir",,,,36.81132,-98.12475,,,,,,,,,406.0,,,,,406m,,,echinocacti,2021-03-24 08:42:56,360993,2,87a6fd3a-ce7c-402b-8364-82a633ed2a89,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27834472,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3125297,ASU,Plants,,PreservedSpecimen,18a15fff-862c-4966-9e1d-c8f049cd3abd,ASU0060831,171449,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Mimosa,Plantae,Magnoliophyta,,Fabales,Fabaceae,Mimosa nuttallii,18434.0,(DC.) B.L. Turner,Mimosa,,nuttallii,,,Species,R. Grether,June 2012,,,,,,Steve Stephens,Ralph Brooks,21607,1968-06-03,,1968.0,,3.0,155.0,,,,"Upland prairie pasture. Sandy, red, clay soil.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3aa90248-4353-49e0-b1cf-89c6b748472f,,,,,,,,,,,,,,,,USA,Oklahoma,Alfalfa,,"4 mi N, 2 E jct.",,0.0,,,,,,,,,,,,,,,,,,,,alorozco,2023-07-16 07:02:03,,1,18a15fff-862c-4966-9e1d-c8f049cd3abd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3125297,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
16217595,ASU,Plants,,PreservedSpecimen,40073843-e061-4530-b8ba-525fbbb6f178,,179544,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Panicum|Panicum oligosanthes,Plantae,Magnoliophyta,,Poales,Poaceae,Panicum oligosanthes var. helleri,13655.0,(Nash) Fern.,Panicum,,oligosanthes,var.,helleri,Variety,,,,,,,,S. Stephens,R. Brooks,21597,1968-06-03,,1968.0,6.0,3.0,155.0,,,,Sandhill prairie pasture. Dry loose sand.,,Common.,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,"15 mi. N, 2.5 E. Jet.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,40073843-e061-4530-b8ba-525fbbb6f178,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16217595,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24424267,ASU,Plants,,PreservedSpecimen,30329f0f-18dc-40ec-938b-c18b82906771,ASU0130604,127431,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Salicaceae|Salix,Plantae,Magnoliophyta,,Malpighiales,Salicaceae,Salix nigra,99794.0,Marshall,Salix,,nigra,,,Species,,,,,,,,P. Nighswonger,R. Wilson,813,1971-05-09,,1971.0,5.0,9.0,129.0,,,,In creek,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=75ccb5db-db4c-4ea7-b5cc-76d8ac42b3af | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=98d96f89-e4fd-4d91-82c2-6946fd6a8f4e,,,,,,,,,,,,,,,,USA,Oklahoma,Alfalfa,,at Eagle Chief Creek bridge 1 mi S of Carmen,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,30329f0f-18dc-40ec-938b-c18b82906771,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24424267,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21566958,BALT,,,PreservedSpecimen,,BALT0005440,026925,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Cornales|Loasaceae|Mentzelia,Plantae,Magnoliophyta,,Cornales,Loasaceae,Mentzelia oligosperma,2519.0,Nutt. ex Sims,Mentzelia,,oligosperma,,,Species,,,,BALT filed-as name,,,,P. Nighswonger,,"1,081",1972-07-22,,1972.0,7.0,22.0,204.0,,7/22/1972,,,,,,,,,,,,,flowering,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,"Great Salt Plains reservoir, Near cam base",,,,,,,,,,,,,,,,,,,,,,preprocessed,2024-09-26 11:09:01,,331,ee9bfdf3-4401-4314-9ecc-1ef539d66063,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21566958,Alfalfa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24299482,BRIT,BRIT,,PreservedSpecimen,43f955b7-5519-425a-bb21-a67c5ebc76de,BRIT447140,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa,3789.0,L.,Asclepias,,tuberosa,,,Species,,,,,,,,Robert J. Baalman,,347,1963-06-01,,1963.0,6.0,1.0,152.0,,,Common along roads and trails on eastern portion of Refuge.,Dry disturbed roadside,sand,Height 1.5-2 ft.; fl. color yellow.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e7620635-9261-4673-9d2c-62455e9bac95,,,,,,,,,,,,,,,,United States,Oklahoma,Alfalfa,,"Salt Plains National Wildlife Refuge, 1/2 mi. W. headquarters (sect. 28, T27N, R9W).",,,,36.7897,-98.1732,WGS84,1609.0,,,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,julie62,2023-09-29 10:26:23,,370,43f955b7-5519-425a-bb21-a67c5ebc76de,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24299482,Alfalfa,Whitelisted institutionCode; 
