id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
17616615,APSC,,,PreservedSpecimen,054419e2-b8aa-4d4e-87d2-97d39ec74a28,APSC0068800,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Zygophyllales|Krameriaceae|Krameria,Plantae,Magnoliophyta,,Zygophyllales,Krameriaceae,Krameria lanceolata,1448.0,Torr.,Krameria,,lanceolata,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beaver,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,054419e2-b8aa-4d4e-87d2-97d39ec74a28,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17616615,Beaver,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17616616,APSC,,,PreservedSpecimen,41878d8d-7a62-4c5c-a10b-d75c12232720,APSC0068799,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Chaetopappa,Plantae,Magnoliophyta,,Asterales,Asteraceae,Chaetopappa ericoides,1185.0,(Torr.) G.L. Nesom,Chaetopappa,,ericoides,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beaver,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,41878d8d-7a62-4c5c-a10b-d75c12232720,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17616616,Beaver,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17616617,APSC,,,PreservedSpecimen,c37f8779-19a8-48a6-b4de-c58f0965523c,APSC0068802,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera serrulata,8014.0,Nutt.,Oenothera,,serrulata,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beaver,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,c37f8779-19a8-48a6-b4de-c58f0965523c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17616617,Beaver,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17616618,APSC,,,PreservedSpecimen,93e00098-4ddc-4a84-a192-4ba46b682b23,APSC0068801,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Psilostrophe,Plantae,Magnoliophyta,,Asterales,Asteraceae,Psilostrophe villosa,44258.0,Rydb. ex Britton,Psilostrophe,,villosa,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beaver,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,93e00098-4ddc-4a84-a192-4ba46b682b23,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17616618,Beaver,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17617601,APSC,,,PreservedSpecimen,a50ae87a-2e20-42ed-bfcb-8e7231b9deeb,APSC0069845,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Malvales|Malvaceae|Sphaeralcea,Plantae,Magnoliophyta,,Malvales,Malvaceae,Sphaeralcea coccinea,3802.0,(Nutt.) Rydb.,Sphaeralcea,,coccinea,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beaver,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,a50ae87a-2e20-42ed-bfcb-8e7231b9deeb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17617601,Beaver,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4557578,ARIZ,,,PreservedSpecimen,urn:uuid:58b588da-bc72-4b36-880b-4a39e95fafdf,416147,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Lamiaceae|Lamium,Plantae,Magnoliophyta,,Lamiales,Lamiaceae,Lamium amplexicaule,880.0,L.,Lamium,,amplexicaule,,,Species,,,,,,,,Mark Fishbein,"Lane Greer, Kenneth Masloski",7033,2013-04-21,,2013.0,4.0,21.0,111.0,,2013-4-21,,"Level river terrace, grassland.",sandy loam,"Annual, corolla reddish-purple with magenta spots on lower lip, another orange; common.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=326ab050-628f-4846-9da2-9da1197f286d,,ecologicallyOccursWith: Tamarix ramosissima bunch grasses,,,,,,,,,,,,,,United States,Oklahoma,Beaver,,"Beaver Wildlife Management Area, about 3.9 km (air) west of OK Hwy 23, about 4.5 km NW of junction OK Hwy 23 & C. Rd E0140, about 360 m south of east-west access road.",,,,36.8257,-100.5633,,,,,,,,,731.0,,,,,,,,Roasey,2018-07-03 14:04:45,321440,2,f25eb92c-b9df-4ad1-8f9f-dcb0cbb1fb16,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4557578,Beaver,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4557650,ARIZ,,,PreservedSpecimen,urn:uuid:951f5b4a-44a4-40e7-96b2-a2d0da11a793,416243,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Physaria gordonii,79.0,(A. Gray) O'Kane & Al-Shehbaz,Physaria,,gordonii,,,Species,,,,,,,,Mark Fishbein,"Lane Greer, Kenneth Masloski",7031,2013-04-21,,2013.0,4.0,21.0,111.0,,2013-4-21,,open rolling plain between dunes and river,shrubland,Annual petals and anthers yellow; occasional,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a97fb160-12df-4569-abe1-5a2d9e507eaa | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2398b616-4351-406d-8700-3fec7577cb0f,,ecologicallyOccursWith: Prunus andustifolia|ecologicallyOccursWith: Artemisia filifolia|ecologicallyOccursWith: Opuntia macrorhiza|ecologicallyOccursWith: Mentzelia nuda|ecologicallyOccursWith: Eriogonum annuum|ecologicallyOccursWith: Cryptantha minima|ecologicallyOccursWith: Descurainia pinnata,,,,,,,,,,,,,,United States,Oklahoma,Beaver County,,"Beaver Wildlife Management Area, about 3.8 km (air) west of OK hwy 23, about 4.6 km norrthwest of jct OK hwy 23& Co Rd E0140, about 40m south of east-west access road",,,,36.8285,-100.5622,,,,,,,,,732.0,,,,,,,,fragosok,2015-07-29 11:54:00,321513,2,29dcc690-4dd5-490f-9350-1269a99965ee,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4557650,Beaver,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4557651,ARIZ,,,PreservedSpecimen,urn:uuid:d41b85ae-71b8-469e-897c-16707618f6af,416244,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Grossulariaceae|Ribes|Ribes aureum,Plantae,Magnoliophyta,,Saxifragales,Grossulariaceae,Ribes aureum var. villosum,98327.0,DC.,Ribes,,aureum,var.,villosum,Variety,,,,,,,,Mark Fishbein,"Lane Greer, Kenneth Masloski",7037,2013-04-21,,2013.0,4.0,21.0,111.0,,2013-4-21,,"Roadside, base of dunes, hackberry woodland",,"Shrub, 1 m tall, hypanthium and sepals yellow, sepals spreading, petals yellow turning red, sweetly scented; uncommon.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9c94ed02-7171-4fda-9fe2-576766e48dc6 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c658f379-24b2-460d-a709-c241709a106b,,ecologicallyOccursWith: Celtis reticulara|ecologicallyOccursWith: Rhus aromatica|ecologicallyOccursWith: Artemisia filifolia|ecologicallyOccursWith: Vitis acerifolia,,,,,,,,,,,,,,United States,Oklahoma,Beaver county,,"Beaver Wildlife Management Area, about 3.8 km (air) west of OK hwy 23, about 4.6 km norrthwest of jct OK hwy 23& Co Rd E0140, about 40m south of east-west access road",,,,36.8299,-100.5398,,,,,,,,,731.0,,,,,,,,fragosok,2015-07-29 11:54:00,321514,2,76ad2c6f-9c9b-4ab6-a78f-158cdddd2ebd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4557651,Beaver,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4557659,ARIZ,,,PreservedSpecimen,urn:uuid:b8230579-7fac-49cd-bad0-f9635e18bbaf,416253,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Aristida|Aristida purpurea,Plantae,Magnoliophyta,,Poales,Poaceae,Aristida purpurea var. longiseta,12159.0,(Steud.) Vasey,Aristida,,purpurea,var.,longiseta,Variety,Mark Fishbein,November 2013,,,,,,Mark Fishbein,Erika Capps,7080,2013-06-06,,2013.0,6.0,6.0,157.0,,6 June 2013,Uncommon,"River terrace, shrubby grassland",Sandy loam,Caespitose perennial,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0ed8e750-fc8c-11e7-9ab0-072e585faa02,,ecologicallyOccursWith: Artemisia filifolia|ecologicallyOccursWith: Yucca glauca|ecologicallyOccursWith: Erigeron bellidiastrum|ecologicallyOccursWith: Bromus catharticus|ecologicallyOccursWith: Plantago patagonica|ecologicallyOccursWith: Cryptantha cinerea|ecologicallyOccursWith: Chaetopappa ericoides|ecologicallyOccursWith: Oenothera cinerea|ecologicallyOccursWith: Dalea purpurea,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Beaver,,"Beaver River Wildlife Management Area, about 6.8 mi (air) west of US Hwy 23, northwest of Beaver",,,,36.8262,-100.6416,,,,,,,,,743.0,,,,,,,,Kegan,2014-02-06 09:45:59,321522,2,b19f8288-7948-47e8-b2ff-6aa959d76dbd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4557659,Beaver,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4557660,ARIZ,,,PreservedSpecimen,urn:uuid:10bc3ab6-5700-4bb1-9218-a66a31722ca4,416252,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Commelinales|Commelinaceae|Tradescantia,Plantae,Magnoliophyta,,Commelinales,Commelinaceae,Tradescantia occidentalis,1149.0,(Britt.) Smyth,Tradescantia,,occidentalis,,,Species,,,,,,,,Mark Fishbein,Erika Capps,7067,2013-06-06,,2013.0,6.0,6.0,157.0,,6 June 2013,Occasional,"Dune swale, shrubby grassland",Sandy loam,"Perennial, petals lavender, anthers yellow",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=45a19e86-6a9f-4efe-8a2b-e6c42cae0d74,,ecologicallyOccursWith: Artemisia filifolia|ecologicallyOccursWith: Rhus aromatica|ecologicallyOccursWith: Helianthus petiolaris|ecologicallyOccursWith: Chenopodium album|ecologicallyOccursWith: Cucurbita foetidissima|ecologicallyOccursWith: Solanum elaeagnifolium|ecologicallyOccursWith: Calamovilfa gigantea|ecologicallyOccursWith: Cryptantha minima|ecologicallyOccursWith: Mentzelia nuda|ecologicallyOccursWith: Mondarda punctata,Flowering,,,,,,,,,,,,,United States,Oklahoma,Beaver,,"Beaver River Wildlife Management Area, about 6.8 mi (air) west of US Hwy 23, northwest of Beaver",,,,36.831,-100.642,,,,,,,,,747.0,,,,,,,,Kegan,2014-02-06 10:04:29,321523,2,e2b0b0f8-77d6-4da5-b6af-785ddff0040e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4557660,Beaver,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
