id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
21186181,ANHC,,,PreservedSpecimen,4435efe1-0bfb-47b8-bd6e-fa8973b6be07,ANHC004346,ANHC Acc#: 006529,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Rosales|Rosaceae|Prunus,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus angustifolia,18624.0,Marshall,Prunus,,angustifolia,,,Species,Amy Buthod,10/5/2012,,,,,,Amy Buthod,Bruce Hoagland,AB-10175,2012-10-05,,2012.0,10.0,5.0,279.0,,2012-10-5,,"Fencerow, on sand.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8c921ec9-cbc7-444c-ab62-bbf135bf7dd7,,,fruit,,0.0,,,,,Herbarium Sheet 1 of 1.,,,,,,United States,Oklahoma,Beckham,,Sayre; Ca. 3.8 mi SE of Sayre on N road 1900. TRS: T9N R23W S13,,0.0,,35.249242,-99.593462,,,UTM: 14 446010E 3900845N,,,,,,,,,,,,,English,Brent Baker,2023-07-16 07:02:03,19575,270,4435efe1-0bfb-47b8-bd6e-fa8973b6be07,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21186181,Beckham,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21194829,ANHC,,,PreservedSpecimen,e7be5ba0-c85a-4418-bc38-d923c6a5e374,ANHC006495,ANHC Acc#: 006758,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Andropogon,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon glomeratus,1803.0,"(Walter) Britton, Sterns & Poggenb.",Andropogon,,glomeratus,,,Species,Amy Buthod,10/5/2012,,,,,,Amy Buthod,Bruce Hoagland,AB-10182,2012-10-05,,2012.0,10.0,5.0,279.0,,2012-10-5,,"Dry, sandy river bed.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=aff8a2b6-f02a-43bb-a3af-a2033552f121,,"Growing with Eragrostis intermedia, Leptochloa fusca, Euphorbia hexagona & Panicum capillare.",flower & fruit,,0.0,,,,,Herbarium Sheet 1 of 1.,,,,,,United States,Oklahoma,Beckham,,Carter; 3.6 mi S of Carter under hwy 34/Red River bridge. TRS: T9N R23W S16,,0.0,,35.165124,-99.507893,,,UTM: 14 453747E 3891473N,,,,,,,,,,,,,English,Brent Baker,2023-07-16 07:02:03,19576,270,e7be5ba0-c85a-4418-bc38-d923c6a5e374,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21194829,Beckham,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21181354,ANHC,,,PreservedSpecimen,b8abc725-8696-44ca-8fbc-531e6ecbe678,ANHC002490,ANHC Acc#: 006400,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia hexagona,18232.0,Nutt. ex Spreng.,Euphorbia,,hexagona,,,Species,Amy Buthod,10/5/2012,,,,,,Amy Buthod,Bruce Hoagland,AB-10180,2012-10-05,,2012.0,10.0,5.0,279.0,,2012-10-5,,"Dry, sandy river bed.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1bcecdc9-65b6-4714-b5a8-f1883a5dc680,,"Growing with Eragrostis intermedia, Leptochloa fusca, Polypogon monspeliensis & Panicum capillare.",fruit,,0.0,,,,,Herbarium Sheet 1 of 1.,,,,,,United States,Oklahoma,Beckham,,Carter; 3.6 mi S of Carter under hwy 34/Red River bridge. TRS: T9N R23W S16,,0.0,,35.165124,-99.507893,,,UTM: 14 453747E 3891473N,,,,,,,,,,,,,English,Brent Baker,2023-07-16 07:02:03,19579,270,b8abc725-8696-44ca-8fbc-531e6ecbe678,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21181354,Beckham,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15432994,APSC,,,PreservedSpecimen,451d30d7-e839-408e-a8ad-260be255ca8d,APSC0040602,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Solanaceae|Physalis,Plantae,Magnoliophyta,,Solanales,Solanaceae,Physalis longifolia,3904.0,Nutt.,Physalis,,longifolia,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beckham,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,451d30d7-e839-408e-a8ad-260be255ca8d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15432994,Beckham,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15433412,APSC,,,PreservedSpecimen,3fe0c8cd-46ae-4522-9201-92747c1c7799,APSC0041019,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Martyniaceae|Proboscidea,Plantae,Magnoliophyta,,Lamiales,Martyniaceae,Proboscidea louisianica,18627.0,(Mill.) Thell.,Proboscidea,,louisianica,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beckham,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,3fe0c8cd-46ae-4522-9201-92747c1c7799,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15433412,Beckham,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15437700,APSC,,,PreservedSpecimen,c5c5dea7-a320-4170-a84c-f3bfabf1d582,APSC0045328,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum,Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,Eriogonum annuum,3440.0,Nutt.,Eriogonum,,annuum,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beckham,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,c5c5dea7-a320-4170-a84c-f3bfabf1d582,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15437700,Beckham,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15444088,APSC,,,PreservedSpecimen,30be4004-a0ac-4ee2-ac3b-791bcfdb4305,APSC0051752,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Indigofera,Plantae,Magnoliophyta,,Fabales,Fabaceae,Indigofera miniata,46614.0,Ortega,Indigofera,,miniata,,,Species,,,,,,,,Dwayne Estes,,,2004-07-28,,2004.0,7.0,28.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beckham,,,,0.0,,,,,,,,,,,,,,,,,,,,Masebrock,2023-07-16 07:02:03,,170,30be4004-a0ac-4ee2-ac3b-791bcfdb4305,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15444088,Beckham,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15444323,APSC,,,PreservedSpecimen,828856b2-34a5-44b6-9113-30c029630cd1,APSC0051986,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Nyctaginaceae|Mirabilis,Plantae,Magnoliophyta,,Caryophyllales,Nyctaginaceae,Mirabilis nyctaginea,18435.0,(Michx.) MacMill.,Mirabilis,,nyctaginea,,,Species,,,,,,,,Dwayne Estes,,,2004-07-28,,2004.0,7.0,28.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beckham,,,,0.0,,,,,,,,,,,,,,,,,,,,Masebrock,2023-07-16 07:02:03,,170,828856b2-34a5-44b6-9113-30c029630cd1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15444323,Beckham,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15444346,APSC,,,PreservedSpecimen,606e12dc-e0e0-4af9-b69d-5cb4e6b1df77,APSC0052009,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Cornales|Loasaceae|Mentzelia,Plantae,Magnoliophyta,,Cornales,Loasaceae,Mentzelia nuda,2517.0,(Pursh) Torr. & A. Gray,Mentzelia,,nuda,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beckham,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,606e12dc-e0e0-4af9-b69d-5cb4e6b1df77,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15444346,Beckham,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15446871,APSC,,,PreservedSpecimen,8649116c-5fae-42d1-b4c9-030793882043,APSC0054559,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Croptilon,Plantae,Magnoliophyta,,Asterales,Asteraceae,Croptilon hookerianum,79785.0,(Torr. & A. Gray) House,Croptilon,,hookerianum,,,Species,,,,,,,,Dwayne Estes,,,2004-07-28,,2004.0,7.0,28.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Beckham,,,,0.0,,,,,,,,,,,,,,,,,,,,Masebrock,2023-07-16 07:02:03,,170,8649116c-5fae-42d1-b4c9-030793882043,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15446871,Beckham,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
