id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
949583,ARIZ,,,PreservedSpecimen,urn:uuid:a91807af-af32-4917-873a-c3433738f239,120228,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Dalea,Plantae,Magnoliophyta,,Fabales,Fabaceae,Dalea villosa,18134.0,(Nutt.) Spreng.,Dalea,,villosa,,,Species,C. S. Wallis,1956-06-29,,,,,,C. S. Wallis,,3404,1956-06-29,,1956.0,6.0,29.0,181.0,,"6,29,1956",,Open sandy roadside and oak woods,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=14aa4236-cfe7-4274-96ee-086f3b018565,,,,,,,,,,,,,,,,United States,Oklahoma,Blaine County,,2 mi E of Canton on State 51,,,,,,,,,,,,,,,,,,,,,,Tammy,2013-11-07 11:43:44,202030,2,efd16b77-3b33-4465-a070-44df59760671,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=949583,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
954558,ARIZ,,,PreservedSpecimen,urn:uuid:b84c67cc-e00b-4f24-acc1-677cb514b782,3864,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Indigofera,Plantae,Magnoliophyta,,Fabales,Fabaceae,Indigofera miniata,46614.0,Ortega,Indigofera,,miniata,,,Species,Duane Isely,1976-01-01,,,,,,Charles Smith,,407,1940-08-15,,1940.0,8.0,15.0,228.0,,"aug,15,1940",,Sandy soil.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8a59c2dd-fc04-4022-a2bf-dd64aa8f011c,,,,,,,,,,,,,,,,United States,Oklahoma,Blaine County,,5 mi. e. of Okeene.,,,,,,,,,,,,,,,,,,,,,,Luis,2013-11-07 11:43:44,207437,2,a7daaa9e-a423-4894-9ba8-101c051f6f25,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=954558,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3242593,ARIZ,,,PreservedSpecimen,urn:uuid:7f4aa487-edb1-40bd-ba89-996acade9d33,17523,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bouteloua,Plantae,Magnoliophyta,,Poales,Poaceae,Bouteloua curtipendula,635.0,(Michx.) Torr.,Bouteloua,,curtipendula,,,Species,Kandres Halbrook,2012-05,,,,,,Charles Smith,,258,1940-08-15,,1940.0,8.0,15.0,228.0,,"Aug. 15,1940",,Prairie,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=30067e74-7e2e-4035-b646-0fb5a80169b1,,,,,,,,,,,,,,,,United States,Oklahoma,Blaine,,8 mi. W. of Watonga,,,,,,,,,,,,,,,,,,,,,,Leawna,2015-10-23 11:15:09,305667,2,a989180c-57ce-4e0a-abb0-12c4a0df547c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3242593,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3244620,ARIZ,,,PreservedSpecimen,urn:uuid:6c03f818-6bec-4b16-afc0-06c7a016fcce,123801,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Spermolepis,Plantae,Magnoliophyta,,Apiales,Apiaceae,Spermolepis echinata,2203.0,(Nutt. ex DC.) A. Heller,Spermolepis,,echinata,,,Species,G. L. Nesom,2012,,,,,,U. T. Waterfall,,11874,1954-05-23,,1954.0,5.0,23.0,143.0,,"May,23,1954",,Sand,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4db0f57e-0b29-4818-a12d-916fb158746f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3d3844ed-0b89-49aa-a2b2-b1b70e549e20 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=215eae06-b17a-41ab-bcb0-3f0680b1e1e0 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e982f8be-a46c-48aa-9518-d860345b3faf,,ecologicallyOccursWith: Quercus stellata|ecologicallyOccursWith: Prunus gracilis,Fruiting,,,,,,,,,,,,,United States,Oklahoma,Blaine County,,2 miles east of Okeene,,,,,,,,,,,,,,,,,,,,,,Tammy,2013-09-10 12:20:10,307714,2,9f5aedd0-27b2-4071-8ca4-6321407d1e13,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3244620,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3247264,ARIZ,,,PreservedSpecimen,urn:uuid:ad5a6ce8-3e02-4695-907a-256ab2809aba,410509,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias amplexicaulis,73271.0,Sm.,Asclepias,,amplexicaulis,,,Species,,,,,,,,Mark Fishbein,Angela Rein,6763,2011-05-15,,2011.0,5.0,15.0,135.0,,2011-5-15,,Disturbed roadside on sand hill.,,"Perennial, 50 cm tall, corolla lobes reflexed, pale green, corona pale green with red-brown tinge; uncommon. No scent; visited by pompilids, megachilids.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=56713e03-6763-4e3c-8c42-90944aab218a,,ecologicallyOccursWith: Bromus|ecologicallyOccursWith: Lespedeza capitata|ecologicallyOccursWith: Sporobolus|ecologicallyOccursWith: Dalea purpurea|ecologicallyOccursWith: Cirsium|ecologicallyOccursWith: Plantago|ecologicallyOccursWith: Erigeron|ecologicallyOccursWith: Engelmannia|ecologicallyOccursWith: Asclepias asperula|ecologicallyOccursWith: A. tuberosa,Flowering,,,,,,,,,,,,,United States,Oklahoma,Blaine,,"Along Co Rd 0770, 0.8 km east-southeast of jct OK Hwy 51A, about 5.5 km (air) northwest of Watonga, hills east of North Canadian River.",,,,35.0,-98.0,,,35.94366° 0' N 98.70764° 0' W,,,,,,584.0,,,,,,,,bangfour,2013-02-13 15:22:30,310405,2,0aa80404-71c6-4893-8c12-9cc231d12c83,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3247264,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3830764,ARIZ,,,PreservedSpecimen,urn:uuid:cc8e5913-181e-460c-a07a-b70fc6d1a37e,414919,,Plantae|Tracheophyta|Pteridophyta|Filicopsida|Ophioglossales|Ophioglossaceae|Ophioglossum,Plantae,Pteridophyta,Filicopsida,Ophioglossales,Ophioglossaceae,Ophioglossum engelmannii,1725.0,Prantl,Ophioglossum,,engelmannii,,,Species,,,,,,,,Mark Fishbein,,6837,2012-03-20,,2012.0,3.0,20.0,80.0,,20 March 2012,Abundant,Meadow at edge of juniper woodland,Thick clay over gypsum,"Leaves erect, sporophore shorter than tropophore",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e2f6eb12-e389-45b8-8f70-e03caca58bc2,,ecologicallyOccursWith: Juniperus virginiana|ecologicallyOccursWith: Rhus glabra|ecologicallyOccursWith: Opuntia|ecologicallyOccursWith: Yucca glauca|ecologicallyOccursWith: Draba reptans|ecologicallyOccursWith: Viola bicolor|ecologicallyOccursWith: Physaria gordonii|ecologicallyOccursWith: Delphinium|ecologicallyOccursWith: Artemisia ludoviciana|ecologicallyOccursWith: Escobaria|ecologicallyOccursWith: Heterotheca|ecologicallyOccursWith: Lomatium foeniculaceum,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Blaine,,"Roman Nose State Park, ridge west of Watonga Lake, about 9.5 km (air) north-northwest of Watonga",,,,35.9435,-98.4269,WGS84,,,,,,,,434.0,,,,,,,,Kegan,2013-10-09 13:57:40,319836,2,9a1d0629-664d-477c-bc5f-7df4e917af1c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3830764,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3830767,ARIZ,,,PreservedSpecimen,urn:uuid:9d533cb2-32e8-495a-91a8-9cf2b7ad032c,414918,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus missouriensis,17931.0,Nutt.,Astragalus,,missouriensis,,,Species,,,,,,,,Mark Fishbein,,6840,2012-03-20,,2012.0,3.0,20.0,80.0,,20 March 2012,Locally common,"South-facing base of steep cliff, grassland",Eroded gypsum and red clay,"Prostrate, caespitose perennial, 25 cm across, petals deep magenta fading blue-violet, banner with white central spot",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=35a58199-435e-42a5-bf11-fc9ff82b8683 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f342a98a-f712-45a4-bc81-f5a7bcf89591 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e6a9e06c-5437-4523-8c8d-83b7260b0030,,ecologicallyOccursWith: Prosopis|ecologicallyOccursWith: Juniperus virginiana|ecologicallyOccursWith: Opuntia|ecologicallyOccursWith: grasses|ecologicallyOccursWith: Rhus glabra|ecologicallyOccursWith: Mentzelia|ecologicallyOccursWith: Phacelia|ecologicallyOccursWith: Sphaeralcea|ecologicallyOccursWith: Pediomelum|ecologicallyOccursWith: Englemannia,Flowering,,,,,,,,,,,,,United States,Oklahoma,Blaine,,"Roman Nose State Park, north side of Watonga Lake, about 9.5 km (air) north-northwest of Watonga",,,,35.9451,-98.4221,,,,,,,,,420.0,,,,,,,,Kegan,2013-10-09 13:56:44,319839,2,7f4f0bb8-8c6d-4db6-b06e-13e6beec4d8b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3830767,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3830768,ARIZ,,,PreservedSpecimen,urn:uuid:efa28e48-3b60-4f53-8717-28c5f5b54746,414917,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Lomatium|Lomatium foeniculaceum,Plantae,Magnoliophyta,,Apiales,Apiaceae,Lomatium foeniculaceum var. daucifolium,89803.0,(Torr. & A. Gray) Cronquist,Lomatium,,foeniculaceum,var.,daucifolium,Variety,,,,,,,,Mark Fishbein,,6842,2012-03-20,,2012.0,3.0,20.0,80.0,,20 March 2012,Common,"Base of gypsum hill, juniper-grassland","On red clay, gypsum","Caespitose perennial, 15 cm tall, petals yellow",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f925f4e3-9d2c-40ac-b647-478b49eddb08,,ecologicallyOccursWith: Juniperus virginiana|ecologicallyOccursWith: Yucca glauca|ecologicallyOccursWith: Opuntia|ecologicallyOccursWith: Celtis|ecologicallyOccursWith: Draba reptans,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Blaine,,"Roman Nose State Park, east side of Watonga Lake near dam, about 9.5 km (air) north-northwest of Watonga",,,,35.9423,-98.4194,,,,,,,,,422.0,,,,,,,,Kegan,2013-10-09 13:56:21,319840,2,be807caf-2a88-42c1-81d0-c64d47b3feb3,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3830768,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3830770,ARIZ,,,PreservedSpecimen,urn:uuid:a6a542f8-9191-4752-83c2-cacb5c053d56,414916,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus crassicarpus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus crassicarpus var. crassicarpus,56996.0,Nutt.,Astragalus,,crassicarpus,var.,crassicarpus,Variety,,,,,,,,Mark Fishbein,,6843,2012-03-20,,2012.0,3.0,20.0,80.0,,20 March 2012,Locally common,Eastern base of gypsum hill,"On deep red clay, gypsum","Caespitose perennial, 10 cm tall, petals blue-lavender, wings with magenta base, banner with central white spot",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d0829001-c53b-44ac-b5a8-ff32877e8a0d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c9d88a4c-2857-4e56-8c0d-2b5dabac6802,,ecologicallyOccursWith: Juniperus virginiana|ecologicallyOccursWith: Opuntia|ecologicallyOccursWith: Pediomelum|ecologicallyOccursWith: Phacelia,Flowering,,,,,,,,,,,,,United States,Oklahoma,Blaine,,"Roman Nose State Park, ridge east of Watonga Lake, about 9 km (air) north-northwest of Watonga",,,,35.9404,-98.4187,,,,,,,,,428.0,,,,,,,,Kegan,2013-10-09 13:55:58,319842,2,aff11f7b-1a42-485e-ba15-519b9d274bb6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3830770,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3831326,ARIZ,,,PreservedSpecimen,urn:uuid:4ee3a648-c411-4e74-a8f1-afb7f45c834a,415094,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Physaria gordonii,79.0,(A. Gray) O'Kane & Al-Shehbaz,Physaria,,gordonii,,,Species,,,,,,,,Mark Fishbein,Lane Greer,6832,2012-03-19,,2012.0,3.0,19.0,79.0,,19 March 2012,Common,Juniper-grassland,Gypsum hill with deep red clay,"Annual, flowers yellow",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=53290867-ebab-49eb-8c51-f186b2a5591e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=72de00a8-9870-4364-a1f7-68f1d46ef47a,,ecologicallyOccursWith: Juniperus virginiana|ecologicallyOccursWith: Opuntia|ecologicallyOccursWith: Rhus glabra|ecologicallyOccursWith: Heterotheca|ecologicallyOccursWith: Paronychia|ecologicallyOccursWith: Delphinium|ecologicallyOccursWith: Nothoscordum|ecologicallyOccursWith: Viola bicolor|ecologicallyOccursWith: Draba reptans|ecologicallyOccursWith: Allium drummondii|ecologicallyOccursWith: Lomatium foeniculaceum|ecologicallyOccursWith: Ophioglossum engelmannii,Flowering,,,,,,,,,,,,,United States,Oklahoma,Blaine,,"Roman Nose State Park, hillside across OK Hwy 8A from cabin area, south of Bitter Creek, about 8 km (air) north-northwest of Watonga",,,,35.9328,-98.4358,,,,,,,,,445.0,,,,,,,,Kegan,2020-10-21 13:32:34,320460,2,f93dfc6b-565b-4737-aed2-d0cd021420b5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3831326,Blaine,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
