id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
31262678,ANHC,ANHC,,PreservedSpecimen,cbdaf4a3-2102-4f3d-b570-37fd69cfc49a,ANHC020416,ANHC Acc#: 019294,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Carex,Plantae,Magnoliophyta,,Poales,Cyperaceae,Carex austrina,76139.0,(Small) Mack.,Carex,,austrina,,,Species,Theo Witsell,Nov-14,,,,,,Philip E. Hyatt,,7971,1998-04-26,,1998.0,4.0,26.0,116.0,,1998-4-26,Infrequent.,Pasture roadside with white clay? chalk? soil.,,,,,,,,,,,flower and fruit,,0.0,,,,,,,,,,,United States,Oklahoma,Bryan,,"Hendrix vicinity, 3.9 mi. e. on roadside.",,,,,,,,,,,,,,,,,,,,,English,Karen Seale,2023-07-31 06:16:23,,270,cbdaf4a3-2102-4f3d-b570-37fd69cfc49a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=31262678,Bryan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17615869,APSC,,,PreservedSpecimen,e2c16f84-678a-44bf-8096-bd7fd5979647,APSC0068024,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Alismataceae|Sagittaria,Plantae,Magnoliophyta,,Alismatales,Alismataceae,Sagittaria brevirostra,18673.0,Mack. & Bush,Sagittaria,,brevirostra,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,e2c16f84-678a-44bf-8096-bd7fd5979647,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17615869,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17615870,APSC,,,PreservedSpecimen,80bff26c-16fc-4d00-a1d1-d206a7e7eca1,APSC0068025,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Alismataceae|Sagittaria,Plantae,Magnoliophyta,,Alismatales,Alismataceae,Sagittaria calycina,1937.0,Engelm.,Sagittaria,,calycina,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,80bff26c-16fc-4d00-a1d1-d206a7e7eca1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17615870,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17615871,APSC,,,PreservedSpecimen,95e64681-fab2-4323-9798-9de7ba0334b0,APSC0068026,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Alismataceae|Sagittaria,Plantae,Magnoliophyta,,Alismatales,Alismataceae,Sagittaria calycina,1937.0,Engelm.,Sagittaria,,calycina,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,95e64681-fab2-4323-9798-9de7ba0334b0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17615871,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17615874,APSC,,,PreservedSpecimen,8efb193a-627f-4248-b363-cc85c8f10201,APSC0068029,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Alismataceae|Sagittaria,Plantae,Magnoliophyta,,Alismatales,Alismataceae,Sagittaria calycina,1937.0,Engelm.,Sagittaria,,calycina,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,8efb193a-627f-4248-b363-cc85c8f10201,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17615874,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17617410,APSC,,,PreservedSpecimen,379f9025-0728-4415-a4e3-d5ba41794591,APSC0069643,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Euthamia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Euthamia gymnospermoides,84348.0,Greene,Euthamia,,gymnospermoides,,,Species,,,,,,,,John Taylor,,,1971-10-09,,1971.0,10.0,9.0,282.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,0.0,,,,,,,,,,,,,,,,,,,,Masebrock,2023-07-16 07:02:03,,170,379f9025-0728-4415-a4e3-d5ba41794591,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17617410,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19486950,APSC,,,PreservedSpecimen,954e7a54-9b92-4483-a66a-0570fe5aea70,APSC0070831,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Alismataceae|Sagittaria,Plantae,Magnoliophyta,,Alismatales,Alismataceae,Sagittaria calycina,1937.0,Engelm.,Sagittaria,,calycina,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,954e7a54-9b92-4483-a66a-0570fe5aea70,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19486950,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21934843,APSC,,,PreservedSpecimen,fdb6a500-7e30-4a24-b29a-4aeb329a24b1,APSC0104761,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Potamogetonaceae|Potamogeton,Plantae,Magnoliophyta,,Alismatales,Potamogetonaceae,Potamogeton foliosus,1173.0,Raf.,Potamogeton,,foliosus,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,fdb6a500-7e30-4a24-b29a-4aeb329a24b1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21934843,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25268280,APSC,,,PreservedSpecimen,2575dcfa-5a47-4a57-a469-9766e98e9bce,APSC0124252,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Limnosciadium,Plantae,Magnoliophyta,,Apiales,Apiaceae,Limnosciadium pinnatum,89467.0,(DC.) Mathias & Constance,Limnosciadium,,pinnatum,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Bryan,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,2575dcfa-5a47-4a57-a469-9766e98e9bce,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25268280,Bryan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
959068,ARIZ,,,PreservedSpecimen,urn:uuid:e833506d-94cd-49de-aaf3-d07bd237f1e1,390167,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Coreopsis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Coreopsis grandiflora,3597.0,Hogg ex Sweet,Coreopsis,,grandiflora,,,Species,,2004-05-14,,,,,,"Doug Goldman, Connie Taylor",,2840,2004-05-14,,2004.0,5.0,14.0,135.0,,"may,14,2004",,"Growing in a prairie historically and still occasioanlly used as a haymeadow, in moist to damp loamy soil (dennis loam, 3-5% slopes, fine, mixed thermic Aquic Paleudolls; Durant loam, 1-3% slopes, fine, montmorillonic, thermic Vertic Argiustolls). Growing along the side of and below a prairie mound, with",,Occasional to locally common herb.,,,,,,,,ecologicallyOccursWith: Aira elegans|ecologicallyOccursWith: Baptisia sphaerocarpa|ecologicallyOccursWith: Briza minor|ecologicallyOccursWith: Bromus japonicus|ecologicallyOccursWith: Buchnera americana|ecologicallyOccursWith: Calopogon oklahomensis|ecologicallyOccursWith: Carex meadii|ecologicallyOccursWith: Castilleja indivisa|ecologicallyOccursWith: Coreopsis tinctoria|ecologicallyOccursWith: Desmodium sessilifolium|ecologicallyOccursWith: Dichanthelium purpurea|ecologicallyOccursWith: Helianthus mollis|ecologicallyOccursWith: Linum medium|ecologicallyOccursWith: Marshallia caespitosa|ecologicallyOccursWith: Oenothera linifolia|ecologicallyOccursWith: Plantago aristata|ecologicallyOccursWith: Plantago virginica|ecologicallyOccursWith: Ptilimnium nuttallii|ecologicallyOccursWith: Rhus copallina|ecologicallyOccursWith: Rhynchospora recognita|ecologicallyOccursWith: Rudbeckia hirta|ecologicallyOccursWith: Schizachyrium scoparium|ecologicallyOccursWith: Sisyrinchium langloisii|ecologicallyOccursWith: Tephrosia virginiana|ecologicallyOccursWith: Toxicodendron radicans|ecologicallyOccursWith: Trifolium campestre|ecologicallyOccursWith: Valerianella radiata,,,,,,,,,,,,,,United States,Oklahoma,Bryan County,,"About 0.2 mi N. of Rt, 70 and 0.2 mi. W. of 49th Ave. Durant,",,,,34.001389,-96.429722,,,,,,,,,215.0,,,,,705 ft.,,,Luis,2014-01-27 10:38:34,211774,2,14fd00d7-9010-49a1-94cd-2f491ed833aa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=959068,Bryan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
