id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
844629,ARIZ,,,PreservedSpecimen,urn:uuid:87c4c817-798a-43d1-ac3f-8c7837311488,339726,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Rosales|Moraceae|Morus,Plantae,Magnoliophyta,,Rosales,Moraceae,Morus alba,3168.0,L.,Morus,,alba,,,Species,"Brown, Hanins, Moss & Young",1989-05-15,,,,,,"Brown, Hanins, Moss & Young",,103,1989-05-15,,1989.0,5.0,15.0,135.0,,"May,15,1989",,,,"Tree ca. 8 ft. with fleshy fruits ripening red; young bark smooth, reddish to gray-brown.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a94f17a7-0691-4c94-9f61-94ddeb20bfdb | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e17fa966-900c-4db9-b280-09353e0b0b87 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b70f4d59-ff83-4e7c-b0ca-6fbc4003536b,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian County,,15 mi W of El Reno along I-40 . Remnant woodland at KOA campground.,,,,,,,,,,,,,,,,,,,,,,Cheryl,2014-01-27 10:38:34,141820,2,c98a603d-af0e-44c4-9cb9-9252e181f081,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=844629,Canadian,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21259742,ARIZ,,,PreservedSpecimen,urn:uuid:55eda2c2-5ec6-4794-8e38-51caf50355dd,352703,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera|Oenothera capillifolia,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera capillifolia subsp. capillifolia,351606.0,,Oenothera,,capillifolia,subsp.,capillifolia,Subspecies,Nomenclatural adjustment ARIZ,Jan 2019,PhytoKeys 28: 61-72,,,,,Robert A. Raguso,,99-70,1999-07-16,,1999.0,7.0,16.0,197.0,,16 July 1999,,Roadside red soil.,,"Plants woody, upright with multiple stems, nearly 1 m tall, in full fruit and flower.",,,,,,,,"Cirsium, Helianthus, Ulmus",,,,,,,,,,,,,,United States,Oklahoma,Canadian,,"Rt. 281 N, 5 miles south of Geary.",,,,,,,,,,,,,,,,,,,,,,jsblack,2019-02-04 09:30:20,355062,2,80bb285b-fe2e-4b3c-bccc-2c43b47431be,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21259742,Canadian,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21539233,ASC,,,PreservedSpecimen,928bf7a9-a3a4-4307-8f58-b89fe863f29e,ASC00012403,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae|Verbena,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Verbena stricta,1074.0,Vent.,Verbena,,stricta,,,Species,,,,,,,,A. Moldenke,,114,1962-07-13,,1962.0,7.0,13.0,194.0,,,,Moist field,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian,,Yukon,,0.0,,35.506722,-97.762544,WGS84,7358.0,,gag42 (2022-02-07 17:49:57),,georef batch tool 2022-02-07; GeoLocate,reviewed - high confidence,Location result from geolocate,,,,,,,,en,ajh486,2023-07-16 07:02:03,,3,928bf7a9-a3a4-4307-8f58-b89fe863f29e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21539233,Canadian,
24865922,ASU,Plants,,PreservedSpecimen,feaca2a7-eff9-4505-9b0d-25572eeed465,ASU0132774,236028,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Glandularia,4601.0,J.F. Gmel.,Glandularia,,,,,Genus,,,,,,,,A. Salywon,,3002,1996-04-19,,1996.0,4.0,19.0,110.0,,,,Roadcut,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Canadian,,2.3 mi E of S Canadian Bridge on Hwy 281spur at topof small hill,,,,,,,,,,,,,,475.0,,,,,475m,,,BettyDavidson,2023-07-16 07:02:03,,1,feaca2a7-eff9-4505-9b0d-25572eeed465,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24865922,Canadian,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21929862,BRIT,BRIT,,PreservedSpecimen,6f4a64c7-041c-4c2c-a7cb-f3d40c21265f,BRIT465567,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Araceae|Arisaema,Plantae,Magnoliophyta,,Alismatales,Araceae,Arisaema dracontium,106706.0,(L.) Schott,Arisaema,,dracontium,,,Species,,,,,,,,Connie S. Taylor,,157,1960-05-14,,1960.0,5.0,14.0,135.0,,,Abundant in level ground through out shady areas.,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b8b34f4c-24f1-4128-aaae-7c0c0a3b568b | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=35d69242-f529-4758-ade4-d1605b05dde3,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian,,"Lower level area above stream of canyon branch. Water Canyon, T.11 N., R. 10 W. Section 5.",,,,35.4566,-98.2803,WGS84,1609.0,,,,,,copied from duplicate OKLA NULL; Coordinates based on TRS centroid,,,,,,,,,julie62,2023-09-29 10:26:23,,370,6f4a64c7-041c-4c2c-a7cb-f3d40c21265f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21929862,Canadian,Whitelisted institutionCode; 
22066415,BRIT,BRIT,,PreservedSpecimen,41c19c25-ea18-4f62-bd8a-ccd9582dd56f,BRIT472738,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Asplenium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium resiliens,1896.0,Kunze,Asplenium,,resiliens,,,Species,,,,,,,,John Taylor,,21830,1976-06-17,,1976.0,6.0,17.0,169.0,,,,Red Sandstone.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a626427b-6b36-4905-850a-85ee81390775,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian,,Collected near the upper end of the Niles branch of Waters Canyon.,,,,,,,,,,,,,,,,,,,,,,sjackson86,2023-07-16 07:02:03,,370,41c19c25-ea18-4f62-bd8a-ccd9582dd56f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22066415,Canadian,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22076433,BRIT,BRIT,,PreservedSpecimen,a626427b-6b36-4905-850a-85ee81390775,BRIT472637,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Asplenium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium platyneuron,1894.0,"(L.) Britton, Sterns & Poggenb.",Asplenium,,platyneuron,,,Species,David M. Johnson,1980-05-21,,,,,,John Taylor,,21830,1976-06-17,,1976.0,6.0,17.0,169.0,,,,Near the upper end of the Niles branch of Waters Canyon. Red sandstone.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=41c19c25-ea18-4f62-bd8a-ccd9582dd56f,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian,,Near the upper end of the Niles branch of Waters Canyon.,,,,,,,,,,,,,,,,,,,,,,carrollk2015,2023-07-16 07:02:03,,370,a626427b-6b36-4905-850a-85ee81390775,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22076433,Canadian,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22148161,BRIT,BRIT,,PreservedSpecimen,a30c61aa-fe11-4edb-b64d-e490d88ecd6d,BRIT429480,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Myriopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Myriopteris gracilis,171667.0,Fée,Myriopteris,,gracilis,,,Species,Alejandra Vasco (BRIT),2018-4-2,,,,,,John Taylor,,21825,1976-06-17,,1976.0,6.0,17.0,169.0,,,,,Red sandstone.,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=bed7031a-6287-4a8e-9ac9-a9bda3163591,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian,,Near the upper end of the Niles branch of Waters Canyon.,,,,,,,,,,,,,,,,,,,,,English,sfrary,2023-07-16 07:02:03,,370,a30c61aa-fe11-4edb-b64d-e490d88ecd6d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22148161,Canadian,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22833889,BRIT,BRIT,,PreservedSpecimen,e1a43b65-2a18-4e2a-ad6a-927c90ada2df,BRIT470200,,Plantae|Tracheophyta|Lycopodiophyta|Lycopodiopsida|Selaginellales|Selaginellaceae|Selaginella,Plantae,Lycopodiophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella peruviana,18720.0,(Milde) Hieron.,Selaginella,,peruviana,,,Species,,,,,,,,John Taylor,,1291,1963-03-08,,1963.0,3.0,8.0,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian,,"In Kiekapoo Canyon about 1.5 miles north and 3.5 miles east of Lookeba, Okla.",,,,,,,,,,,,,,,,,,,,,,carrollk2015,2023-07-16 07:02:03,,370,e1a43b65-2a18-4e2a-ad6a-927c90ada2df,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22833889,Canadian,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22863189,BRIT,BRIT,,PreservedSpecimen,bed7031a-6287-4a8e-9ac9-a9bda3163591,BRIT429473,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Myriopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Myriopteris tomentosa,172128.0,"(Link) Fée,",Myriopteris,,tomentosa,,,Species,Alejandra Vasco (BRIT),2018-02-22,,,,,,John Taylor,,21825,1976-06-17,,1976.0,6.0,17.0,169.0,,,,,Red sandstone,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a30c61aa-fe11-4edb-b64d-e490d88ecd6d,,,,,,,,,,,,,,,,United States,Oklahoma,Canadian,,Near the upper end of the Niles branch of Waters Canyon.,,,,,,,,,,,,,,,,,,,,,,sfrary,2023-07-16 07:02:03,,370,bed7031a-6287-4a8e-9ac9-a9bda3163591,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22863189,Canadian,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
