id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
30424864,APCR,,,PreservedSpecimen,61449b3c-c5d0-4944-ae51-cc6beb007d77,APCR015390,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Plantago,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Plantago rhodosperma,765.0,Decne.,Plantago,,rhodosperma,,,Species,Philip E. Hyatt,2002,,,,,,James S. Wilson,,10331,1966-04-28,,1966.0,4.0,28.0,118.0,,28 April 1966,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Carter,,Moter courtyard near Ardmore.,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,61449b3c-c5d0-4944-ae51-cc6beb007d77,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30424864,Carter,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
16791332,APSC,,,PreservedSpecimen,cf08f83c-4d08-4451-bf3b-4b0d83b7de78,APSC0065847,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus acuminatus,868.0,Torr. & Hook.,Cyperus,,acuminatus,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Carter,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,cf08f83c-4d08-4451-bf3b-4b0d83b7de78,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16791332,Carter,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
16791336,APSC,,,PreservedSpecimen,0afebc07-215b-4c79-be19-044622f440f4,APSC0065850,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus acuminatus,868.0,Torr. & Hook.,Cyperus,,acuminatus,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Carter,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,0afebc07-215b-4c79-be19-044622f440f4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16791336,Carter,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27562297,APSC,,,PreservedSpecimen,1ac1f256-2300-4b5b-870a-f58e5db9c20b,APSC0128990,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Juncaceae|Juncus,Plantae,Magnoliophyta,,Poales,Juncaceae,Juncus torreyi,238.0,Coville,Juncus,,torreyi,,,Species,,,,,,,,Arland Hotchkiss,,,1967-06-16,,1967.0,6.0,16.0,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Carter,,,,0.0,,,,,,,,,,,,,,,,,,,,Masebrock,2023-07-16 07:02:03,,170,1ac1f256-2300-4b5b-870a-f58e5db9c20b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27562297,Carter,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
945738,ARIZ,,,PreservedSpecimen,urn:uuid:65a68c2f-9a37-44fe-86ee-4049de55b498,136795,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Chamaecrista,Plantae,Magnoliophyta,,Fabales,Fabaceae,Chamaecrista fasciculata,18044.0,(Michx.) Greene,Chamaecrista,,fasciculata,,,Species,Brigitte Marazzi,2009-03-27,,,,,,Bill Duff,,47,1947-06-20,,1947.0,6.0,20.0,171.0,,"June,20,1947",,Sandy clay.,,,,,,,,,,,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Carter County,,4.3 miles northeast of Ardmore.,,,,,,,,,,,,,,,,,,,,,,Olga,2013-11-07 11:43:44,187464,2,4b03209d-981a-4b3d-bee6-0c2a5c002d5e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=945738,Carter,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3247262,ARIZ,,,PreservedSpecimen,urn:uuid:e415319c-d806-401f-8151-9fec2c278c04,410510,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias|Asclepias asperula,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias asperula subsp. capricornu,43435.0,Woodson,Asclepias,,asperula,subsp.,capricornu,Subspecies,,,,,,,,Mark Fishbein,,6794,2011-06-17,,2011.0,6.0,17.0,168.0,,2011-6-17,,"Roadside, prairie on eroded limestone.",,"Caespitose, spreading perennial, 20 cm tall; occasional.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=db8c4907-094c-4f7c-9ced-8e75d50c5602,,ecologicallyOccursWith: Ulmus|ecologicallyOccursWith: Celtis|ecologicallyOccursWith: Cercis|ecologicallyOccursWith: Bothriochloa|ecologicallyOccursWith: Glandularia|ecologicallyOccursWith: Monarda|ecologicallyOccursWith: Chamaecrista|ecologicallyOccursWith: Sorghum halapense|ecologicallyOccursWith: Hymenoppus|ecologicallyOccursWith: Solanum|ecologicallyOccursWith: Oenothera|ecologicallyOccursWith: Linum|ecologicallyOccursWith: Helioptropium|ecologicallyOccursWith: Liatris|ecologicallyOccursWith: Plectocephalus|ecologicallyOccursWith: Engelmannia|ecologicallyOccursWith: Dalea aurea,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Carter,,"Along US Hwy 177, about 2.75 mi south-southwest of Nebo, about 12.5 mi northeast of Ardmore, slopes east of Washita River.",,,,34.0,-96.0,,,34.32220° 0' N 96.95955° 0' W,,,,,,274.0,,,,,,,,bangfour,2013-02-13 15:22:30,310403,2,0536a84e-0e2f-4032-b05f-a99aa29b62f4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3247262,Carter,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29043429,ARIZ,,,PreservedSpecimen,urn:uuid:68b32bc7-7016-4b02-bc1e-d9bfdc25691a,136670,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera serrulata,8014.0,Nutt.,Oenothera,,serrulata,,,Species,ARIZ nomenclatural adjustment,Jan. 2019,Syst. Bot. Monogr. 83,,,,,Bill Duff,,91,1947-06-20,,1947.0,6.0,20.0,171.0,,"June 20, 1947",,,Limestone soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Carter,,12 mi. S. of Turner Falls,,,,,,,,,,,,,,,,,,,,,,eaf25,2022-02-08 09:21:47,362329,2,dbc3a7a4-95ac-4713-92ef-f44a9533cecf,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29043429,Carter,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21613050,ASC,,,PreservedSpecimen,ee7ac266-9b11-4dd7-87e1-f278b1bed879,ASC00055616,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Iridaceae|Sisyrinchium,Plantae,Magnoliophyta,,Asparagales,Iridaceae,Sisyrinchium campestre,18736.0,E. P. Bicknell,Sisyrinchium,,campestre,,,Species,,,,,,,,S. Gerlach,,30,1977-04-03,,1977.0,4.0,3.0,93.0,,,,Limestone oucrop bordered by juniper,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Carter,,2 mi E of Baum,,0.0,,34.268144,-96.945735,WGS84,3649.0,,gag42 (2022-02-07 17:50:52),,georef batch tool 2022-02-07; GeoLocate,reviewed - high confidence,Location result from geolocate,,,,,,,,en,ajh486,2023-07-16 07:02:03,,3,ee7ac266-9b11-4dd7-87e1-f278b1bed879,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21613050,Carter,
21696260,ASC,,,PreservedSpecimen,5a69537f-143e-411a-a55e-580818eda60c,ASC00032261,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes magnicamporum,18765.0,Sheviak,Spiranthes,,magnicamporum,,,Species,L. K. Magrath,1974-10-13,,,,,,L. Magrath,,8672,1974-10-13,,,,,,,,common to locally abundant,"Ford swale in weedy overgrazed pasture near flowing stream below dam, outcropping limestone",,"Fragrant, flower creamy white",,,,,single,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=73f5f6d2-720a-4447-89f8-65c012fc78ce | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f01f2a94-c83d-48f9-a277-29b2a061e9d6 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=90f28d31-d568-4786-91fe-4dfe2d0d1ced | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=094a8d39-5eda-4aff-a55b-b2e55c426061 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=684474ef-b4c0-4835-b909-edf8e24e651b | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4e83aff3-ad2f-4754-bb17-0a6dc94e8b84 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=urn:catalog:MO:Tropicos:101315744,,,,,,,,,,,,,,,,United States,Oklahoma,Carter,,"Arbuckle Mountains; Mountain Lake area, 2.3 mi N of wood, Arbuckle Mountains",,0.0,,34.368696,-97.281892,WGS84,873.0,,gag42 (2022-02-07 17:52:37),,georef batch tool 2022-02-07; GeoLocate,reviewed - high confidence,Location result from geolocate,,,,,,,,en,ajh486,2023-07-16 07:02:03,,3,5a69537f-143e-411a-a55e-580818eda60c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21696260,Carter,
21789211,ASU,Plants,,PreservedSpecimen,9e7baee4-3809-48a1-908f-3a3bc0b20020,ASU0123338,127769,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Polygonum,Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,Polygonum hydropiperoides,2760.0,Michx.,Polygonum,,hydropiperoides,,,Species,,,,,,,,C.B. Hellquist,J. Holt,14900,1981-06-15,,1981.0,6.0,15.0,166.0,,,,pond,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Carter,,"on W side of Rte 77 at jct with road to Park Headquarters, Lake Murray State Park.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,9e7baee4-3809-48a1-908f-3a3bc0b20020,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21789211,Carter,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
