id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
30424905,APCR,,,PreservedSpecimen,19d2e8bf-6a5b-4e4e-9af8-d887262a16ac,APCR015486,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Plantago,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Plantago virginica,745.0,L.,Plantago,,virginica,,,Species,Philip E. Hyatt,2002,,,,,,Raymond Weatherholt,,333,1967-05-31,,1967.0,5.0,31.0,151.0,,"May 31, 1967",,"Roadside ditch, wet area.",,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Craig,,1 mi S. of Kansas state line on US 59.,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,19d2e8bf-6a5b-4e4e-9af8-d887262a16ac,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30424905,Craig,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24823821,ARIZ,,,PreservedSpecimen,urn:uuid:739ae348-be88-4eef-b716-111c4560d555,438670,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes magnicamporum,18765.0,Sheviak,Spiranthes,,magnicamporum,,,Species,L. Magrath,1975,,,,,,L. Magrath,,9176,1975-10-19,,1975.0,10.0,19.0,292.0,,19 Oct 1975,,Prairie hay meadow;,loam soil,abundant,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2dae949d-b0d7-4576-99b2-88ae97af157c,,,,,,,,,,,,,,,,United States,Oklahoma,Craig,,0.6 mi W of White Oak on US 66.,,,,,,,,,,,,,,,,,,,,,,ocotillo,2020-02-21 10:55:34,360441,2,a66a53ee-2b26-4572-9330-5529a8c1f4a2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24823821,Craig,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
8466986,ASU,Plants,,PreservedSpecimen,d984c109-b76b-41dd-a5a0-53e956d013ae,ASU0094394,75081,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Buchnera,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Buchnera americana,75303.0,L.,Buchnera,,americana,,,Species,,,,,,,,J.E. Bare,,1858,1968-08-13,,1968.0,8.0,13.0,226.0,,,,Low moist ungrazed Andropogon prairie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8d2c8e1f-64f7-4e0b-b747-8e03ed5f6b6b,,,,,,,,,,,,,,,,USA,Oklahoma,Craig,,3 mi W and 1/2 mi S of Vinita,,0.0,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,d984c109-b76b-41dd-a5a0-53e956d013ae,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=8466986,Craig,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24019015,BRIT,BRIT,,PreservedSpecimen,98a142cc-39a9-4bec-b928-6401bb40b49f,BRIT555877,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Chaerophyllum,Plantae,Magnoliophyta,,Apiales,Apiaceae,Chaerophyllum procumbens,43321.0,(L.) Crantz,Chaerophyllum,,procumbens,,,Species,,,,,,,,Thomas G. Lammers,Diane L. Lammers,16425,2019-04-26,,2019.0,4.0,26.0,116.0,,26 April 2019,frequent,frequent on moist brushy roadside,,corolla white,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ebe3d385-1108-49a5-a11e-f96348b282c5,,"Stellaria media, Bromus tectorum",,,,,,,,,,,,,,United States,Oklahoma,Craig,,"along Russell Creek, 7.5 miles north of Welch on US Hwy 59.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,98a142cc-39a9-4bec-b928-6401bb40b49f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24019015,Craig,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24019141,BRIT,BRIT,,PreservedSpecimen,863aec57-381e-4408-ad1c-028cc5628103,BRIT555883,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Caryophyllaceae|Stellaria,Plantae,Magnoliophyta,,Caryophyllales,Caryophyllaceae,Stellaria media,470.0,(L.) Vill.,Stellaria,,media,,,Species,,,,,,,,Thomas G. Lammers,Diane L. Lammers,16424,2019-04-26,,2019.0,4.0,26.0,116.0,,26 April 2019,,common on moist brushy roadside,,corolla white,,,,,,,,"Chaerophyllum procumbens, Bromus tectorum",,,,,,,,,,,,,,United States,Oklahoma,Craig,,"along Russell Creek, 7.5 miles north of Welch on US Hwy 59.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,863aec57-381e-4408-ad1c-028cc5628103,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24019141,Craig,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24934416,BRIT,SMU,,PreservedSpecimen,0ad15cf2-736e-4a95-98f5-a9a679e77f55,BRIT528209,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Rubiaceae|Cephalanthus|Cephalanthus occidentalis,Plantae,Magnoliophyta,,Gentianales,Rubiaceae,Cephalanthus occidentalis var. occidentalis,218694.0,,Cephalanthus,,occidentalis,var.,occidentalis,Variety,"K. Hines, A. Krings",2010-00-00,,,,,,John Taylor,Connie Taylor,14706,1973-09-01,,1973.0,9.0,1.0,244.0,,,,along a large creek adjacent to a Pecan grove,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Craig,,"Collected about 4 miles East of Vinita, Oklahoma, along a large creek adjacent to a Pecan grove",,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,0ad15cf2-736e-4a95-98f5-a9a679e77f55,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24934416,Craig,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24938826,BRIT,BRIT,,PreservedSpecimen,a7395244-df76-479f-8e16-a42d989849e1,BRIT548540,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Gamochaeta,Plantae,Magnoliophyta,,Asterales,Asteraceae,Gamochaeta purpurea,3732.0,(L.) Cabrera,Gamochaeta,,purpurea,,,Species,Nesom,2001,,,,,,B. Hoagland,D. Benesh,1327,1999-06-07,,1999.0,6.0,7.0,158.0,,,,Hay meadow.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ff3943eb-fd3d-47f0-8fae-754e128a3d13,,,,,,,,,,,,,,,,United States,Oklahoma,Craig,,"Welch; 1.2 mi. S of Welch on Hwy 2/259, from jct. with Hwy 10 (T27N, R20E, Sec. 1).",,,,36.852,-95.1164,WGS84,1609.0,"T27N, R20E, Sec. 1",,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,rcarmickle,2023-09-29 10:26:23,,370,a7395244-df76-479f-8e16-a42d989849e1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24938826,Craig,Whitelisted institutionCode; 
25178536,BRIT,BRIT,,PreservedSpecimen,ca0d9fb0-d6ab-4dfe-ba65-596a047dc9a1,BRIT535891,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Antennaria,Plantae,Magnoliophyta,,Asterales,Asteraceae,Antennaria parlinii,17888.0,Fernald,Antennaria,,parlinii,,,Species,,,,,,,,B. Hoagland,D. Benesh,1344,1999-06-07,,1999.0,6.0,7.0,158.0,,6/7/99,,Disturbed Quercus stellata woodland,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=23e99c71-d9c9-4173-8aa2-c0a458411e3a | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1a8f0cd9-a438-42ec-977f-970489813063,,Quercus stellata,,,,,,,,,,,,,,United States,Oklahoma,Craig,,"Vinita; approximately 5.2 miles west on Hwy 60 from intersections with Hwy 69, then 2 miles north on section line road; Pleasant Hill Cemetery (T26N, R18E, Sec. 25).",,0.0,,36.7063,-95.3326,WGS84,1609.0,"T26N, R18E, Sec. 25",,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,apbordelon,2023-09-29 10:26:23,,370,ca0d9fb0-d6ab-4dfe-ba65-596a047dc9a1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25178536,Craig,Whitelisted institutionCode; 
25194959,BRIT,BRIT,,PreservedSpecimen,82943e56-7d5e-44d6-a0bf-0426cdff459a,BRIT527659,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Eupatorium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Eupatorium coelestinum,64626.0,L.,Eupatorium,,coelestinum,,,Species,,,,,,,,G. W. Stevens,,2226,1913-08-23,,1913.0,8.0,23.0,235.0,,,,On gravelly bank of creek,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=922c7a25-3280-412a-994c-ccec40af3d6c | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2909d6c1-bda4-4cfe-a96d-129c963ecb4b | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=654197b3-be84-4bb6-88cc-64962b16cd1e,,,,,,,,,,,,,,,,United States,Oklahoma,Craig,,"bank of Cabin Creek, Near Blue Jacket",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,82943e56-7d5e-44d6-a0bf-0426cdff459a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25194959,Craig,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25199652,BRIT,SMU,,PreservedSpecimen,75f4c70e-ff14-4477-b6a8-587f4d09abb8,BRIT542205,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Echinacea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Echinacea pallida,43810.0,(Nutt.) Nutt.,Echinacea,,pallida,,,Species,R. L. McGregor,1961-01-09,,,,,,E. W. Lathrop,,3752a,1957-06-10,,1957.0,6.0,10.0,161.0,,,Scattered colonies,In scattered colonies in a prairie hay field.,,Rays white.,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Craig,,1 mile north of Big Cabin on Hy. 69.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,75f4c70e-ff14-4477-b6a8-587f4d09abb8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25199652,Craig,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
