id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
956472,ARIZ,,,PreservedSpecimen,urn:uuid:3548f18d-c61f-40e3-936c-5344ebd1eea9,136081,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Lespedeza,Plantae,Magnoliophyta,,Fabales,Fabaceae,Lespedeza procumbens,50804.0,Michx.,Lespedeza,,procumbens,,,Species,,1946-10-04,,,,,,Gerald S. Richards.,,51,1946-10-04,,1946.0,10.0,4.0,277.0,,"oct,4,1946",,Sandy wood.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Creek County,,Sapulpa. 2 mi. E. of,,,,,,,,,,,,,,,,,,,,,,Luis,2013-11-07 11:43:44,209157,2,0776ea4f-8abe-40ab-aba0-e7b3e3546adb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=956472,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
956511,ARIZ,,,PreservedSpecimen,urn:uuid:c8700fb1-7c25-4e71-bb97-8462777a71ec,136109,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Lespedeza,Plantae,Magnoliophyta,,Fabales,Fabaceae,Lespedeza stuevei,89091.0,Nutt.,Lespedeza,,stuevei,,,Species,,1946-10-04,,,,,,Gerald S. Richards.,,50,1946-10-04,,1946.0,10.0,4.0,277.0,,"oct,4,1946",,Sandy wood.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Creek County,,"Supulpa, 2 mi. E.",,,,,,,,,,,,,,,,,,,,,,Luis,2013-11-07 11:43:44,209198,2,e6d603c3-f321-410d-9497-8ae84229b443,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=956511,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3240872,ARIZ,,,PreservedSpecimen,urn:uuid:c9c8d94f-5a2e-4ad5-ac57-cd3d55a9455c,405598,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias|Asclepias tuberosa,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa subsp. interior,11187.0,Woodson,Asclepias,,tuberosa,subsp.,interior,Subspecies,,2010-01-01,,,,,,Mark Fishbein,Lane Greer,6553,2010-05-29,,2010.0,5.0,29.0,149.0,,"May,29,2010",,Highly disturbed roadside on river bluff.,,"Multistemmed perennial herb, corolla reflexed with spreading tips, bright orange, corona orange, column and style apex yellow, unscented; uncommon.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6eb9ff37-3830-4763-a755-8ff6df2c8a33,,ecologicallyOccursWith: Carya texana|ecologicallyOccursWith: Quercus marilandica|ecologicallyOccursWith: Rhus copallinum|ecologicallyOccursWith: Erigeron strigosus|ecologicallyOccursWith: Coreopsis|ecologicallyOccursWith: Lespedeza|ecologicallyOccursWith: Desmodium|ecologicallyOccursWith: Helianthus mollis|ecologicallyOccursWith: Asclepias viridis|ecologicallyOccursWith: Polygala|ecologicallyOccursWith: Tradescantia|ecologicallyOccursWith: Castilleja|ecologicallyOccursWith: Stylosanthes,,,,,,,,,,,,,,United States,Oklahoma,Creek County,,"Cimarron River near confluence of Arkansas River, along OK Hwy 48, 1.4 mi (air) north-northwest of jct OK Hwy 51 at Mannford, just north of Oak Hill Cemetary.",,,,36.14352,-96.39992,,,,,,,,,237.0,,,,,,,,Ian,2018-06-25 09:44:33,303933,2,ba732991-0ba6-4f9d-9c0a-1cc35ff35b8f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3240872,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3351106,ARIZ,,,PreservedSpecimen,urn:uuid:ec20f991-a6e0-4aa9-be81-0172f7c4e6f0,148809,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Aristida,Plantae,Magnoliophyta,,Poales,Poaceae,Aristida lanosa,72940.0,Muhl. ex Elliott,Aristida,,lanosa,,,Species,H.I. Featherly,1938,,,,,,H.I. Featherly,,s.n.,1938-09-17,,1938.0,9.0,17.0,260.0,,"Sept. 17, 1938",,,Sandy blackjack soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Creek,,S. of Milfay,,,,,,,,,,,,,,,,,,,,,,brodypainter,2019-03-12 09:16:00,313825,2,71437a13-8c72-4466-b962-526e11a93d39,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3351106,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24863777,ASU,Plants,,PreservedSpecimen,80fd0097-f1db-403d-b710-cddd822924a6,ASU0132689,74893,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae|Verbena,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Verbena canadensis,28586.0,Britton,Verbena,,canadensis,,,Species,,,,,,,,W.F. Mahler,,633,1959-05-02,,1959.0,5.0,2.0,122.0,,,,Roadside,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Creek,,12 mi E of Oilton on Hwy 51,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,80fd0097-f1db-403d-b710-cddd822924a6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24863777,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27904890,ASU,Plants,,PreservedSpecimen,31c89dde-872b-48e4-8bce-99beaf325942,ASU0140288,02022,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Iridaceae|Nemastylis,Plantae,Magnoliophyta,,Asparagales,Iridaceae,Nemastylis geminiflora,92502.0,Nutt.,Nemastylis,,geminiflora,,,Species,,,,,,,,W.F. Mahler,,632,1959-05-02,,1959.0,5.0,2.0,122.0,,,,Roadside,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Creek,,12 mi E of Oilton on Hwy 51,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,31c89dde-872b-48e4-8bce-99beaf325942,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27904890,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343847,AUA,,,PreservedSpecimen,2cdda0be-74e6-4809-896e-eb993473ccc8,AUA000035805,77258,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis vulpina,105348.0,L.,Vitis,,vulpina,,,Species,,,,,,,,"Comeaux, Barry L.",,4525,1986-08-31,,1986.0,8.0,31.0,243.0,,08/31/1986,,Mesic. Vining on ground.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Creek,,0.3 mi. E. intersection 33 & 16. (Drumright). N. side 33.,,,,35.987402,-96.578549,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,2cdda0be-74e6-4809-896e-eb993473ccc8,149,812b2bec-3e25-4854-9413-cbf71c6349de,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343847,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343556,AUA,,,PreservedSpecimen,4116f4af-dba2-40c8-99f0-9e12cbbd1057,AUA000035806,77259,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,4526,1986-08-31,,1986.0,8.0,31.0,243.0,,08/31/1986,,Mesic. Vining 20 ft. on elm with vulpina.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Creek,,3.3 mi. E. intersection 33 & 16. (Drumright). S. side 33.,,,,35.995865,-96.527377,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,4116f4af-dba2-40c8-99f0-9e12cbbd1057,149,906784d0-2b0c-432d-8235-3ebcaeef4a0b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343556,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29341492,AUA,,,PreservedSpecimen,e0a796f7-f2f1-45bb-af98-b9f84b7eeace,AUA000035807,77260,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Muscadinia,Plantae,Magnoliophyta,,Vitales,Vitaceae,Muscadinia rotundifolia,115662.0,(Michx.) Small,Muscadinia,,rotundifolia,,,Species,,,,,,,,"Comeaux, Barry L.",,4527,1986-08-31,,1986.0,8.0,31.0,243.0,,08/31/1986,,Dry. Vining on hillside to 4 ft. Shrubby vine with flower buds,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Creek,,5.4 mi. W. intersection 33 & 48. S. side 33.,,,,36.003159,-96.484206,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,e0a796f7-f2f1-45bb-af98-b9f84b7eeace,149,97d367ca-4c58-422e-abff-0ac6d6b69cb7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29341492,Creek,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28241862,BAYLU,BAYLU,,PreservedSpecimen,116ba582-33e4-4419-b82a-7784858c8059,BAYLU061767,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Nemophila,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Nemophila phacelioides,92516.0,Nutt.,Nemophila,,phacelioides,,,Species,,,,,,,,K. Thompson,,51,1987-04-25,,1987.0,4.0,25.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Creek,,,,0.0,,,,,,,,,,,,,,,,,,,,Andrea_conley1,2023-07-16 07:02:03,,463,116ba582-33e4-4419-b82a-7784858c8059,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28241862,Creek,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
