id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
27525886,ACU,,,PreservedSpecimen,2d4122c4-9c98-40b4-9244-bd8eafcdede6,ACU000571327,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Calylophus|Calylophus berlandieri,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Calylophus berlandieri subsp. berlandieri,75717.0,Spach,Calylophus,,berlandieri,subsp.,berlandieri,Subspecies,Howard F. Towner,1971-00-00,,,,,,Delzie Demaree,,12467,1936-05-03,,1936.0,5.0,3.0,124.0,,,[Handwritten notes on sheet: lf 2.9 X 29 mm; 92/100],Canyon rims.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f0221672-7e8d-4088-99e6-bc95694e1202 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cbbd03c6-4be3-40f5-acda-3d1a47b999e8 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d6fde46d-5995-4104-afd0-dd61a973795c | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7b9c9157-9260-4592-b49d-23b502a737c7,,,,,,,,,,,,,,,,United States,Oklahoma,Custer,Clinton,Clinton [No additional locality data on sheet],,0.0,,35.514139,-98.971427,WGS84,1955.0,,Ashley Bales,TORCH Georef Protocol 2023.1,GeoLocate,,Coordinates placed in center of Clinton and uncertainty encompasses the city limits.,,,,,,,,,apbordelon,2024-01-19 11:08:27,,485,2d4122c4-9c98-40b4-9244-bd8eafcdede6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27525886,Custer,Whitelisted institutionCode; 
21180015,ANHC,,,PreservedSpecimen,555ed1c6-240a-415a-918f-e5a7dca9d7d8,ANHC002506,ANHC Acc#: 006399,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia marginata,3322.0,Pursh,Euphorbia,,marginata,,,Species,Amy Buthod,10/6/2012,,,,,,Amy Buthod,"Bruce Hoagland, L. Souza & L. Castle",AB-10174,2012-10-06,,2012.0,10.0,6.0,280.0,,2012-10-6,,Disturbed mixed grass prairie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1d32b0f2-32f3-4ba5-8315-5abf2d60ac89,,"Growing with Brickellia eupatorioides, Croton monanthogynus, Aster fendleri & Sporobolus compositus.",fruit,,0.0,,,,,Herbarium Sheet 1 of 1.,,,,,,United States,Oklahoma,Custer,,Washita National Wildlife Refuge; 1.7 mi N of hwy 73 on N road 2100. TRS: T13N R19W S29,,0.0,,35.574714,-99.252513,,,UTM: 14 477120E 3936809N,,,,,,,,,,,,,English,Brent Baker,2023-07-16 07:02:03,19580,270,555ed1c6-240a-415a-918f-e5a7dca9d7d8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21180015,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29190073,ARIZ,,,PreservedSpecimen,7e84e45e-824b-4911-879e-7ee4b63013c6,126848,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera suffrutescens,134899.0,(Ser.) W. L. Wagner & Hoch,Oenothera,,suffrutescens,,,Species,ARIZ nomenclatural adjustment,Feb 2022,Syst. Bot. Monogr. 83,,,,,U.T. Waterfall,,1983,1940-05-25,,1940.0,5.0,25.0,146.0,,"May 25, 1940",,sandstone hillside in prairie,clay soil,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d62e477f-6831-4721-8008-f24d9b2d7cb7,,,,,,,,,,,,,,,,United States,Oklahoma,Custer,,3 mi. S and 7 mi. W of Clinton,,0.0,,,,,,,,,,,,,,,,,,,,mfalk,2023-07-16 07:02:03,,2,7e84e45e-824b-4911-879e-7ee4b63013c6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29190073,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29190076,ARIZ,,,PreservedSpecimen,71a5cec6-ce2f-4633-b957-edf84b0b19f7,126892,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera suffrutescens,134899.0,(Ser.) W. L. Wagner & Hoch,Oenothera,,suffrutescens,,,Species,ARIZ nomenclatural adjustment,Feb 2022,,,,,,U.T. Waterfall,,2026,1940-05-26,,1940.0,5.0,26.0,147.0,,"May 26, 1940",,low gypsum hills in prairies,sandy clay soil,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4b379e9e-bbf9-4407-a125-a3434c42a3e7,,,,,,,,,,,,,,,,United States,Oklahoma,Custer,,1 mi. S and 1 mi. W of Weatherford,,,,,,,,,,,,,,,,,,,,,,mfalk,2023-07-16 07:02:03,,2,71a5cec6-ce2f-4633-b957-edf84b0b19f7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29190076,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
945736,ARIZ,,,PreservedSpecimen,urn:uuid:89fa9104-4f34-4693-81f8-65388062860a,126879,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Chamaecrista,Plantae,Magnoliophyta,,Fabales,Fabaceae,Chamaecrista fasciculata,18044.0,(Michx.) Greene,Chamaecrista,,fasciculata,,,Species,Brigitte Marazzi,2009-03-27,,,,,,U. T. Waterfall,,1611,1939-08-11,,1939.0,8.0,11.0,223.0,,"August,11,1939",,"Shallow sand, sandstone hillside in prairie.",,,,,,,,,,,Flowering,,,,,,,,,,,,,United States,Oklahoma,Custer County,,"3/4 miles southeast, Weatherford.",,,,,,,,,,,,,,,,,,,,,,Olga,2013-11-07 11:43:44,187458,2,3fc318b9-82af-49e4-91d9-7df92d58a36f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=945736,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
956513,ARIZ,,,PreservedSpecimen,urn:uuid:5cf21498-1aff-4f33-aa8a-d5d91233d675,126906,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Lespedeza,Plantae,Magnoliophyta,,Fabales,Fabaceae,Lespedeza stuevei,89091.0,Nutt.,Lespedeza,,stuevei,,,Species,,1940-10-06,,,,,,U. T. Waterfall,,2496,1940-10-06,,1940.0,10.0,6.0,280.0,,"oct,6,1940",,Growing in sand in prarie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1d7022e3-4c77-4847-acfc-d91fe8e0c574,,,,,,,,,,,,,,,,United States,Oklahoma,Custer County,,Wealtherford.,,,,,,,,,,,,,,,,,,,,,,Luis,2013-11-07 11:43:44,209200,2,1fd2955e-4f38-4f31-9bbe-e8f66631e38d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=956513,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3241281,ARIZ,,,PreservedSpecimen,urn:uuid:ccfac5e3-ffa7-4fad-8a3c-0cdf120feef0,126888,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Croton|Croton texensis,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Croton texensis var. texensis,12678.0,(Klotzsch) Müll. Arg.,Croton,,texensis,var.,texensis,Variety,B.L. Turner,2011-01-01,,,,,,U. T. Waterfall,,2237,1940-07-05,,1940.0,7.0,5.0,187.0,,"July,5,1940",,"Sandy soil, rolling praire; mixed grass association.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0ca50a4d-b6f5-4a4f-bcca-c829753b45e2 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a7304c7b-f5b7-4c6e-bb8c-b02a6dcc3755 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ac045046-bc4a-4622-a915-83842bbfe604,,ecologicallyOccursWith: Artemesia|ecologicallyOccursWith: Rhus trilobata,Flowering,,,,,,,,,,,,,United States,Oklahoma,Custer County,,1/4 mi. south of 2 east of Weatherford,,,,,,,,,,,,,,,,,,,,,,Tammy,2013-11-07 11:43:44,304345,2,6d182b75-c5a7-4802-b919-ca95a6b20747,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3241281,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21259734,ARIZ,,,PreservedSpecimen,urn:uuid:48f1058c-65c2-4d8e-8f91-0d2bd49faad7,126887,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera|Oenothera capillifolia,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera capillifolia subsp. berlandieri,323250.0,(Spach) W. L. Wagner & Hoch,Oenothera,,capillifolia,subsp.,berlandieri,Subspecies,Nomenclatural adjustment ARIZ,Jan 2019,PhytoKeys 28: 61-72,,,,,U.T. Waterfall,,1593,1939-08-10,,1939.0,8.0,10.0,222.0,,"Aug. 10, 1939",,Low gypsum hills in prairie.,Sandy clay soil.,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=5fdd0a9f-3a6f-49e4-b5d9-a9efa50945fb,,,,,,,,,,,,,,,,United States,Oklahoma,Custer,,1 mi. S. and 1 W. of Weatherford.,,,,,,,,,,,,,,,,,,,,,,jsblack,2019-02-04 08:32:49,355054,2,32bf920f-c6c8-4d2a-85df-9f4bbb58504d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21259734,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21259737,ARIZ,,,PreservedSpecimen,urn:uuid:2b688f54-eb9b-42f1-845f-1405ebafdf12,352695,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera|Oenothera capillifolia,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera capillifolia subsp. berlandieri,323250.0,(Spach) W. L. Wagner & Hoch,Oenothera,,capillifolia,subsp.,berlandieri,Subspecies,Nomenclatural adjustment ARIZ,Jan 2019,PhytoKeys 28: 61-72,,,,,Robert A. Raguso,,99-69,1999-07-16,,1999.0,7.0,16.0,197.0,,16 July 1999,,Large population in reddish fine silty sand hillsides.,,"Serrate leaves, large yellow flowers, leaf size, and shape, flowers size highly variable within population.",,,,,,,,"Argemone, Cirsium, near Populus and Celtis forest.",,,,,,,,,,,,,,United States,Oklahoma,Custer,,"Jct. of Rt. 54 and I-40, Weatherford.",,,,,,,,,,,,,,,,,,,,,,jsblack,2019-02-04 08:46:08,355057,2,84b82d9e-d34f-43cc-8ada-3f60ffc7c68e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21259737,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28854559,ARIZ,,,PreservedSpecimen,urn:uuid:9352884a-7610-4d4b-9806-3edf717e74ac,126891,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera curtiflora,134896.0,W. L. Wagner & Hoch,Oenothera,,curtiflora,,,Species,Nomenclatural adjustment ARIZ,Jan. 2020,,,,,,U.T. Waterfall,,1624,1959-08-12,,1959.0,8.0,12.0,224.0,,12 August 1959,,Sandy flood plain.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Custer,,"Washita River, just E of Clinton.",,,,,,,,,,,,,,,,,,,,,,georgef,2021-11-18 16:04:34,362181,2,a652f787-c813-46bb-919b-10e215f3c702,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28854559,Custer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
