id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
3247242,ARIZ,,,PreservedSpecimen,urn:uuid:c09b9d47-7a6e-4150-a3f0-c57084e71b4a,410520,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Nyctaginaceae|Mirabilis,Plantae,Magnoliophyta,,Caryophyllales,Nyctaginaceae,Mirabilis nyctaginea,18435.0,(Michx.) MacMill.,Mirabilis,,nyctaginea,,,Species,,,,,,,,Mark Fishbein,Angela Rein,6762,2011-05-15,,2011.0,5.0,15.0,135.0,,2011-5-15,,"Stabilized sand dunes, cross timbers.",,"Perennial, 1.25 m tall, perianth deep magenta; occasional.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d2b25034-76e6-43ec-afa8-506c5ef42f94 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cfc7b823-87a6-4eb5-83f4-36062ebec2b0,,ecologicallyOccursWith: Quercus stellata|ecologicallyOccursWith: Q. marilandica|ecologicallyOccursWith: Prunus|ecologicallyOccursWith: Juniperus virginiana|ecologicallyOccursWith: Dicanthelium|ecologicallyOccursWith: Andropogon|ecologicallyOccursWith: Physalis|ecologicallyOccursWith: Ribes|ecologicallyOccursWith: Parthenocissus|ecologicallyOccursWith: Yucca glauca|ecologicallyOccursWith: Asclepias amplexicaulis,Flowering,,,,,,,,,,,,,United States,Oklahoma,Dewey,,"Jct of US Hwy 270 & Co Rd 2410, about 16 km (air) southwest of Canton, dunes east of Canadian River.",,,,35.0,-98.0,,,35.94366° 0' N 98.70764° 0' W,,,,,,,,,,,,,,bangfour,2013-02-13 15:22:30,310383,2,e4de6ec3-5fab-4cfa-8e93-203bf00541ca,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3247242,Dewey,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3247243,ARIZ,,,PreservedSpecimen,urn:uuid:aa4d1d89-27c4-4edb-95ac-de085ba0f4b7,410519,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias|Asclepias asperula,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias asperula subsp. capricornu,43435.0,Woodson,Asclepias,,asperula,subsp.,capricornu,Subspecies,,,,,,,,Mark Fishbein,Angela Rein,6759,2011-05-15,,2011.0,5.0,15.0,135.0,,2011-5-15,,"Stabilized sand dunes, cross timbers.",,"Decumbent perennial, corolla pale green, corona white with dark purple margin, faintly scented; uncommon.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e563c88f-522b-41e1-998e-4921570a175e,,ecologicallyOccursWith: Quercus marilandica|ecologicallyOccursWith: Celtis|ecologicallyOccursWith: Prunus|ecologicallyOccursWith: Yucca glauca|ecologicallyOccursWith: Bromus|ecologicallyOccursWith: Plantago|ecologicallyOccursWith: Oenothera|ecologicallyOccursWith: Dicanthelium|ecologicallyOccursWith: Physalis|ecologicallyOccursWith: Triticum,Flowering,,,,,,,,,,,,,United States,Oklahoma,Dewey,,"Jct of US Hwy 270 & Co Rd 2410, about 16 km (air) southwest of Canton, dunes east of Canadian River.",,,,36.0,-98.0,,,35.943; 36.03200° 0' N 98.70757° 0' W,,,,,,594.0,,,,,,,,bangfour,2013-02-13 15:22:30,310384,2,8dca51af-991e-4f21-a222-46d9fe323098,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3247243,Dewey,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4560499,ARIZ,,,PreservedSpecimen,urn:uuid:c3989cf1-ed69-44bb-beb0-93eb029aba65,209165,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bouteloua,Plantae,Magnoliophyta,,Poales,Poaceae,Bouteloua dactyloides,17976.0,(Nutt.) J. T. Columbus,Bouteloua,,dactyloides,,,Species,ARIZ,June 2014,Nomenclatural Adjustment Fide: Aliso 18(1):63,,,,,John R. Reeder,Charlotte G. Reeder,5316,1971-06-07,,1971.0,6.0,7.0,158.0,,7 June 1971,Chromosome No.: 2n=60,In rolling terrain,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Dewey,,5 miles E of Vici,,,,,,,,,,,,,,762.0,,,,,2500 ft.,,,Kegan,2014-07-11 14:46:42,324720,2,cf129ecc-bd51-4dc4-a069-9bf6a041054e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4560499,Dewey,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27558648,ARIZ,,,PreservedSpecimen,urn:uuid:94a0a71e-cddc-4e19-bbcc-440f864d29bc,438850,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias latifolia,3762.0,(Torr.) Raf.,Asclepias,,latifolia,,,Species,,,,,,,,Mark Fishbein,"Angela Rein, Channing Richardson, Amy Richardson, Kevin Kilhoffer, LaRinda Holland",6597,2010-08-14,,2010.0,8.0,14.0,226.0,,2010-8-14,,Mixed grass prairie,red clayey sand,"Perennial, 30-60 cm tall, corolla reflexed, pale green, corona cream with yellow keel; locally common on sandy sites.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=5dbe7d31-1fa4-42f7-82b4-4f319ff81920,,"Bothriochloa, Schizachyrium, Bouteloua curtipendula, Desmanthus, Artemisia ludoviciana, Mirabilis, Grindelia, Physalis, Croton, Eriogonum annuum, Yucca, Aristida, Oenothera, Solanum elaeagnifolium",,,,,,,,,,,,,,United States,Oklahoma,Dewey,,"Along US Hwy 60, about 5mi (air) east of jct OK Hwy 34 at Vici, ridge east of Cottonwood Creek",,,,36.14439,-99.19189,,,,,,,,,595.0,,,,,595m,,,echinocacti,2021-02-22 11:18:19,360836,2,8c9cd6dc-6040-46a0-abb6-e16e9a35ae64,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27558648,Dewey,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27834425,ARIZ,,,PreservedSpecimen,urn:uuid:357c0d2b-a8fe-4296-993f-c3d5de8d6ea8,438863,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias amplexicaulis,73271.0,Sm.,Asclepias,,amplexicaulis,,,Species,,,,,,,,Mark Fishbein,Angela Rein,6761,2011-05-15,,2011.0,5.0,15.0,135.0,,2011-5-15,Uncommon,"Stabilized sand dunes, cross timbers",,"Perennial, 60 cm tall, corolla lobes reflexed, pale green, corona greenish cream with bronze tinge",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6546f887-25e1-437c-844e-76d090eedca9,,"Quercus stellata, Quercus marilandica, Prunus, Juniperus virginiana, Dicanthelium, Andropogon, Physalis, Ribes, Parthenocissus, Yucca glauca, Mirabilis nyctaginea",,,,,,,,,,,,,,United States,Oklahoma,Dewey,,"Jct of US Hwy 270 & Co Rd 2410, about 16 km (air) southwest of Canton dunes east of Canadian River",,,,35.94366,-98.70764,,,,,,,,,584.0,,,,,584m,,,echinocacti,2021-03-17 11:08:12,360946,2,e45c9491-7b13-4ea0-a14e-e2eeff1e8bd2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27834425,Dewey,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26974275,ASU,Plants,,PreservedSpecimen,fb20c63d-c8fb-4896-8fb1-65990560a296,ASU0138134,171172,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Scirpus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Scirpus paludosus,5790.0,A. Nels.,Scirpus,,paludosus,,,Species,,,,,,,,S. Stevens,,27220,1968-08-13,,1968.0,8.0,13.0,226.0,,,,Flood plain of Canadian River,"Moist, sandy soil. Common.",,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Dewey,,0.5 mi N Taloga,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,fb20c63d-c8fb-4896-8fb1-65990560a296,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26974275,Dewey,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25181065,BRIT,BRIT,,PreservedSpecimen,326439f5-1b8e-4c8c-a87c-0e8671a71fe9,BRIT526659,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Baccharis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis salicina,16363.0,Torr. & A. Gray,Baccharis,,salicina,,,Species,,,,,,,,Susan C. Barber,Rahmona Thompson,1442,1976-07-10,,1976.0,7.0,10.0,192.0,,,,Along river banks; sandy soil.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3e4efd77-2c95-4fae-9f3d-dac53c35c45c | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=14582e8f-3b0f-442e-b069-f0eea98d0a3d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4dcae3cd-49e5-493d-8bd2-b79c847ed43d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=076e2537-f365-46de-8bed-9582fde6cd5e,,,,,,,,,,,,,,,,United States,Oklahoma,Dewey,,6.6 miles south jct. US 281 and OK 56; South Canadian River.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,326439f5-1b8e-4c8c-a87c-0e8671a71fe9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25181065,Dewey,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25188181,BRIT,BRIT,,PreservedSpecimen,72185e3b-90e1-4acd-a306-a4a3a9319933,BRIT537782,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Centaurea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Centaurea americana,2860.0,Nutt.,Centaurea,,americana,,,Species,,,,,,,,P. Nighswonger,,2495,1986-06-19,,1986.0,6.0,19.0,170.0,,,One population of perhaps 100 plants.,In grasslands; roadside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b989cf25-18e5-4e49-ae76-9757fe98ba35,,,,,,,,,,,,,,,,United States,Oklahoma,Dewey,,About 1½ miles north of Camargo. roadside of Hwy. 34.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,72185e3b-90e1-4acd-a306-a4a3a9319933,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25188181,Dewey,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25188214,BRIT,BRIT,,PreservedSpecimen,bdc0f275-cd11-4fd2-9134-582b2f8b326e,BRIT537846,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Chaetopappa,Plantae,Magnoliophyta,,Asterales,Asteraceae,Chaetopappa ericoides,1185.0,(Torr.) G.L. Nesom,Chaetopappa,,ericoides,,,Species,,,,,,,,John Taylor,Connie Taylor,31386,1982-05-07,,1982.0,5.0,7.0,127.0,,,,hillside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c9acb4aa-0e66-4f6c-bf09-aabb4b33b3da,,,,,,,,,,,,,,,,United States,Oklahoma,Dewey,,"Hillside on northeast side of US 279 & US 278, about 5.1 miles southeast of Seilling",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,bdc0f275-cd11-4fd2-9134-582b2f8b326e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25188214,Dewey,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25204189,BRIT,BRIT,,PreservedSpecimen,31c0e40e-b00f-4145-993a-c8b392e60adf,BRIT545791,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Evax|Evax verna,Plantae,Magnoliophyta,,Asterales,Asteraceae,Evax verna var. verna,13017.0,,Evax,,verna,var.,verna,Variety,,,,,,,,John Taylor,Connie Taylor,31369,1982-05-07,,1982.0,5.0,7.0,127.0,,,,hillside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=42678448-27a5-11e3-8d47-005056be0003 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=dc241ff3-d062-4d7f-99b3-77fe4318e176,,,,,,,,,,,,,,,,United States,Oklahoma,Dewey,,"Hillside on northeast side of US 279 & US 278, about 5.1 miles southeast of Seilling",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,31c0e40e-b00f-4145-993a-c8b392e60adf,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25204189,Dewey,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
