id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
5556899,ARIZ,,,PreservedSpecimen,urn:uuid:39036cc9-c04e-4d01-afaf-cadf703e32dd,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Lesquerella,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Lesquerella auriculata,44646.0,(Engelm. & A.Gray) S.Watson,Lesquerella,,auriculata,,,Species,H. S. Gentry,1964-12-01,,,,,,H. S. Gentry,,20583,1964-04-00,,1964.0,4.0,0.0,,,"20-24 April,1964",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield County,,Near Enid.,,,,,,,,,,,,,,,,,,,,,,,2013-11-07 11:43:44,35411,2,051d1c38-14a8-4a5f-ac1b-6a845d6349f5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=5556899,Garfield,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
5560460,ARIZ,,,PreservedSpecimen,urn:uuid:4759ccfa-1ef5-4bbe-be3e-7be2856582c0,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Physaria gordonii,79.0,(A. Gray) O'Kane & Al-Shehbaz,Physaria,,gordonii,,,Species,ARIZ,2012-08-28,,"Nomenclatural Adjustment per Tropicos, 2012",,,,H. S. Gentry,,20585,1964-04-00,,1964.0,4.0,0.0,,,"20-24 April,1964",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield County,,Near Enid.,,,,,,,,,,,,,,,,,,,,,,,2013-11-07 11:43:44,39963,2,d145ac05-cf83-4087-ae22-b6b7899b4eaa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=5560460,Garfield,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
5560462,ARIZ,,,PreservedSpecimen,urn:uuid:23717a34-f1bb-41f9-a62a-ed28f3100c1c,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Physaria gordonii,79.0,(A. Gray) O'Kane & Al-Shehbaz,Physaria,,gordonii,,,Species,ARIZ,2012-08-28,,"Nomenclatural Adjustment per Tropicos, 2012",,,,H. S. Gentry,,20582,1964-04-00,,1964.0,4.0,0.0,,,"20-24 April,1964",,Sandy soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield County,,Near Enid.,,,,,,,,,,,,,,,,,,,,,,,2013-11-07 11:43:44,39965,2,71e257b5-7b7a-483f-a7da-a5199cdf949d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=5560462,Garfield,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24297590,BRIT,BRIT,,PreservedSpecimen,d07de0ff-2191-477b-8373-e71ff70bb31e,BRIT447154,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa,3789.0,L.,Asclepias,,tuberosa,,,Species,,,,,,,,Georgie Merle Willson,,7,1939-07-03,,1939.0,7.0,3.0,184.0,,,,In pasture.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield,,1 mi. east of Drummon.,,,,,,,,,,,,,,,,,,,,,,julie62,2023-07-16 07:02:03,,370,d07de0ff-2191-477b-8373-e71ff70bb31e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24297590,Garfield,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24482539,BRIT,SMU,,PreservedSpecimen,36b87f1a-2f9a-4181-aadc-86fa6339addf,BRIT63554,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias|Asclepias asperula,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias asperula subsp. capricornu,43435.0,Woodson,Asclepias,,asperula,subsp.,capricornu,Subspecies,Steven P. Lynch,1999,,,,,,H. B. Gephardt,,508,1941-06-17,,1941.0,6.0,17.0,168.0,,"June 17, 1941",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield,,2 miles northwest of Breckinridge.,,,,,,,,,,,,,,,,,,,,,,katcrow,2023-07-16 07:02:03,,370,36b87f1a-2f9a-4181-aadc-86fa6339addf,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24482539,Garfield,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25181041,BRIT,BRIT,,PreservedSpecimen,e85df498-a72a-4aaf-a619-1b392aac30bd,BRIT526661,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Baccharis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis salicina,16363.0,Torr. & A. Gray,Baccharis,,salicina,,,Species,,,,,,,,John Taylor,c,31092,1981-11-13,,1981.0,11.0,13.0,317.0,,Connie Taylor,,Collected along a small lake,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield,,about 16.8 miles east of Enid along US Hy 64.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,e85df498-a72a-4aaf-a619-1b392aac30bd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25181041,Garfield,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25204765,BRIT,BRIT,,PreservedSpecimen,8181f02e-c46e-49a0-af88-a92704776c11,BRIT545864,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Gaillardia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Gaillardia suavis,43924.0,Britton & Rusby,Gaillardia,,suavis,,,Species,,,,,,,,P. Nighswonger,,1383,1976-05-11,,1976.0,5.0,11.0,132.0,,,common,wheat fields.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=52f726e5-692f-4ced-bda7-41dae92268b2,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield,,"Roadsides of Ames road, ½ mile west of St. Hwy. #132. Wheat fields on both sides of road.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,8181f02e-c46e-49a0-af88-a92704776c11,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25204765,Garfield,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25204772,BRIT,SMU,,PreservedSpecimen,52f726e5-692f-4ced-bda7-41dae92268b2,BRIT545862,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Gaillardia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Gaillardia suavis,43924.0,Britton & Rusby,Gaillardia,,suavis,,,Species,,,,,,,,P. Nighswonger,,1383,1976-05-11,,1976.0,5.0,11.0,132.0,,,common,wheat fields.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8181f02e-c46e-49a0-af88-a92704776c11,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield,,"Roadsides of Ames road, ½ mile west of St. Hwy. #132. Wheat fields on both sides of road.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,52f726e5-692f-4ced-bda7-41dae92268b2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25204772,Garfield,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25220659,BRIT,BRIT,,PreservedSpecimen,d9235406-a494-413d-a020-b1db9a3c1075,BRIT560230,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago missouriensis,273.0,Nutt.,Solidago,,missouriensis,,,Species,,,,,,,,John Taylor,Connie Taylor,31095,1981-11-13,,1981.0,11.0,13.0,317.0,,,,along a small lake,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield,,Collected along a small lake about 16.8 miles east of Enid along US Hy 64.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,d9235406-a494-413d-a020-b1db9a3c1075,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25220659,Garfield,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25221542,BRIT,BRIT,,PreservedSpecimen,454f3a5c-6bef-4dc1-b106-3675a04d26cc,BRIT560454,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Aster,Plantae,Magnoliophyta,,Asterales,Asteraceae,Aster subulatus,26618.0,Michx.,Aster,,subulatus,,,Species,,,,,,,,John Taylor,Connie Taylor,31097,1981-11-13,,1981.0,11.0,13.0,317.0,,,,along a small lake,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=60c5f0ae-2cc3-49cc-92ca-9fc59fa73948,,,,,,,,,,,,,,,,United States,Oklahoma,Garfield,,Collected along a small lake about 16.8 miles east of Enid along US Hy 64.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,454f3a5c-6bef-4dc1-b106-3675a04d26cc,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25221542,Garfield,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
