id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
19594006,APSC,,,PreservedSpecimen,bcb6243f-1473-49f9-86f4-2e4d656c8b5a,APSC0074702,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Gentianaceae|Zeltnera,Plantae,Magnoliophyta,,Gentianales,Gentianaceae,Zeltnera beyrichii,183599.0,(Torr. & A. Gray) G. Mans.,Zeltnera,,beyrichii,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,bcb6243f-1473-49f9-86f4-2e4d656c8b5a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19594006,Garvin,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19751140,APSC,,,PreservedSpecimen,260f8614-4b7f-4c19-bca0-8f223ea2db62,APSC0076486,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Rhynchospora,Plantae,Magnoliophyta,,Poales,Cyperaceae,Rhynchospora nivea,98264.0,Boeckeler,Rhynchospora,,nivea,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,260f8614-4b7f-4c19-bca0-8f223ea2db62,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19751140,Garvin,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19751358,APSC,,,PreservedSpecimen,d65aba69-dbf9-48f5-9413-b6209849bdfe,APSC0076725,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Gentianaceae|Sabatia,Plantae,Magnoliophyta,,Gentianales,Gentianaceae,Sabatia campestris,99455.0,Nutt.,Sabatia,,campestris,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,d65aba69-dbf9-48f5-9413-b6209849bdfe,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19751358,Garvin,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19884623,ASC,,,PreservedSpecimen,07acd1ce-aad7-4d1a-98a6-dc96f0ff8f47,ASC00055598,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Krigia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Krigia occidentalis,88492.0,Nutt.,Krigia,,occidentalis,,,Species,,,,,,,,S. Gerlach,,7,1977-04-02,,1977.0,4.0,2.0,92.0,,,,Lawn in clay loam soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin,,"Rest area off of I-35, approx. 5 mi N of Davis Exit",,0.0,,34.566751,-97.196712,WGS84,13512.0,,gag42 (2022-02-07 17:55:15),,georef batch tool 2022-02-07; GeoLocate,reviewed - high confidence,"Location result from geolocate, most likely possibility",,,,,,,,en,ajh486,2023-07-16 07:02:03,,3,07acd1ce-aad7-4d1a-98a6-dc96f0ff8f47,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19884623,Garvin,Coordinate uncertainty too high or missing; 
19940522,ASC,,,PreservedSpecimen,c8a7cedc-7a17-4ea7-b1db-6fcd88adf9f0,ASC00055599,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Myosotis,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Myosotis verna,1933.0,Nutt.,Myosotis,,verna,,,Species,,,,,,,,S. Gerlach,,8,1977-04-02,,1977.0,4.0,2.0,92.0,,,,Lawn in clay loam soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin,,"Rest area off of I-35, approx. 5 mi N of Davis Exit",,0.0,,34.566751,-97.196712,WGS84,13512.0,,gag42 (2022-02-07 17:55:15),,georef batch tool 2022-02-07; GeoLocate,reviewed - high confidence,"Location result from geolocate, most likely possibility",,,,,,,,en,ajh486,2023-07-16 07:02:03,,3,c8a7cedc-7a17-4ea7-b1db-6fcd88adf9f0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19940522,Garvin,Coordinate uncertainty too high or missing; 
21696257,ASC,,,PreservedSpecimen,4823ada5-08ad-48a4-a5ce-161b8a44c80b,ASC00032259,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes lacera,102226.0,(Raf.) Raf.,Spiranthes,,lacera,,,Species,Lawrence K Magrath,,,,,,,L. Magrath,,8616,1974-09-28,,,,,,,1974-9-28,Abundant. Flower color: white with green lip.,Prairie hay meadow; loam soil.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0bcd09ec-8f01-400c-8f41-b4ca966ec0a5 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=78a6f5ec-9895-4681-a622-7956a1628e5d,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin,,"Stratford, 1.6 mi W on State Hwy 19",,0.0,,34.796746,-96.987729,WGS84,1847.0,,Craig C Freeman,online gazetteer,GEOLocate,,2020-07-31,,,,,,,,en,ajh486,2023-07-16 07:02:03,,3,4823ada5-08ad-48a4-a5ce-161b8a44c80b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21696257,Garvin,
2075690,ASC,,,PreservedSpecimen,aea6e170-9d66-41f0-9588-45af6b7f78cf,ASC00055597,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Capsella,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Capsella bursa-pastoris,2166.0,(L.) Medik.,Capsella,,bursa-pastoris,,,Species,,,,,,,,S. Gerlach,,6,1977-04-02,,1977.0,4.0,2.0,92.0,,,,"oak shrub thicket, clay loam soil",,,,,,,,,,,,,0.0,,,,,,,,,,,United States,OKLAHOMA,Garvin,,"Weedy lawn of Rest Area off of I-35, approx. 5 mi N of Davis Exit.",,,,34.572617,-97.19551,WGS84,377.0,,Tsinigine33 (2020-02-11 13:45:26),,georef batch tool 2020-02-11; GeoLocate,reviewed - medium confidence,Georeferenced with locality data.,,,,,,,,,,2023-07-16 07:02:03,9081,3,aea6e170-9d66-41f0-9588-45af6b7f78cf,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=2075690,Garvin,
9653152,ASU,Plants,,PreservedSpecimen,c10be43a-c91d-4a3e-aa3b-9ded4116d73c,ASU0295282,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Amorpha,Plantae,Magnoliophyta,,Fabales,Fabaceae,Amorpha fruticosa,4030.0,L.,Amorpha,,fruticosa,,,Species,,,,,,,,J. Petranka,,36,1976-03-06,,1976.0,3.0,6.0,66.0,,,Voucher specimen for Stream Alteration project,"Sand, slope 0%.",,,,,,,,,,"Salix nigra, Salix interior, Tamarix gallica",,,,,,,,,,,,,,United States,Oklahoma,Garvin,,T3N R4W S24; Rush Creek bank,,0.0,,34.713334,-97.568492,WGS84,1000.0,,Fertig,,GeoLocate,,,,,,,,,,,waltola64,2023-07-16 07:02:03,,1,c10be43a-c91d-4a3e-aa3b-9ded4116d73c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=9653152,Garvin,Null georeferenceRemarks; 
19461891,ASU,Plants,,PreservedSpecimen,dc312171-849f-490c-9074-d05976b057f7,,177462,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Gentianaceae|Centaurium,Plantae,Magnoliophyta,,Gentianales,Gentianaceae,Centaurium beyrichii,77397.0,(Torr. & A. Gray ex Torr.) B.L. Rob.,Centaurium,,beyrichii,,,Species,,,,,,,,C. Kennedy,,307,1941-07-17,,1941.0,7.0,17.0,198.0,,17 Jul 1941,,Dry open prairie in light sandy-loam soil.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2431edc7-1b6a-41e1-9dd6-826b009049ea | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=638c8192-16e9-4f75-95a8-2a89925eb0b7 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=776baa3e-ce17-4004-8905-d906454ddb31 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=df8acea9-748f-4dc8-aa85-473407292600 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ca3c0baf-174f-4691-81d8-2445c2411796 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b62bfa64-3a22-4fa7-a6ba-db92ab0c3021 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3fad3a6f-bdd1-49fe-afaa-f3bf065b3cb5 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3348a6c2-0cd1-4f03-a795-49e651bfc10a | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c287003c-f705-4d1b-80f3-e1c4f41d565e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a7799b70-24bf-4f6a-a729-a5cc578d86b1 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b28cfce9-4c9e-4824-8f57-3e73cacb6f02 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8421571a-6120-488d-8642-1f31f97d487d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=96803a1a-b167-474d-9814-5695a13cd5ec,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin Co.,,"On state highway 19, 6 miles east of Stratford.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,dc312171-849f-490c-9074-d05976b057f7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19461891,Garvin,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21841002,BRIT,SMU,,PreservedSpecimen,7c4d470e-f91c-4b70-a143-8149a2152f34,BRIT553432,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes magnicamporum,18765.0,Sheviak,Spiranthes,,magnicamporum,,,Species,Lawrence K. Magrath,December 1987,,,,,,L. K. Magrath,,8617,1974-09-28,,1974.0,9.0,28.0,271.0,,,rare. Location information recorded for Atlas of the Flora Oklahoma. Under the direction of Bruce W. Hoagland 2002.,prairie hay meadow,loam soil,fragrant; flower colour: creamy-white,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Garvin,,1.6 mi w of Stratford on SH 19,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,7c4d470e-f91c-4b70-a143-8149a2152f34,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21841002,Garvin,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
