id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
3412112,ASU,Plants,,PreservedSpecimen,e8a6d9f2-059c-400d-8312-4ca50f711aae,ASU0075313,160644,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Diplachne|Diplachne fusca,Plantae,Magnoliophyta,,Poales,Poaceae,Diplachne fusca subsp. fascicularis,170869.0,(Lam.) P. M. Peterson & N. Snow,Diplachne,,fusca,subsp.,fascicularis,Subspecies,N. Snow,2013,,,,,,Larry C. Higgins,,7678,1972-07-12,,1972.0,7.0,12.0,194.0,,,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f81a6f02-af39-4b95-99a3-313d7a73728e,,,,,,,,,,,,,,,,USA,Oklahoma,Greer,,,,0.0,,,,,,,,,,,,,,,,,,,,emaking,2023-07-16 07:02:03,,1,e8a6d9f2-059c-400d-8312-4ca50f711aae,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3412112,Greer,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4889700,ASU,Plants,,PreservedSpecimen,1544b7be-eade-47c0-a6d5-a31881b20d9e,ASU0079605,198926,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Cornales|Loasaceae|Cevallia,Plantae,Magnoliophyta,,Cornales,Loasaceae,Cevallia sinuata,3431.0,Lag.,Cevallia,,sinuata,,,Species,,,,,,,,Charlotte M. Christy,,1801,1993-08-19,,1993.0,8.0,19.0,231.0,,,,Eroded clay and gypsum hills,,,,,,,,,,,Flowering,,0.0,,,,,,,,,,,USA,Oklahoma,Greer,,"Side of OK 34 ca 1 road mile S of Salt Fork of Red River, ca 4 road miles SW Mangum",,0.0,,34.85179,-99.52274,WGS84,500.0,,,,,,,488.0,,,,,1600ft,,,Waltola64,2023-07-16 07:02:03,,1,1544b7be-eade-47c0-a6d5-a31881b20d9e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4889700,Greer,Null georeferenceRemarks; 
8466428,ASU,Plants,,PreservedSpecimen,05c4933c-b69e-4553-81a9-71036d60b578,ASU0093786,82134,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Alismataceae|Echinodorus,Plantae,Magnoliophyta,,Alismatales,Alismataceae,Echinodorus rostratus,6407.0,(Nutt.) Engelm. ex A. Gray,Echinodorus,,rostratus,,,Species,,,,,,,,Larry C. Higgins,,7677,1972-07-12,,1972.0,7.0,12.0,194.0,,,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=67830DA6-2102-4F30-A355-BC9A6EA5C9CC | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=dc9c5a23-0db1-4616-af32-1db8e4e5d08e,,,,,,,,,,,,,,,,United States,Oklahoma,Greer,,One mile east of Plainview.,,0.0,,35.073442,-99.709402,WGS84,800.0,,Fertig,,GeoLocate,,,,,,,,,,,waltola64,2023-07-16 07:02:03,,1,05c4933c-b69e-4553-81a9-71036d60b578,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=8466428,Greer,Null georeferenceRemarks; 
8466674,ASU,Plants,,PreservedSpecimen,b85e1938-d3f4-485a-97ef-22877f618310,ASU0094027,160645,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Alismatales|Alismataceae|Sagittaria,Plantae,Magnoliophyta,,Alismatales,Alismataceae,Sagittaria longiloba,1874.0,Engelm. ex J.G. Sm.,Sagittaria,,longiloba,,,Species,,,,,,,,Larry C. Higgins,,7679,1972-07-12,,1972.0,7.0,12.0,194.0,,,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=79689433-CA9E-4A01-A52B-6DBF0E0EAED6 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=880a0b62-ffec-42b8-8c95-735e2f42b964,,,,,,,,,,,,,,,,United States,Oklahoma,Greer,,One mile east of Plainview.,,0.0,,35.073442,-99.709402,WGS84,1000.0,,Fertig,,,,,,,,,,,,,waltola64,2023-07-16 07:02:03,,1,b85e1938-d3f4-485a-97ef-22877f618310,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=8466674,Greer,Null georeferenceRemarks; 
20277329,ASU,Plants,,PreservedSpecimen,27eb5571-09fe-4c6f-a5ad-2fe5167536fb,ASU0112850,82115,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Lythraceae|Ammannia,Plantae,Magnoliophyta,,Myrtales,Lythraceae,Ammannia coccinea,727.0,Rottb.,Ammannia,,coccinea,,,Species,,,,,,,,L.C. Higgins,,7675,1972-07-12,,1972.0,7.0,12.0,194.0,,1972-7-12,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7d43028e-5fa3-4287-853b-1f01be975013,,,,,,,,,,,,,,,,United States,Oklahoma,Greer Co.,,One mile east of Plainview,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,27eb5571-09fe-4c6f-a5ad-2fe5167536fb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20277329,Greer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24819149,ASU,Plants,,PreservedSpecimen,09e84929-a30e-4d39-89fe-ec035baaac97,ASU0132293,49977,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Solanaceae|Solanum,Plantae,Magnoliophyta,,Solanales,Solanaceae,Solanum elaeagnifolium,3833.0,Cav.,Solanum,,elaeagnifolium,,,Species,,,,,,,,J. Burden,,5-6,1969-08-05,,1969.0,8.0,5.0,217.0,,,,Pasture,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Greer,,"4 mi N of Blair, 0.5 mi E on State Hwy 44",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,09e84929-a30e-4d39-89fe-ec035baaac97,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24819149,Greer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24825213,ASU,Plants,,PreservedSpecimen,51156120-8ea0-4741-b23b-4186f3467683,ASU0132407,50296,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Solanaceae|Solanum,Plantae,Magnoliophyta,,Solanales,Solanaceae,Solanum rostratum,3840.0,Dunal,Solanum,,rostratum,,,Species,,,,,,,,J. Burden,,1-2,1969-08-05,,1969.0,8.0,5.0,217.0,,,,Pasture,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Greer,,"4 mi N of Blair, 0.5 mi E on State Hwy 44",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,51156120-8ea0-4741-b23b-4186f3467683,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24825213,Greer,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27104492,ASU,Plants,,PreservedSpecimen,d86bed75-df4a-420c-b79f-c679889c2465,08315786,160500,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus acuminatus,868.0,Torr. & Hook.,Cyperus,,acuminatus,,,Species,,,,,,,,L.C. Higgins,,7674,1972-07-12,,1972.0,7.0,12.0,194.0,,12 Jul 1972,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Greer,,1 mi E of Plainview; 36.93208 -102.963262,,0.0,,36.93208,-102.963262,WGS84,6033.0,,,GEOLocate Web Application,GEOLocate (Tulane University Museum of Natural History),,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,d86bed75-df4a-420c-b79f-c679889c2465,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27104492,Greer,Null georeferenceRemarks; 
19964318,BRIT,BRIT,,PreservedSpecimen,7124867c-62fc-4b15-b193-b50a48951bae,BRIT20421,,Plantae|Tracheophyta|Lycopodiophyta|Lycopodiopsida|Isoetales|Isoetaceae|Isoëtes|Isoëtes melanopoda,Plantae,Lycopodiophyta,Lycopodiopsida,Isoetales,Isoëtaceae,Isoëtes melanopoda var. pallida,312136.0,Engelm.,Isoetes,,melanopoda,var.,pallida,Subspecies,Garrie P. Landry,1988-01-00,,,,,,John Taylor,Connie Taylor,29938,1981-04-25,,1981.0,4.0,25.0,115.0,,"April 25, 1981",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=42a7b9be-27a5-11e3-8d47-005056be0003,,,,,,,,,,,,,,,,United States,Oklahoma,Greer,,"Collected from land owned by the Camp Kate Girls Scout camp about 3 miles North West of Granite, Okla.",,,,,,,,,,,,,,,,,,,,,,JLippert,2011-09-14 13:22:10,,370,7124867c-62fc-4b15-b193-b50a48951bae,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19964318,Greer,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19964319,BRIT,BRIT,,PreservedSpecimen,237c8e26-cf2c-4554-beee-d7297ba8141c,BRIT20422,,Plantae|Tracheophyta|Lycopodiophyta|Lycopodiopsida|Isoetales|Isoetaceae|Isoëtes|Isoëtes melanopoda,Plantae,Lycopodiophyta,Lycopodiopsida,Isoetales,Isoëtaceae,Isoëtes melanopoda var. pallida,312136.0,Engelm.,Isoetes,,melanopoda,var.,pallida,Subspecies,Garrie P. Landry,1988-01-01,,,,,,John Taylor,Connie Taylor,29950,1981-04-25,,1981.0,4.0,25.0,115.0,,"April 25, 1981",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Greer,,"Collected from land owned by the Camp Kate Girls Scout camp about 3 miles North West of Granite, Okla.",,,,,,,,,,,,,,,,,,,,,,JLippert,2011-09-14 13:23:09,,370,237c8e26-cf2c-4554-beee-d7297ba8141c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19964319,Greer,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
