id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
29060909,APCR,,,PreservedSpecimen,f625622f-139b-41d6-ad8c-229933b4690a,APCR012927,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Dipsacales|Caprifoliaceae|Valerianella,Plantae,Magnoliophyta,,Dipsacales,Caprifoliaceae,Valerianella longiflora,104624.0,(Torr. & A. Gray) Walp.,Valerianella,,longiflora,,,Species,Donna Marie Eggers,1968,,,,,,D. M. Moore,,62-32,1062-04-26,,1062.0,4.0,26.0,116.0,,"Apr 26, 62",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,W of Wetumka.,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,f625622f-139b-41d6-ad8c-229933b4690a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29060909,Haskell,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29911435,APCR,,,PreservedSpecimen,95125bde-b3e2-4f0b-b0ca-a71c51275f32,APCR014407,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Castilleja,4553.0,Mutis ex L. f.,Castilleja,,,,,Genus,,,,,,,,G. Tucker,,7037,1968-05-04,,1968.0,5.0,4.0,125.0,,4 May 1968,,Wet meadow.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e15efada-2fa9-43ef-943d-25a92056d291,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,Gore.,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,95125bde-b3e2-4f0b-b0ca-a71c51275f32,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29911435,Haskell,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29911440,APCR,,,PreservedSpecimen,e15efada-2fa9-43ef-943d-25a92056d291,APCR014415,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Castilleja,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Castilleja coccinea,77051.0,(L.) Spreng.,Castilleja,,coccinea,,,Species,,,,,,,,G. Tucker,,7037,1968-05-04,,1968.0,5.0,4.0,125.0,,4 May 1968,Thousands of plants.,Wet meadow.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=95125bde-b3e2-4f0b-b0ca-a71c51275f32,,Arenaria patula,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,Gore.,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,e15efada-2fa9-43ef-943d-25a92056d291,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29911440,Haskell,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19596583,APSC,,,PreservedSpecimen,51ce6d53-01c7-4482-8791-c56d272018ab,APSC0076832,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Polygalaceae|Polygala,Plantae,Magnoliophyta,,Fabales,Polygalaceae,Polygala sanguinea,18614.0,L.,Polygala,,sanguinea,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,51ce6d53-01c7-4482-8791-c56d272018ab,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19596583,Haskell,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21840973,BRIT,BRIT,,PreservedSpecimen,226b180d-9f74-44fc-8ab8-2fda03f96931,BRIT553435,73018,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Orchidaceae|Spiranthes,Plantae,Magnoliophyta,,Asparagales,Orchidaceae,Spiranthes magnicamporum,18765.0,Sheviak,Spiranthes,,magnicamporum,,,Species,,,,,,,,L. K. Magrath,,12180,1981-09-27,,1981.0,9.0,27.0,270.0,,,common,prairie hay meadow with pimple mounds,sandy loam,fragrant; flower colour: white,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=048bcb62-6587-473d-a654-3fcc89a176ee,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,0.4 mi n of Latimer Co. line on SH 2 (13.2 mi n of Wilberton),,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,226b180d-9f74-44fc-8ab8-2fda03f96931,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21840973,Haskell,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25195253,BRIT,SMU,,PreservedSpecimen,82f524ed-6675-4b46-a228-e60dd90fb690,BRIT527794,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Coreopsis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Coreopsis tinctoria,3598.0,Nutt.,Coreopsis,,tinctoria,,,Species,Mesfin Tadesse,2006-02-23,,,,,,John S. Weske,,s.n.,1967-10-08,,1967.0,10.0,8.0,281.0,,,,"Part of a big patch in a low, moist area in a grassy area.",,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,8 mi. east of Stigler,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,82f524ed-6675-4b46-a228-e60dd90fb690,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25195253,Haskell,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25204119,BRIT,BRIT,,PreservedSpecimen,2cfb521c-2d98-402f-965f-ac98377e3d13,BRIT546981,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Euthamia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Euthamia gymnospermoides,84348.0,Greene,Euthamia,,gymnospermoides,,,Species,,,,,,,,John Taylor,Connie Taylor,17036,1974-09-15,,1974.0,9.0,15.0,258.0,,,,along roadside,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,16 miles W. & ½ mi. N. of Stigler.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,2cfb521c-2d98-402f-965f-ac98377e3d13,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25204119,Haskell,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25215472,BRIT,SMU,,PreservedSpecimen,e7567c77-bfaf-4b81-8f9b-7aa24da26ca6,BRIT559281,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Liatris,Plantae,Magnoliophyta,,Asterales,Asteraceae,Liatris aspera,44104.0,Michx.,Liatris,,aspera,,,Species,Linda Watson,1987-05-00,,Flora Oklahoma Project,,,,John S. Weske,,s.n.,1967-10-08,,1967.0,10.0,8.0,281.0,,,,gravelly stream bank,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,Mountain Fork Creek - 2½ mi. west of Lequire.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,e7567c77-bfaf-4b81-8f9b-7aa24da26ca6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25215472,Haskell,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25219727,BRIT,BRIT,,PreservedSpecimen,c5578e3e-c8a9-4caf-b4ef-63b3b00952e6,BRIT559977,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago canadensis,143.0,L.,Solidago,,canadensis,,,Species,,,,,,,,John Taylor,Connie Taylor,17034,1974-09-15,,1974.0,9.0,15.0,258.0,,,,roadside grassland,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=87948bbe-d98e-4810-a2ac-424037ed4e11,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,"Collected 22.5 mi. east of Stigler, OK. from roadside grassland along state Hy. 9.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,c5578e3e-c8a9-4caf-b4ef-63b3b00952e6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25219727,Haskell,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25220730,BRIT,SMU,,PreservedSpecimen,12c8501f-3e0b-434b-89c9-d23b362ba118,BRIT560277,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago nemoralis,276.0,Aiton,Solidago,,nemoralis,,,Species,,,,,,,,K. Crook,M. Crook,787,1967-10-31,,1967.0,10.0,31.0,304.0,,,,plants of oak-pine forest,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=197b1564-8846-43bf-a756-2405a7202c5e,,,,,,,,,,,,,,,,United States,Oklahoma,Haskell,,2 miles S. of Quinton.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,12c8501f-3e0b-434b-89c9-d23b362ba118,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25220730,Haskell,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
