id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
24934424,BRIT,SMU,,PreservedSpecimen,2fc56794-eca9-4cc0-81c3-b7d4a69d793c,BRIT528215,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Rubiaceae|Cephalanthus|Cephalanthus occidentalis,Plantae,Magnoliophyta,,Gentianales,Rubiaceae,Cephalanthus occidentalis var. occidentalis,218694.0,,Cephalanthus,,occidentalis,var.,occidentalis,Variety,"K. Hines, A. Krings",2010-00-00,,,,,,John Taylor,Connie Taylor,13933,1973-07-19,,1973.0,7.0,19.0,200.0,,,,lake,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,Collected from Holdenville Lake about 4 miles Southeast of Holdenville,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,2fc56794-eca9-4cc0-81c3-b7d4a69d793c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24934424,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24936448,BRIT,SMU,,PreservedSpecimen,9928a087-3055-4e87-b153-b5148dd51564,BRIT534034,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Sapindales|Anacardiaceae|Rhus,Plantae,Magnoliophyta,,Sapindales,Anacardiaceae,Rhus aromatica,3610.0,Aiton,Rhus,,aromatica,,,Species,,,,,,,,W. Hess,J. Massey,994,1967-03-19,,1967.0,3.0,19.0,78.0,,,,along a roadcut in sandy soil,,shrub about 3 ft. tall,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=017424ce-197f-4fe7-8bbf-e373bf48736e,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,1 mi. e. of Maud along a roadcut,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,9928a087-3055-4e87-b153-b5148dd51564,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24936448,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25180977,BRIT,SMU,,PreservedSpecimen,64eedb65-088a-4610-a186-940a3dc0715e,BRIT526625,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Astranthium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Astranthium ciliatum,162847.0,,Astranthium,,ciliatum,,,Species,G. Nesom,2001-00-00,,,,,,Varley Wiedeman,,364,1961-05-10,,1961.0,5.0,10.0,130.0,,,,roadside,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,5 m. south of Wetumka on U.S. Hy. 75,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,64eedb65-088a-4610-a186-940a3dc0715e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25180977,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25180978,BRIT,SMU,,PreservedSpecimen,a9fdf526-5c81-41ea-a691-2bcf97e69c76,BRIT526624,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Astranthium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Astranthium ciliatum,162847.0,,Astranthium,,ciliatum,,,Species,G. Nesom,2001-00-00,,,,,,Chas. F. Hammon,,s.n.,1946-05-03,,1946.0,5.0,3.0,123.0,,,,sandy loam soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,4 miles east of Holdenville,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,a9fdf526-5c81-41ea-a691-2bcf97e69c76,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25180978,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25183000,BRIT,SMU,,PreservedSpecimen,50a8ba5d-54f2-4097-a726-f6b1784e26b9,BRIT535739,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Achillea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Achillea lanulosa,14444.0,Nutt.,Achillea,,lanulosa,,,Species,,,,,,,,K. Crook,M. Crook,1037,1969-06-02,,1969.0,6.0,2.0,153.0,,,,rolling grassland pasture,,Flowers white,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f10936a2-a682-4a3e-960f-c61621bc57a6,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,8 miles west of Wetumka along HW 9.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,50a8ba5d-54f2-4097-a726-f6b1784e26b9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25183000,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25195024,BRIT,SMU,,PreservedSpecimen,a249cc65-2c6a-4eb9-9e6d-c1c163f7e3f4,BRIT527723,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Coreopsis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Coreopsis grandiflora,3597.0,Hogg ex Sweet,Coreopsis,,grandiflora,,,Species,Mesfin Tadesse,2007-05-02,,,,,,K. Crook,M. Crook,1038,1969-06-02,,1969.0,6.0,2.0,153.0,,,,rolling grass prairie,,flowers yellow,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,8 miles west of Wetumka along HW 9.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,a249cc65-2c6a-4eb9-9e6d-c1c163f7e3f4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25195024,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25195025,BRIT,SMU,,PreservedSpecimen,592db401-3e91-42a7-95bb-cf825de544c4,BRIT527722,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Coreopsis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Coreopsis grandiflora,3597.0,Hogg ex Sweet,Coreopsis,,grandiflora,,,Species,Mesfin Tadesse,2007-05-02,,,,,,Varley Wiedeman,,359,1961-05-10,,1961.0,5.0,10.0,130.0,,,,roadside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=76e6f1c8-885a-4a18-943f-a099f4a39403,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,5 m. south of Wetumka on U.S. Hy. 75,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,592db401-3e91-42a7-95bb-cf825de544c4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25195025,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25199355,BRIT,BRIT,,PreservedSpecimen,a44465e4-7ce2-4d07-bd3f-d6e174e7e669,BRIT542092,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Dracopis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Dracopis amplexicaulis,18150.0,(Vahl) Cass.,Dracopis,,amplexicaulis,,,Species,,,,,(Rudbeckia amplexicaulis Vahl.),,,K. Crook,M. Crook,1039,1969-06-02,,1969.0,6.0,2.0,153.0,,,,rolling prairie grassland,,rays yellow,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,8 miles west of Wetumka along HW 9.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,a44465e4-7ce2-4d07-bd3f-d6e174e7e669,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25199355,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25200007,BRIT,SMU,,PreservedSpecimen,69b0fb7c-ff5f-4daf-aceb-5b333076cb3f,BRIT544034,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta,,Asterales,Asteraceae,Erigeron annuus,18181.0,(L.) Pers.,Erigeron,,annuus,,,Species,,,,,,,,K. Crook,M. Crook,1036,1969-06-02,,1969.0,6.0,2.0,153.0,,,,rolling grassland pasture,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,8 miles west of Wetumka along HW 9.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,69b0fb7c-ff5f-4daf-aceb-5b333076cb3f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25200007,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25200365,BRIT,SMU,,PreservedSpecimen,b7e2e765-cfb2-40b5-a629-e2fb914437f7,BRIT544159,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron,Plantae,Magnoliophyta,,Asterales,Asteraceae,Erigeron tenuis,82977.0,Torr. & A. Gray,Erigeron,,tenuis,,,Species,"D. Groff, R. D. Noyes",2009-06-00,,Distribution of sexual and apomictic Erigeron tenuis Torr. & A. Gray; Estimated Lat/Long: 35.2616 x -96.9863; Polyploid apomict: Pollen large (>17 ?m diam.) and of poor quality.,,,,Varley Wiedeman,,347,1961-05-05,,1961.0,5.0,5.0,125.0,,,,roadside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2eb2343b-7d6d-44ef-95ee-8569626212be,,,,,,,,,,,,,,,,United States,Oklahoma,Hughes,,roadside 18 miles east of Wetumka on State Highway 9,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,b7e2e765-cfb2-40b5-a629-e2fb914437f7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25200365,Hughes,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
