id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
880926,ARIZ,,,PreservedSpecimen,urn:uuid:b2509550-1fca-4a78-8aad-810eeadcaaca,123741,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus lindheimeri,46029.0,Engelm. ex A. Gray,Astragalus,,lindheimeri,,,Species,U. T. Waterfall,1954-06-04,,,,,,U. T. Waterfall,,11972,1954-06-04,,1954.0,6.0,4.0,155.0,,"June,4,1954",,Clay and shale bank.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=36eeccd4-ff8c-486f-86f3-88bf501f8bfd | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b78b98e9-d90b-4d1e-a541-7186c5dfb81c | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=642b09e5-11ca-4d40-940c-159fad9fb582 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8334bd3e-76a1-440b-8f0f-4b4bac174c4f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=89f62c95-6e11-42ad-baf2-f7021c87dde5,,ecologicallyOccursWith: Prosopis|ecologicallyOccursWith: Condalia,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Jackson County,,1 mile east of Creta.,,,,,,,,,,,,,,,,,,,,,,Renee,2013-11-07 11:43:44,183948,2,6a0ac070-04fe-4608-87e2-93ff346de995,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=880926,Jackson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
5582229,ARIZ,,,PreservedSpecimen,urn:uuid:f1d462a6-6a50-4afb-a950-7f5733276a20,,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus lindheimeri,46029.0,Engelm. ex A. Gray,Astragalus,,lindheimeri,,,Species,U. T. Waterfall,1950-05-13,,,,,,U. T. Waterfall,,9436,1950-05-13,,1950.0,5.0,13.0,133.0,,"May,13,1950",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=bb593f1c-862d-4462-8af9-f005a0325d93 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=03f1b66b-b167-47c8-998f-34a2903b248e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6701cc63-7a69-48b2-bead-2d6794b0aea2,,,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Jackson County,,"Gypsum bluffs alnog Red River, 4 miles E. and 4 S. of El Dorado.",,,,,,,,,,,,,,,,,,,,,,Renee,2013-11-07 11:43:44,183953,2,6b87409c-36b5-4d9b-9324-e987c88c07c5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=5582229,Jackson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
1008716,ARIZ,,,PreservedSpecimen,urn:uuid:bfcb5c84-e548-4a70-a193-d43aca5cf84a,123743,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae|Verbena,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Verbena plicata,1072.0,Greene,Verbena,,plicata,,,Species,G. Nesom,2010-01-01,,,,,,U. T. Waterfall,,11980,1954-06-04,,1954.0,6.0,4.0,155.0,,"June,4,1954",,On Prosopis-Condalia flats.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1e8e69b8-f7f5-4eff-9f4b-86a16fd77977 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a5ea8917-4f39-46e1-9642-d25f7590c0fa | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c3465c40-7b86-4bf7-8f02-f79c31a9a89b | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1acb8340-adfa-4482-8ba4-39d85f49eb65 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=39b456d6-e666-4b3a-b6b3-f87fb361757c,,,Flowering,,,,,,,,,,,,,United States,Oklahoma,Jackson County,,6 miles east and 3 south of Eldorado,,,,,,,,,,,,,,,,,,,,,,Tammy,2013-11-07 11:43:44,293007,2,fb8bba45-e9b5-4b9e-b029-6bd92d1e9298,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=1008716,Jackson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
2140423,ARIZ,,,PreservedSpecimen,urn:uuid:8edee347-1815-404c-ad6b-bf229843904e,135229,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Senna,Plantae,Magnoliophyta,,Fabales,Fabaceae,Senna roemeriana,18724.0,(Scheele) Irwin & Barneby,Senna,,roemeriana,,,Species,Brigitte Marazzi,2009-06-05,,,,,,U. T. Waterfall,,9446,1950-05-13,,1950.0,5.0,13.0,133.0,,"May,13,1950",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ac320cf0-4fba-4da6-9284-c994fa6a3358 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1827362c-cc7a-4de9-92ac-a452f09380a6 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=08db7b79-acb5-4294-8617-cffa201cab39,,,,,,,,,,,,,,,,United States,Oklahoma,Jackson County,,"Gypsum bluffs along Red River, 4 miles E. & 4 S. of El Dorado.",,,,,,,,,,,,,,,,,,,,,,Ian,2013-11-07 11:43:44,302481,2,ba82bee8-a32f-4b57-af0b-a80c84127fc3,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=2140423,Jackson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28854570,ARIZ,,,PreservedSpecimen,urn:uuid:d959e7b8-e30b-4a74-8925-440b90b33dae,136353,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera curtiflora,134896.0,W. L. Wagner & Hoch,Oenothera,,curtiflora,,,Species,Nomenclatural adjustment ARIZ,Jan. 2020,,,,,,U.T. Waterfall,,9439,1950-05-13,,1950.0,5.0,13.0,133.0,,13 May 1950,,under Juniperus pinchotii,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2a3b611b-59fc-4db0-aa59-05fa949b59a0,,,,,,,,,,,,,,,,United States,Oklahoma,Jackson,,"Bank of Red River, 4 mi E and 4 mi S of El Dorado.",,,,,,,,,,,,,,,,,,,,,,georgef,2021-11-19 14:10:29,362192,2,a12de655-3aec-44c2-9b94-7a01deb6736f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28854570,Jackson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
873082,ARIZ,,,PreservedSpecimen,urn:uuid:46594a0c-9b17-4e6d-87b4-9fb2c947fb2e,68572,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Zygophyllales|Zygophyllaceae|Tribulus,Plantae,Magnoliophyta,,Zygophyllales,Zygophyllaceae,Tribulus terrestris,2674.0,L.,Tribulus,,terrestris,,,Species,"B.E. Cole, Jr.",1942-04-04,,,,,,"B. E. Cole, Jr.",,39,1942-04-04,,1942.0,4.0,4.0,94.0,,"April,4,1942",,Clay loam soil.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b8f45bb1-06a0-4bd1-9d2a-09a0e8b888dc,,,Vegetative,,,,,,,,,,,,,United States,Oklahoma,Jackson County,,3 miles south X 2 1/2 WE of Atlas.,,,,,,,,,,,,,,,,,,,,,,,2013-11-07 11:43:44,72362,2,2c220428-a457-4fe1-ad03-2483a0513296,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=873082,Jackson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
6196072,ASU,Plants,,PreservedSpecimen,b0fafa4e-1a69-4a79-94a1-fcb915dda382,ASU0121589,22653,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum,Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,Eriogonum annuum,3440.0,Nutt.,Eriogonum,,annuum,,,Species,James L. Reveal,1969,,,,,,Jerry Burden,,12,1969-08-11,,1969.0,8.0,11.0,223.0,,,,Pasture,,,,,,,,,,,Flowering,,,,,,,,,,,,,USA,Oklahoma,Jackson,,"7 miles east of Blair on state highway 19, 3/4 mile south",,,,34.779446,-99.21173,WGS84,500.0,,,,GeoLocate,,,,,,,,,,,waltola64,2023-07-16 07:02:03,,1,b0fafa4e-1a69-4a79-94a1-fcb915dda382,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=6196072,Jackson,Null georeferenceRemarks; 
9653166,ASU,Plants,,PreservedSpecimen,4061f0f5-c19a-40f5-b1d1-cda57a0dbe2d,ASU0295297,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Pyrrhopappus,Plantae,Magnoliophyta,,Asterales,Asteraceae,Pyrrhopappus grandiflorus,18637.0,(Nutt.) Nutt.,Pyrrhopappus,,grandiflorus,,,Species,K. Petersen,1987,,,,,,Susan C. Barber,,756,1975-05-16,,1975.0,5.0,16.0,136.0,,,,Stabilized sand dune area.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=06eba2c4-cb1a-4319-9389-b0b045472ba5,,Artemisia filifolia and prickly pear,,,,,,,,,,,,,,USA,Oklahoma,Jackson,,"3 mi S Hess grocery on black top, 1 mi E and 1 mi S to dead end.",,0.0,,,,,,,,,,,,396.0,,,,,1300',,,waltola64,2023-07-16 07:02:03,,1,4061f0f5-c19a-40f5-b1d1-cda57a0dbe2d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=9653166,Jackson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
14380178,ASU,Plants,,PreservedSpecimen,9bebd4b8-2f1e-4d4f-871d-4913639b4cda,,50297,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bouteloua,Plantae,Magnoliophyta,,Poales,Poaceae,Bouteloua curtipendula,635.0,(Michx.) Torr.,Bouteloua,,curtipendula,,,Species,,,,,,,,J. Burden,,10-11,1969-08-11,,1969.0,8.0,11.0,223.0,,,,Pasture,,,,,,,,,,,Flowering,,,,,,,,,,,,,USA,Oklahoma,Jackson,,"7 miles east of Blair on state highway 19, 3/4 mile south",,,,34.779446,-99.21173,WGS84,500.0,,,,GeoLocate,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,9bebd4b8-2f1e-4d4f-871d-4913639b4cda,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14380178,Jackson,Null georeferenceRemarks; 
14384200,ASU,Plants,,PreservedSpecimen,61f3d3d4-1069-4f0b-a19a-d0ffdcd310d5,,64301,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bouteloua,Plantae,Magnoliophyta,,Poales,Poaceae,Bouteloua gracilis,713.0,(Kunth) Lag. ex Griffiths,Bouteloua,,gracilis,,,Species,,,,,,,,J. Burden,,14,1969-08-11,,1969.0,8.0,11.0,223.0,,,,Pasture,,,,,,,,,,,Flowering,,,,,,,,,,,,,USA,Oklahoma,Jackson,,"7 miles east of Blair on state highway 19, 3/4 mile south",,,,34.779446,-99.21173,WGS84,500.0,,,,GeoLocate,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,61f3d3d4-1069-4f0b-a19a-d0ffdcd310d5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14384200,Jackson,Null georeferenceRemarks; 
