id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
22176323,AUA,,,PreservedSpecimen,3050724c-f915-11e2-9428-c94601350785,AUA000008790,12440,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Vernonia|Vernonia baldwinii,Plantae,Magnoliophyta,,Asterales,Asteraceae,Vernonia baldwinii var. interior,208501.0,(Small) B.G. Schub.,Vernonia,,baldwinii,var.,interior,Variety,,,,,,,,"Jones, Carleen",And Samuel B. Jones,15853,1968-08-10,,1968.0,8.0,10.0,223.0,,08/10/1968,,"FULL SUN, PASTURE, ABUNDANT.",,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,"ABOUT 2 MI. W OF RINGLING, HWY 70, PASTURE.",,,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,3050724c-f915-11e2-9428-c94601350785,149,d7ea3006-4a90-4a11-92c3-98bcf22da407,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22176323,Jefferson,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
14238833,BRIT,BRIT,,PreservedSpecimen,b6825cfa-96be-4e29-8620-906bcc831b89,BRIT320857,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Lindheimera,Plantae,Magnoliophyta,,Asterales,Asteraceae,Lindheimera texana,50233.0,A.Gray & Engelm.,Lindheimera,,texana,,,Species,,,,,,,,John Taylor,Connie Taylor,29840,1981-04-23,,1981.0,4.0,23.0,113.0,,,,"Soil poor, from red, sandy, shale.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7397a716-bf81-4cf0-b288-04c310e4581d,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,"Collected from the roadside (US Hy #81) about 3.6 miles North of Waurika, Okla.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,b6825cfa-96be-4e29-8620-906bcc831b89,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14238833,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19520373,BRIT,BRIT,,PreservedSpecimen,35b977b7-8e95-4754-8770-99a7bc4195bd,BRIT482764,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus ovularis,64091.0,(Michx.) Torr.,Cyperus,,ovularis,,,Species,,,,,,,,Barney L. Lipscomb,,3369,1981-06-16,,1981.0,6.0,16.0,167.0,,,,Sandy roadside.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b901cbbb-aea8-4870-b50e-b97c2d11ad79,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,2.5 mi SE of Waurika on hwy 81.,,0.0,,,,,,,,,,,,,,,,,,,,TEX4BRITTushar1,2018-04-19 14:32:17,,370,35b977b7-8e95-4754-8770-99a7bc4195bd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19520373,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19964326,BRIT,BRIT,,PreservedSpecimen,ad90e632-3477-4154-af7d-3edd9d2cf8a6,BRIT24074,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago altiplanities,101688.0,C.E.S. Taylor & R.J. Taylor,Solidago,,altiplanities,,,Species,,,,,,,,J. Taylor,C. Taylor,31007,1981-10-09,,1981.0,10.0,9.0,282.0,,1981-10-9,,Gypsum and shale.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2765d6ae-a892-4ff8-be05-76163b7b915f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0277ea35-ba8b-11e3-8cfe-90b11c41863e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=23dd4551-0884-4852-979d-4bb015c6601c,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,5.6 mi. sw of Waurika.,,,,,,,,,,,,,,,,,,,,,,preprocessed,2009-12-18 14:47:10,,370,ad90e632-3477-4154-af7d-3edd9d2cf8a6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19964326,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20021683,BRIT,BRIT,,PreservedSpecimen,3e2d1ff0-2509-4f52-a4fe-ca9e63aa0b38,BRIT552830,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Solanaceae|Solanum,Plantae,Magnoliophyta,,Solanales,Solanaceae,Solanum dimidiatum,18751.0,Raf.,Solanum,,dimidiatum,,,Species,G. Wahlert,2013-00-00,,Seen for the PBI Solanum project,,,,Barney Lipscomb,,3541,2013-08-11,,2013.0,8.0,11.0,223.0,,,Common in immediate vicinity.,"Roadside and fencerow, open areas; sandy loam soil.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d2bbcf69-450d-4815-9d09-c741ba014b2e,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,"4.5 mi S of Ryan on US 81. 33.938036 -97.940835° (WGS84, Google Earth 2013, Imagery date: 4/10/2013)",,0.0,,33.938,-97.9408,,,33.938036 -97.940835°,,,,,,,,,,,,,,apbordelon,2013-10-24 13:20:26,,370,3e2d1ff0-2509-4f52-a4fe-ca9e63aa0b38,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20021683,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21198077,BRIT,BRIT,,PreservedSpecimen,57405843-7b6e-4411-a113-b557fa2ca55a,BRIT552844,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Polygonum,Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,Polygonum pennsylvanicum,28135.0,L.,Polygonum,,pennsylvanicum,,,Species,,,,,,,,Barney L. Lipscomb,,3526,2008-08-27,,2008.0,8.0,27.0,240.0,,,,Low damp roadside ditch,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,ca 1 1/2 mi N of Terrell on US 81. Low damp roadside ditch,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,57405843-7b6e-4411-a113-b557fa2ca55a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21198077,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21198081,BRIT,BRIT,,PreservedSpecimen,9d750c4a-8be5-4c50-8c5f-6214e2b84041,BRIT552845,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Chamaecrista,Plantae,Magnoliophyta,,Fabales,Fabaceae,Chamaecrista fasciculata,18044.0,(Michx.) Greene,Chamaecrista,,fasciculata,,,Species,,,,,,,,Barney L. Lipscomb,,3527,2008-08-27,,2008.0,8.0,27.0,240.0,,,,Roadside sandy soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,ca 3.5 mi S of Waurika on US 81. Roadside sandy soil,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,9d750c4a-8be5-4c50-8c5f-6214e2b84041,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21198081,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21198090,BRIT,BRIT,,PreservedSpecimen,91f1161f-e6dd-46a6-af83-b0efc4d14ea2,BRIT552846,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Heterotheca|Heterotheca villosa,Plantae,Magnoliophyta,,Asterales,Asteraceae,Heterotheca villosa var. angustifolia,86699.0,(Rydb.) Semple,Heterotheca,,villosa,var.,angustifolia,Variety,,,,,,,,Barney L. Lipscomb,,3528,2008-08-27,,,,,,,,,Roadside sandy soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,ca 3.5 mi S of Waurika on US 81. Roadside sandy soil,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,91f1161f-e6dd-46a6-af83-b0efc4d14ea2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21198090,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21198095,BRIT,BRIT,,PreservedSpecimen,a73f0dc7-208a-49e6-8e6b-4dddeb804a68,BRIT552847,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Polygonaceae|Eriogonum,Plantae,Magnoliophyta,,Caryophyllales,Polygonaceae,Eriogonum multiflorum,83220.0,Benth.,Eriogonum,,multiflorum,,,Species,,,,,,,,Barney L. Lipscomb,,3529,2008-08-27,,2008.0,8.0,27.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,"on US 81 just across the Okla/TX stat lines, just S of Terrell.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,a73f0dc7-208a-49e6-8e6b-4dddeb804a68,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21198095,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21198155,BRIT,BRIT,,PreservedSpecimen,4b063837-fc2c-4178-bb42-25b886f8b74a,BRIT552852,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Amaranthus,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Amaranthus blitoides,95.0,S. Watson,Amaranthus,,blitoides,,,Species,,,,,,,,Barney L. Lipscomb,"Tex Lipscomb, Brenda Lipscomb, Christa Lipscomb, Brian Lipscomb, Chris Lipscomb",3534,2008-08-29,,2008.0,8.0,29.0,242.0,,,,,,very prickly,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Jefferson,,Waurika. Parking lot of Waurika Carwash along US 70,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,4b063837-fc2c-4178-bb42-25b886f8b74a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21198155,Jefferson,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
