id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
3244628,ARIZ,,,PreservedSpecimen,urn:uuid:064a5897-a701-4886-84f5-f6bb5d28d422,123811,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Spermolepis,Plantae,Magnoliophyta,,Apiales,Apiaceae,Spermolepis diffusa,173584.0,(Nutt. ex DC.) G.L. Nesom,Spermolepis,,diffusa,,,Species,G. L. Nesom,2012,,,,,,U. T. Waterfall,,11882,1954-05-15,,1954.0,5.0,15.0,135.0,,"May,15,1954",,Sand dunes.,,,,,,,,,,,Fruiting,,,,,,,,,,,,,United States,Oklahoma,Kingfisher County,,"Along Cimarron River, 15 miles west of Hennessey",,,,,,,,,,,,,,,,,,,,,,Tammy,2013-09-10 12:20:10,307722,2,b811eaac-50ee-42e4-996d-9aab792dba9c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3244628,Kingfisher,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21744997,ARIZ,,,PreservedSpecimen,urn:uuid:c115f6d9-0c05-442c-865d-b004bd9b8e5d,259918,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Aristida,Plantae,Magnoliophyta,,Poales,Poaceae,Aristida dichotoma,48575.0,Michx.,Aristida,,dichotoma,,,Species,J. Sánchez-Ken,1994,,,,,,R. Dale Thomas,S. Thomas,2183,1970-10-09,,1970.0,10.0,9.0,282.0,,9 October 1970,,Quercus marilandica-Q. stellata woods,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,"Beside road between Crescent and U.S. 81, 8 mi. W of Dover",,,,,,,,,,,,,,,,,,,,,,eaf25,2019-02-26 11:30:58,355604,2,14aab756-b082-4fde-9d40-edbbbfbcc93e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21744997,Kingfisher,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
9653176,ASU,Plants,,PreservedSpecimen,a1b9f628-6199-458d-b409-9f44faa6ded9,ASU0295307,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Monolepis,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Monolepis nuttalliana,89.0,(Schult.) Greene,Monolepis,,nuttalliana,,,Species,Fathi B. Erteeb,1988,,,,,,G.W. Stevens,,184,1913-04-26,,1913.0,4.0,26.0,116.0,,,,Waste place,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a32db82e-02df-4ecc-a282-00f7e76cb399 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f51deb40-ec4a-4e3e-9ce3-1dfac4aaae1e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8e59276f-a29e-4677-a311-07e14dcbad64 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7c4f879b-9014-44fc-9c7a-21e01966b98d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b4fecb24-1893-456a-8194-9bad39dcb385,,,,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,Near Kingfisher,,0.0,,35.861432,-97.93172,WGS84,6000.0,,Fertig,,GeoLocate,,,,,,,,,,,waltola64,2023-07-16 07:02:03,,1,a1b9f628-6199-458d-b409-9f44faa6ded9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=9653176,Kingfisher,Null georeferenceRemarks; 
29343570,AUA,,,PreservedSpecimen,9dcd529e-47fa-4b38-8a17-53628e9efc11,AUA000037335,78774,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,4517,1986-08-31,,1986.0,8.0,31.0,243.0,,08/31/1986,,Vining to 8 ft. on cottonwood; mesic. Large population 1 mi. north.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,North bank of Cimarron River; E-side of Hwy. 81; N of Kingfisher.,,,,35.950585,-97.913813,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,9dcd529e-47fa-4b38-8a17-53628e9efc11,149,78497e7e-604c-44ae-b241-264b628b71c1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343570,Kingfisher,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343565,AUA,,,PreservedSpecimen,a7ce5b3c-db7e-494f-a7fd-e112df0b30d2,AUA000037334,78773,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,4516,1986-08-31,,1986.0,8.0,31.0,243.0,,08/31/1986,,Vining on ground; wet.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,11.4 mi E of Blaine Co. line via 3/33 (S-side); 1.4 mi W of Dead Indian Creek.,,,,35.856955,-98.012147,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,a7ce5b3c-db7e-494f-a7fd-e112df0b30d2,149,5e356dee-40c6-4509-bfe9-acc62ca16077,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343565,Kingfisher,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21592989,BALT,,,PreservedSpecimen,,,045732,,,,,,,Monarda punctata subsp. punctata var. occidentalis,,,,,,,,,Travis Poulsen,,,,,,,N. Collins,R. Tyrl; G. Thompson,792,1973-06-26,,1973.0,6.0,26.0,177.0,,6/26/1973,,,,Flowers white bracts pale yellow green plants 15-30 cm tall.,,,,,,,,,flowering,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,Cimarron River bridge,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,331,21e451ac-9d32-4f8b-be41-fce762e32160,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21592989,Kingfisher,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26930547,BAYLU,BAYLU,,PreservedSpecimen,1f62a56a-6377-4147-b545-f9cafd62b280,BAYLU034975,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Fagaceae|Quercus,Plantae,Magnoliophyta,,Fagales,Fagaceae,Quercus marilandica,97585.0,Münchh.,Quercus,,marilandica,,,Species,,,,,,,,R. D. Thomas,S. Thomas,21840,1970-10-09,,1970.0,10.0,9.0,282.0,,9 Oct. 1970,,woods,,,,,,,,,,"Quercus marilandica, Quercus stellata",,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,"woods beside road between Crescent and U.S. 81, 8 miles W. of Dover",,0.0,,35.981344,-98.054555,WGS84,11027.0,,,,GeoLocate,,,,,,,,,,,Andrea_conley1,2024-10-08 10:33:50,,463,1f62a56a-6377-4147-b545-f9cafd62b280,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26930547,Kingfisher,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20502935,BRIT,BRIT,,PreservedSpecimen,a4b58a58-50fc-4ae4-8ab4-94d9525a58ea,BRIT531127,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Solanaceae|Physalis|Physalis pumila,Plantae,Magnoliophyta,,Solanales,Solanaceae,Physalis pumila var. hispida,324424.0,J.R. Sullivan,Physalis,,pumila,var.,hispida,Variety,Milo Pyne,2014-08-22,,,,,,John Taylor,Connie Taylor,16095,1974-05-10,,1974.0,5.0,10.0,130.0,,"May 10, 1974",,Sand dune area.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,Sand dune area on the north side of the Cimarron River about 7 miles north of Kingfisher,,0.0,,,,,,,,,,,,,,,,,,,,JLippert,2023-07-16 07:02:03,,370,a4b58a58-50fc-4ae4-8ab4-94d9525a58ea,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20502935,Kingfisher,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24936446,BRIT,SMU,,PreservedSpecimen,1c5ac483-438a-4d53-8194-095689723363,BRIT534035,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Sapindales|Anacardiaceae|Rhus,Plantae,Magnoliophyta,,Sapindales,Anacardiaceae,Rhus aromatica,3610.0,Aiton,Rhus,,aromatica,,,Species,,,,,,,,John Taylor,Connie Taylor,16102,1972-05-10,,1972.0,5.0,10.0,131.0,,"May 10, 1972? [last digit faint]",,sand dune area,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,on the north side of the Cimarron River about 7 miles north of Kingfisher,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,1c5ac483-438a-4d53-8194-095689723363,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24936446,Kingfisher,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24938352,BRIT,SMU,,PreservedSpecimen,82e2adb6-9835-413c-9a24-04c518aa47dc,BRIT534130,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Ammoselinum,Plantae,Magnoliophyta,,Apiales,Apiaceae,Ammoselinum popei,17877.0,Torr. & A. Gray,Ammoselinum,,popei,,,Species,,,,,,,,John Taylor,Connie Taylor,16094,1974-05-10,,1974.0,5.0,10.0,130.0,,,,sand dune area,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=04aee573-ba8b-11e3-8cfe-90b11c41863e,,,,,,,,,,,,,,,,United States,Oklahoma,Kingfisher,,on the north side of the Cimarron River about 7 miles north of Kingfisher,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,82e2adb6-9835-413c-9a24-04c518aa47dc,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24938352,Kingfisher,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
