id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
15411165,APSC,,,PreservedSpecimen,d948e9f6-2115-4420-a644-f1358a783fc0,APSC0018279,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Convolvulaceae|Ipomoea,Plantae,Magnoliophyta,,Solanales,Convolvulaceae,Ipomoea leptophylla,3940.0,Torr.,Ipomoea,,leptophylla,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Kiowa,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,d948e9f6-2115-4420-a644-f1358a783fc0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15411165,Kiowa,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19596717,APSC,,,PreservedSpecimen,b9e183d2-6df3-4198-a83a-75cdd2f7edf3,APSC0076352,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Sapindales|Sapindaceae|Cardiospermum,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Cardiospermum halicacabum,3581.0,L.,Cardiospermum,,halicacabum,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Kiowa,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,b9e183d2-6df3-4198-a83a-75cdd2f7edf3,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19596717,Kiowa,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29376700,ARIZ,,,PreservedSpecimen,5ff791b4-9af3-4c97-b058-b55e99ef29fd,135230,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera suffulta,215323.0,,Oenothera,,suffulta,,,Species,ARIZ nomenclatural adjustment,Jan. 2022,Syst. Bot. Monogr. 83,,,,,U.T. Waterfall,,9456,1950-05-14,,1950.0,5.0,14.0,134.0,,"May 14, 1950",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=464e2bec-a6b9-4ac0-ad59-b590136c60d7 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a2af759b-b84d-416a-ba1f-7e2e17cec6c0 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2193e3de-9eb4-4c7c-8712-7fc47564d975 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1d946afe-65cc-4df8-8b60-14664c166f67,,,,,,,,,,,,,,,,United States,Oklahoma,Kiowa,,"Northern slopes of the Granite Mountains, S of Lake Altus",,0.0,,,,,,,,,,,,,,,,,,,,mfalk,2023-07-16 07:02:03,,2,5ff791b4-9af3-4c97-b058-b55e99ef29fd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29376700,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
891916,ARIZ,,,PreservedSpecimen,urn:uuid:8c85e3d4-28a4-4ac0-995f-76a763d897bb,123784,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Coreopsis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Coreopsis grandiflora,3597.0,Hogg ex Sweet,Coreopsis,,grandiflora,,,Species,Mesfin Tadesse,2007-05-02,,,,,,U. T. Waterfall,,13142,1957-05-29,,1957.0,5.0,29.0,149.0,,"May,29,1957",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2aeb101a-26c8-4684-80e7-6876ea8ae5c3 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4178badb-3e91-492b-aea4-d29685c8032e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4D8D92A1-C1C3-45FA-B5E9-CE9410928DDE | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=90c94ee2-f4a5-435f-9468-eb886a70db17 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=edaeef7c-2586-4ea2-91bb-9a46cee6d667,,,Flowering,,,,,,,,,,,,,United States,Oklahoma,Kiowa County,,"northern slopes of granite mountains, south of Lake Altus",,,,,,,,,,,,,,,,,,,,,,Sean,2013-11-07 11:43:44,171678,2,ae007f7f-9fea-4581-83ee-0313ab88d7f6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=891916,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
930759,ARIZ,,,PreservedSpecimen,urn:uuid:e30e9fe1-e240-4686-917c-7e1477a95682,135876,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus nuttallianus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus nuttallianus var. trichocarpus,12286.0,Torr. & A. Gray,Astragalus,,nuttallianus,var.,trichocarpus,Variety,U. T. Waterfall,1950-05-14,,,,,,U. T. Waterfall,,9445,1950-05-14,,1950.0,5.0,14.0,134.0,,"may,14,1950",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=15e6a969-e34d-49fb-95f3-c8dd293ddbfa | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2a36c892-2a82-4749-9cb7-eb9534b2c534,,,,,,,,,,,,,,,,United States,Oklahoma,Kiowa County,,"Northern slopes of Granite Mountains, S. of Lake Altus",,,,,,,,,,,,,,,,,,,,,,Luis,2013-11-07 11:43:44,198161,2,b8016237-4716-4641-9347-0cc65c4cfd9a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=930759,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
952231,ARIZ,,,PreservedSpecimen,urn:uuid:4695de1e-4763-4498-a4c2-b91e76145187,258460,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Gymnocladus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Gymnocladus dioica,50793.0,(L.) K. Koch,Gymnocladus,,dioica,,,Species,,1985-09-25,,,,,,V. L. Bohrer,,3052,1985-09-25,,1985.0,9.0,25.0,268.0,,"Sept,25,1985",,"In roadside ditch, sandy soil.",,Pods dehisce along placental margin; gum surrounding seed is sweet-sour and stings throat; parched seed mild and palatable,,,,,,,,ecologicallyOccursWith: Diospyros virginiana,Fruiting,,,,,,,,,,,,,United States,Oklahoma,Kiowa County,,"0.5 miles W of State Hwy. 44, N side of Lake Altus, near Quartz Mt. State Park",,,,,,,,,,,,,,,,,,,,,,Tammy,2014-01-27 10:38:34,205057,2,e687af89-01bc-4ae5-8a54-812b9678ca51,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=952231,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3243713,ARIZ,,,PreservedSpecimen,urn:uuid:db37912e-e106-4234-91e9-6d2ff4e4856a,135216,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Chaerophyllum,Plantae,Magnoliophyta,,Apiales,Apiaceae,Chaerophyllum texanum,14909.0,Coult. & Rose,Chaerophyllum,,texanum,,,Species,R.F.C. Naczi,2013,,,,,,U. T. Waterfall,,9457,1950-05-14,,1950.0,5.0,14.0,134.0,,"May,14,1950",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c1c5a261-14f6-4792-9344-de242ec12f5f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d32773cb-cc43-4dc7-81f0-6025ef975c82,,,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Kiowa County,,"Northern Slopes of Granite Mountains, South of Lake Altus",,,,,,,,,,,,,,,,,,,,,,Tammy,2013-09-10 12:20:10,306801,2,63503f57-5235-4287-93b8-a6412bb3abe2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3243713,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3243834,ARIZ,,,PreservedSpecimen,urn:uuid:d1c53af2-12bd-4f1d-b091-2d1594f887c2,258459,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ebenaceae|Diospyros,Plantae,Magnoliophyta,,Ericales,Ebenaceae,Diospyros virginiana,34170.0,L.,Diospyros,,virginiana,,,Species,Mitch Provance,2010-01-01,,,,,,V. L. Bohrer,,3051,1985-09-25,,1985.0,9.0,25.0,268.0,,"September,25,1985",,"In roadside ditch, sandy soil.",,,,,,,,,,ecologicallyOccursWith: Gymnocladus dioica,Fruiting,,,,,,,,,,,,,United States,Oklahoma,Kiowa County,,".3 to .5 mile W of State Hwy. 44 prior to reaching camp 1 area, N side of Lake Altus, near Quartz Mt. State Park.",,,,,,,,,,,,,,,,,,,,,,Ian,2013-09-10 12:20:10,306924,2,4391d1e2-003f-41bb-bf9d-42b23f78c0a5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3243834,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24347760,ARIZ,,,PreservedSpecimen,urn:uuid:8f713da1-32e5-455e-af33-db6a2b9e4e9b,37921,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Setaria,Plantae,Magnoliophyta,,Poales,Poaceae,Setaria macrostachya,2660.0,Kunth,Setaria,,macrostachya,,,Species,Charles Smith,1940,,,,,,Charles Smith,,2055,1940-06-11,,1940.0,6.0,11.0,163.0,,6/11/40,New State record,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6e8a7157-c08d-4262-a0d9-4362af198d21,,,,,,,,,,,,,,,,United States,Oklahoma,Kiowa,,"Mt. side near SW entrance into Quartz Mt. St. Park, area 9",,,,,,,,,,,,,,,,,,,,,,eaf25,2019-11-19 11:22:15,359437,2,cdfb57df-db02-472d-a4ed-80a9c6824541,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24347760,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4891659,ASU,Plants,,PreservedSpecimen,a6c35eff-e177-481e-a714-4dda05c8118e,ASU0079876,119411,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Cactaceae|Echinocereus|Echinocereus reichenbachii,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Echinocereus reichenbachii var. reichenbachii,82039.0,(Terscheck ex Walp.) hort ex Haage,Echinocereus,,reichenbachii,var.,reichenbachii,Variety,,,,,,,,Robert Ross,,329,1975-07-01,,1975.0,7.0,1.0,182.0,,,,"Limestone ridge, open grazed habitat",,Large mixed population with numerous intermediate individuals (hybrids),,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Kiowa,,One mile south of Bally Mountain.,,0.0,,,,,,,,,,,,,,,,,,,,waltola64,2023-07-16 07:02:03,,1,a6c35eff-e177-481e-a714-4dda05c8118e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4891659,Kiowa,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
