id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
28247135,BAYLU,BAYLU,,PreservedSpecimen,b12596d9-d67e-4deb-bd62-0372d9e2e2a0,BAYLU012892,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Stylosanthes,Plantae,Magnoliophyta,,Fabales,Fabaceae,Stylosanthes biflora,1387.0,"(L.) Britton, Sterns & Poggenb.",Stylosanthes,,biflora,,,Species,,,,,,,,Michael A. Vincent,Thomas G. Lammers,4983,1991-08-08,,1991.0,8.0,8.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,"At rest area along I44 eastbound, 4.9 miles W of Rt. 66 (Wellston) exit (exit 156), SW of Wellston.",,0.0,,35.649292,-97.152592,WGS84,7100.0,,Hamzah_Hamzah1@baylor.edu (2023-08-04 12:36:31),,georef batch tool 2023-08-04; GeoLocate,,,,,,,,,,,Alejandro_Ayala1@baylor.edu,2023-08-04 12:36:31,,463,b12596d9-d67e-4deb-bd62-0372d9e2e2a0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28247135,Lincoln,Null georeferenceRemarks; 
28268578,BAYLU,BAYLU,,PreservedSpecimen,c2e87e27-9b88-47e2-8f02-346310e98649,BAYLU048032,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Psoralea,Plantae,Magnoliophyta,,Fabales,Fabaceae,Psoralea tenuiflora,6961.0,Pursh,Psoralea,,tenuiflora,,,Species,,,,,,,,Michael A. Vincent,Thomas G. Lammers,4984,1991-08-08,,1991.0,8.0,8.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,"At rest area along I44 eastbound, 4.9 miles W of Rt. 66 (Wellston) exit (exit 156), SW of Wellston.",,0.0,,35.649292,-97.152592,WGS84,7100.0,,Hamzah_Hamzah1@baylor.edu (2023-08-04 12:18:09),,georef batch tool 2023-08-04; GeoLocate,,,,,,,,,,,Alejandro_Ayala1@baylor.edu,2023-08-04 12:18:09,,463,c2e87e27-9b88-47e2-8f02-346310e98649,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28268578,Lincoln,Null georeferenceRemarks; 
22076424,BRIT,BRIT,,PreservedSpecimen,57bb5af6-0f35-4fad-81a0-8de5b0b77d8e,BRIT472664,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Aspleniaceae|Asplenium,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Aspleniaceae,Asplenium platyneuron,1894.0,"(L.) Britton, Sterns & Poggenb.",Asplenium,,platyneuron,,,Species,,,,,,,,B. Hoagland,"D. Benesh, N. McCatry, B, Watkins",1197,1999-09-14,,1999.0,9.0,14.0,257.0,,,,Rock outcrop adjacent to creek.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=eafe110a-af83-426a-b210-f85b0b117de7,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,Carney,"3 miles S on hwy 177 from intersection with hwy 40A, then 2 miles E, 1 mile N, 1 mile E, and 0.6 mile N on section line roads. T16N R3E Sec15. Rock outcrop adjacent to Bellow Creek.",,,,35.8624,-96.9739,WGS84,1609.0,,,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,carrollk2015,2023-09-29 10:26:23,,370,57bb5af6-0f35-4fad-81a0-8de5b0b77d8e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22076424,Lincoln,Whitelisted institutionCode; 
22901995,BRIT,BRIT,,PreservedSpecimen,b7bee323-e4e3-4c04-af0b-b7ff4729a6b8,BRIT471111,,Plantae|Tracheophyta|Pteridophyta|Equisetopsida|Equisetales|Equisetaceae|Equisetum,Plantae,Pteridophyta,Equisetopsida,Equisetales,Equisetaceae,Equisetum laevigatum,1980.0,A. Braun,Equisetum,,laevigatum,,,Species,,,,,,,,B. Hoagland,"D. Benesh, N. McCarty, B. Watkins",1174,1999-09-14,,1999.0,9.0,14.0,257.0,,,,Banks of Bellow Creek.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=eda0e73d-4301-47b6-921a-edfdad575841,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,"Warwick; 5 miles N on hwy 177 from intersection with hwy 66, then 2 miles E, 1 mile N, and 0.4 W on section line roads.",,0.0,,35.862337,-96.991882,WGS84,969.0,T16N R3E Sec. 16,Ashley Bordelon,,GeoLocate,,,,,,,,,,,sjackson86,2023-07-16 07:02:03,,370,b7bee323-e4e3-4c04-af0b-b7ff4729a6b8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22901995,Lincoln,Whitelisted institutionCode; Null georeferenceRemarks; 
24909845,BRIT,SMU,,PreservedSpecimen,aa926729-bee7-4521-87d2-45470de091c1,BRIT442657,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Acalypha,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Acalypha ostryifolia,122.0,Riddell ex J. M. Coult.,Acalypha,,ostryifolia,,,Species,Geoffrey A. Levin,1996,,,,,,Robert Strattore,,269,1927-08-01,,1927.0,8.0,1.0,213.0,,,,Black loam soil in ditch by roadside,Black loam soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,1/2 mi. N.E. of Wellstone,,0.0,,,,,,,,,,,,,,,,,,,,jstone,2023-07-16 07:02:03,,370,aa926729-bee7-4521-87d2-45470de091c1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24909845,Lincoln,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24936031,BRIT,BRIT,,PreservedSpecimen,ce3c0481-0303-4ba6-8348-d13283ef5b71,BRIT523980,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Iresine,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Iresine diffusa,27561.0,Humb. & Bonpl. ex Willd.,Iresine,,diffusa,,,Species,JLM,2005-00-00,,,,,,J. W. Blankenship,,85,1895-08-28,,1895.0,8.0,28.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,Cimarron River,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,ce3c0481-0303-4ba6-8348-d13283ef5b71,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24936031,Lincoln,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24936069,BRIT,BRIT,,PreservedSpecimen,38a80c53-6a85-4e44-b819-db9a9731f518,BRIT523964,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Froelichia,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Froelichia gracilis,2750.0,(Hook.) Moq.,Froelichia,,gracilis,,,Species,JLM,2005-00-00,,,,,,J. W. Blankenship,,16,1897-08-27,,1897.0,8.0,27.0,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,Touts,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,38a80c53-6a85-4e44-b819-db9a9731f518,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24936069,Lincoln,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25178590,BRIT,SMU,,PreservedSpecimen,012d13a4-8928-4040-b6b2-516f7f0feb12,BRIT535909,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Antennaria,Plantae,Magnoliophyta,,Asterales,Asteraceae,Antennaria plantaginifolia,43545.0,(L.) Hook.,Antennaria,,plantaginifolia,,,Species,,,,,,,,K. Crook,"M. Crook, J. Massey",881,1969-04-14,,1969.0,4.0,14.0,104.0,,,abundant,shade; sandy soil; Post Oak-Blackjack forest.,,Flowers white; rhizomatous perennials,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,5 miles S. of Sparks.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,012d13a4-8928-4040-b6b2-516f7f0feb12,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25178590,Lincoln,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25180957,BRIT,SMU,,PreservedSpecimen,198a4308-265b-43b2-b6c1-8497e91f46f8,BRIT526632,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Astranthium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Astranthium ciliatum,162847.0,,Astranthium,,ciliatum,,,Species,G. Nesom,2001-00-00,,,,,,J. Massey,"H. Massey, P. Hoisington",1967,1968-04-28,,1968.0,4.0,28.0,119.0,,,very abundant,old field,,"Rays white above, purple-blue below; annuals",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=03890ecd-ba8b-11e3-8cfe-90b11c41863e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6f781931-7137-4456-a930-8fdaa9ff9e5c | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b1d2d57d-984f-4cd8-ac42-ea4205b4595e,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,6 mi. N. of Prague on HW 99 N.,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,198a4308-265b-43b2-b6c1-8497e91f46f8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25180957,Lincoln,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25181478,BRIT,SMU,,PreservedSpecimen,02572997-aa1d-4372-a8a2-74cb5a7fb38e,BRIT535562,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Spermolepis,Plantae,Magnoliophyta,,Apiales,Apiaceae,Spermolepis echinata,2203.0,(Nutt. ex DC.) A. Heller,Spermolepis,,echinata,,,Species,,,,,,,,J. Massey,H. Massey,2697,1970-05-27,,1970.0,5.0,27.0,147.0,,,frequent,sandy soil; roadside; margins of Post oak - Blackjack.,,Annuals,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=77520330-52d5-4bad-9352-070bd5a48810,,,,,,,,,,,,,,,,United States,Oklahoma,Lincoln,,1 mile E. of Midlothian.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,02572997-aa1d-4372-a8a2-74cb5a7fb38e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25181478,Lincoln,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
