id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
20954814,APSC,,,PreservedSpecimen,93279086-abbe-4ff7-933b-238cdf436102,APSC0090529,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Anthemideae|Artemisia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Artemisia filifolia,1403.0,Torr.,Artemisia,,filifolia,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,93279086-abbe-4ff7-933b-238cdf436102,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20954814,Logan,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29376681,ARIZ,,,PreservedSpecimen,3300558d-ffc3-4ae1-b7c2-93679b56f580,165198,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera suffulta,215323.0,,Oenothera,,suffulta,,,Species,ARIZ nomenclatural adjustment,Jan. 2022,Syst. Bot. Monogr. 83,,,,,Robert Pearce,,1719,1965-05-11,,1965.0,5.0,11.0,131.0,,"May 11, 1965",,roadside,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,4 mi. N and 2 mi. W of Crescent,,0.0,,,,,,,,,,,,,,,,,,,,mfalk,2023-07-16 07:02:03,,2,3300558d-ffc3-4ae1-b7c2-93679b56f580,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29376681,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
32830623,ARIZ,,,PreservedSpecimen,dd950a53-0573-4b18-8a87-69be55c58e7d,260961,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Muhlenbergia,Plantae,Magnoliophyta,,Poales,Poaceae,Muhlenbergia asperifolia,354.0,(Nees & Meyen ex Trin.) Parodi,Muhlenbergia,,asperifolia,,,Species,R.D. Thomas,1970,,,,,,R. Dale Thomas,Steven Thomas,21688,1970-10-09,,1970.0,10.0,9.0,282.0,,,,Prairie and roadbank.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,"Okla. 74, N bank of Cimarron River.",,,,,,,,,,,,,,,,,,,,,,sbrett46,2024-07-19 13:48:25,,2,dd950a53-0573-4b18-8a87-69be55c58e7d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32830623,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
32840046,ARIZ,,,PreservedSpecimen,c2b77ebc-0dcf-4f08-a2f8-a2df51555e5d,260776,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Muhlenbergia,Plantae,Magnoliophyta,,Poales,Poaceae,Muhlenbergia bushii,92198.0,Pohl,Muhlenbergia,,bushii,,,Species,R.D. Thomas,1970,,,,,,R. Dale Thomas,Steven Thomas,21718,1970-10-09,,,,,,,,,Prairie and roadbank; north bank of river.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6a184534-2f91-4a03-acc7-ef612b009d4a | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=00ee70bb-7789-4091-a87c-0620188fdb66,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,"Prairie and roadbank beside Okla. 74, N bank of Cimarron River.",,,,,,,,,,,,,,,,,,,,,,sbrett46,2024-07-24 10:39:09,,2,c2b77ebc-0dcf-4f08-a2f8-a2df51555e5d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32840046,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
951340,ARIZ,,,PreservedSpecimen,urn:uuid:6aabc792-7e25-4859-bf45-64090bc72a6f,260964,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Sporobolus,Plantae,Magnoliophyta,,Poales,Poaceae,Sporobolus arenicola,310153.0,P.M.Peterson,Sporobolus,,arenicola,,,Species,Nomenclatural adjustment ARIZ,Aug 2018,Tropicos,,,,,R. Dale Thomas,Steven Thomas,21659,1970-09-10,,1970.0,9.0,10.0,253.0,,10/9/70,,Prarie and roadbank.,,,,,,,,,,,Fruiting,,,,,,,,,,,,,United States,Oklahoma,Logan County,,"Beside Okla. 74, N. bank of Cimarron River",,,,,,,,,,,,,,,,,,,,NLU,,Mikey,2018-10-29 08:39:40,198672,2,d8a622e4-5adf-4812-99bc-fe46701bcde0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=951340,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
948852,ARIZ,,,PreservedSpecimen,urn:uuid:a1505a7f-a471-46b1-bc65-7a28d8550368,163440,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Baptisia,Plantae,Magnoliophyta,,Fabales,Fabaceae,Baptisia lactea,50716.0,(Raf.) Thieret,Baptisia,,lactea,,,Species,Robert Peace,1965-05-05,,,,,,Robert Peace,,1726,1965-05-05,,1965.0,5.0,5.0,125.0,,"may,5,1965",,Clay soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan County,,Along roadside 4 miles north and 3.5 miles west of Crescent,,,,,,,,,,,,,,,,,,,,,,Luis,2013-11-07 11:43:44,198751,2,f1845e50-e853-4ae8-9b73-146ce9cfd3e9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=948852,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3828183,ARIZ,,,PreservedSpecimen,urn:uuid:00520e6b-8226-4360-a09a-dfcb9b422124,163452,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae|Glandularia,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Glandularia bipinnatifida,3093.0,(Nutt.) Nutt.,Glandularia,,bipinnatifida,,,Species,Nesom,2015,,!,,,,Robert Pearce,,1719A,1965-05-11,,1965.0,5.0,11.0,131.0,,"May 11, 1965",,,Red clay-like soil.,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,4 miles northwest of Crescent.,,,,,,,,,,,,,,,,,,,,,,Melissa,2016-02-23 11:54:31,316951,2,01519f8e-3040-4d8e-97d1-b6a095014c70,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3828183,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4559742,ARIZ,,,PreservedSpecimen,urn:uuid:5ed9c84c-b456-47f4-834d-741f6c542810,260261,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bothriochloa|Bothriochloa laguroides,Plantae,Magnoliophyta,,Poales,Poaceae,Bothriochloa laguroides subsp. torreyana,11201.0,(Steud.) Allred & Gould,Bothriochloa,,laguroides,subsp.,torreyana,Subspecies,ARIZ,June 2014,Nomenclatural Adjustment FNA vol. 25,,,,,R. Dale Thomas,Steven Thomas,21726,1970-10-09,,1970.0,10.0,9.0,282.0,,9 October 1970,,Prairie and roadbank,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,"Beside Okla. 74, N bank of Cimarron River",,,,,,,,,,,,,,,,,,,,,,Kegan,2014-06-05 09:59:40,323902,2,76a2eaac-7c9a-45d7-a1d7-bf85fb5a5366,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4559742,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20786158,ARIZ,,,PreservedSpecimen,urn:uuid:3b41ce76-422a-4652-8d87-e689ec1385b3,260358,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Andropogon,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon gerardi,125544.0,Vitman,Andropogon,,gerardi,,,Species,R. Dale Thomas,1970,,,,,,R. Dale Thomas,Steven D. Thomas,22228,1970-10-09,,1970.0,10.0,9.0,282.0,,9 October 1970,,Prairie,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,"Beside Okla. 74, 2 mi S of Cimarron River",,,,,,,,,,,,,,,,,,,,,,eaf25,2018-09-20 10:30:32,352689,2,b42b3038-8699-497b-a748-0d338373e801,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20786158,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20786387,ARIZ,,,PreservedSpecimen,urn:uuid:95350e86-b851-46f8-a2ea-3daad01fd205,260220,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon gerardi nothosubsp. chrysocomus,,(Nash) Wipff,,,,,,,ARIZ nomenclatural adjustment,Mar 2017,CNWG,,,,,R. Dale Thomas,Steven Thomas,21660,1970-10-09,,1970.0,10.0,9.0,282.0,,10/9/70,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Logan,,"Prairie and roadbank beside Okla. 74, N bank of Cimarron River",,,,,,,,,,,,,,,,,,,,,,eaf25,2018-09-27 13:24:21,352919,2,978864e4-9fa9-4a5c-b439-ec7d31ca11e1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20786387,Logan,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
