id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
17595337,APSC,,,PreservedSpecimen,006ab139-09ae-4349-af73-2a562c9d367b,APSC0068795,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Sapindales|Sapindaceae|Sapindus,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Sapindus saponaria,3583.0,L.,Sapindus,,saponaria,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,006ab139-09ae-4349-af73-2a562c9d367b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17595337,Major,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17595338,APSC,,,PreservedSpecimen,2dada573-d489-4e06-9306-086ae9c5d7eb,APSC0068797,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis acerifolia,18856.0,Raf.,Vitis,,acerifolia,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,2dada573-d489-4e06-9306-086ae9c5d7eb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17595338,Major,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17616614,APSC,,,PreservedSpecimen,69b75454-5332-415a-82c0-73d3d5eb6772,APSC0068796,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Distichlis,Plantae,Magnoliophyta,,Poales,Poaceae,Distichlis spicata,1700.0,(L.) Greene,Distichlis,,spicata,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,69b75454-5332-415a-82c0-73d3d5eb6772,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17616614,Major,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17617602,APSC,,,PreservedSpecimen,93fbecac-57cb-4a03-a96f-76d7273fb60e,APSC0069846,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus racemosus,17940.0,Pursh,Astragalus,,racemosus,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,93fbecac-57cb-4a03-a96f-76d7273fb60e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17617602,Major,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17617603,APSC,,,PreservedSpecimen,44d35ed1-79a5-4772-b336-f328034f6bd9,APSC0069847,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Prosopis,Plantae,Magnoliophyta,,Fabales,Fabaceae,Prosopis glandulosa,15859.0,Torr.,Prosopis,,glandulosa,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,44d35ed1-79a5-4772-b336-f328034f6bd9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17617603,Major,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17617605,APSC,,,PreservedSpecimen,652979ec-f7ba-4912-a1e2-de92e16738e6,APSC0069849,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Pediomelum,Plantae,Magnoliophyta,,Fabales,Fabaceae,Pediomelum cuspidatum,94242.0,(Pursh) Rydb.,Pediomelum,,cuspidatum,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,652979ec-f7ba-4912-a1e2-de92e16738e6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17617605,Major,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17617606,APSC,,,PreservedSpecimen,4a9d4e1b-766a-4077-b6c1-c02a9edce3d8,APSC0069850,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Physaria,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Physaria gordonii,79.0,(A. Gray) O'Kane & Al-Shehbaz,Physaria,,gordonii,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,4a9d4e1b-766a-4077-b6c1-c02a9edce3d8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17617606,Major,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29178339,ARIZ,,,PreservedSpecimen,bd9ff70e-24ff-4bc2-b796-5a3473270336,123036,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera suffrutescens,134899.0,(Ser.) W. L. Wagner & Hoch,Oenothera,,suffrutescens,,,Species,ARIZ nomenclatural adjustment,Feb 2022,Syst. Bot. Monogr. 83,,,,,U.T. Waterfall,Patsy L. Coryell,9920,1951-05-21,,1951.0,5.0,21.0,141.0,,"May 21, 1951",,Depression in prairie,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=04f01f73-ba8b-11e3-8cfe-90b11c41863e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=810b54d4-cd0a-4b67-ab59-5f5bc69273e0 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cc57da70-08fb-47bc-9dcb-95af2c9bec69 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2b5b5c9e-9b87-4ec4-9e75-6a21a07e35e1 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f31f2242-0157-43b5-98ba-0f3f38e48529,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,2.5 mi. W of Orienta,,0.0,,,,,,,,,,,,,,,,,,,,mfalk,2023-07-16 07:02:03,,2,bd9ff70e-24ff-4bc2-b796-5a3473270336,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29178339,Major,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
32830621,ARIZ,,,PreservedSpecimen,9ef7505f-129b-49ca-adfb-d4ff402d29d2,136029,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Muhlenbergia,Plantae,Magnoliophyta,,Poales,Poaceae,Muhlenbergia asperifolia,354.0,(Nees & Meyen ex Trin.) Parodi,Muhlenbergia,,asperifolia,,,Species,C.G. Reeder,1985,,,,,,U.T. Waterfall,,9683,1950-10-06,,,,,,,1950-10-6,,Flats at base of mountains.,,,,,,,curdet; preAnno; catalognumber:AccNo,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0434289f-ba8b-11e3-8cfe-90b11c41863e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=55b65d70-eb25-4e4c-8cf7-96137224fe2f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=11d00e52-96d6-4cfc-b5d6-a0a3bcf371f5,,,,,,,,,,,,,,,,United States,Oklahoma,Major,,"Glass Mountains, 6 miles W of Orienta.",,,,36.352345,-98.587326,WGS84,2408.0,,hubbardsc (2023-05-11 12:10:22),,georef batch tool 2023-05-04; GeoLocate,Manually updated,Point placed at center of Glass Mountains using Glass Mountains 1969 map; uncertainty radius set to S boundary of Glass Mountains,,,,,,,,,sbrett46,2024-07-19 13:44:41,,2,9ef7505f-129b-49ca-adfb-d4ff402d29d2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=32830621,Major,
1911908,ARIZ,,,PreservedSpecimen,urn:uuid:040b9125-f759-4bea-a420-dc0a3c0271f5,123040,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Lappula|Lappula occidentalis,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Lappula occidentalis var. occidentalis,13258.0,(S. Watson) Greene,Lappula,,occidentalis,var.,occidentalis,Variety,Susan J. Rolfsmeier,2012-11-06,,Kansas State University Herbarium (KSC),,,,U. T. Waterfall,Patsy L. Coryell,9924,1951-05-21,,1951.0,5.0,21.0,141.0,,"May,21,1951",,Sandy,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7f2c79a5-da33-44e6-9157-43bd71fe0a88 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=44afd716-b3ee-4d0d-bd1d-3999693930fc | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2466c956-ca36-41dc-b2f1-10a124daab76 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e1394cf2-dd4d-415b-ae40-c9bad7ad16ee,,,,,,,,,,,,,,,,United States,Oklahoma,Major County,,"Near abandoned sod house, 3 miles west of Orienta",,,,,,,,,,,,,,,,,,,,,,Sarah L.,2013-11-22 12:35:58,300360,2,0b605a0b-a609-4e8d-b211-cdcaf3354a1a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=1911908,Major,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
