id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
938094,ARIZ,,,PreservedSpecimen,urn:uuid:0785104b-ec3c-40c1-acbb-d0fc70d7ea09,589,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus crassicarpus,4078.0,Nutt.,Astragalus,,crassicarpus,,,Species,Phil Jenkins,2008-01-01,,,,,,Mary Lee Nelson,,28,1940-03-30,,1940.0,3.0,30.0,90.0,,"March,30,1940",,In red clay soil by roadside.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d6ce5840-66e8-4151-85af-a693d171f606,,,,,,,,,,,,,,,,United States,Oklahoma,McClain County,,5 miles south of Wayne.,,,,,,,,,,,,,,,,,,,,,,Olga,2013-11-07 11:43:44,198396,2,d5734ced-0799-4517-82ca-9c49a65de8d8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=938094,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17173221,ASU,Plants,,PreservedSpecimen,90899d94-f3a7-4c65-825f-fa7eb9ba2406,,127366,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Dalea|Dalea purpurea,Plantae,Magnoliophyta,,Fabales,Fabaceae,Dalea purpurea var. purpurea,12713.0,Vent.,Dalea,,purpurea,var.,purpurea,Variety,D.M. Sutherland,1993,,,,,,J. Massey,R. Stevens,2725,1970-06-11,,1970.0,6.0,11.0,162.0,,,,Rocky roadside margins of prairie,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,McClain County,,"Johnson's Pasture, 4 mi W of jct of IH 35 and Hw9",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,90899d94-f3a7-4c65-825f-fa7eb9ba2406,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17173221,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21405328,ASU,Plants,,PreservedSpecimen,183e5199-5af7-4c4c-a433-6570a74caa0d,ASU0121153,127412,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Polygalaceae|Polygala,Plantae,Magnoliophyta,,Fabales,Polygalaceae,Polygala alba,2438.0,Nutt.,Polygala,,alba,,,Species,,,,,,,,J.R. Massey,,2437,1969-06-15,,1969.0,6.0,15.0,166.0,,,,Rock outcrop on hilltop in tall grass pasture (Johnson's pasture),,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a116667d-ec2e-4b21-9921-911f08e27d1a | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0dbd3584-ba8b-11e3-8cfe-90b11c41863e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=245681eb-672d-48da-959e-2adc199275e7 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=129e31ab-1650-448d-a95b-5ee6051bec4f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cd43d824-328a-4575-a0ef-76f2188e9b57,,,,,,,,,,,,,,,,USA,Oklahoma,McClain,,4 mi W of jct I35 and Hw 9 and 1 mi N.,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,183e5199-5af7-4c4c-a433-6570a74caa0d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21405328,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21425793,ASU,Plants,,PreservedSpecimen,a116667d-ec2e-4b21-9921-911f08e27d1a,ASU0121177,127411,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Polygalaceae|Polygala,Plantae,Magnoliophyta,,Fabales,Polygalaceae,Polygala alba,2438.0,Nutt.,Polygala,,alba,,,Species,,,,,,,,J.R. Massey,,2437,1969-06-15,,1969.0,6.0,15.0,166.0,,,,Rock outcrop on hilltop in tall grass pasture (Johnson's pasture),,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=183e5199-5af7-4c4c-a433-6570a74caa0d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0dbd3584-ba8b-11e3-8cfe-90b11c41863e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=245681eb-672d-48da-959e-2adc199275e7 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=129e31ab-1650-448d-a95b-5ee6051bec4f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cd43d824-328a-4575-a0ef-76f2188e9b57,,,,,,,,,,,,,,,,USA,Oklahoma,McClain,,4 mi W of jct I35 and Hw 9 and 1 mi N.,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,a116667d-ec2e-4b21-9921-911f08e27d1a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21425793,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343558,AUA,,,PreservedSpecimen,23d516e5-3797-4ed7-9d48-9aae8f7c2f2b,AUA000036817,78198,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,5246,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining on fence. Sheet #2 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Mcclain,,S. side Hwy 39. 2.8 mi. E. of Grady Co. line.,,,,34.999195,-97.386182,,,,,,,,,427.0,,,,,1400 ft.,,,,2023-07-16 07:02:03,23d516e5-3797-4ed7-9d48-9aae8f7c2f2b,149,a41f3594-8535-48e7-9c5b-f399573463c3,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343558,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343555,AUA,,,PreservedSpecimen,3c74001d-32c7-49cf-9522-55ea0370e3df,AUA000036819,78200,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,5248,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Streambank & roadside (vining). Sheet #2 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Mcclain,,S. side 39. 4.1 mi. E. of Grady Co. line.,,,,35.000777,-97.407541,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,3c74001d-32c7-49cf-9522-55ea0370e3df,149,cd89d031-7e07-449f-88bc-034cfb2c43f3,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343555,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343848,AUA,,,PreservedSpecimen,5cfb0e38-0b3b-435e-9c20-f3ea02c41e5f,AUA000036820,78201,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis vulpina,105348.0,L.,Vitis,,vulpina,,,Species,,,,,,,,"Comeaux, Barry L.",,5249,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 20 ft.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Mcclain,,11.5 mi. E. of Grady Co. line. N. side 39.,,,,35.012278,-97.482228,,,,,,,,,427.0,,,,,1400 ft.,,,,2023-07-16 07:02:03,5cfb0e38-0b3b-435e-9c20-f3ea02c41e5f,149,70295723-313d-4a58-8702-a62254aea9fc,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343848,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343554,AUA,,,PreservedSpecimen,9320de31-73e5-46e4-86a4-23ae1ef88609,AUA000036818,78199,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,5248,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Streambank & roadside (vining). Sheet #1 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Mcclain,,S. side 39. 4.1 mi. E. of Grady Co. line.,,,,35.000777,-97.407541,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,9320de31-73e5-46e4-86a4-23ae1ef88609,149,47e5fc70-0f62-44fc-b3a8-a829ca843dbd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343554,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343557,AUA,,,PreservedSpecimen,bfbd8cb5-d18d-41ae-8577-40d436eb11b9,AUA000036816,78197,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,5246,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining on fence. Sheet #1 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Mcclain,,S. side Hwy 39. 2.8 mi. E. of Grady Co. line.,,,,34.999195,-97.386182,,,,,,,,,427.0,,,,,1400 ft.,,,,2023-07-16 07:02:03,bfbd8cb5-d18d-41ae-8577-40d436eb11b9,149,f6ff9e8a-f5fd-453b-b609-28ea1829f0e3,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343557,Mcclain,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22888642,SMU,BRIT,BRIT,PreservedSpecimen,a527f96d-3912-450d-a6e2-59228cd4813b,BRIT431238,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Salviniales|Marsileaceae|Marsilea,Plantae,Pteridophyta,Polypodiopsida,Salviniales,Marsileaceae,Marsilea mucronata,15529.0,A. Braun,Marsilea,,mucronata,,,Species,,,,,,,,J. Massey,P. Hoisington,2017,1968-05-26,,1968.0,5.0,26.0,147.0,,,,In buffalo wallows in tall grass prairie; hill top.,,Rhizomatous plants; abundant.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=298d96de-6ecc-49c8-b4d3-793bd6863e54 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=859076a7-c7da-44ac-8089-8cfe36425756 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e2892415-1edd-41b0-a5e4-63973b682672 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ffa40aee-b9d2-415c-bc0f-7d130f60655b,,,,,,,,,,,,,,,,United States,Oklahoma,McClain,,"Johnsons Pasture, 8.5 mi. W. of Norman on HW 9.",,,,35.182637,-97.591782,WGS84,5005.0,,"McCormick, Carol Ann",,GeoLocate,,"copied from duplicate NCU NCU00429940; = Hwy 9, ca. 8.5 mi W of Norman",,,,,,,,,jesslane13,2023-09-29 10:26:23,,370,a527f96d-3912-450d-a6e2-59228cd4813b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22888642,Mcclain,
