id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
29911436,APCR,,,PreservedSpecimen,bf6b1dbc-20e1-4f0c-8fca-2d13ef9e8d2a,APCR014409,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Castilleja,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Castilleja integra,3046.0,A. Gray,Castilleja,,integra,,,Species,,,,,,,,D. M. Moore,,62-34,1962-04-26,,1962.0,4.0,26.0,116.0,,"Apr 26, 62",,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,McIntosh,,"20 mi. W of Enfala, W of Wetumka.",,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,bf6b1dbc-20e1-4f0c-8fca-2d13ef9e8d2a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29911436,Mcintosh,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24132327,APSC,,,PreservedSpecimen,3b575aa1-8c8c-4ba1-8aa6-d101f8de3230,APSC0114351,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Lamiaceae|Pycnanthemum,Plantae,Magnoliophyta,,Lamiales,Lamiaceae,Pycnanthemum tenuifolium,97419.0,Schrad.,Pycnanthemum,,tenuifolium,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,McIntosh,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,3b575aa1-8c8c-4ba1-8aa6-d101f8de3230,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24132327,Mcintosh,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24229947,APSC,,,PreservedSpecimen,031bf078-b560-4616-98af-ab9368c3c0c1,APSC0114334,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae|Verbena,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Verbena hastata,1070.0,L.,Verbena,,hastata,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,McIntosh,,,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,031bf078-b560-4616-98af-ab9368c3c0c1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24229947,Mcintosh,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19796279,ASU,Plants,,PreservedSpecimen,499e094c-4b94-4b06-b0dc-ef2012dbb235,ASU0110071,108953,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Juglandaceae|Carya,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Carya cordiformis,76890.0,(Wangenh.) K. Koch,Carya,,cordiformis,,,Species,,,,,,,,D. Keil,,12809,1978-06-22,,1978.0,6.0,22.0,173.0,,,,Oak-hickory woodland with grassy meadows.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,McIntosh,,21 mi W of Checotah; ca 1 mi S of I-40 along Tiger Mtn. Rd.,,,,,,,,,,,,,,244.0,,,,,800',,,BettyDavidson,2023-07-16 07:02:03,,1,499e094c-4b94-4b06-b0dc-ef2012dbb235,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19796279,Mcintosh,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28045600,ASU,Plants,,PreservedSpecimen,f9502910-2b7c-4876-9988-e7cdcd452f11,ASU0140463,108829,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Juncaceae|Juncus,Plantae,Magnoliophyta,,Poales,Juncaceae,Juncus marginatus,1059.0,Rostk.,Juncus,,marginatus,,,Species,,,,,,,,D. Keil,,12810,1978-06-22,,1978.0,6.0,22.0,173.0,,,,Oak-hickory woodland with grassy meadows.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,McIntosh,,21 mi W of Checotah; ca 1 mi S of I-40 along Tiger Mtn. Rd.,,,,,,,,,,,,,,244.0,,,,,800',,,e.davidson@asu.edu,2023-07-16 07:02:03,,1,f9502910-2b7c-4876-9988-e7cdcd452f11,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28045600,Mcintosh,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28189250,ASU,Plants,,PreservedSpecimen,9ecbeaa9-7a03-48d9-a660-946052258b62,ASU0140603,139544,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Juncaceae|Juncus,Plantae,Magnoliophyta,,Poales,Juncaceae,Juncus tenuis,1096.0,Willd.,Juncus,,tenuis,,,Species,,,,,,,,D. Keil,,12814,1978-06-22,,1978.0,6.0,22.0,173.0,,,,Oak-hickory woodland with grassy meadows.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,McIntosh,,21 mi W of Checotah.,,,,,,,,,,,,,,244.0,,,,,800',,,e.davidson@asu.edu,2023-07-16 07:02:03,,1,9ecbeaa9-7a03-48d9-a660-946052258b62,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28189250,Mcintosh,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26923241,BAYLU,BAYLU,,PreservedSpecimen,ec616214-faeb-448b-8d85-e62fb304bc32,BAYLU041028,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Juncaceae|Luzula,Plantae,Magnoliophyta,,Poales,Juncaceae,Luzula echinata,90593.0,(Small) F. J. Herm.,Luzula,,echinata,,,Species,,,,,,,,S.A. Conry,,075,1996-04-04,,1996.0,4.0,4.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,McIntosh,,"Fountainhead State Park, McIntosh County, Oklahoma, Fountain Head Resort, near RV hookups",,0.0,,35.404822,-95.606652,WGS84,4088.0,,albert_zertuche (2024-01-23 11:01:01),,georef batch tool 2024-01-23; GeoLocate,,,,,,,,,,,Alejandro_Ayala1@baylor.edu,2024-01-23 11:01:01,,463,ec616214-faeb-448b-8d85-e62fb304bc32,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26923241,Mcintosh,Null georeferenceRemarks; 
28235495,BAYLU,BAYLU,,PreservedSpecimen,57cfe57d-ef62-4774-9d90-79649c5cfc73,BAYLU026432,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Montiaceae|Claytonia,Plantae,Magnoliophyta,,Caryophyllales,Montiaceae,Claytonia virginica,49074.0,L.,Claytonia,,virginica,,,Species,,,,,,,,S. A. Conry,,073,1996-04-04,,1996.0,4.0,4.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,McIntosh,,"Fountainhead State Park, McIntosh County, Oklahoma, Behind Nature Center",,0.0,,35.404822,-95.606652,WGS84,4088.0,,albert_zertuche (2024-01-23 11:24:36),,georef batch tool 2024-01-23; GeoLocate,,,,,,,,,,,sydney_ovaise1,2024-01-23 11:24:36,,463,57cfe57d-ef62-4774-9d90-79649c5cfc73,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28235495,Mcintosh,Null georeferenceRemarks; 
28235549,BAYLU,BAYLU,,PreservedSpecimen,0044c494-a962-47d7-be8e-52b6b537176d,BAYLU033689,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Magnoliids|Laurales|Lauraceae|Sassafras,Plantae,Magnoliophyta,,Laurales,Lauraceae,Sassafras albidum,50957.0,(Nutt.) Nees,Sassafras,,albidum,,,Species,,,,,,,,S. A. Conry,,078,1996-04-04,,1996.0,4.0,4.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,McIntosh,,"Fountainhead State Park, McIntosh County, Oklahoma, Directly across from RV camping in area 4",,0.0,,35.404822,-95.606652,WGS84,4088.0,,albert_zertuche (2024-01-23 11:24:36),,georef batch tool 2024-01-23; GeoLocate,,,,,,,,,,,sydney_ovaise1,2024-01-23 11:24:36,,463,0044c494-a962-47d7-be8e-52b6b537176d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28235549,Mcintosh,Null georeferenceRemarks; 
28235758,BAYLU,BAYLU,,PreservedSpecimen,e2fd60ce-c5ff-4d86-80ab-650aeb83a637,BAYLU014336,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Cornales|Cornaceae|Cornus,Plantae,Magnoliophyta,,Cornales,Cornaceae,Cornus florida,45267.0,L.,Cornus,,florida,,,Species,I. Park,2010,,,,,,S. A. Conry,,079,1996-04-04,,1996.0,4.0,4.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,McIntosh,,"Fountainhead State Park, McIntosh County, Oklahoma, Area 4, near campsite 64",,0.0,,35.404822,-95.606652,WGS84,4088.0,,albert_zertuche (2024-01-23 11:24:36),,georef batch tool 2024-01-23; GeoLocate,,,,,,,,,,,sydney_ovaise1,2024-01-23 11:24:36,,463,e2fd60ce-c5ff-4d86-80ab-650aeb83a637,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28235758,Mcintosh,Null georeferenceRemarks; 
