id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
3240901,ARIZ,,,PreservedSpecimen,urn:uuid:4b621b00-6cef-49b4-9fa0-4735139c82fd,405636,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Acanthaceae|Ruellia,Plantae,Magnoliophyta,,Lamiales,Acanthaceae,Ruellia strepens,99374.0,L.,Ruellia,,strepens,,,Species,Mark Fishbein,2010,,,,,,Mark Fishbein,Lane Greer,6557,2010-05-29,,2010.0,5.0,29.0,149.0,,29 May 2010,,"Ridge between ponds, oak-history forest.",,"Perennial, 90 cm tall, corolla lavender, fugacious, anthers orange; uncommon.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d32f5840-b07d-4667-b68e-515898957ba6,,ecologicallyOccursWith: Carya|ecologicallyOccursWith: Quercus shumardii?|ecologicallyOccursWith: Q. macrocarpa|ecologicallyOccursWith: Celtis|ecologicallyOccursWith: Fraxinus|ecologicallyOccursWith: Robinia|ecologicallyOccursWith: Chasmanthium|ecologicallyOccursWith: Cocculus|ecologicallyOccursWith: Ambrosia|ecologicallyOccursWith: Hypericum|ecologicallyOccursWith: Bidens,,,,,,,,,,,,,,United States,Oklahoma,Nowata County,,"Verdigris River valley, edge of pond at north end of Oologah Lake, about 300 m east of Co Rd N417, about 2.8 mi (air) east-southeast of Nowata.",,,,36.68959,-95.57228,,,,,,,,,200.0,,,,,,,,Ian,2015-10-21 14:15:13,303962,2,741bb772-29c8-4bb1-9815-d3a736d71d10,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3240901,Nowata,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20939588,ASU,Plants,,PreservedSpecimen,1105be4d-bd76-40f6-9aca-1d73d2ed525c,ASU0118026,124142,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Papaveraceae|Corydalis,Plantae,Magnoliophyta,,Ranunculales,Papaveraceae,Corydalis crystallina,79075.0,Engelm.,Corydalis,,crystallina,,,Species,,,,,,,,S. Stephens,,29994,1969-04-16,,1969.0,4.0,16.0,106.0,,,,Open prairie pasture. Dry rocky soil.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Nowata,,"4,5 mi E Wann",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,1105be4d-bd76-40f6-9aca-1d73d2ed525c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20939588,Nowata,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22077281,ASU,Plants,,PreservedSpecimen,b5bcbc6c-eb8c-4b8f-a687-3b9ae08c5882,ASU0125393,173344,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Ranunculus,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,Ranunculus abortivus,18641.0,L.,Ranunculus,,abortivus,,,Species,,,,,,,,S. Stephens,,30001,1969-04-16,,1969.0,4.0,16.0,106.0,,,,Wooded bank of Cedar Creek. Moist rich soil. Scattered.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Nowata,,5 mi E. Lenapah,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,b5bcbc6c-eb8c-4b8f-a687-3b9ae08c5882,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22077281,Nowata,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24896883,ASU,Plants,,PreservedSpecimen,a7859c93-4445-4fbc-86a7-0cd0c51f3a45,ASU0133375,108476,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Violaceae|Viola,Plantae,Magnoliophyta,,Malpighiales,Violaceae,Viola pedata,105149.0,L.,Viola,,pedata,,,Species,,,,,,,,S. Stephens,,29995,1969-04-16,,1969.0,4.0,16.0,106.0,,,,"Dry rocky soil, common.",,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Nowata,,Open prairie pasture hillside.,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,a7859c93-4445-4fbc-86a7-0cd0c51f3a45,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24896883,Nowata,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21593077,BALT,,,PreservedSpecimen,,,048087,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Agalinis,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Agalinis heterophylla,71065.0,(Nutt.) Small ex Britton,Agalinis,,heterophylla,,,Species,,,,,,,,S. Barber,R. Tyrl,873,1974-09-14,,1974.0,9.0,14.0,257.0,,9/14/1974,,,,Stems la at base often chewed off at top.,,,,,,,,,flowering and fruiting,,,,,,,,,,,,,United States,Oklahoma,Nowata,,"Cherokee prairies area, 7.1 mi w of nowata city limit sign",,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,331,fad4a781-0853-427c-97a0-61abdfc7f40e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21593077,Nowata,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21593078,BALT,,,PreservedSpecimen,,,048092,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Ambrosia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Ambrosia bidentata,43533.0,Michx.,Ambrosia,,bidentata,,,Species,,,,,,,,S. Barber,R. Tyrl,894,1974-09-14,,1974.0,9.0,14.0,257.0,,9/14/1974,,,,,,,,,,,,,flowering,,,,,,,,,,,,,United States,Oklahoma,Nowata,,Glenoak,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,331,6f49bbc4-b6f2-4cf6-be56-2a8abacf563d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21593078,Nowata,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24020705,BRIT,BRIT,,PreservedSpecimen,7decc730-e68a-4d27-83b7-ad1672aba53b,BRIT555891,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Rosales|Rosaceae|Prunus,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus serotina,3076.0,Ehrh.,Prunus,,serotina,,,Species,,,,,,,,Thomas G. Lammers,Diane L. Lammers,16442,2019-04-26,,2019.0,4.0,26.0,116.0,,,frequent,frequent in brushy fencerow,,"shrubby tree, 4 m tall; corolla white",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f1845710-ce03-4436-ad4f-beabad930c35,,,,,,,,,,,,,,,,United States,Oklahoma,Nowata,,7.7 miles east of Wann on State Hwy 10,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,7decc730-e68a-4d27-83b7-ad1672aba53b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24020705,Nowata,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24451582,BRIT,BRIT,,PreservedSpecimen,0099a919-97a2-48a5-969f-b72d204a8fd8,BRIT57080,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Crassulaceae|Sedum,Plantae,Magnoliophyta,,Saxifragales,Crassulaceae,Sedum nuttallianum,100748.0,Raf.,Sedum,,nuttallianum,,,Species,,,,,,,,B. Hoagland,K. Wallick,OOL219,2000-05-31,,2000.0,5.0,31.0,152.0,,,,Old-field and bottomland forest area.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9a743518-5e1b-41c5-96c5-221cde004934,,,,,,,,,,,,,,,,United States,Oklahoma,Nowata,,Nowata; 6 miles N from intersection of Hwys 169 and 60- 1 mi E. Oolagah WMA.,,0.0,,36.780204,-95.615928,WGS84,870.0,TRS: T27N R16E16 S32,Ashley Bordelon,,GeoLocate,,,,,,,,,,,sfrary,2023-07-16 07:02:03,,370,0099a919-97a2-48a5-969f-b72d204a8fd8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24451582,Nowata,Whitelisted institutionCode; Null georeferenceRemarks; 
24591908,BRIT,BRIT,,PreservedSpecimen,a6ec00d1-e5f3-4bc6-8d02-56831a509fa2,BRIT440986,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Apocynum,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Apocynum cannabinum,3709.0,L.,Apocynum,,cannabinum,,,Species,,,,,,,,B. Hoagland,K. Wallick,OOL343,2000-05-31,,2000.0,5.0,31.0,152.0,,,,Hay meadow.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=599d4538-6cf6-48a9-a7b0-a2c677f3ccac,,,,,,,,,,,,,,,,United States,Oklahoma,Nowata,,"Oolagah Wildlife Management Area. Nowata; 8 mi E from intersection of Hwys 169 and 60, 3 mi S on Hwy 28, then 3 mi S and 2 mi W.",,,,36.6483,-95.5305,WGS84,1609.0,"T25N R17E17, S18",,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,sfrary,2023-09-29 10:26:23,,370,a6ec00d1-e5f3-4bc6-8d02-56831a509fa2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24591908,Nowata,Whitelisted institutionCode; 
24856823,BRIT,BRIT,,PreservedSpecimen,5083dbc2-2e5d-4c89-984c-717b98549ff2,BRIT448214,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepiadoideae|Matelea,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Matelea gonocarpos,91281.0,(Walter) Shinners,Matelea,,gonocarpos,,,Species,,,,,,,,B. Hoagland,"K. Wallick, A. Buthod",OOL388,2000-07-05,,2000.0,7.0,5.0,187.0,,,,Post oak-blackjack woodland along lake margin.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3d065250-d314-4fe6-b1bd-1215449e38e4,,,,,,,,,,,,,,,,United States,Oklahoma,Nowata,,"Nowata; 3 miles east from intersection of Hwys 169 and 60, 1 mile south and 0.5 mile east. Oolagah Wildlife Management Area. T26N, R16E16, S34.",,,,36.6899,-95.5754,WGS84,100.0,,,,Original coordinates in OVPD,,copied from duplicate OKL NULL; Coordinates converted to DD from UTM based on provided coordinates,,,,,,,,,carrollk2015,2023-09-29 10:26:23,,370,5083dbc2-2e5d-4c89-984c-717b98549ff2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24856823,Nowata,Whitelisted institutionCode; 
