id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
4559743,ARIZ,,,PreservedSpecimen,urn:uuid:cee5b534-9300-46cc-9813-464f655b72c8,279929,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bothriochloa|Bothriochloa laguroides,Plantae,Magnoliophyta,,Poales,Poaceae,Bothriochloa laguroides subsp. torreyana,11201.0,(Steud.) Allred & Gould,Bothriochloa,,laguroides,subsp.,torreyana,Subspecies,ARIZ,June 2014,Nomenclatural Adjustment FNA vol. 25,,,,,T.R. Van Devender,,88-392,1988-06-11,,1988.0,6.0,11.0,163.0,,11 June 1988,,On grassy roadside.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,"13 miles east of Henryetta, along Interstate Highway 40",,,,,,,,,,,,,,,,,,,,,,Kegan,2014-06-05 10:05:16,323903,2,9fa98e74-45e6-4cc5-a8ec-58dd046dc57d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4559743,Okfuskee,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
8541810,BOON,,,PreservedSpecimen,2c4aa863-997c-4e65-981d-3e57239a6f60,007577,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Iridaceae,Plantae,Magnoliophyta,,Asparagales,Iridaceae,Sisyrenchium,156264.0,,Sisyrenchium,,,,,Genus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,,,0.0,,,,,,,,,,,,,,,,,,,,JMcKenna,2023-08-29 15:06:36,,196,2c4aa863-997c-4e65-981d-3e57239a6f60,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=8541810,Okfuskee,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
22858847,BRIT,SMU,,PreservedSpecimen,64e2f5e1-677b-4aff-8599-6d84731e8f5d,BRIT429458,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Myriopteris,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Myriopteris tomentosa,172128.0,"(Link) Fée,",Myriopteris,,tomentosa,,,Species,Alejandra Vasco (BRIT),2018-02-22,,,,,,Leg.ign,,s.n.,,,,,,,,s.d.,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,"Near Okemah, Oklahoma",,0.0,,,,,,,,,,,,,,,,,,,,sfrary,2023-07-16 07:02:03,,370,64e2f5e1-677b-4aff-8599-6d84731e8f5d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22858847,Okfuskee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24297482,BRIT,BRIT,,PreservedSpecimen,523e1834-9716-4f53-ac97-db5754f85738,BRIT447171,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa,3789.0,L.,Asclepias,,tuberosa,,,Species,,,,,,,,K. Crook,M. Crook,2000,1969-06-03,,1969.0,6.0,3.0,154.0,,,,Plants of rolling grassland pasture.,,Flowers orange-yellow; perennials.,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,12 mi. N. o fOkemah on HW 56.,,,,,,,,,,,,,,,,,,,,,,julie62,2023-07-16 07:02:03,,370,523e1834-9716-4f53-ac97-db5754f85738,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24297482,Okfuskee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24297485,BRIT,BRIT,,PreservedSpecimen,c25ca1c2-c94b-40f8-a008-25eba0af0293,BRIT447170,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa,3789.0,L.,Asclepias,,tuberosa,,,Species,,,,,,,,K. Crook,M. Crook,1046,1969-06-02,,1969.0,6.0,2.0,153.0,,,,,,Flowers orange-yellow; perennials.,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,5 mi. N. of Wetumka along HW 75 that follows ridge formed by loop in N. Canadian River.,,,,,,,,,,,,,,,,,,,,,,julie62,2023-07-16 07:02:03,,370,c25ca1c2-c94b-40f8-a008-25eba0af0293,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24297485,Okfuskee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24297488,BRIT,BRIT,,PreservedSpecimen,f7a3fd6d-04c1-43a2-881b-ec8678ec8686,BRIT447169,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias|Asclepias tuberosa,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa subsp. interior,11187.0,Woodson,Asclepias,,tuberosa,subsp.,interior,Subspecies,,,,,,,,K. Crook,M. Crook,1064,1969-06-02,,1969.0,6.0,2.0,153.0,,,,plants of upland prairie.,,Flowers orange-yellow; perennials.,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,5 mi. E. of Okemah along HW 62.,,,,,,,,,,,,,,,,,,,,,,julie62,2023-07-16 07:02:03,,370,f7a3fd6d-04c1-43a2-881b-ec8678ec8686,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24297488,Okfuskee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24939201,BRIT,BRIT,,PreservedSpecimen,35e36dd5-768c-4d4c-aec9-73b412926d5a,BRIT534230,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Cryptotaenia,Plantae,Magnoliophyta,,Apiales,Apiaceae,Cryptotaenia canadensis,50070.0,(L.) DC.,Cryptotaenia,,canadensis,,,Species,,,,,,,,D. Benesh,"B. Hoagland, F. Johnson",DFX219,1998-06-23,,1998.0,6.0,23.0,174.0,,,,oak-hickory forest,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ab128958-7332-4bcc-b48e-099d992b790b,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,"Deep Fork Wildlife Management Area, S11, T13N, R9E",,0.0,,35.617,-96.3257,WGS84,1609.0,"S11, T13N, R9E",,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,apbordelon,2023-09-29 10:26:23,,370,35e36dd5-768c-4d4c-aec9-73b412926d5a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24939201,Okfuskee,Whitelisted institutionCode; 
24939411,BRIT,BRIT,,PreservedSpecimen,c6df6c20-9f03-4362-8c6f-cbea6ae6e0ee,BRIT534374,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Osmorhiza,Plantae,Magnoliophyta,,Apiales,Apiaceae,Osmorhiza longistylis,18482.0,(Torr.) DC.,Osmorhiza,,longistylis,,,Species,,,,,,,,D. Benesh,"B. Hoagland, N. McCarty, F. Johnson",DFX101,1998-05-01,,1998.0,5.0,1.0,121.0,,,,oak-hickory forest,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8222afb1-7e77-48a0-b12d-d4cae286af4d,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,"Deep Fork Wildlife Management Area, S10, T13N, R9E",,0.0,,35.6171,-96.3434,WGS84,1609.0,"S10, T13N, R9E",,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,apbordelon,2023-09-29 10:26:23,,370,c6df6c20-9f03-4362-8c6f-cbea6ae6e0ee,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24939411,Okfuskee,Whitelisted institutionCode; 
24939776,BRIT,BRIT,,PreservedSpecimen,0495864f-993d-44f4-a490-20e2663ad2ca,BRIT534436,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Ptilimnium,Plantae,Magnoliophyta,,Apiales,Apiaceae,Ptilimnium nuttallii,118368.0,(DC.) Britton,Ptilimnium,,nuttallii,,,Species,,,,,,,,D. Benesh,"B. Hoagland, F. Johnson",DFX223,1998-06-23,,1998.0,6.0,23.0,174.0,,,,disturbed area,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=eaeeb9c8-e4a0-42da-8ade-2e7f5e28a8ab,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,"Deep Fork Wildlife Management Area, S11, T13N, R9E",,0.0,,35.617,-96.3257,WGS84,1609.0,"S11, T13N, R9E",,,,,copied from duplicate OKL NULL; Coordinates based on TRS centroid,,,,,,,,,apbordelon,2023-09-29 10:26:23,,370,0495864f-993d-44f4-a490-20e2663ad2ca,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24939776,Okfuskee,Whitelisted institutionCode; 
25180931,BRIT,SMU,,PreservedSpecimen,ecc166ef-27fb-43de-9895-f9e4733f42e2,BRIT526640,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Astranthium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Astranthium ciliatum,162847.0,,Astranthium,,ciliatum,,,Species,G. Nesom,2001-00-00,,,,,,Charles Perino,Janice Perino,404,1969-05-02,,1969.0,5.0,2.0,122.0,,,abundant,,,"Rays blue with white bases, discs yellow.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0c627c0f-ba8b-11e3-8cfe-90b11c41863e,,,,,,,,,,,,,,,,United States,Oklahoma,Okfuskee,,North side of Deep Fork River on west side of Okla. 48 just inside county line.,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-18 10:32:41,,370,ecc166ef-27fb-43de-9895-f9e4733f42e2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25180931,Okfuskee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
