id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
24823804,ARIZ,,,PreservedSpecimen,urn:uuid:83ee7310-cffa-48b5-b69d-123235d031e2,438628,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Eleocharis,Plantae,Magnoliophyta,,Poales,Cyperaceae,Eleocharis ovata,216.0,(Roth) Roem. & Schult.,Eleocharis,,ovata,,,Species,A. Buthod,2014,,,,,,A. Buthod,B. Hoagland,DF-656,2014-05-07,,2014.0,5.0,7.0,127.0,,5/7/2014,,Herbaceous wetland vegetation.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c5665030-bb5b-48ff-b0b8-c0ef61f6aef4,,"Scirpus pendulus, Rumex crispus, Sphenopholis intermedia",,,,,,,,,,,,,,United States,Oklahoma,Okmulgee,,"Deep Fork National Wildlife Refuge; Unit N of Briar Road and E of S Road 200, Deep Fork NWR.",,,,,,,,TRS: T13N R12E sec 26,,,,,,,,,,,,,,ocotillo,2020-02-27 14:44:42,360424,2,02530d97-70b9-4d64-b447-57ef0c1d6338,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24823804,Okmulgee,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24823813,ARIZ,,,PreservedSpecimen,urn:uuid:a7aaf358-d221-4113-9d90-aad9f8886dea,438678,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Pluchea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Pluchea camphorata,343.0,(L.) DC.,Pluchea,,camphorata,,,Species,A. Buthod,2013,,,,,,A. Buthod,B. Hoagland,DF-139,2013-10-25,,2013.0,10.0,25.0,298.0,,10/25/2013,,Herbaceous wetland vegetation.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6ac334f4-71bb-404f-8e1b-83eb5ece4c0d,,Mimulus alatus,,,,,,,,,,,,,,United States,Oklahoma,Okmulgee,,"Deep Fork National Wildlife Refuge; Unit N of Briar Road and E of S Road 200, at the Deep Fork River, Deep Fork NWR.",,,,,,,,TRS: T13N R12E sec 26,,,,,,,,,,,,,,ocotillo,2020-02-19 10:58:40,360433,2,30ffe2e1-0ca3-434a-b877-eed3109e7817,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24823813,Okmulgee,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21738635,ASC,,,PreservedSpecimen,ae47c770-d3af-4adb-8c7f-6def4a769a99,ASC00019213,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Setaria,Plantae,Magnoliophyta,,Poales,Poaceae,Setaria parviflora,569.0,(Poir.) Kerguélen,Setaria,,parviflora,,,Species,J.M. Rominger,1969,,,,,,J. Burden,,50-51,1969-08-14,,1969.0,8.0,14.0,226.0,,,,Oil field,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b89d12a4-dfdd-4f97-bd97-bbb9ba300913,,,,,,,,,,,,,,,,United States,Oklahoma,Okmulgee,,"1 mile east, 1/2 mile north of Bald Hill",,0.0,,35.74763,-95.819341,WGS84,400.0,,Fertig,,GeoLocate,,,,,,,,,,en,pkdarmstrong,2023-07-16 07:02:03,,3,ae47c770-d3af-4adb-8c7f-6def4a769a99,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21738635,Okmulgee,Null georeferenceRemarks; 
10433961,ASU,Plants,,PreservedSpecimen,bf8ca97a-dddf-48ec-a66b-c4a1cefb34db,ASU0101562,63895,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Acanthaceae|Ruellia,Plantae,Magnoliophyta,,Lamiales,Acanthaceae,Ruellia humilis,43096.0,Nutt.,Ruellia,,humilis,,,Species,,,,,,,,Jerry Burden,,42,1969-08-14,,1969.0,8.0,14.0,226.0,,,,Oil field,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Okmulgee,,"1 mile east, 1/2 mile north of Bald Hill",,0.0,,35.74763,-95.819341,WGS84,400.0,,Fertig,,GeoLocate,,,,,,,,,,,waltola64,2023-07-16 07:02:03,,1,bf8ca97a-dddf-48ec-a66b-c4a1cefb34db,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=10433961,Okmulgee,Null georeferenceRemarks; 
16629934,ASU,Plants,,PreservedSpecimen,b89d12a4-dfdd-4f97-bd97-bbb9ba300913,,22636,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Setaria,Plantae,Magnoliophyta,,Poales,Poaceae,Setaria geniculata,8240.0,auct. non (Wild.) Beauv.,Setaria,,geniculata,,,Species,J.M. Rominger,1969,,,,,,J. Burden,,50-51,1969-08-14,,1969.0,8.0,14.0,226.0,,,,Oil field,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ae47c770-d3af-4adb-8c7f-6def4a769a99,,,,,,,,,,,,,,,,USA,Oklahoma,Okmulgee,,"1 mile east, 1/2 mile north of Bald Hill",,,,35.74763,-95.819341,WGS84,400.0,,Fertig,,GeoLocate,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,b89d12a4-dfdd-4f97-bd97-bbb9ba300913,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16629934,Okmulgee,Null georeferenceRemarks; 
20828491,ASU,Plants,,PreservedSpecimen,b132581f-3adf-4523-8b13-8083e0b4c020,ASU0116970,66019,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Orobanchaceae|Castilleja,Plantae,Magnoliophyta,,Lamiales,Orobanchaceae,Castilleja indivisa,49585.0,Engelm.,Castilleja,,indivisa,,,Species,N. H. Holmgren,1982,,,,,,R.W. Matthews,J.R. Matthews,227,1965-04-28,,1965.0,4.0,28.0,118.0,,,,abundant along roadside,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Okmulgee,,"10 mi E of Henryetta, along hwy US 266",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,b132581f-3adf-4523-8b13-8083e0b4c020,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20828491,Okmulgee,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24817410,ASU,Plants,,PreservedSpecimen,91be6372-d97f-4002-8ff7-ce84cc585066,ASU0132344,63939,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Solanales|Solanaceae|Solanum,Plantae,Magnoliophyta,,Solanales,Solanaceae,Solanum carolinense,3831.0,L.,Solanum,,carolinense,,,Species,,,,,,,,J. Burden,,52,1969-08-14,,1969.0,8.0,14.0,226.0,,,,Oil field,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Okmulgee,,"1 mile east, 1/2 mile north of Bald Hill; 35.74763 -95.819341",,,,35.74763,-95.819341,WGS84,400.0,,Fertig,,GeoLocate,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,91be6372-d97f-4002-8ff7-ce84cc585066,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24817410,Okmulgee,Null georeferenceRemarks; 
24887164,ASU,Plants,,PreservedSpecimen,f655f7f7-e23a-4b33-93ba-9f878002a75e,ASU0133005,63942,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae|Verbena,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Verbena stricta,1074.0,Vent.,Verbena,,stricta,,,Species,,,,,,,,J. Burden,,39-40,1969-08-14,,1969.0,8.0,14.0,226.0,,,,Oil field,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Okmulgee,,"1 mile east, 1/2 mile north of Bald Hill; 35.74763 -95.819341",,,,35.74763,-95.819341,WGS84,400.0,,Fertig,,GeoLocate,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,f655f7f7-e23a-4b33-93ba-9f878002a75e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24887164,Okmulgee,Null georeferenceRemarks; 
25188455,BRIT,SMU,,PreservedSpecimen,44313da7-cdf6-4810-b304-a85514f0c8b7,BRIT537914,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Cirsium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Cirsium altissimum,43705.0,(L.) Spreng.,Cirsium,,altissimum,,,Species,,,,,,,,John Taylor,Connie Taylor,17046,1974-09-15,,1974.0,9.0,15.0,258.0,,,,Collected in a roadside grassland,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Okmulgee,,"about 4 mi. north of Okmulgee, OK. along U.S. HY. 75.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,44313da7-cdf6-4810-b304-a85514f0c8b7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25188455,Okmulgee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25201806,BRIT,SMU,,PreservedSpecimen,8e4d285d-3bda-4f9e-bc34-ba53905fc072,BRIT547042,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Euthamia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Euthamia gymnospermoides,84348.0,Greene,Euthamia,,gymnospermoides,,,Species,,,,,,,,John Taylor,Connie Taylor,9252,1971-10-02,,1971.0,10.0,2.0,275.0,,,,on roadbank,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ecf82882-7f82-4468-a742-78afd5302980 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9c95c8ea-c158-4753-9b52-01871bc583cf,,,,,,,,,,,,,,,,United States,Oklahoma,Okmulgee,,¼ mile west of Henryetta along Interstate 40,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,8e4d285d-3bda-4f9e-bc34-ba53905fc072,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25201806,Okmulgee,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
