id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
24823819,ARIZ,,,PreservedSpecimen,urn:uuid:de633753-8c10-4025-987c-eb6268502d82,438672,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Helenium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Helenium autumnale,331.0,L.,Helenium,,autumnale,,,Species,A. Buthod,2016,,,,,,A. Buthod,"B. Hoagland, D. Hardwick, & Kim Bartlett",AB-11529,2016-09-08,,2016.0,9.0,8.0,252.0,,9/8/16,,Seepy area,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ac6c840f-a585-4c69-9eea-680bac9f28be,,"Eupatorium perfoliatum, Carex lupulina, Lycopus americanus, Boehmeria cylindrica",,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,"Pink; Ca. 1.0 mi E of Pink, N of hwy 9, in the area of Bullfrog Creek.",,,,35.26262,-97.0945,,,TRS: T9N R2E sec 9,,,,,,,,,,,,,,ocotillo,2020-02-21 10:32:13,360439,2,297ae6d9-f82b-4a8d-bb58-dcb6193b4298,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24823819,Pottawatomie,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343849,AUA,,,PreservedSpecimen,6814b4d3-dc90-47c4-8909-8df59295661b,AUA000036822,78203,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis vulpina,105348.0,L.,Vitis,,vulpina,,,Species,,,,,,,,"Comeaux, Barry L.",,5252,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 20 ft.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,"7.0 mi. E. of Cleveland Co. line, S. side 39. 0.1 mi. W. of intersection 102.",,,,34.985669,-97.032579,,,,,,,,,427.0,,,,,1400 ft.,,,,2023-07-16 07:02:03,6814b4d3-dc90-47c4-8909-8df59295661b,149,e9b8aaf0-a357-4b0c-a0c1-b945682e8290,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343849,Pottawatomie,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25178528,BRIT,SMU,,PreservedSpecimen,52d99eb2-401a-42aa-824f-b067164f31e3,BRIT535896,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Antennaria,Plantae,Magnoliophyta,,Asterales,Asteraceae,Antennaria parlinii,17888.0,Fernald,Antennaria,,parlinii,,,Species,,,,,,,,Delzie Demaree,,11972,1936-06-10,,1936.0,6.0,10.0,162.0,,6-10-36,,creek banks,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c084babc-4266-4249-b140-40e4aeb229bf,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,Ashe,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,52d99eb2-401a-42aa-824f-b067164f31e3,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25178528,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25188230,BRIT,SMU,,PreservedSpecimen,95e79b14-815a-4b8a-9700-352a54b1b542,BRIT537832,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Chaetopappa,Plantae,Magnoliophyta,,Asterales,Asteraceae,Chaetopappa asteroides,77606.0,Nutt. ex DC.,Chaetopappa,,asteroides,,,Species,Richard Spellenberg,1988-03-00,,,,,,J. Massey,"H. Massey, P. Hoisington",2062,1968-06-02,,1968.0,6.0,2.0,154.0,,,very abundant,Sandstone outcrop,,"Rays white, disk yellow; diffusely branched annual",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=04ebf93f-ba8b-11e3-8cfe-90b11c41863e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=eb24fc29-e7b4-49fd-8c5e-6d39b6146e85 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3e870f52-68b2-4f7e-a41f-bd8ccffbecd4,,"Talinum, Aphanostephus",,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,3 miles E. of Etowah,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,95e79b14-815a-4b8a-9700-352a54b1b542,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25188230,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25188231,BRIT,SMU,,PreservedSpecimen,da0d5d75-71f7-4160-b641-9398e4173a36,BRIT537831,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Chaetopappa,Plantae,Magnoliophyta,,Asterales,Asteraceae,Chaetopappa asteroides,77606.0,Nutt. ex DC.,Chaetopappa,,asteroides,,,Species,Richard Spellenberg,1988-03-00,,,,,,Charles Perino,Janice Perino,329,1969-04-09,,1969.0,4.0,9.0,99.0,,,Abundant,Roadside. Sandy soil.,,"Rays white, discs yellow",,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,3.5 miles east of Pink on Okla 9.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,da0d5d75-71f7-4160-b641-9398e4173a36,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25188231,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25219778,BRIT,BRIT,,PreservedSpecimen,622b5fc9-5464-4e56-b68c-868b3ba7a9c8,BRIT560013,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Solidago|Solidago canadensis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Solidago canadensis var. gilvocanescens,14151.0,Rydb.,Solidago,,canadensis,var.,gilvocanescens,Variety,,,,,,,,John Taylor,Connie Taylor,9056,1971-09-12,,1971.0,9.0,12.0,255.0,,,,along river bed and islands,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,"Along the South Canadian River bed and islands near U.S. Highway 177 bridge, 3 mile South of Asher",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,622b5fc9-5464-4e56-b68c-868b3ba7a9c8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25219778,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25222823,BRIT,BRIT,,PreservedSpecimen,2ac0bf45-36d9-4e27-960c-ab2dec438c3f,BRIT560468,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Aster|Aster subulatus,Plantae,Magnoliophyta,,Asterales,Asteraceae,Aster subulatus var. ligulatus,6780.0,Shinners,Aster,,subulatus,var.,ligulatus,Variety,Almut G. Jones,1987-00-00,,,,,,John Taylor,Connie Taylor,9065,1971-09-12,,1971.0,9.0,12.0,255.0,,,,along the river bed,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,"Along the South Canadian River bed and islands near U.S. Highway 177 bridge, 3 mile South of Asher",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,2ac0bf45-36d9-4e27-960c-ab2dec438c3f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25222823,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25260292,BRIT,SMU,,PreservedSpecimen,e5fc8634-36d1-44b3-9b78-9fef31271be5,BRIT561605,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Amorpha,Plantae,Magnoliophyta,,Fabales,Fabaceae,Amorpha laevigata,71867.0,Nutt.,Amorpha,,laevigata,,,Species,Robert L. Wilbur,1966-00-00,,,,,,Delzie Demaree,,12572,1936-05-15,,1936.0,5.0,15.0,136.0,,,rare; Collected by Nuttall in 1819 in Arkansas.,foot of hill,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6440496e-75b5-467f-94f2-5e302f52463b,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,P. O. Tecumseh,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,e5fc8634-36d1-44b3-9b78-9fef31271be5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25260292,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25263621,BRIT,BRIT,,PreservedSpecimen,b56077bb-3bb9-468c-b58e-f57967762914,BRIT562087,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Capsella,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Capsella bursa-pastoris,2166.0,(L.) Medik.,Capsella,,bursa-pastoris,,,Species,,,,,,,,Billy F. Caddell,,s.n.,1963-03-23,,1963.0,3.0,23.0,82.0,,,,"vacant lot, sandy loam; associated plants: weedy grasses etc",,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,"Shawnee, Okla",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,b56077bb-3bb9-468c-b58e-f57967762914,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25263621,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
26730941,BRIT,SMU,,PreservedSpecimen,7b698c07-c6ab-48ae-b719-b3a92eb52270,BRIT563035,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Dipsacales|Caprifoliaceae|Lonicera,Plantae,Magnoliophyta,,Dipsacales,Caprifoliaceae,Lonicera japonica,1475.0,Thunb.,Lonicera,,japonica,,,Species,,,,,,,,H. G. Williamson,,55,1948-06-27,,1948.0,6.0,27.0,179.0,,,,sandy clay soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Pottawatomie,,10 mi. W. of Shawnee,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,7b698c07-c6ab-48ae-b719-b3a92eb52270,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26730941,Pottawatomie,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
