id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
19751454,APSC,,,PreservedSpecimen,83e8b5d8-4d7e-4cdc-9f9c-5e3209dac2c1,APSC0076830,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Helenium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Helenium flexuosum,43985.0,Raf.,Helenium,,flexuosum,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Rogers,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,83e8b5d8-4d7e-4cdc-9f9c-5e3209dac2c1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19751454,Rogers,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
895871,ARIZ,,,PreservedSpecimen,urn:uuid:f97849ce-6e9e-420b-811b-9b5aedd8dde3,136428,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Amorpha,Plantae,Magnoliophyta,,Fabales,Fabaceae,Amorpha fruticosa,4030.0,L.,Amorpha,,fruticosa,,,Species,Robert L. Wilbut,1965-01-01,,,,,,B. F. Quisenberry,,59,1948-05-01,,1948.0,5.0,1.0,122.0,,"May,1,1948",,Clay Loam soil,,,,,,,,,,,Flowering,,,,,,,,,,,,,United States,Oklahoma,Rogers County,,Claremore. Stllwater,,,,,,,,,,,,,,,,,,,,,,Tammy,2013-11-07 11:43:44,196019,2,67ea35f7-4d9b-4c94-bfc1-9702704be25f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=895871,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3247296,ARIZ,,,PreservedSpecimen,urn:uuid:a540c1f7-252c-4e21-8b3a-4198acc498bf,410581,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Pellaea,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Pellaea atropurpurea,1745.0,(L.) Link,Pellaea,,atropurpurea,,,Species,Mark Fishbein,16 March 2011,,,,,,Mark Fishbein,"Lane Greer, Angela Rein, Mary Gard, Wyatt Sharber, Alesia Sharber, Ben Haack, Costas Saitanis, Kevin McDonnell",6617,2011-03-16,,2011.0,3.0,16.0,75.0,,2011-3-16,,East-facing limestone outcrop in oak woods.,,Rock crevices; uncommon.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c8a1b5ea-7e3e-47a5-9688-a8d4d60d518a,,ecologicallyOccursWith: Quercus velutina|ecologicallyOccursWith: Q. muehlenbergii|ecologicallyOccursWith: Prunus|ecologicallyOccursWith: Amelanchier|ecologicallyOccursWith: Smilax|ecologicallyOccursWith: Aquilegia,Vegetative,,,,,,,,,,,,,United States,Oklahoma,Rogers,,"Rebud Valley Nature Preserve, about 2.5 mi northwest of Catoosa, bluffs south of Bird Creek.",,,,36.0,-95.0,,,36.220465° 0' N 95.798355° 0' W,,,,,,200.0,,,,,,,,bangfour,2017-12-14 08:34:11,310437,2,3d14d059-7783-4caa-8104-f042828fdf28,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3247296,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3247386,ARIZ,,,PreservedSpecimen,urn:uuid:26170eb6-199a-414c-b133-9732424ea7b8,410629,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Enemion,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,Enemion biternatum,111062.0,Raf.,Enemion,,biternatum,,,Species,,2011,,,,,,Mark Fishbein,"Lane Greer, Angela Rein, Mary Gard, Wyatt Sharber, Alesia Sharber, Ben Haack, Costas Saitanis, Kevin McDonnell",6623,2011-03-16,,2011.0,3.0,16.0,75.0,,2011-3-16,,Stream terrace bounded by limestone cliffs.,,"Perennial, sepals white, anthers yellow, carpels green; common.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=af5274d0-abd1-46fa-b743-6883b7182941,,ecologicallyOccursWith: Celtis|ecologicallyOccursWith: Gymnocladus|ecologicallyOccursWith: Quercus rubra|ecologicallyOccursWith: Platanus|ecologicallyOccursWith: Lindera|ecologicallyOccursWith: Galium|ecologicallyOccursWith: Viola,Flowering,,,,,,,,,,,,,United States,Oklahoma,Rogers,,"Redbud Valley Nature Preserve, about 2.5 mi northwest of Catoosa, valley of Bird Creek",,,,36.220723,-95.801049,,,,,,,,,177.0,,,,,,,,ifragoso,2013-02-13 15:22:30,310530,2,1688ab70-c503-463f-8e5b-b41d83910df9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3247386,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3247387,ARIZ,,,PreservedSpecimen,urn:uuid:ba0ed623-ea6d-43cf-8658-6f126c5e7590,410628,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Magnoliids|Laurales|Lauraceae|Lindera,Plantae,Magnoliophyta,,Laurales,Lauraceae,Lindera benzoin,114391.0,(L.) Blume,Lindera,,benzoin,,,Species,,2011,,,,,,Mark Fishbein,"Lane Greer, Angela Rein, Mary Gard, Wyatt Sharber, Alesia Sharber, Ben Haack, Costas Saitanis, Kevin McDonnell",6622,2011-03-16,,2011.0,3.0,16.0,75.0,,2011-3-16,,Spring at base of limestone cliff in shallow side canyon.,,"Shrub, 1.25, carpellate flowers greenish-yellow; common.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b1f90037-55e2-42bb-9485-1b67169dc688,,ecologicallyOccursWith: Ulmus|ecologicallyOccursWith: Quercus muehlenbergii|ecologicallyOccursWith: Q. rubra|ecologicallyOccursWith: Acer saccharum|ecologicallyOccursWith: Sambucus|ecologicallyOccursWith: Symphoricarpos|ecologicallyOccursWith: Gymnocladus|ecologicallyOccursWith: Lonicera|ecologicallyOccursWith: Rosa|ecologicallyOccursWith: Aquilegia|ecologicallyOccursWith: Smilax|ecologicallyOccursWith: Elymus canadensis,Vegetative,,,,,,,,,,,,,United States,Oklahoma,Rogers,,"Redbud Valley Nature Preserve, about 2.5 mi northwest of Catoosa, bluffs south of Bird Creek.",,,,36.219793,-95.801447,,,,,,,,,185.0,,,,,,,,ifragoso,2013-02-13 15:22:30,310531,2,917a3722-f292-42b8-875e-210126c6f4cd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3247387,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
4560489,ARIZ,,,PreservedSpecimen,urn:uuid:079f24ad-57d8-4f50-a2ec-ce666921de6c,129498,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bouteloua,Plantae,Magnoliophyta,,Poales,Poaceae,Bouteloua dactyloides,17976.0,(Nutt.) J. T. Columbus,Bouteloua,,dactyloides,,,Species,ARIZ,June 2014,Nomenclatural Adjustment Fide: Aliso 18(1):63,,,,,Eleck Singleton,,90,1948-05-01,,1948.0,5.0,1.0,122.0,,1 May 1948,,,Rocky clay soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Rogers,,"Hwy. 20, 9 mi. W of Claremore; Stillwater",,,,,,,,,,,,,,,,,,,,,,Kegan,2014-07-11 14:26:15,324710,2,b47439d6-599b-4858-b104-464c07d88e0d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=4560489,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
11098461,ARIZ,,,PreservedSpecimen,urn:uuid:6e936123-076e-414c-b0a5-7547cc7b924d,426780,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Crossosomatales|Staphyleaceae|Staphylea,Plantae,Magnoliophyta,,Crossosomatales,Staphyleaceae,Staphylea trifolia,120423.0,L.,Staphylea,,trifolia,,,Species,,,,,,,,Mark Fishbein,"Angela McDonnell, Lynn Michael, Sally Tucker",7324,2014-04-06,,2014.0,4.0,6.0,96.0,,6 April 2014,,Valley Bottom - Riparian forest,,"2.5m tall, petals cream, anthers yellow; common.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9b98c8c5-9e3a-45fc-b5ea-4d0731d59028,,"Platanus, Celtis, Fraxinus, Quercus velutina, Q. Shumardii, Ulmus rubra, Symphoricarpos, Lindera, Enemion",,,,,,,,,,,,,,United States,Oklahoma,Rogers,,"Redbud Valley, side channel of Bird Creek, about 6km (air) Northwest of Catoosa",,,,36.2212,-95.8004,,,,,,,,,198.0,,,,,198m,,,jwd3,2016-06-16 13:16:25,337461,2,a268608a-bcaf-4d42-aad6-a534f697ec7c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=11098461,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
12518237,ARIZ,,,PreservedSpecimen,urn:uuid:206f937c-0092-4019-8e9e-6fa806b142d6,427557,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Packera,Plantae,Magnoliophyta,,Asterales,Asteraceae,Packera obovata,18502.0,(Muhl. ex Willd.) W. A. Weber & Á. Löve,Packera,,obovata,,,Species,Mark Fishbein,2014,,,,,,Mark Fishbein,"Angela McDonnell, Lynn Michael, Sally Tucker",7321,2014-04-06,,2014.0,4.0,6.0,96.0,,6 April 2014,,"Limestone slope, oak woods.",,"Rhizomatous perennial, 30 cm tall, yellow ray and disc florets; occasional.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6bcaa753-ca69-44a3-9605-49ede51298bb,,"Quercus velutina, Quercus muhlenbergii, Cercis, Viburnum rufidulum, Symphoricarpos",,,,,,,,,,,,,,United States,Oklahoma,Rogers,,"Redbud Valley, bluff above Bird Creek, about 6 km (air) northwest of Catoosa.",,,,36.2204,-95.7979,,,"36.2204? N, 95.7979? W",,,,,,194.0,,,,,194 m,,,Hailey,2016-09-16 13:33:45,338029,2,aa327f04-0cd5-4f24-9393-19fdae51fd7b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=12518237,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19801386,ASU,Plants,,PreservedSpecimen,93b4c222-c4e6-4c14-81e5-815016251527,ASU0110023,202931,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fagales|Juglandaceae|Carya,Plantae,Magnoliophyta,,Fagales,Juglandaceae,Carya texana,76903.0,Buckley,Carya,,texana,,,Species,,,,,,,,L. Prather,,083,1987-04-15,,1987.0,4.0,15.0,105.0,,,,Near road along E side of lake. Scattered throughout forested area.,,,,,,,,,,with several species of Quercus,,,,,,,,,,,,,,USA,Oklahoma,Rogers,,"Lake Claremore, ca 1 mi N of the dam.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,93b4c222-c4e6-4c14-81e5-815016251527,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19801386,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20947256,ASU,Plants,,PreservedSpecimen,fab10be1-1071-456b-abbb-01cfc6373a7f,ASU0118099,202978,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Papaveraceae|Dicentra,Plantae,Magnoliophyta,,Ranunculales,Papaveraceae,Dicentra cucullaria,81063.0,(L.) Bernh.,Dicentra,,cucullaria,,,Species,,,,,,,,L. Prather,,022,1987-03-18,,1987.0,3.0,18.0,77.0,,,,"Wet, shaded, N-facing slope below a limestone bluff.",,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Rogers,,Redbud Valley Nature Preserve near Bird Creek.,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,fab10be1-1071-456b-abbb-01cfc6373a7f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20947256,Rogers,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
