id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
29343562,AUA,,,PreservedSpecimen,2e535e31-1497-4b39-95ba-705d71bb6cc1,AUA000036825,78206,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,5255,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 20 ft. into elm. Sheet #2 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,"0.3 mi. E. of Pottawatomie Co. line, S. side 39.",,,,34.966938,-96.771614,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,2e535e31-1497-4b39-95ba-705d71bb6cc1,149,bf318f4e-c8b1-44cb-8789-8533f9652ce9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343562,Seminole,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343850,AUA,,,PreservedSpecimen,305bfc13-53ef-454f-b501-5ce316cd19ef,AUA000036823,78204,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis vulpina,105348.0,L.,Vitis,,vulpina,,,Species,,,,,,,,"Comeaux, Barry L.",,5254,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 20 ft. into elm.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,"0.3 mi. E. of Pottawatomie Co. line, S. side 39.",,,,34.966938,-96.771614,,,,,,,,,427.0,,,,,1400 ft.,,,,2023-07-16 07:02:03,305bfc13-53ef-454f-b501-5ce316cd19ef,149,435654e8-d68a-495d-bcc6-4bf950aeef24,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343850,Seminole,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29341950,AUA,,,PreservedSpecimen,513c4046-e66d-4ee7-945c-aa9738d5e25f,AUA000036826,78207,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis|Vitis aestivalis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis aestivalis var. linsecomii,409052.0,(Buckley) Munson ex L. H. Bailey,Vitis,,aestivalis,var.,linsecomii,Variety,,,,,,,,"Comeaux, Barry L.",,5256,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic to dry. Vining to 12 ft. into Quercus. Note; fruit dropping when ripe.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,4.3 mi. N. intersection 39/56. W. side 56.,,,,35.003687,-96.678974,,,,,,,,,427.0,,,,,1400 ft.,,,,2023-08-25 12:57:50,513c4046-e66d-4ee7-945c-aa9738d5e25f,149,4f86b380-7432-4a12-8ae4-4be47662e973,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29341950,Seminole,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29343561,AUA,,,PreservedSpecimen,5c9c7a73-88a8-4ab7-80b3-bf7095879587,AUA000036824,78205,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis riparia,105338.0,Michx.,Vitis,,riparia,,,Species,,,,,,,,"Comeaux, Barry L.",,5255,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 20 ft. into elm. Sheet #1 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,"0.3 mi. E. of Pottawatomie Co. line, S. side 39.",,,,34.966938,-96.771614,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,5c9c7a73-88a8-4ab7-80b3-bf7095879587,149,55e59964-8e57-441d-b4d4-66dc7afbe4fa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29343561,Seminole,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24018838,BRIT,BRIT,,PreservedSpecimen,38efc115-8de8-4ee8-b526-c90a6f2d3b3a,BRIT433252,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Osmundales|Osmundaceae|Osmunda,Plantae,Pteridophyta,Polypodiopsida,Osmundales,Osmundaceae,Osmunda regalis,93283.0,L.,Osmunda,,regalis,,,Species,,,,,,,,Wm. Felkner,,s.n.,1973-05-02,,1973.0,5.0,2.0,122.0,,,,Rocky rill,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,"near State Highway 9, 8 mi E of Seminole; 35.227802 -96.527487",,,,35.227802,-96.527487,WGS84,1952.0,,"mccormick, carol ann",,GeoLocate,,"= Highway 9, 8 me E of Seminole",,,,,,,,,sfrary,2023-07-16 07:02:03,,370,38efc115-8de8-4ee8-b526-c90a6f2d3b3a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24018838,Seminole,Whitelisted institutionCode; 
24155087,BRIT,BRIT,,PreservedSpecimen,ffef767d-08c2-4b4a-81ca-226124794852,BRIT447179,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa,3789.0,L.,Asclepias,,tuberosa,,,Species,,,,,,,,John E. Williams,,127,1970-06-19,,1970.0,6.0,19.0,170.0,,,,,,Flowers bright orange.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2d4e64f1-febb-42d3-a715-07a1bcafe630,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,Along I-40 right-of-way 5 mi. W. of Wewoka interchange.,,,,,,,,,,,,,,,,,,,,,,julie62,2023-07-16 07:02:03,,370,ffef767d-08c2-4b4a-81ca-226124794852,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24155087,Seminole,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24202288,BRIT,BRIT,,PreservedSpecimen,04ed8ea4-db62-4b94-9af9-d4de3246cc68,BRIT447178,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Asclepias,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Asclepias tuberosa,3789.0,L.,Asclepias,,tuberosa,,,Species,,,,,,,,G. Thomas Robbins,,3084,1948-06-05,,1948.0,6.0,5.0,157.0,,,,In partial shade of trees,Sandy soil,Corollas varying from deep orange to yellow,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4a668038-23cb-4fc5-85f9-8001b098b9ad | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=eca760ac-c807-4a21-87e2-32da74bcc2d9,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,Sandy soil in partial shade of trees above north shore of South Canadian River about 5 miles south of Konawa.,,,,,,,,,,,,,,,,,,,,,,julie62,2023-07-16 07:02:03,,370,04ed8ea4-db62-4b94-9af9-d4de3246cc68,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24202288,Seminole,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25181495,BRIT,SMU,,PreservedSpecimen,5252d96a-14c6-4289-a181-d5cdde027b87,BRIT535555,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Spermolepis,Plantae,Magnoliophyta,,Apiales,Apiaceae,Spermolepis divaricata,18761.0,(Walter) Raf.,Spermolepis,,divaricata,,,Species,,,,,,,,Delzie Demaree,,12716,1936-05-17,,1936.0,5.0,17.0,138.0,,,,Dry ridges,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8d7a8be6-e521-4c57-b44d-a54dc981ffcb,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,P. O. Seminole,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,5252d96a-14c6-4289-a181-d5cdde027b87,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25181495,Seminole,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25184914,BRIT,SMU,,PreservedSpecimen,fe245cdd-30c5-48f5-a0fc-ba96d93b72b2,BRIT537794,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Centaurea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Centaurea americana,2860.0,Nutt.,Centaurea,,americana,,,Species,,,,,,,,Floyd Simmons,,70,1948-07-02,,1948.0,7.0,2.0,184.0,,,,damp sandy soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,6 mi. N. of Wewoka,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,fe245cdd-30c5-48f5-a0fc-ba96d93b72b2,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25184914,Seminole,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25216507,BRIT,BRIT,,PreservedSpecimen,9d0503d6-8fb2-4f7d-8afc-8fc7758e989c,BRIT559525,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Oligoneuron,Plantae,Magnoliophyta,,Asterales,Asteraceae,Oligoneuron rigidum,18471.0,(L.) Small,Oligoneuron,,rigidum,,,Species,,,,,,,,Connie Taylor,,32745,1984-09-22,,1984.0,9.0,22.0,266.0,,,part of clone (32746),along roadside,,3 stems in clung,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Seminole,,½ mi E of Vamoosa,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,9d0503d6-8fb2-4f7d-8afc-8fc7758e989c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25216507,Seminole,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
