id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
19751027,APSC,,,PreservedSpecimen,525bcc89-e187-4a74-8dc6-5a503173dbb6,APSC0076359,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Rhynchospora,Plantae,Magnoliophyta,,Poales,Cyperaceae,Rhynchospora nivea,98264.0,Boeckeler,Rhynchospora,,nivea,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Stephens,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,525bcc89-e187-4a74-8dc6-5a503173dbb6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19751027,Stephens,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19751353,APSC,,,PreservedSpecimen,eb2567dd-b611-4bca-bba1-d154bf0f8756,APSC0076719,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Gentianaceae|Zeltnera,Plantae,Magnoliophyta,,Gentianales,Gentianaceae,Zeltnera beyrichii,183599.0,(Torr. & A. Gray) G. Mans.,Zeltnera,,beyrichii,,,Species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Stephens,,,,0.0,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,170,eb2567dd-b611-4bca-bba1-d154bf0f8756,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19751353,Stephens,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
919538,ARIZ,,,PreservedSpecimen,urn:uuid:01bd9b0d-b6c3-4835-84c1-12750df896b3,208757,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Saxifragales|Haloragaceae|Myriophyllum,Plantae,Magnoliophyta,,Saxifragales,Haloragaceae,Myriophyllum spicatum,717.0,L.,Myriophyllum,,spicatum,,,Species,A. Ceska,1991-07-01,,,,,,Robert Pearce,,2796,1967-07-15,,1967.0,7.0,15.0,196.0,,"July,15,1967",,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=082ffad4-6d5d-402d-a0ff-df675f96b3e8 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=86aad9ac-e584-4f9a-b23c-64e78ba366c7,,,,,,,,,,,,,,,,United States,Oklahoma,Stephens County,,Baker Lake four miles south of Bray.,,,,,,,,,,,,,,,,,,,,,,Olga,2013-11-07 11:43:44,190372,2,72898596-9532-448b-9569-65d546c7604e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=919538,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
9232452,ASU,Plants,,PreservedSpecimen,6e0be122-c64f-4e14-8093-8de0f408f292,ASU0098441,19195,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Acalypha,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Acalypha virginica,45526.0,L.,Acalypha,,virginica,,,Species,,,,,,,,WM. F. Mahler,,5040,1968-10-06,,1968.0,10.0,6.0,280.0,,,,"Sand hills, oak forest.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=dc3ce3f0-d728-4e43-90c1-55af6130faae,,,,,,,,,,,,,,,,USA,Oklahoma,Stephens,,"along Dry Creek, 4 mi S of Comanche on Hwy 81 and 2 mi W.",,,,,,,,,,,,,,,,,,,,,en,albatool,2023-07-16 07:02:03,,1,6e0be122-c64f-4e14-8093-8de0f408f292,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=9232452,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
14196803,ASU,Plants,,PreservedSpecimen,a50244fd-007a-44f8-88e6-72702f21baba,,19196,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Aristida,Plantae,Magnoliophyta,,Poales,Poaceae,Aristida oligantha,699.0,Michx.,Aristida,,oligantha,,,Species,,,,,,,,W.F. Mahler,,5055,1968-10-26,,1968.0,10.0,26.0,300.0,,,,"Sandy, disturbed area beside pond",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=13d1d22e-a037-41a0-8ed7-00278044acc6,,,,,,,,,,,,,,,,USA,Oklahoma,Stephens,,"near Dry Creek, 4 mi S of Comanche on Hwy 81 and 2 mi W.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,a50244fd-007a-44f8-88e6-72702f21baba,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14196803,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
15784279,ASU,Plants,,PreservedSpecimen,fbf2e312-bfcd-4131-afee-d320b351e678,,19361,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Eragrostis,Plantae,Magnoliophyta,,Poales,Poaceae,Eragrostis oxylepis,64479.0,Torr.,Eragrostis,,oxylepis,,,Species,,,,,,,,W.F. Mahler,,5053,1968-10-26,,1968.0,10.0,26.0,300.0,,,,"Sandy, disturbed area beside pond",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=5f6ff9f8-26fb-4d7b-bb57-eb119e0530b0,,,,,,,,,,,,,,,,USA,Oklahoma,Stephens,,"near Dry Creek, 4 mi S of Comanche on Hwy 81 and 2 mi W.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,fbf2e312-bfcd-4131-afee-d320b351e678,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=15784279,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17631844,ASU,Plants,,PreservedSpecimen,ec5cbb77-c972-49c3-859a-2fdaa63b49a0,,36428,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Psoralea,Plantae,Magnoliophyta,,Fabales,Fabaceae,Psoralea digitata,67717.0,Nutt. ex Torr. & Gray,Psoralea,,digitata,,,Species,D. Keil,1969,,,,,,W.F. Mahler,,702,1959-05-31,,1959.0,5.0,31.0,151.0,,,,"Sand, forested area",,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Stephens,,5 mi SSW of Comanche,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,ec5cbb77-c972-49c3-859a-2fdaa63b49a0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17631844,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
17731810,ASU,Plants,,PreservedSpecimen,1ae5c3b9-5155-4bc8-8f29-07ed6cdd7300,,37076,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Strophostyles,Plantae,Magnoliophyta,,Fabales,Fabaceae,Strophostyles helvola,102703.0,(L.) Elliott,Strophostyles,,helvola,,,Species,,,,,,,,W.F. Mahler,,5045,1968-10-06,,1968.0,10.0,6.0,280.0,,,,"Sand hills, oak forest.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=61a76bee-1903-4c3c-8014-e4467a0cc96b | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=32c068b4-455d-49f9-800b-11d76297659f,,,,,,,,,,,,,,,,USA,Oklahoma,Stephens,,"along Dry Creek, 4 mi S of Comanche on Hwy 81 and 2 mi W.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,1ae5c3b9-5155-4bc8-8f29-07ed6cdd7300,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=17731810,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20440330,ASU,Plants,,PreservedSpecimen,f747ca21-5ef5-404d-9768-cc2858d9a473,ASU0113925,60517,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Menispermaceae|Cocculus,Plantae,Magnoliophyta,,Ranunculales,Menispermaceae,Cocculus carolinus,78576.0,(L.) DC.,Cocculus,,carolinus,,,Species,,,,,,,,W.F. Mahler,,5047,1968-10-26,,1968.0,10.0,26.0,300.0,,,,Climbing vine on tree,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0238f787-0e4e-4127-8ba9-28450079bd34,,,,,,,,,,,,,,,,USA,Oklahoma,Stephens,,"near Dry Creek, 4 mi S of Comanche on Hwy 81 and 2 mi W.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,f747ca21-5ef5-404d-9768-cc2858d9a473,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20440330,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20525831,ASU,Plants,,PreservedSpecimen,443134c4-d702-4935-b383-67b212198fa4,ASU0114620,135182,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Nyctaginaceae|Mirabilis,Plantae,Magnoliophyta,,Caryophyllales,Nyctaginaceae,Mirabilis albida,3327.0,(Walter) Heimerl,Mirabilis,,albida,,,Species,,,,,,,,N. Rich,J. Rich,1351,1978-10-01,,1978.0,10.0,1.0,274.0,,,,Bottomland hardwoods,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e0614d84-19b7-48ae-b455-a74c7426669c | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1fadda65-dae1-431b-9e77-9954f97db5b7,,,,,,,,,,,,,,,,USA,Oklahoma,Stephens,,"2.3 mi S of Ok. Hwy 53, 1 mi W of Comanche High School, Comanche",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,443134c4-d702-4935-b383-67b212198fa4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20525831,Stephens,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
