id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
21259733,ARIZ,,,PreservedSpecimen,urn:uuid:c750b001-c63a-4afc-9429-15424357ec18,113852,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Myrtales|Onagraceae|Oenothera|Oenothera capillifolia,Plantae,Magnoliophyta,,Myrtales,Onagraceae,Oenothera capillifolia subsp. berlandieri,323250.0,(Spach) W. L. Wagner & Hoch,Oenothera,,capillifolia,subsp.,berlandieri,Subspecies,Nomenclatural adjustment ARIZ,Jan 2019,PhytoKeys 28: 61-72,,,,,Charles Smith,,2020,1940-07-06,,1940.0,7.0,6.0,188.0,,7/6/40,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9a6ac642-2ea9-413b-8d61-0fd2a4773011,,,,,,,,,,,,,,,,United States,Oklahoma,Tillman,,"Area 5A, 2.6 mi. w. of Tipton",,,,,,,,,,,,,,,,,,,,,,jsblack,2019-02-04 08:25:48,355053,2,41553837-9903-48a4-9ff3-05a952a06489,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21259733,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
8467131,ASU,Plants,,PreservedSpecimen,7904f482-b1b6-42c1-86d9-df3a751bf1cd,ASU0094539,17122,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Amaryllidaceae|Allium,Plantae,Magnoliophyta,,Asparagales,Amaryllidaceae,Allium drummondii,17857.0,Regel,Allium,,drummondii,,,Species,,,,,,,,S. Stephens,,20365,1968-05-12,,1968.0,5.0,12.0,133.0,,,,Prairie roadside right of way. Common.,Dry sandy red soil.,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9a23ee04-79fc-47a2-afa1-2fca7e72e024,,,,,,,,,,,,,,,,USA,Oklahoma,Tillman,,4 mi N Grandfield.,,0.0,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,7904f482-b1b6-42c1-86d9-df3a751bf1cd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=8467131,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27605851,ASU,Plants,,PreservedSpecimen,25f88e55-1223-4de2-a725-0821d922d06e,ASU0309890,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Cactaceae|Cylindropuntia,Plantae,Magnoliophyta,,Caryophyllales,CACTACEAE,Cylindropuntia davisii,18115.0,(Engelm. & Bigelow) F.M. Knuth,Cylindropuntia,,davisii,,,Species,,,,,,,,Marc A. Baker,Michelle Cloud-Hughes,19823.2,2018-12-01,,,,,,,1 December 2018,,Low sand hills.,,"Many individuals scattered over a large area but many appearing dead, to 1m tall and 1.5m broad; photos.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=848c6ea6-c919-4c86-a564-bb80ac5bba23,,"Aristida glauca, Artemisia filifolia, Croton texensis, Cylindropuntia leptocaulis, Eriogonum multiflorum, Juniperus pinchotii, Juniperus virginiana, Prunus angustifolia, Yucca arkansana.",,,,,,,,,,,,,,United States,OKLAHOMA,Tillman County,,"1.2km north of the Red River, 3km west of Bottle Creek, 2km south of central Davidson, 74km SW of central Lawton.",,0.0,,34.2246,-99.083,WGS84,,N34.2246° W099.0830° (WGS84),,,Davidson 7.5' USGS topographic quadrangle,,,358.0,,,,,1175 ft.,,,Sixclawed,2023-07-16 07:02:03,,1,25f88e55-1223-4de2-a725-0821d922d06e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27605851,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
27606873,ASU,Plants,,PreservedSpecimen,f9e9a873-e45b-4f16-85a3-60685d810f34,ASU0309893,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Cactaceae|Cylindropuntia,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia davisii,18115.0,(Engelm. & Bigelow) F.M. Knuth,Cylindropuntia,,davisii,,,Species,,,,,,,,Marc A. Baker,Michelle Cloud-Hughes,19823.1,2018-12-01,,,,,,,1 December 2018,,Low sand hills.,,"Many individuals scattered over a large area but many appearing dead, to 1m tall and 1.5m broad; photos.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0fcfc220-002e-4591-a89d-92eb10038eea | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f8dd00a0-1912-476a-9afb-6c9f2d168741,,"Aristida glauca, Artemisia filifolia, Croton texensis, Cylindropuntia leptocaulis, Eriogonum multiflorum, Juniperus pinchotii, Juniperus virginiana, Prunus angustifolia, Yucca arkansana.",,,,,,,,,,,,,,United States,Oklahoma,Tillman,,"1.2km north of the Red River, 3km west of Bottle Creek, 2km south of central Davidson, 74km SW of central Lawton.",,0.0,,34.2246,-99.083,NAD83/WGS84,,N34.2246° W099.0830°,,,,,,358.0,,,,,1175 ft.,,,Sixclawed,2023-07-16 07:02:03,,1,f9e9a873-e45b-4f16-85a3-60685d810f34,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27606873,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28839244,ASU,Plants,,PreservedSpecimen,1c8e8dd3-bbad-4bd9-9c77-bc875526b5a1,ASU0311141,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Cactaceae|Opuntia,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Opuntia macrorhiza,3374.0,Engelm.,Opuntia,,macrorhiza,,,Species,,,,,,,,Marc A. Baker,Michelle Cloud-Hughes,19824.1,2018-12-01,,2018.0,12.0,1.0,335.0,,1 December 2018,,Low sand hills.,,"Many individuals scattered over a large area but many appearing dead, to 1m tall and 1.5m broad; photos.",,,,,,,,"Aristida glauca, Artemisia filifolia, Croton texensis, Cylindropuntia leptocaulis, Eriogonum multiflorum, Juniperus pinchotii, Juniperus virginiana, Prunus angustifolia, Yucca arkansana.",,,,,,,,,,,,,,United States,OKLAHOMA,Tillman County,,"1.2km north of the Red River, 3km west of Bottle Creek, 2km south of central Davidson, 74km SW of central Lawton.",,0.0,,34.2246,-99.083,WGS84,,N34.2246° W099.0830° (WGS84),,,Davidson 7.5' USGS topographic quadrangle,,,358.0,,,,,1175 ft.,,,mlsarkis,2023-09-07 15:58:05,,1,1c8e8dd3-bbad-4bd9-9c77-bc875526b5a1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28839244,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29341783,AUA,,,PreservedSpecimen,042c4bbd-556a-4bf8-9f41-112e9f187c55,AUA000036810,78191,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis acerifolia,18856.0,Raf.,Vitis,,acerifolia,,,Species,,,,,,,,"Comeaux, Barry L.",,5237,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 20 ft. into elm. with Phylloxera with fruit.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Tillman,,"Hwy 183 at Red River. N. side of River, W. side of rd.",,,,34.213371,-99.081698,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,042c4bbd-556a-4bf8-9f41-112e9f187c55,149,767e6a01-68aa-4406-8b5b-57520e2cd242,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29341783,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29341782,AUA,,,PreservedSpecimen,99e5b85a-626c-4d53-8ef1-f7b475ac0576,AUA000036809,78190,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis acerifolia,18856.0,Raf.,Vitis,,acerifolia,,,Species,,,,,,,,"Comeaux, Barry L.",,5236,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 15 ft. into Soapberry. Sheet #2 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Tillman,,"Hwy 183 at Red River. N. side of River, E. side of rd.",,,,34.213231,-99.080929,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,99e5b85a-626c-4d53-8ef1-f7b475ac0576,149,b8ba5e9f-ad15-47cb-9a73-7948236da04f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29341782,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
29341781,AUA,,,PreservedSpecimen,b48b0239-2118-4c71-8953-883ff5bb4686,AUA000036808,78189,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Vitales|Vitaceae|Vitis,Plantae,Magnoliophyta,,Vitales,Vitaceae,Vitis acerifolia,18856.0,Raf.,Vitis,,acerifolia,,,Species,,,,,,,,"Comeaux, Barry L.",,5236,1992-08-10,,1992.0,8.0,10.0,223.0,,08/10/1992,,Mesic. Vining to 15 ft. into Soapberry. Sheet #1 of 2.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Tillman,,"Hwy 183 at Red River. N. side of River, E. side of rd.",,,,34.213231,-99.080929,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,b48b0239-2118-4c71-8953-883ff5bb4686,149,7dd96fd0-8977-4d8d-abce-51989bcbd722,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29341781,Tillman,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21536129,BRIT,BRIT,,PreservedSpecimen,0fcfc220-002e-4591-a89d-92eb10038eea,BRIT446901,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Cactaceae|Cylindropuntia,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia davisii,18115.0,(Engelm. & Bigelow) F.M. Knuth,Cylindropuntia,,davisii,,,Species,,,,,,,,Marc A. Baker,Michelle Cloud-Hughes,19823.1,2018-12-01,,2018.0,12.0,1.0,335.0,,,Many individuals scattered over a large area but many appearing dead. Photos on sheet. Sheet 1 of 2. Sheet 2: [BRIT446902],low sand hills,,to 1m tall and 1.5 broad,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f8dd00a0-1912-476a-9afb-6c9f2d168741 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f9e9a873-e45b-4f16-85a3-60685d810f34,,"Aristida glauca, Artemisia filifolia, Croton texensis, Cylindropuntia leptocaulis, Eriogonum multiflorum, Juniperus pinchotii, Juniperus virginiana, Prunus angustifolia, Yucca arkansana",,,,,,,,,,,,,,United States,Oklahoma,Tillman,,"Davidson 7.5' USGS topographic quadrangle Zone 14 04 92 359mE 37 87 057mN (NAD83), N34.2246° W099.0830° (WGS84). 1.2 km north of the Red River, 3 km west of Bottle Creek, 2 km south of central Davidson, 74 km SW of central Lawton",,0.0,,34.2246,-99.083,WGS84,,N34.2246° W099.0830°,,,,,,358.0,,,,,0358m (1175ft),,,apbordelon,2023-07-16 07:02:03,,370,0fcfc220-002e-4591-a89d-92eb10038eea,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21536129,Tillman,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21536132,BRIT,BRIT,,PreservedSpecimen,f8dd00a0-1912-476a-9afb-6c9f2d168741,BRIT446902,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Cactaceae|Cylindropuntia,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Cylindropuntia davisii,18115.0,(Engelm. & Bigelow) F.M. Knuth,Cylindropuntia,,davisii,,,Species,,,,,,,,Marc A. Baker,Michelle Cloud-Hughes,19823.1,2018-12-01,,,,,,,,Many individuals scattered over a large area but many appearing dead. Photos on sheet 1. Sheet 2 of 2. Sheet 1: [BRIT446901],low sand hills,,to 1m tall and 1.5 broad,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0fcfc220-002e-4591-a89d-92eb10038eea | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=f9e9a873-e45b-4f16-85a3-60685d810f34,,"Aristida glauca, Artemisia filifolia, Croton texensis, Cylindropuntia leptocaulis, Eriogonum multiflorum, Juniperus pinchotii, Juniperus virginiana, Prunus angustifolia, Yucca arkansana",,,,,,,,,,,,,,United States,Oklahoma,Tillman,,"Davidson 7.5' USGS topographic quadrangle Zone 14 04 92 359mE 37 87 057mN (NAD83), N34.2246° W099.0830° (WGS84). 1.2 km north of the Red River, 3 km west of Bottle Creek, 2 km south of central Davidson, 74 km SW of central Lawton",,0.0,,34.2246,-99.083,WGS84,,N34.2246° W099.0830°,,,,,,358.0,,,,,0358m (1175ft),,,apbordelon,2023-07-16 07:02:03,,370,f8dd00a0-1912-476a-9afb-6c9f2d168741,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21536132,Tillman,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
