id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
22185599,AUA,,,PreservedSpecimen,362b9c49-f915-11e2-9428-c94601350785,AUA000018669,60738,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Paspalum,Plantae,Magnoliophyta,,Poales,Poaceae,Paspalum setaceum,866.0,Michx.,Paspalum,,setaceum,,,Species,,,,,,,,"Banks, Donald J.",,1806,1962-08-19,,1962.0,8.0,19.0,231.0,,08/19/1962,,ROADSIDE PARK.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,"5.8 MILES SOUTHEAST OF LEONARD, OK. ON U.S. HWY 64.",,,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,362b9c49-f915-11e2-9428-c94601350785,149,34334179-d519-4e7e-9ec8-5c3857818667,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=22185599,Wagoner,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24528034,BRIT,SMU,,PreservedSpecimen,e4e72ebc-f179-4fb2-9eac-04ea1500d9c7,BRIT440453,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Gentianales|Apocynaceae|Amsonia,Plantae,Magnoliophyta,,Gentianales,Apocynaceae,Amsonia tabernaemontana,56831.0,Walter,Amsonia,,tabernaemontana,,,Species,"Justin Williams (LL,TEX)",1992,,,,,,Robert Bebb,,4327,1939-06-17,,1939.0,6.0,17.0,168.0,,,,Shaded ravine,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=85730ea8-22e7-4f38-ac54-405affa07387,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,[No additional locality data on sheet],,0.0,,,,,,,,,,,,,,,,,,,,sfrary,2023-07-16 07:02:03,,370,e4e72ebc-f179-4fb2-9eac-04ea1500d9c7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24528034,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24936499,BRIT,SMU,,PreservedSpecimen,359b61a8-dac5-4751-9689-10007bec7c26,BRIT534010,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Sapindales|Anacardiaceae|Cotinus,Plantae,Magnoliophyta,,Sapindales,Anacardiaceae,Cotinus obovatus,79136.0,Raf.,Cotinus,,obovatus,,,Species,,,,,,,,Tracey Harmon,Keith Kessler,98,1979-09-29,,1979.0,9.0,29.0,272.0,,,,growing on limestone bluffs,,12 ft. in height,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4d41b55d-690b-4806-9cad-ada269682812,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,5.5 miles E. of Okay. Left side of highway 251,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,359b61a8-dac5-4751-9689-10007bec7c26,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24936499,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25177902,BRIT,BRIT,,PreservedSpecimen,553b730b-44d5-4a3c-baa9-7309ad60aae1,BRIT535803,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Ambrosia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Ambrosia artemisiifolia,2747.0,L.,Ambrosia,,artemisiifolia,,,Species,,,,,,,,D. Benesh,"B. Hoaland, N. McCarty",CH0174,1996-09-26,,1996.0,9.0,26.0,270.0,,,[Collected by the Oklahoma Biological Survey for Oklahoma Department of Wildlife Conservation] [Location information recorded for 'Atlas of the Flora of Oklahoma' Under the direction of B.W. Hoagland 2000],Disturbed area.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=725d1c9b-8c29-474b-a694-06fde2958c85,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,"Chouteau WMA, UTM (³?755?²803).",,0.0,,35.899146,-95.434328,,,UTM (³?755?²803),,,,,[Expanded shortened UTM coordinates on label to produce decimal lat/long],,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,553b730b-44d5-4a3c-baa9-7309ad60aae1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25177902,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; 
25182970,BRIT,SMU,,PreservedSpecimen,17e9ee48-c47b-43f3-87ea-bc112914e171,BRIT535708,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Magnoliids|Piperales|Aristolochiaceae|Aristolochia,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia tomentosa,72989.0,Sims,Aristolochia,,tomentosa,,,Species,Robert Stratton,,,,,,,Geo T. Ratliffe,,s.n.,1939-08-14,,1939.0,8.0,14.0,226.0,,,,Growing on the edge of the woods along the S bank of the river,,climbing 20 to 30 ft into the trees,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,along the S bank of the Verdigris R.. (S.C.S. Nursery); about 1 mi. W of Okay,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,17e9ee48-c47b-43f3-87ea-bc112914e171,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25182970,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25182974,BRIT,SMU,,PreservedSpecimen,2115ba2f-772b-4140-b015-f146afcb904f,BRIT535707,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Magnoliids|Piperales|Aristolochiaceae|Aristolochia,Plantae,Magnoliophyta,,Piperales,Aristolochiaceae,Aristolochia tomentosa,72989.0,Sims,Aristolochia,,tomentosa,,,Species,,,,,,,,Geo. T. Ratliffe,,s.n.,1939-08-14,,1939.0,8.0,14.0,226.0,,,,Growing on the edge of the woods along the S bank of the river,,climbing 20 to 30 ft into the trees,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,along the S bank of the Verdigris R.. (S.C.S. Nursery); about 1 mi. W of Okay,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,2115ba2f-772b-4140-b015-f146afcb904f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25182974,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25195129,BRIT,SMU,,PreservedSpecimen,7102ee28-06b0-47c3-82f6-8c0647bf1404,BRIT527753,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Coreopsis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Coreopsis grandiflora,3597.0,Hogg ex Sweet,Coreopsis,,grandiflora,,,Species,Mesfin Tadesse,2007-05-02,,,,,,Robert Bebb,,3940,1939-05-15,,1939.0,5.0,15.0,135.0,,,,prairies along railroad,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=af64c6bd-d8f2-4904-a01e-47f1100f1684 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=424c4a0a-a6f9-411e-80c9-898c3621f040,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,Prairies along the RR N of Wagoner,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,7102ee28-06b0-47c3-82f6-8c0647bf1404,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25195129,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25199641,BRIT,SMU,,PreservedSpecimen,df57c0b2-5b5f-45d2-bba3-0512a7761f5c,BRIT542215,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Echinacea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Echinacea pallida,43810.0,(Nutt.) Nutt.,Echinacea,,pallida,,,Species,R. L. McGregor,1961-01-09,,,,,,E. W. Lathrop,,3757,1957-06-10,,1957.0,6.0,10.0,161.0,,,,On a rocky roadside bank bordering a prairie pasture.,,Rays pink.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0e907760-ba8b-11e3-8cfe-90b11c41863e,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,6 miles south of Wagoner.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,df57c0b2-5b5f-45d2-bba3-0512a7761f5c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25199641,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25201793,BRIT,BRIT,,PreservedSpecimen,19320633-fa4f-496a-8c6e-5f3fe5d46a24,BRIT547050,07105,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Euthamia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Euthamia gymnospermoides,84348.0,Greene,Euthamia,,gymnospermoides,,,Species,,,,,,,,Connie Taylor,,28414,1979-09-29,,1979.0,9.0,29.0,272.0,,,,collected along the roadside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6bb14d1c-826e-4066-b240-a0e37dec09c5,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,"2.1 miles east of Okay, on State Hwy. #25",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,19320633-fa4f-496a-8c6e-5f3fe5d46a24,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25201793,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25204097,BRIT,BRIT,,PreservedSpecimen,6bb14d1c-826e-4066-b240-a0e37dec09c5,BRIT546994,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Euthamia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Euthamia gymnospermoides,84348.0,Greene,Euthamia,,gymnospermoides,,,Species,,,,,,,,Connie Taylor,,28414,1979-09-29,,1979.0,9.0,29.0,272.0,,,,collected along the roadside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=19320633-fa4f-496a-8c6e-5f3fe5d46a24,,,,,,,,,,,,,,,,United States,Oklahoma,Wagoner,,"2.1 miles east of Okay, on State Hwy. #251",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,6bb14d1c-826e-4066-b240-a0e37dec09c5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25204097,Wagoner,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
