id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
29059914,APCR,,,PreservedSpecimen,4acb252a-35eb-463b-84de-440142a11671,APCR013114,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Amaryllidaceae|Allium,Plantae,Magnoliophyta,,Asparagales,Amaryllidaceae,Allium mutabile,62142.0,,Allium,,mutabile,,,Species,,,,,,,,G. E. Tucker,,7032,1968-05-04,,1968.0,5.0,4.0,125.0,,4 May 1968,,Prairie.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Washington,,2 mi. N of Tulsa-Washington Co. line.,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-19 13:29:46,,148,4acb252a-35eb-463b-84de-440142a11671,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=29059914,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
3848018,APSC,,,PreservedSpecimen,1a559c09-cc24-4f21-874a-e707a1003320,APSC0002103,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Penstemon,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Penstemon tubaeflorus,189359.0,Nutt.,Penstemon,,tubaeflorus,,,Species,,,,,,,,"D. West, M. Shelby, A. Hicks",,47052,1972-06-00,,1972.0,6.0,0.0,,,June 1972,,Roadside.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Washington,,Dry Roadside,,0.0,,,,,,,,,,,,,,,,,1000,,,,2023-07-16 07:02:03,,170,1a559c09-cc24-4f21-874a-e707a1003320,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=3848018,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24823846,ARIZ,,,PreservedSpecimen,urn:uuid:13664804-3d73-4cf9-8e34-a32854e7d5a1,438581,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Liatris,Plantae,Magnoliophyta,,Asterales,Asteraceae,Liatris mucronata,44106.0,Torr. & Gray,Liatris,,mucronata,,,Species,A.D. Thomas,1968,,,,,,A.D. Thomas,,L-39,1968-09-28,,1968.0,9.0,28.0,272.0,,28 September 1968,,Rocky limestone hill.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=706bdf79-6974-4038-8433-683be70c5455 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7b4a6aff-1c4e-4f53-846c-4cee6e93a6c0,,,,,,,,,,,,,,,,United States,Oklahoma,Washington,,Ramona; 2.5 mi W of US 75 at Ramona.,,,,,,,,,,,,,,,,,,,,,,nferguson,2020-02-24 12:31:53,360466,2,d1bf667e-8033-4a49-adfb-00f0357b7d03,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24823846,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21934413,ASU,Plants,,PreservedSpecimen,3e4fbd5b-745b-49fe-b3e1-8b43f31f4091,ASU0124497,124140,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Ranunculaceae|Anemone,Plantae,Magnoliophyta,,Ranunculales,Ranunculaceae,Anemone caroliniana,72060.0,Walter,Anemone,,caroliniana,,,Species,,,,,,,,S. Stephens,,29977,1969-04-16,,1969.0,4.0,16.0,106.0,,,,Black Jack oak-prairie hillside. Dry rocky sandstone soil. Common.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Washington,,3 mi N Copan,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,3e4fbd5b-745b-49fe-b3e1-8b43f31f4091,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21934413,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
24891773,ASU,Plants,,PreservedSpecimen,4a00df27-c959-45b9-b32d-4cd8f5a1597d,ASU0133094,173337,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Violaceae|Viola,Plantae,Magnoliophyta,,Malpighiales,Violaceae,Viola bicolor,2484.0,Pursh,Viola,,bicolor,,,Species,,,,,,,,S. Stephens,,29978,1969-04-16,,1969.0,4.0,16.0,106.0,,,,Black Jack Oak-prairie hillside. Dry rocky sandstone soil. Common.,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Washington,,3 mi N of Copan,,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,4a00df27-c959-45b9-b32d-4cd8f5a1597d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=24891773,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21593081,BALT,,,PreservedSpecimen,,,048112,,,,,,,Callitriche heterophylla Verbena canescens,,,,,,,,,,,,,,,,C. McDonald,,917,1973-06-09,,1973.0,6.0,9.0,160.0,,6/9/1973,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c15089ac-b386-4f48-8c7c-fcb36bbb5155 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d851be30-b163-4dc5-b4e3-2ad54d9e035b,,,flowering and fruiting,,,,,,,,,,,,,United States,Oklahoma,Washington,,Oglesby,,,,,,,,,,,,,,,,,,,,,,preprocessed,2023-07-16 07:02:03,,331,74fe400c-4997-476b-a78f-bb6044d6e83f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21593081,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28236565,BAYLU,BAYLU,,PreservedSpecimen,696d61de-90bf-470b-8667-b929158f175f,BAYLU062151,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Brassica|Brassica kaber,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Brassica kaber var. pinnatifida,9462.0,(Stokes) L.C. Wheeler,Brassica,,kaber,var.,pinnatifida,Variety,,,,,,,,B.A. Friend,,62,1994-04-03,,1994.0,4.0,3.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Washington,,1 mi. E of Osage Co. in Bartlesville,,0.0,,36.744284,-95.947269,WGS84,9648.0,,Hamzah_Hamzah1@baylor.edu (2023-03-06 09:45:00),,georef batch tool 2023-03-05; GeoLocate,,,,,,,,,,,Alejandro_Ayala1@baylor.edu,2023-07-16 07:02:03,,463,696d61de-90bf-470b-8667-b929158f175f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28236565,Washington,Null georeferenceRemarks; 
28238868,BAYLU,BAYLU,,PreservedSpecimen,82d5c15e-9f1d-45ac-9a15-852fa066662f,BAYLU053084,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Verbenaceae|Verbena,Plantae,Magnoliophyta,,Lamiales,Verbenaceae,Verbena canadensis,28586.0,Britton,Verbena,,canadensis,,,Species,,,,,,,,B.A. Friend,,71,1994-04-03,,1994.0,4.0,3.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Washington,,2 mi. E of Osage Co line; Bartlesville. OK,,0.0,,36.747306,-95.944621,WGS84,10307.0,,Hamzah_Hamzah1@baylor.edu (2023-03-07 00:59:36),,georef batch tool 2023-03-06; GeoLocate,,,,,,,,,,,Alejandro_Ayala1@baylor.edu,2023-07-16 07:02:03,,463,82d5c15e-9f1d-45ac-9a15-852fa066662f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28238868,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28241996,BAYLU,BAYLU,,PreservedSpecimen,8bc68d0a-a0bd-46a0-a95a-551bdcddfdf7,BAYLU026427,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Montiaceae|Claytonia,Plantae,Magnoliophyta,,Caryophyllales,Montiaceae,Claytonia virginica,49074.0,L.,Claytonia,,virginica,,,Species,,,,,,,,E. Coulon,,116,2011-04-14,,2011.0,4.0,14.0,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Washington,,,,0.0,,,,,,,,,,,,,,,,,,,,Andrea_conley1,2023-07-16 07:02:03,,463,8bc68d0a-a0bd-46a0-a95a-551bdcddfdf7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28241996,Washington,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
28251582,BAYLU,BAYLU,,PreservedSpecimen,0fb5a2f3-7b93-4e96-a042-997684e087e9,BAYLU060148,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Rosales|Ulmaceae|Ulmus,Plantae,Magnoliophyta,,Rosales,Ulmaceae,Ulmus americana,34349.0,L.,Ulmus,,americana,,,Species,,,,,,,,B.A. Friend,,80,1994-04-03,,1994.0,4.0,3.0,93.0,,3 April 1994,,greatly shaded area,,,,,,,,,,,,,,,,,,,,,,,,USA,Oklahoma,Washington,,2 mi. E of Osage Co line; Bartlesville. OK,,0.0,,36.747306,-95.944621,WGS84,10307.0,,Hamzah_Hamzah1@baylor.edu (2023-03-07 01:15:26),,georef batch tool 2023-03-06; GeoLocate,,,,,,,,,,,albert_zertuche@baylor.edu,2023-07-16 07:02:03,,463,0fb5a2f3-7b93-4e96-a042-997684e087e9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=28251582,Washington,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
