id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county,filterFailed
30945290,APCR,,,PreservedSpecimen,9f430dc0-5166-48f8-a949-792baeec412f,APCR016382,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Polygalaceae|Polygala,Plantae,Magnoliophyta,,Fabales,Polygalaceae,Polygala alba,2438.0,Nutt.,Polygala,,alba,,,Species,,,,,,,,D. M. Moore,,62-37,1962-04-26,,1962.0,4.0,26.0,116.0,,26 April 1962,,Roadside.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Washita,,,,0.0,,,,,,,,,,,,,,,,,,,,acorlett54,2023-07-16 07:02:03,,148,9f430dc0-5166-48f8-a949-792baeec412f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=30945290,Washita,Null locality; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
954748,ARIZ,,,PreservedSpecimen,urn:uuid:1448afb2-78e1-4ade-bdec-9469d5220a2d,258466,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Chenopodium,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Chenopodium leptophyllum,177.0,(Moq.) Nutt. ex S. Wats.,Chenopodium,,leptophyllum,,,Species,V.L. Bohrer,1985-09-26,,,,,,V. L. Bohrer,,3064,1985-09-26,,1985.0,9.0,26.0,269.0,,"September,26,1985",,Sandy soil in roadside draw; between cultivated fields.,,,,,,,,,,ecologicallyOccursWith: Populus|ecologicallyOccursWith: Celtis|ecologicallyOccursWith: Sapindus,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Washita County,,About 5 miles east of Burn's Flat.,,,,,,,,,,,,,,,,,,,,,,Becky,2013-11-07 11:43:44,207651,2,bf4305a4-396b-46b6-af88-a3bb5f617dc0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=954748,Washita,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
20786388,ARIZ,,,PreservedSpecimen,urn:uuid:d689e5d8-6649-4b37-b19a-59c8c67958f9,258464,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales,Plantae,Magnoliophyta,,Poales,Poaceae,Andropogon gerardi nothosubsp. chrysocomus,,(Nash) Wipff,,,,,,,ARIZ nomenclatural adjustment,Mar 2017,CNWG,,,,,Vorsila L. Bohrer,,3062,1985-09-26,,1985.0,9.0,26.0,269.0,,"Sept. 26, 1984",,At lower margin of a railroad embankment,In sandy soil,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Washita,,About 5.5 mi E of Burn's Flat,,,,,,,,,,,,,,,,,,,,,,eaf25,2018-09-27 13:27:38,352920,2,e4ebad4a-de4d-4dea-a924-c403f73a16f6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=20786388,Washita,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
880838,ARIZ,,,PreservedSpecimen,urn:uuid:df63d1f6-2c07-4158-b10a-7c089c6d5a80,70446,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Stillingia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Stillingia sylvatica,18784.0,L.,Stillingia,,sylvatica,,,Species,Michael J. Huft,2011-01-01,,,,,,Charles Smith,,2035,1940-07-07,,1940.0,7.0,7.0,189.0,,"July,7,1940",,Sandy prairie.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=617cb925-8a56-4428-a2e5-68255666ef2b,,,Reproductive,,,,,,,,,,,,,United States,Oklahoma,Washita County,,Area 15.,,,,,,,,,,,,,,,,,,,,,,,2013-11-07 11:43:44,78315,2,88151776-9892-4dcf-92e5-9faefdea0559,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=880838,Washita,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
16871979,ASU,Plants,,PreservedSpecimen,2b40e088-4e74-401f-b804-49e87be7af6e,,167882,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Acacia|Acacia angustissima,Plantae,Magnoliophyta,,Fabales,Fabaceae,Acacia angustissima var. hirta,11953.0,(Nutt.) B.L. Robins.,Acacia,,angustissima,var.,hirta,Variety,"J.E. Ebinger, D.S. Seigler",2000,,,,,,Bennett,"Dunn, Dziekanowski",377,1976-07-15,,1976.0,7.0,15.0,197.0,,,,Sandy soil.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=6d030dd6-f9e6-459d-a05b-cf588942d722 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=urn:catalog:MO:Tropicos:1613371 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=105ff8f6-a598-43c9-81b9-8a65494e4002 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b06c2230-dc45-49ac-83be-abf12cf7aa64 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=48FE547C-537E-4AF2-9F97-BB412462C847,,,,,,,,,,,,,,,,United States,Oklahoma,Washita,,"Collected along US 40 & 66, roadside ditch and bank. Area mostly cultivated. 1 mi E of Elk City exit.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,2b40e088-4e74-401f-b804-49e87be7af6e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=16871979,Washita,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
19853656,ASU,Plants,,PreservedSpecimen,578e72eb-034a-49b8-bc42-12a08ba9705c,ASU0110767,167886,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Lamiaceae|Monarda,Plantae,Magnoliophyta,,Lamiales,Lamiaceae,Monarda citriodora,993.0,Cerv. ex Lag.,Monarda,,citriodora,,,Species,,,,,,,,Bennett,"Dunn, Dziekanowski",382,1976-07-15,,1976.0,7.0,15.0,197.0,,1976-7-15,,Roadside ditch and bank. Area mostly cultivated. Sandy soil,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=fd3cc37e-215f-4299-bbfd-aa41754d3f7d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8a0219ea-cca8-4af4-8ca5-61bca55f2921 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=15107334-13ec-49bb-aa99-4d4b3ddd7494,,,,,,,,,,,,,,,,United States,Oklahoma,Washita,,"Along us 40 and 66,1 Mi E of Elk City exit.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,578e72eb-034a-49b8-bc42-12a08ba9705c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=19853656,Washita,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21170974,ASU,Plants,,PreservedSpecimen,fd5159fc-25af-4287-b81e-43c1e35e96dc,ASU0119387,167884,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Plantago,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Plantago lanceolata,739.0,L.,Plantago,,lanceolata,,,Species,,,,,,,,"Bennett, Dunn, Dziekanowski",,384,1976-07-15,,1976.0,7.0,15.0,197.0,,,,roadside ditch and bank. Sandy soil.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3ab3fb14-708f-4f1d-9240-4c8699c0885a | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=urn:catalog:MO:Tropicos:3241531 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=5b4c48e5-d141-444a-8392-3f6ab6a4f274,,,,,,,,,,,,,,,,USA,Oklahoma,Washita,,"along US 40 & 66, 1 mi E of Elk City exit.",,,,,,,,,,,,,,,,,,,,,,BettyDavidson,2023-07-16 07:02:03,,1,fd5159fc-25af-4287-b81e-43c1e35e96dc,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21170974,Washita,Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
21191720,BRIT,BRIT,,PreservedSpecimen,f84672ec-a19b-4275-bcba-f8a529ee9abb,BRIT550471,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Cactaceae|Echinocereus|Echinocereus reichenbachii,Plantae,Magnoliophyta,,Caryophyllales,Cactaceae,Echinocereus reichenbachii var. reichenbachii,82039.0,(Terscheck ex Walp.) hort ex Haage,Echinocereus,,reichenbachii,var.,reichenbachii,Variety,,,,,,,,Robert Ross,,307,1977-10-00,,1977.0,10.0,,,,October 1977,,Clay hills.,,,,,,,,,,,,,,,,,,,,,,,,United States,Oklahoma,Washita,,Two miles East and one and a quarter miles North of Foss. Clay hills.,,,,,,,,,,,,,,,,,,,,,,JLippert,2023-07-16 07:02:03,,370,f84672ec-a19b-4275-bcba-f8a529ee9abb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=21191720,Washita,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25181424,BRIT,BRIT,,PreservedSpecimen,881b1937-51e4-4251-b3ca-34252e677366,BRIT526722,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Bidens,Plantae,Magnoliophyta,,Asterales,Asteraceae,Bidens frondosa,1325.0,L.,Bidens,,frondosa,,,Species,,,,,,,,Bruce Hoagland,"Amy Buthod, Newel McCarty",AB-2784,2000-09-26,,2000.0,9.0,26.0,270.0,,,devil's beggartick,Roadside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=05565947-2ea5-4ce1-8527-d64579f282da,,,,,,,,,,,,,,,,United States,Oklahoma,Washita,,"Burns Flat; 4.0 mi S & ca. 3.0 mi W of Burns Flat, OK on Hwy 152. T10N, R19W, Sec. 33. 14S 0481306 3906935",,,,35.305436,-99.205629,,,"T10N, R19W, Sec. 33. 14S 0481306 3906935",,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,881b1937-51e4-4251-b3ca-34252e677366,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25181424,Washita,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
25188200,BRIT,BRIT,,PreservedSpecimen,e8c1edc2-ad94-4037-be31-949e057dfcad,BRIT537854,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Chaetopappa,Plantae,Magnoliophyta,,Asterales,Asteraceae,Chaetopappa ericoides,1185.0,(Torr.) G.L. Nesom,Chaetopappa,,ericoides,,,Species,,,,,,,,Amy Buthod,Bruce Hoagland,AB-3714,2003-05-07,,2003.0,5.0,7.0,127.0,,,,roadside,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c051f036-479f-4122-9724-179860170189,,,,,,,,,,,,,,,,United States,Oklahoma,Washita,,"Foss; Ca. 0.4 mi SE of Foss, OK on I-40. T11N R19W Sec. 12.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,370,e8c1edc2-ad94-4037-be31-949e057dfcad,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=25188200,Washita,Whitelisted institutionCode; Coordinate uncertainty too high or missing; Null georeferenceRemarks; 
