id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
26997177,ACU,,,PreservedSpecimen,add4a5b0-7f61-45de-a08d-1a0eb2555437,ACU0000426,5669,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Eragrostis,Plantae,Magnoliophyta,,Poales,Poaceae,Eragrostis poaeoides,64481.0,P.Beauv.,Eragrostis,,poaeoides,,,Species,,,,,,,,Don Foster,,s.n.,1967-10-15,,1967.0,10.0,15.0,288.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,"15 mi south of Odessa, Texas; Interstate 20.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,add4a5b0-7f61-45de-a08d-1a0eb2555437,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26997177,Crane
27454184,ACU,,,PreservedSpecimen,5118739d-4858-4caa-bf66-60c6cab7da08,ACU0001351,1381,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Biscutella,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Biscutella wislizeni,127183.0,Benth. & Hook.f. ex S.Wats.,Biscutella,,wislizeni,,,Species,,,,,,,,Barbara Bowles,,s.n.,1965-04-15,,1965.0,4.0,15.0,105.0,,,Common.,Roadside park. Soil sandy; field.,,Color before pressing: white.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,10 mi. below Odessa.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,5118739d-4858-4caa-bf66-60c6cab7da08,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27454184,Crane
27454186,ACU,,,PreservedSpecimen,31f127d7-7e24-4fb8-b8d4-d67407e3c9ce,ACU0001352,1382,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Biscutella,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Biscutella wislizeni,127183.0,Benth. & Hook.f. ex S.Wats.,Biscutella,,wislizeni,,,Species,,,,,,,,Kechney,Peeble,s.n.,1965-04-15,,1965.0,4.0,15.0,105.0,,,Common.,Roadside park.,,White.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,10 mi. below Odessa.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,31f127d7-7e24-4fb8-b8d4-d67407e3c9ce,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27454186,Crane
27502775,ACU,,,PreservedSpecimen,7ee431bc-7b76-4e3b-95a9-bd0399767659,ACU0003685,1763,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Helenium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Helenium tenuifolium,65021.0,Nutt.,Helenium,,tenuifolium,,,Species,,,,,,,,Robert F. Patton,,s.n.,1965-04-15,,1965.0,4.0,15.0,105.0,,,Common.,Soil sandy; roadsides and fields.,,Color before pressing: yellow.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,"Highway 385, 5 mi. N. of Crane.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,7ee431bc-7b76-4e3b-95a9-bd0399767659,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27502775,Crane
14226506,BRIT,SMU,,PreservedSpecimen,8fc35cc1-a97e-44ae-913d-4782be737300,BRIT260359,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Perezia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Perezia wrightii,9759.0,A. Gray,Perezia,,wrightii,,,Species,,,,,,,,B. C. Tharp,,s.n.,1941-07-11,,1941.0,7.0,11.0,192.0,,1941-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,6 mi S Crane.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,8fc35cc1-a97e-44ae-913d-4782be737300,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226506,Crane
14228362,BRIT,SMU,,PreservedSpecimen,aed93a8a-05d8-4132-887c-0b6e7ccd6381,BRIT261126,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Anthemideae|Artemisia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Artemisia filifolia,1403.0,Torr.,Artemisia,,filifolia,,,Species,,,,,,,,L. C. Hinckley,Leon Hinckley,213,1949-07-31,,1949.0,7.0,31.0,212.0,,1949-07-31,Numerous,In the sand on highway.,,Shrubs.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,On highway about 20 mi. ne. Grandfalls.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,aed93a8a-05d8-4132-887c-0b6e7ccd6381,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14228362,Crane
14231474,BRIT,SMU,,PreservedSpecimen,8ba44676-f067-403a-b7c0-3a57572cf488,BRIT286645,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Erigeron|Erigeron bellidiastrum,Plantae,Magnoliophyta,,Asterales,Asteraceae,Erigeron bellidiastrum var. arenarius,82802.0,(Greene) G.L. Nesom,Erigeron,,bellidiastrum,var.,arenarius,Variety,Nesom,2003-00-00,,,,,,Lloyd H. Shinners,,31250,1966-05-08,,1966.0,5.0,8.0,128.0,,1966-05-08,,"Roadside, in sand.",,"Rays white above, rose-violet beneath; disk yellow.",,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,7.6 miles north of Crane.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,8ba44676-f067-403a-b7c0-3a57572cf488,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14231474,Crane
14232076,BRIT,SMU,,PreservedSpecimen,79d70563-d37c-4732-be65-66304fe56d5c,BRIT273005,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Bahia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Bahia absinthifolia,2812.0,Benth.,Bahia,,absinthifolia,,,Species,LHS,1951-04-21,,,,,,B. C. Tharp,,s.n.,1941-07-11,,1941.0,7.0,11.0,192.0,,1941-07-11,,Mesa.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,Mesa 8 mi. S of Crane.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,79d70563-d37c-4732-be65-66304fe56d5c,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14232076,Crane
14237980,BRIT,SMU,,PreservedSpecimen,f6c4b3f5-d4a4-425e-89d0-c8feda42a286,BRIT315198,,Plantae|Tracheophyta|Spermatophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales,Plantae,Magnoliophyta,,Asterales,Asteraceae,Lactuca serriola f. spinulosa,,,,,,,,,"H. W. Radloff, Jr.",1961-07-00,,,,,,B. C. Tharp,,s.n.,1941-07-11,,1941.0,7.0,11.0,192.0,,1941-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,4 mi S Crane.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,f6c4b3f5-d4a4-425e-89d0-c8feda42a286,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14237980,Crane
14239657,BRIT,SMU,,PreservedSpecimen,1797c90b-412d-490f-9613-d9dbc82bd85b,BRIT309987,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Hymenopappus,Plantae,Magnoliophyta,,Asterales,Asteraceae,Hymenopappus flavescens,3862.0,A. Gray,Hymenopappus,,flavescens,,,Species,,,,,,,,Lloyd H. Shinners,,31253,1966-05-08,,1966.0,5.0,8.0,128.0,,1966-05-08,,"Roadside, in sand.",,Flowers with sickly-sweet scent; corollas dark yellow.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crane,,7.6 miles north of Crane.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,1797c90b-412d-490f-9613-d9dbc82bd85b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14239657,Crane
