id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
26997442,ACU,,,PreservedSpecimen,10b14451-da7b-474e-9fb6-3f89c60528b5,ACU0000671,001166,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Setaria,Plantae,Magnoliophyta,,Poales,Poaceae,Setaria macrostachya,2660.0,Kunth,Setaria,,macrostachya,,,Species,,,,,,,,Arvil Owen,,4,1961-07-11,,1961.0,7.0,11.0,192.0,,,,Upland.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,Edwards Plat.,,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,10b14451-da7b-474e-9fb6-3f89c60528b5,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26997442,Crockett
27453986,ACU,,,PreservedSpecimen,50bd0155-d2f6-4598-a2f0-55ce9cba0dba,ACU0001280,1977,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Berberidaceae|Mahonia,Plantae,Magnoliophyta,,Ranunculales,Berberidaceae,Mahonia trifoliolata,10817.0,(Moric.) Fedde,Mahonia,,trifoliolata,,,Species,,,,,,,,Arvil Owen,,3,1966-07-11,,1966.0,7.0,11.0,192.0,,,,Upland soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,Edwards Plateau.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,50bd0155-d2f6-4598-a2f0-55ce9cba0dba,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27453986,Crockett
27495327,ACU,,,PreservedSpecimen,98b1ec9b-c141-41f1-9a46-1e6cd60c4a58,ACU0002102,1643,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Euphorbia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Euphorbia marginata,3322.0,Pursh,Euphorbia,,marginata,,,Species,Ashley Bordelon,2021-01-22,,,,,,Arvil Owen,,8,1966-07-11,,1966.0,7.0,11.0,192.0,,,,Upland.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,Edwards Plateau.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,98b1ec9b-c141-41f1-9a46-1e6cd60c4a58,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27495327,Crockett
27495344,ACU,,,PreservedSpecimen,e0f07dd9-135b-4e19-af7b-23761f6716ea,ACU0002119,2525,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Stillingia,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Stillingia sylvatica,18784.0,L.,Stillingia,,sylvatica,,,Species,,,,,,,,Arvil Owen,,9,1966-07-11,,1966.0,7.0,11.0,192.0,,,,Upland.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,Edwards Plateau.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,e0f07dd9-135b-4e19-af7b-23761f6716ea,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27495344,Crockett
27495377,ACU,,,PreservedSpecimen,a0958fb1-25fa-4132-adf3-e7ff255991ba,ACU0002152,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Sapindales|Sapindaceae|Sapindus,Plantae,Magnoliophyta,,Sapindales,Sapindaceae,Sapindus drummondii,15950.0,Hook. & Arn.,Sapindus,,drummondii,,,Species,,,,,,,,Amy McNamara,,s.n.,1994-04-12,,1994.0,4.0,12.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,Ozona,[No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,a0958fb1-25fa-4132-adf3-e7ff255991ba,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27495377,Crockett
27495410,ACU,,,PreservedSpecimen,81cd7ef5-a36d-48eb-be9d-6494d0fc8640,ACU0002181,6348,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Malvales|Malvaceae|Callirhoe,Plantae,Magnoliophyta,,Malvales,Malvaceae,Callirhoe involucrata,3735.0,(Torr. & A. Gray) A. Gray,Callirhoe,,involucrata,,,Species,,,,,,,,Miller Talbot,,s.n.,1994-04-24,,1994.0,4.0,24.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,"City Park, Ozona.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,81cd7ef5-a36d-48eb-be9d-6494d0fc8640,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27495410,Crockett
27496191,ACU,,,PreservedSpecimen,21c406b1-8eb8-40c8-b317-aba966167b5b,ACU0002465,2168,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Phellopterus,Plantae,Magnoliophyta,,Apiales,Apiaceae,Phellopterus montanus,70123.0,Nutt. ex Torr. & Gray,Phellopterus,,montanus,,,Species,,,,,,,,Larry Green,,s.n.,1966-03-10,,1966.0,3.0,10.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,Ozona,[No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,21c406b1-8eb8-40c8-b317-aba966167b5b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27496191,Crockett
14221960,BRIT,BRIT,,PreservedSpecimen,60fc6d4e-50ec-4c58-be2d-2feb00cb4ba6,BRIT241804,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cheilanthes,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes feei,1852.0,T. Moore,Cheilanthes,,feei,,,Species,,,,,,,,Susan Barber,,564,1973-07-08,,1973.0,7.0,8.0,189.0,,,,Limestone ledges of Juniper-Dalea complex,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e04b6512-be2a-485a-8175-02a1c36a6655 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c9ba137e-be8a-4253-a872-9c2828e83d14,,Dalea,,,,,,,,,,,,,,United States,Texas,Crockett,,15 miles West of Ozona on U.S. Highway 290.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,60fc6d4e-50ec-4c58-be2d-2feb00cb4ba6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221960,Crockett
14221961,BRIT,BRIT,,PreservedSpecimen,c9ba137e-be8a-4253-a872-9c2828e83d14,BRIT241803,,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cheilanthes,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes feei,1852.0,T. Moore,Cheilanthes,,feei,,,Species,,,,,,,,Susan Barber,,564,1973-07-08,,1973.0,7.0,8.0,189.0,,,,Limestone ledges of Juniper-Dalea complex,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e04b6512-be2a-485a-8175-02a1c36a6655 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=60fc6d4e-50ec-4c58-be2d-2feb00cb4ba6,,Dalea,,,,,,,,,,,,,,United States,Texas,Crockett,,15 miles West of Ozona on U.S. Highway 290.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,c9ba137e-be8a-4253-a872-9c2828e83d14,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221961,Crockett
14222079,BRIT,BRIT,,PreservedSpecimen,069dffc9-8849-4ae2-97ee-c3f11459929a,BRIT241728,,Plantae|Tracheophyta|Lycopodiophyta|Lycopodiopsida|Selaginellales|Selaginellaceae|Selaginella,Plantae,Lycopodiophyta,Lycopodiopsida,Selaginellales,Selaginellaceae,Selaginella wrightii,18733.0,Hieron.,Selaginella,,wrightii,,,Species,,,,,,,,Donna I. Ryman,,89,1977-04-22,,1977.0,4.0,22.0,112.0,,,,found growing in disturbed soil,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,5 miles south of Ozona,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,069dffc9-8849-4ae2-97ee-c3f11459929a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222079,Crockett
14222962,BRIT,BRIT,,PreservedSpecimen,2a3da381-7dfc-4428-a82f-440cc6cf045f,BRIT35081,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Brickellia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Brickellia dentata,75092.0,(DC.) Sch. Bip.,Brickellia,,dentata,,,Species,R. J. O'Kennon,,,,,,,R. J. O'Kennon,,10944,1992-10-30,,1992.0,10.0,30.0,304.0,,1992-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,"I-10 milepost 351, ca 16 mi W of Ozona.",,,,30.6939,-101.458,,1000.0,,,,,,,684.0,,,,,,,,,2017-05-16 16:24:41,,370,2a3da381-7dfc-4428-a82f-440cc6cf045f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222962,Crockett
14223405,BRIT,BRIT,,PreservedSpecimen,93e721d7-2132-4ba9-aabf-ffb25a8d949b,BRIT240447,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Selenia,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Selenia jonesii,100845.0,Cory,Selenia,,jonesii,,,Species,Lillis Urban (NMC),2010-00-00,,,,,,Wm. F. Mahler,Lorene Mahler,8844,1981-03-13,,1981.0,3.0,13.0,72.0,,1981-03-13,,Wet draw along roadside.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,Howard Creek and jct of Hwy 137 & 190.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,93e721d7-2132-4ba9-aabf-ffb25a8d949b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223405,Crockett
14223406,BRIT,BRIT,,PreservedSpecimen,6dd164a7-09ff-497b-a83a-0c73730b0885,BRIT240446,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Selenia,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Selenia jonesii,100845.0,Cory,Selenia,,jonesii,,,Species,,,,,,,,Wm. F. Mahler,"W. L. Baggett, Jr.",8843,1981-03-13,,1981.0,3.0,13.0,72.0,,1981-03-13,Endemic. Type locality.,Draw in pasture.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,"6-mile Waterhole in Johnson Draw, W. L. Baggett Ranch, 3 mi N of Ozona.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,6dd164a7-09ff-497b-a83a-0c73730b0885,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223406,Crockett
14224617,BRIT,BRIT,,PreservedSpecimen,502fae3b-89c2-45cd-b051-27dd4421e5b6,BRIT256917,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Rosales|Rosaceae|Crataegus,Plantae,Magnoliophyta,,Rosales,Rosaceae,Crataegus turnerorum,79644.0,Enquist,Crataegus,,turnerorum,,,Species,,,,,,,,Marshall Enquist,,1677,1990-04-09,,1990.0,4.0,9.0,99.0,,1990-04-09,T#-505.,,,15 purple anthers.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2d7e331c-1986-4f75-89f0-ee0d21808501 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=757d0d19-1a84-490a-a3c7-15d885a35e3d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=urn:catalog:MO:Tropicos:101120836,,,,,,,,,,,,,,,,United States,Texas,Crockett,,SE corner. Jackson Draw on Velma Hunt Ranch. S side of dirt road.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,502fae3b-89c2-45cd-b051-27dd4421e5b6,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14224617,Crockett
14225726,BRIT,SMU,,PreservedSpecimen,64ac8d17-3454-4bcf-8d34-53ea0592212f,BRIT245505,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus mollissimus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus mollissimus var. coryi,74012.0,Tidestr.,Astragalus,,mollissimus,var.,coryi,Variety,,,,,,,,Marcus E. Jones,,26075,1930-04-13,,1930.0,4.0,13.0,103.0,,1930-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,Ozona.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,64ac8d17-3454-4bcf-8d34-53ea0592212f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225726,Crockett
14225731,BRIT,SMU,,PreservedSpecimen,2e1f26b5-e8e8-43e6-9920-c0428b7200c8,BRIT245457,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus mollissimus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus mollissimus var. coryi,74012.0,Tidestr.,Astragalus,,mollissimus,var.,coryi,Variety,,,,,,,,V. L. Cory,,53399,1947-04-23,,1947.0,4.0,23.0,113.0,,1947-04-23,Frequent.,In valley os small draw.,,"Stems branched at base, the branches decumbent, up to 2.5 dm. long or more.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=473a9672-affb-4075-9db6-b33676e9e24e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=948bc3d8-a356-4bcf-adc4-3e20cbc8dc5d,,,,,,,,,,,,,,,,United States,Texas,Crockett,,14 miles south of Salviastrum Mesa.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,2e1f26b5-e8e8-43e6-9920-c0428b7200c8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225731,Crockett
14225732,BRIT,BRIT,,PreservedSpecimen,3a868cb8-7a47-4882-babc-172814550e0a,BRIT245456,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus mollissimus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus mollissimus var. coryi,74012.0,Tidestr.,Astragalus,,mollissimus,var.,coryi,Variety,,,,,,,,V. L. Cory,,49162,1945-04-19,,1945.0,4.0,19.0,109.0,,1945-04-19,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=5c9aa3cc-8d8a-413d-9483-dcbf4ae4e66e,,,,,,,,,,,,,,,,United States,Texas,Crockett,,23 mi. N. and E. of Ozona.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,3a868cb8-7a47-4882-babc-172814550e0a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225732,Crockett
14225733,BRIT,SMU,,PreservedSpecimen,63b27d1f-3c5f-41d7-8060-c93ce56a47df,BRIT245455,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Astragalus|Astragalus mollissimus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Astragalus mollissimus var. coryi,74012.0,Tidestr.,Astragalus,,mollissimus,var.,coryi,Variety,,,,,,,,V. L. Cory,,49169,1945-04-20,,1945.0,4.0,20.0,110.0,,1945-04-20,,Bissett pasture.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,17 miles north of Ozona. Bissett pasture.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,63b27d1f-3c5f-41d7-8060-c93ce56a47df,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225733,Crockett
14226113,BRIT,BRIT,,PreservedSpecimen,20f5e1fc-4edd-4685-b0f7-b85feb8812f9,BRIT259010,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Rosales|Rosaceae|Prunus,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus havardii,97037.0,(W. Wight) S.C. Mason,Prunus,,havardii,,,Species,,,,,,,,Wm. R. Carr,Pat McNeal,12119,1992-07-09,,1992.0,7.0,9.0,191.0,,1992-07-09,Numerous.,On dry limestone outcrops (Segovia Formation) exposed at top of steep W to NW facing slope.,,Many-branched shrub 3-4 ft. tall.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=019f494a-04cc-40c4-8d81-3ac69cca1361,,,,,,,,,,,,,,,,United States,Texas,Crockett,,"Ca. 100-1000 ft. S of S end of picnic area on ridgetop, SE side of US Rt. 290, ca. 3-4 mi. E of Live Oak Creek. Fort Lancaster Quadrangle. 304102N, 1014022W.",,0.0,,30.683889,-101.672778,,,"30° 41' 02"" N 101° 40' 22"" W",,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,20f5e1fc-4edd-4685-b0f7-b85feb8812f9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226113,Crockett
14226114,BRIT,BRIT,,PreservedSpecimen,1e867b72-1604-43ba-91eb-0da619282a13,BRIT259009,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Rosales|Rosaceae|Prunus,Plantae,Magnoliophyta,,Rosales,Rosaceae,Prunus havardii,97037.0,(W. Wight) S.C. Mason,Prunus,,havardii,,,Species,,,,,,,,Benny J. Simpson,,914242,1991-04-24,,1991.0,4.0,24.0,114.0,,1991-04-24,Atypical Prunus harvardii. First time collected east of Pecos River.,In limestone soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Crockett,,Lancaster Hill.,,0.0,,,,,,,,,,,,760.0,,,,,760 m,,,,2023-07-16 07:02:03,,370,1e867b72-1604-43ba-91eb-0da619282a13,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226114,Crockett
14226564,BRIT,BRIT,,PreservedSpecimen,c0bf727a-a762-46bc-b2a6-a932f05f6ae8,BRIT01839,01839,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Aphanostephus,Plantae,Magnoliophyta,,Asterales,Asteraceae,Aphanostephus riddellii,17890.0,Torr. & Gray,Aphanostephus,,riddellii,,,Species,B. A. Birdsong (TEX),1972-00-00,,,,,,V. L. Cory,,53419,1947-04-23,,1947.0,4.0,23.0,113.0,,1947-04-23,Frequent.,"Upper valleys and usually in protection of catclaw, etc.",,"Stems branched at base, up to 2.5 dm. tall.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8e804933-4b15-4b27-a505-4a34da67c6ac | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9aeefad7-cfc4-4a26-a792-a41d7b4f3572,,,,,,,,,,,,,,,,United States,Texas,Crockett,,"Salviastrum Mesa, 32 airline miles N.W. of Ozona.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,c0bf727a-a762-46bc-b2a6-a932f05f6ae8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226564,Crockett
