id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
26995837,ACU,,,PreservedSpecimen,bf2c2580-6354-4da5-be2b-86cbb54a0562,ACU0000263,4362,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Bouteloua,Plantae,Magnoliophyta,,Poales,Poaceae,Bouteloua gracilis,713.0,(Kunth) Lag. ex Griffiths,Bouteloua,,gracilis,,,Species,,,,,,,,W. F. Finley,,s.n.,1975-08-16,,1975.0,8.0,16.0,228.0,,,Voucher for MS thesis (Pop. 15),Clay-caliche soil.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,0.7 mi S from JCT of FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,bf2c2580-6354-4da5-be2b-86cbb54a0562,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26995837,Hudspeth
26996049,ACU,,,PreservedSpecimen,1c2b3d20-ad70-48be-92f5-ddb18b0b5daa,ACU0000314,4387,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae,Plantae,Magnoliophyta,,Poales,Poaceae,Bromus,4596.0,L.,Bromus,,,,,Genus,,,,,,,,W. F. Finley,,435,1975-08-16,,1975.0,8.0,16.0,228.0,,,,"Loamy clay soil, rocky.",,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,9.6 mi E from Jct FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,1c2b3d20-ad70-48be-92f5-ddb18b0b5daa,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26996049,Hudspeth
26997298,ACU,,,PreservedSpecimen,98c8cbca-990f-4a25-846b-a25fe16dcd3b,ACU0000548,4415,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Muhlenbergia,Plantae,Magnoliophyta,,Poales,Poaceae,Muhlenbergia setifolia,418.0,Vasey,Muhlenbergia,,setifolia,,,Species,,,,,,,,W. F. Finley,,434,1975-08-16,,1975.0,8.0,16.0,228.0,,,,"Loamy clay soil, rocky.",,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,9.6 mi E from Jct FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,98c8cbca-990f-4a25-846b-a25fe16dcd3b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26997298,Hudspeth
26997437,ACU,,,PreservedSpecimen,20fc7d64-0acd-4599-a7f3-69849984ad63,ACU0000666,4434,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Setaria,Plantae,Magnoliophyta,,Poales,Poaceae,Setaria leucopila,804.0,(Scribn. & Merr.) K. Schum.,Setaria,,leucopila,,,Species,,,,,,,,W. F. Finley,,433,1975-08-16,,1975.0,8.0,16.0,228.0,,,,"Loamy clay soil, rocky.",,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,9.6 mi E from Jct FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,20fc7d64-0acd-4599-a7f3-69849984ad63,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26997437,Hudspeth
26997731,ACU,,,PreservedSpecimen,e3fd2f5d-a5f5-4975-a869-bae440e1d931,ACU0000714,4428,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Sporobolus,Plantae,Magnoliophyta,,Poales,Poaceae,Sporobolus contractus,3213.0,A.S. Hitchc.,Sporobolus,,contractus,,,Species,,,,,,,,W. F. Finley,,431,1975-08-16,,1975.0,8.0,16.0,228.0,,,,"Loamy clay soil, rocky.",,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,9.6 mi E from Jct FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,e3fd2f5d-a5f5-4975-a869-bae440e1d931,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26997731,Hudspeth
26997772,ACU,,,PreservedSpecimen,d36c1e73-f204-420c-8940-19de858d8e5a,ACU0000730,4426,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Sporobolus,Plantae,Magnoliophyta,,Poales,Poaceae,Sporobolus flexuosus,3215.0,(Thurb. ex Vasey) Rydb.,Sporobolus,,flexuosus,,,Species,,,,,,,,W. F. Finley,,432,1975-08-16,,1975.0,8.0,16.0,228.0,,,,"Loamy clay soil, rocky.",,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,9.6 mi E from Jct FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,d36c1e73-f204-420c-8940-19de858d8e5a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26997772,Hudspeth
26998396,ACU,,,PreservedSpecimen,36993c70-632e-43a7-ba3f-308905553f43,ACU0000773,4422,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Tridens,Plantae,Magnoliophyta,,Poales,Poaceae,Tridens muticus,3251.0,(Torr.) Nash,Tridens,,muticus,,,Species,,,,,,,,W. F. Finley,,437,1975-08-16,,1975.0,8.0,16.0,228.0,,,,"Loamy clay soil, rocky.",,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,9.6 mi E from Jct FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,36993c70-632e-43a7-ba3f-308905553f43,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=26998396,Hudspeth
27452496,ACU,,,PreservedSpecimen,79e14155-173c-4f39-9976-a6c56abec205,ACU0000104,4378,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Poaceae|Aristida,Plantae,Magnoliophyta,,Poales,Poaceae,Aristida hamulosa,14609.0,Henr.,Aristida,,hamulosa,,,Species,,,,,,,,W. F. Finley,,436,1975-08-16,,1975.0,8.0,16.0,228.0,,,,"Loamy clay soil, rocky.",,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,9.6 mi E from Jct FM 1111 and US 80.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,79e14155-173c-4f39-9976-a6c56abec205,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27452496,Hudspeth
14222135,BRIT,BRIT,,PreservedSpecimen,7eae1b96-0883-4da1-9845-705e88b0be5d,BRIT21049,21049,Plantae|Tracheophyta|Pteridophyta|Polypodiopsida|Polypodiales|Pteridaceae|Cheilanthes,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cheilanthes eatoni,49041.0,Baker,Cheilanthes,,eatoni,,,Species,,,,,,,,Jim Blassingame,Jack W. Stanford,1130,1969-07-28,,1969.0,7.0,28.0,209.0,,,very common,limestone ledges,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=5a00e31b-b9cd-4fbc-92d1-9cd987044bc8 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=421a0c2e-d970-4954-9834-f1d6a42fe8ac | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=24f11167-a0e9-4ccc-89af-b8937857bef2 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e7ccbc29-aa7d-47a0-bd1c-e9d8f00b10da,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,McKittrick Canyon,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,7eae1b96-0883-4da1-9845-705e88b0be5d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222135,Hudspeth
14222671,BRIT,BRIT,,PreservedSpecimen,0b4edaee-450e-437a-9f78-f42ffb2a7987,BRIT35079,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Brickellia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Brickellia parvula,2833.0,A. Gray,Brickellia,,parvula,,,Species,R. J. O'Kennon,,,,,,,R. J. O'Kennon,,10962,1992-11-13,,1992.0,11.0,13.0,318.0,,1992-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Hudspeth,,Cornudas Mts ca 0.8 mi S of TX-NM State line.,,,,31.9897,-105.543,,,,,,,,,1658.0,,,,,,,,,2017-05-16 16:24:41,,370,0b4edaee-450e-437a-9f78-f42ffb2a7987,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222671,Hudspeth
