id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
14225208,BRIT,SMU,,PreservedSpecimen,0a62291f-22b8-4837-b944-5094398025bd,BRIT245089,,Plantae|Spermatophyta|Tracheophyta|Gnetophyta|Gnetopsida|Ephedrales|Ephedraceae|Ephedra,Plantae,Gnetophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra coryi,18175.0,E.L. Reed,Ephedra,,coryi,,,Species,DSC,1965-00-00,,,,,,Barton H. Warnock,,10657,1952-07-13,,1952.0,7.0,13.0,195.0,,1952-07-13,,In deep sandy soil along highway.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ae93b26b-b5f4-472e-bda7-6dd81fe1efbe | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=339e31f2-3d82-4600-93fc-9b3a5f36fc0c,,,,,,,,,,,,,,,,United States,Texas,Loving,,Along highway between Wink and Mentone.,,0.0,,,,,,,,,,,,823.0,,,,,2700 feet,,,,2023-07-16 07:02:03,,370,0a62291f-22b8-4837-b944-5094398025bd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225208,Loving
14225209,BRIT,SMU,,PreservedSpecimen,cb6f187a-6a0a-4322-925b-55f9871a2428,BRIT245088,,Plantae|Spermatophyta|Tracheophyta|Gnetophyta|Gnetopsida|Ephedrales|Ephedraceae|Ephedra,Plantae,Gnetophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra coryi,18175.0,E.L. Reed,Ephedra,,coryi,,,Species,DSC,1965-00-00,,,,,,Barton H. Warnock,,10713,1952-07-13,,1952.0,7.0,13.0,195.0,,1952-07-13,Infrequent.,In sandy soil along highway.,,Perennial.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a0fb39ad-1cc6-41ea-a462-a902c182bf01 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7413ef3c-9a66-4223-84c1-77bed0520d0d | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=355d77de-c423-4824-8e1a-92b072f1cf7f,,,,,,,,,,,,,,,,United States,Texas,Loving,,Along highway between Wink and Mentone.,,0.0,,,,,,,,,,,,823.0,,,,,2700 feet,,,,2023-07-16 07:02:03,,370,cb6f187a-6a0a-4322-925b-55f9871a2428,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225209,Loving
14225210,BRIT,SMU,,PreservedSpecimen,7413ef3c-9a66-4223-84c1-77bed0520d0d,BRIT245087,,Plantae|Spermatophyta|Tracheophyta|Gnetophyta|Gnetopsida|Ephedrales|Ephedraceae|Ephedra,Plantae,Gnetophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra coryi,18175.0,E.L. Reed,Ephedra,,coryi,,,Species,DSC,1965-00-00,,,,,,Barton H. Warnock,,10713,1952-07-13,,1952.0,7.0,13.0,195.0,,1952-07-13,Infrequent.,In sandy soil along highway.,,Perennial.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a0fb39ad-1cc6-41ea-a462-a902c182bf01 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cb6f187a-6a0a-4322-925b-55f9871a2428 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=355d77de-c423-4824-8e1a-92b072f1cf7f,,,,,,,,,,,,,,,,United States,Texas,Loving,,Along highway between Wink and Mentone.,,0.0,,,,,,,,,,,,823.0,,,,,2700 feet,,,,2023-07-16 07:02:03,,370,7413ef3c-9a66-4223-84c1-77bed0520d0d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225210,Loving
14226448,BRIT,SMU,,PreservedSpecimen,cacddb6b-9802-41fc-a9bd-7fe4ec4877f1,BRIT260387,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Perezia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Perezia nana,9757.0,A. Gray,Perezia,,nana,,,Species,,,,,,,,T. F. Stuessy,,189,1965-07-10,,1965.0,7.0,10.0,191.0,,1965-07-10,,"Dry sandy soil, but slightly more moist than surrounding area.",,Compositae; shrub.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=4cf8cc43-ab3d-4b26-b0ee-da7767e81364,,,,,,,,,,,,,,,,United States,Texas,Loving,,2 mi. N. of Mentone on dirt road.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,cacddb6b-9802-41fc-a9bd-7fe4ec4877f1,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226448,Loving
14229316,BRIT,SMU,,PreservedSpecimen,06249cc9-a59b-4d05-96ef-ec7b37e40099,BRIT251642,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Martyniaceae|Proboscidea,Plantae,Magnoliophyta,,Lamiales,Martyniaceae,Proboscidea sabulosa,18629.0,Correll,Proboscidea,,sabulosa,,,Species,Raul Gutierrez,2006-00-00,,,,,,Barton H. Warnock,,10708,1952-07-13,,1952.0,7.0,13.0,195.0,,1952-07-13,Infrequent.,In deep sandy soil.,,Fruits; annual,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Loving,,Along highway between Wink and Mentone.,,0.0,,,,,,,,,,,,823.0,,,,,2700 feet,,,,2023-07-16 07:02:03,,370,06249cc9-a59b-4d05-96ef-ec7b37e40099,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14229316,Loving
14229770,BRIT,SMU,,PreservedSpecimen,156192da-88ae-4a93-a6f7-ebb021fe6205,BRIT01990,01990,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Aphanostephus|Aphanostephus skirrhobasis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Aphanostephus skirrhobasis var. skirrhobasis,72372.0,(DC.) Trel.,Aphanostephus,,skirrhobasis,var.,skirrhobasis,Variety,B. A. Sorrie,1972-00-00,,,,,,Billie Lee Turner,,985,1949-06-03,,1949.0,6.0,3.0,154.0,,1949-06-03,Freq.,In red sandy soil.,,"Annual; ray florets large, white.",,,,,,,,,,,,,,,,,,,,,,United States,Texas,Loving,,10 mi. East Mentone.,,0.0,,,,,,,,,,,,792.0,,,,,2600 feet,,,,2023-07-16 07:02:03,,370,156192da-88ae-4a93-a6f7-ebb021fe6205,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14229770,Loving
14230152,BRIT,SMU,,PreservedSpecimen,ad353075-39fa-49c9-b32e-f20827df8561,BRIT277717,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Leucosyris,Plantae,Magnoliophyta,,Asterales,Asteraceae,Leucosyris spinosa,10601.0,(Benth.) Greene,Leucosyris,,spinosa,,,Species,LHS,1949-09-26,,,,,,Billie Lee Turner,,994,1949-06-03,,1949.0,6.0,3.0,154.0,,1949-06-03,Freq.,In limestone soil.,,Tall white flwd.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Loving,,1 mi. W. Mentone.,,0.0,,,,,,,,,,,,820.0,,,,,2690 feet,,,,2023-07-16 07:02:03,,370,ad353075-39fa-49c9-b32e-f20827df8561,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14230152,Loving
14230641,BRIT,SMU,,PreservedSpecimen,b5c68e08-1344-4802-bc8e-9f8241dfd759,BRIT275183,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Kuhnia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Kuhnia chlorolepis,15370.0,Woot. & Standl.,Kuhnia,,chlorolepis,,,Species,L. H. Shinners,,,,,,,D. S. Correll,Helen B. Correll,26010,1962-09-27,,1962.0,9.0,27.0,270.0,,1962-09-27,,Along and above creek.,,Bush 4 ft. high.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d39d2f44-fa82-4e5d-bf1f-5616d635bcbc,,,,,,,,,,,,,,,,United States,Texas,Loving,,"Along and above Salt creek near highway #285, north of Orla.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,b5c68e08-1344-4802-bc8e-9f8241dfd759,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14230641,Loving
14232174,BRIT,SMU,,PreservedSpecimen,fcf7dcec-e717-42bc-ac65-2ece891aaac0,BRIT273085,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Baileya|Baileya multiradiata,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baileya multiradiata var. thurberi,6973.0,(Rydb.) Kittell,Baileya,,multiradiata,var.,thurberi,Variety,Roy C. Brown,1973-08-00,,,,,,T. F. Stuessy,,177,1965-07-10,,1965.0,7.0,10.0,191.0,,1965-07-10,,Ls. outcrop on roadside. Sandy at bottom of outcrop.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=c8b2775d-fc36-4b67-ac51-ca4bc64238b2 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=0a1daf4d-884d-46d5-b2d8-af5e86aeec05,,,,,,,,,,,,,,,,United States,Texas,Loving,,5 mi. W. from Winkler-Loving border on Texas 302.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,fcf7dcec-e717-42bc-ac65-2ece891aaac0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14232174,Loving
14232275,BRIT,SMU,,PreservedSpecimen,7d6ce94f-215b-48bd-af63-fd28e64f977e,BRIT272305,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Berlandiera,Plantae,Magnoliophyta,,Asterales,Asteraceae,Berlandiera lyrata,2822.0,Benth.,Berlandiera,,lyrata,,,Species,,,,,,,,D. S. Correll,Helen B. Correll,26019,1962-09-27,,1962.0,9.0,27.0,270.0,,1962-09-27,,Along and above creek.,,Flowers yellow with the back of the rays red.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=94f695aa-f934-48bc-9375-b9d4013cfe59,,,,,,,,,,,,,,,,United States,Texas,Loving,,"Along and above Salt Creek near highway #285, north of Orla.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,7d6ce94f-215b-48bd-af63-fd28e64f977e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14232275,Loving
