id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
14222892,BRIT,SMU,,PreservedSpecimen,a93acb47-dd82-4e93-9e68-61caaaa43105,BRIT232623,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Eurytaenia,Plantae,Magnoliophyta,,Apiales,Apiaceae,Eurytaenia hinckleyi,84325.0,Mathias & Constance,Eurytaenia,,hinckleyi,,,Species,Mildred E. Mathias & Lincoln Constance,1949-00-00,,,,,,Eula Whitehouse,,8371,1932-06-01,,1932.0,6.0,1.0,153.0,,1932-06-01,Abundant.,In gravelly soil of limestone hills.,,Petals white.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Reeves,,Near Pecos.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,a93acb47-dd82-4e93-9e68-61caaaa43105,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222892,Reeves
14222924,BRIT,SMU,,PreservedSpecimen,78b4d349-2a50-431d-ac70-a71076107eec,BRIT232600,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Astranthium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Astranthium robustum,74161.0,(Shinners) DeJong,Astranthium,,robustum,,,Species,D. C. D. DeJong,1964-05-01,,,,,,V. L. Cory,,52255,1946-05-09,,1946.0,5.0,9.0,129.0,,1946-05-09,,,,"Plant usually large, 2 dm. tall and spread of 4.5 dm. [disk 8.5 mm.; invol. 4.8 mm.; rays 25]",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a0be4390-cd82-4f31-9383-107fa8ff2b75,,,,,,,,,,,,,,,,United States,Texas,Reeves,,5 miles southeast of Davis Mountains Service Station in bed of draw at a culvert.,,0.0,,,,,,,,GEOLocate Web Application,GEOLocate Batch Processing Tool,,,,,,,,,,,,2023-07-16 07:02:03,,370,78b4d349-2a50-431d-ac70-a71076107eec,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222924,Reeves
14222925,BRIT,SMU,,PreservedSpecimen,bcedddce-cdb2-4e48-8490-d5673be713bd,BRIT232599,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Astranthium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Astranthium robustum,74161.0,(Shinners) DeJong,Astranthium,,robustum,,,Species,D. C. D. DeJong,1964-05-01,,,,,,V. L. Cory,,52248,1946-05-09,,1946.0,5.0,9.0,129.0,,1946-05-09,Frequent.,In roadside ditch.,,"Stems branched at base, ca. 3.5 dm. tall. [disk 7 mm.; invol. 4.3 mm]",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=bb52638c-d95e-40fd-b6fc-b3417689d26f | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=79c70e53-1cc8-47b2-9ec4-c043163b6de1,,,,,,,,,,,,,,,,United States,Texas,Reeves,,7 miles southeast of Davis Mountains Service Station.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,bcedddce-cdb2-4e48-8490-d5673be713bd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222925,Reeves
14223732,BRIT,SMU,,PreservedSpecimen,53214b0f-ea80-4b1c-9e5b-77ca5b2d04c0,BRIT233033,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Pseudoclappia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Pseudoclappia arenaria,18630.0,Rydb.,Pseudoclappia,,arenaria,,,Species,B. L. Turner (TEX),1972-00-00,,,,,,U. T. Waterfall,,4379,1943-06-08,,1943.0,6.0,8.0,159.0,,1943-06-08,,On bed of saline gypsum; along creek.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8e9cc0fb-9482-4230-b987-89573d82f077,,"Pseudoclappia, Limonium, Sesuvium, Allenrolfea, Tamarix",,,,,,,,,,,,,,United States,Texas,Reeves,,2 miles north of Pecos.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,53214b0f-ea80-4b1c-9e5b-77ca5b2d04c0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223732,Reeves
14223733,BRIT,SMU,,PreservedSpecimen,04f619dc-37db-4322-a4e6-dc5d201a7ed8,BRIT233032,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Pseudoclappia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Pseudoclappia arenaria,18630.0,Rydb.,Pseudoclappia,,arenaria,,,Species,B. L. Turner (TEX),1972-00-00,,,,,,Barton H. Warnock,,8556,1949-05-15,,1949.0,5.0,15.0,135.0,,1949-05-15,Frequent.,Alkali flats along highway.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7323b96e-65c3-42ed-a1e0-ebf10de5a6f2,,,,,,,,,,,,,,,,United States,Texas,Reeves,,1 mile north of Pecos.,,0.0,,,,,,,,,,,,777.0,,,,,2550 feet.,,,,2023-07-16 07:02:03,,370,04f619dc-37db-4322-a4e6-dc5d201a7ed8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223733,Reeves
14223734,BRIT,SMU,,PreservedSpecimen,5c2aa95a-fc6d-4481-9124-de75ea7d5ad9,BRIT233031,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Pseudoclappia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Pseudoclappia arenaria,18630.0,Rydb.,Pseudoclappia,,arenaria,,,Species,B. L. Turner (TEX),1972-00-00,,,,,,Barton H. Warnock,,6220,1947-07-03,,1947.0,7.0,3.0,184.0,,1947-07-03,Common and widespread.,Alkali flats along highway.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=fab61342-84b9-407b-98a8-18460048659d,,,,,,,,,,,,,,,,United States,Texas,Reeves,,1 mile north of Pecos along highway to Carlsbad.,,0.0,,,,,,,,,,,,1067.0,,,,,3500 feet.,,,,2023-07-16 07:02:03,,370,5c2aa95a-fc6d-4481-9124-de75ea7d5ad9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223734,Reeves
14226529,BRIT,SMU,,PreservedSpecimen,ea361b6d-4437-44cd-b7ba-d61136d592c8,BRIT260540,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Perezia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Perezia wrightii,9759.0,A. Gray,Perezia,,wrightii,,,Species,L. H. Shinners,1949-09-26,,,,,,Billie Lee Turner,,953,1949-06-03,,1949.0,6.0,3.0,154.0,,1949-06-03,Inf[requent].,In limestone soil.,,White flwd. perennial.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Reeves,,About 12 m. S.E. Pecos.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,ea361b6d-4437-44cd-b7ba-d61136d592c8,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226529,Reeves
14226530,BRIT,SMU,,PreservedSpecimen,94a69188-22ff-489f-b92f-0d89cbbc61af,BRIT260539,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Perezia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Perezia wrightii,9759.0,A. Gray,Perezia,,wrightii,,,Species,,,,,,,,D. S. Correll,Craig Hanson,29832,1964-06-22,,1964.0,6.0,22.0,174.0,,1964-06-22,,Gravelly road shoulder.,,Flowers white.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8de04a41-053e-4bf3-b44f-a10dc170b4ab,,,,,,,,,,,,,,,,United States,Texas,Reeves,,9 miles SE of Orla.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,94a69188-22ff-489f-b92f-0d89cbbc61af,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226530,Reeves
14226537,BRIT,SMU,,PreservedSpecimen,7b5f05ca-ef80-4caa-be50-4154dc576a90,BRIT260529,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Centaurea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Centaurea picris,8037.0,Pallas ex Willd.,Centaurea,,picris,,,Species,,,,,,,,V. L. Cory,,33504,1939-09-29,,1939.0,9.0,29.0,272.0,,1939-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Reeves,,1 1/2 miles north of Balmorhea.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,7b5f05ca-ef80-4caa-be50-4154dc576a90,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226537,Reeves
14226620,BRIT,SMU,,PreservedSpecimen,320aad9d-0ad7-4ee4-9ab5-ca7353ee50f7,BRIT260985,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Aphanostephus,Plantae,Magnoliophyta,,Asterales,Asteraceae,Aphanostephus riddellii,17890.0,Torr. & Gray,Aphanostephus,,riddellii,,,Species,,,,,,,,W. E. Roane,,s.n.,1941-04-26,,1941.0,4.0,26.0,116.0,,1941-04-26,,Tobosa flats.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Reeves,,4 mi. E of Balmorhea.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,320aad9d-0ad7-4ee4-9ab5-ca7353ee50f7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226620,Reeves
