id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
27454127,ACU,,,PreservedSpecimen,da87c0e4-328a-4ac9-9d90-c6d639da8e8a,ACU0001309,6075,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Ranunculales|Papaveraceae|Argemone|Argemone squarrosa,Plantae,Magnoliophyta,,Ranunculales,Papaveraceae,Argemone squarrosa subsp. glabrata,72885.0,G.B. Ownbey,Argemone,,squarrosa,subsp.,glabrata,Subspecies,,,,,,,,Miller Talbot,,s.n.,1994-04-24,,1994.0,4.0,24.0,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,Sanderson,Sanderson [No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,da87c0e4-328a-4ac9-9d90-c6d639da8e8a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27454127,Terrell
27455299,ACU,,,PreservedSpecimen,d73e78f6-a682-4f34-bbe3-04360a986d2f,ACU0001659,6322,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Cassia,Plantae,Magnoliophyta,,Fabales,Fabaceae,Cassia roemeriana,63358.0,Scheele,Cassia,,roemeriana,,,Species,M. Talbot,1992-04-23,,,,,,M. Talbot,,s.n.,1992-04-23,,1992.0,4.0,23.0,114.0,,,,Pasture.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,,"6 m. N of Sanderson, Hwy 285.",,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,d73e78f6-a682-4f34-bbe3-04360a986d2f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27455299,Terrell
27456520,ACU,,,PreservedSpecimen,fc2d9abb-a08c-4899-a17e-df66173ab5c0,ACU0001691,5982,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Dalea,Plantae,Magnoliophyta,,Fabales,Fabaceae,Dalea jamesii,1549.0,(Torr.) Torr. & A. Gray,Dalea,,jamesii,,,Species,Ashley Bordelon,2021-02-27,,,,,,Miller Talbot,,s.n.,1994-04-23,,1994.0,4.0,23.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,Sanderson,Sanderson [No additional locality data on sheet],,0.0,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,fc2d9abb-a08c-4899-a17e-df66173ab5c0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27456520,Terrell
27456625,ACU,,,PreservedSpecimen,8bb867b8-d68a-45ae-919d-14c65ce26360,ACU0001745,6287,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Fabales|Fabaceae|Lupinus,Plantae,Magnoliophyta,,Fabales,Fabaceae,Lupinus texensis,46687.0,Hook.,Lupinus,,texensis,,,Species,M. Talbot,1992-04-23,,,,,,M. Talbot,,s.n.,1992-04-23,,1992.0,4.0,23.0,114.0,,,,Pasture.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,Sanderson,Sanderson [No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,8bb867b8-d68a-45ae-919d-14c65ce26360,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27456625,Terrell
27495311,ACU,,,PreservedSpecimen,ba3088ab-f858-4660-8b55-11c0b2e8cb83,ACU0002086,6154,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Fabids|Rosids|Malpighiales|Euphorbiaceae|Croton|Croton pottsii,Plantae,Magnoliophyta,,Malpighiales,Euphorbiaceae,Croton pottsii var. pottsii,12671.0,,Croton,,pottsii,var.,pottsii,Variety,,,,,,,,Miller Talbot,,s.n.,1994-04-23,,1994.0,4.0,23.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,Sanderson,Sanderson [No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-08-27 18:51:44,,485,ba3088ab-f858-4660-8b55-11c0b2e8cb83,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27495311,Terrell
27498724,ACU,,,PreservedSpecimen,31638e14-3754-4114-8fe1-75ba86d8fe8f,ACU0002664,6193,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Boraginales|Boraginaceae|Phacelia,Plantae,Magnoliophyta,,Boraginales,Boraginaceae,Phacelia integrifolia,1620.0,Torr.,Phacelia,,integrifolia,,,Species,,,,,,,,Miller Talbot,,s.n.,1994-04-23,,1994.0,4.0,23.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,Sanderson,Sanderson [No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,31638e14-3754-4114-8fe1-75ba86d8fe8f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27498724,Terrell
27498852,ACU,,,PreservedSpecimen,e94f4871-df08-47f3-95f3-699c0142de09,ACU0003148,6569,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Scrophulariaceae|Leucophyllum,Plantae,Magnoliophyta,,Lamiales,Scrophulariaceae,Leucophyllum frutescens,17255.0,(Berl.) I.M. Johnston,Leucophyllum,,frutescens,,,Species,,,,,,,,Miller Talbot,,s.n.,,,1987.0,4.0,10.0,100.0,,s.d.,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,Sanderson,Sanderson [No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,e94f4871-df08-47f3-95f3-699c0142de09,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27498852,Terrell
27498875,ACU,,,PreservedSpecimen,ef54b574-e482-4e2f-a336-acd5f53c49eb,ACU0003160,6571,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Lamiids|Asterids|Lamiales|Plantaginaceae|Maurandya,Plantae,Magnoliophyta,,Lamiales,Plantaginaceae,Maurandya antirrhiniflora,9840.0,Humb. & Bonpl. ex Willd.,Maurandya,,antirrhiniflora,,,Species,,,,,,,,Miller Talbot,,s.n.,1994-04-23,,1994.0,4.0,23.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Terrell,Sanderson,Sanderson [No additional locality data on sheet],,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,ef54b574-e482-4e2f-a336-acd5f53c49eb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27498875,Terrell
14221283,BRIT,SMU,,PreservedSpecimen,dc221f6a-f376-4213-a1ea-29ef84fe07eb,BRIT231401,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Baccharis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis glutinosa,7055.0,Pers.,Baccharis,,glutinosa,,,Species,,,,,,,,Delzie Demaree,,58833,1968-08-15,,1968.0,8.0,15.0,228.0,,1968-08-15,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2fe59107-775d-4de0-830c-b3ae63e4d097 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7a1cd5db-fd99-435b-9fb7-989579c955f1,,,,,,,,,,,,,,,,United States,Texas,Terrell,,Independence Creek. Joe Chandler Dude Ranch. Dryden.,,0.0,,,,,,,,,,,,57.0,,,,,188 ft.,,,,2023-07-16 07:02:03,,370,dc221f6a-f376-4213-a1ea-29ef84fe07eb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221283,Terrell
14221284,BRIT,SMU,,PreservedSpecimen,66ebe3c3-de8c-410c-bd7a-caa094a7f2a7,BRIT231400,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Baccharis,Plantae,Magnoliophyta,,Asterales,Asteraceae,Baccharis glutinosa,7055.0,Pers.,Baccharis,,glutinosa,,,Species,,,,,,,,Delzie Demaree,,48404A,1963-07-11,,1963.0,7.0,11.0,192.0,,1963-07-11,,Moist areas.,,12 ft. tall.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cc28efe0-f0df-41b4-ba48-22dc510bb434,,,,,,,,,,,,,,,,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,0.0,,,,,,,,,,,,549.0,,,,,1800 ft.,,,,2023-07-16 07:02:03,,370,66ebe3c3-de8c-410c-bd7a-caa094a7f2a7,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221284,Terrell
