id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
27509060,ACU,,,PreservedSpecimen,d838710d-8bf1-4808-a61a-85facc31f8d9,ACU0003734,1798,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Hymenoxys,Plantae,Magnoliophyta,,Asterales,Asteraceae,Hymenoxys acaulis,27506.0,(Pursh) K.L.Parker,Hymenoxys,,acaulis,,,Species,,,,,,,,R. F. P.,,s.n.,1965-04-15,,1965.0,4.0,15.0,105.0,,,Common.,Sandy.,,Yellow; none-smell.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Upton,,2 miles west of Rankin.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,d838710d-8bf1-4808-a61a-85facc31f8d9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27509060,Upton
27509061,ACU,,,PreservedSpecimen,91ac26c8-b807-40c8-a728-f97eaaf20486,ACU0003735,1797,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Hymenoxys,Plantae,Magnoliophyta,,Asterales,Asteraceae,Hymenoxys acaulis,27506.0,(Pursh) K.L.Parker,Hymenoxys,,acaulis,,,Species,,,,,,,,Barbara Bowles,,s.n.,1965-04-15,,1965.0,4.0,15.0,105.0,,,Abundant.,Sandy-rock; roadside.,,Color before pressing: yellow.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Upton,,2 mi. west of Rankin; Hwy. 67.,,,,,,,,,,,,,,,,,,,,,,apbordelon,2023-07-16 07:02:03,,485,91ac26c8-b807-40c8-a728-f97eaaf20486,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27509061,Upton
14226442,BRIT,SMU,,PreservedSpecimen,3e21cba0-5b8d-46b3-9434-5807168f1ba0,BRIT260393,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Perezia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Perezia nana,9757.0,A. Gray,Perezia,,nana,,,Species,,,,,,,,V. L. Cory,,53484,1947-04-24,,1947.0,4.0,24.0,114.0,,1947-04-24,Frequent.,On highway shoulder.,,"Aerial stems from underground stems, branched at base, up to 1 dm. tall.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=9c6720a5-542e-4a21-8850-c7eef63ce500 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=bf73ef6d-fc22-4eb7-a082-c359af336913,,,,,,,,,,,,,,,,United States,Texas,Upton,,4 miles west of Rankin; on highway shoulder.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,3e21cba0-5b8d-46b3-9434-5807168f1ba0,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14226442,Upton
14229615,BRIT,BRIT,,PreservedSpecimen,3d538f7f-7734-4191-aa75-ecfb2a6be161,BRIT274541,13477,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Centaurea,Plantae,Magnoliophyta,,Asterales,Asteraceae,Centaurea melitensis,2870.0,L.,Centaurea,,melitensis,,,Species,,,,,,,,Chester M. Rowell Jr.,,15167,1971-05-07,,1971.0,5.0,7.0,127.0,,1971-05-07,,,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=98e1e783-e3bc-4fc8-bb8e-306d3b5ff1e0 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d7181a2d-d255-4cb9-8e43-681d29c592e5,,,,,,,,,,,,,,,,United States,Texas,Upton,,5.1 mi. w. of Rankin on 329.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,3d538f7f-7734-4191-aa75-ecfb2a6be161,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14229615,Upton
14230077,BRIT,SMU,,PreservedSpecimen,5d7868be-1fd5-41a2-ac69-bff1e832ddbb,BRIT277652,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Leucelene,Plantae,Magnoliophyta,,Asterales,Asteraceae,Leucelene ericoides,10611.0,(Torr.) Greene,Leucelene,,ericoides,,,Species,,,,,,,,B. C. Tharp,,s.n.,1941-07-11,,1941.0,7.0,11.0,192.0,,1941-07-11,,Caliche.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Upton,,8 mi. E. Rankin.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,5d7868be-1fd5-41a2-ac69-bff1e832ddbb,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14230077,Upton
14230214,BRIT,BRIT,,PreservedSpecimen,8a1dd500-f972-44e9-860f-7e610dd3930a,BRIT277797,13399,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Chrysactinia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Chrysactinia mexicana,17194.0,A. Gray,Chrysactinia,,mexicana,,,Species,,,,,,,,Chester M. Rowell Jr.,,15573,1973-05-19,,1973.0,5.0,19.0,139.0,,1973-05-19,Occasional.,In rocks at base of mountain.,,Forming mounds. Ligules bright yellow.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=15e21b6d-3a4f-4c17-bd9f-ae14d750ff5a | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=d07c0129-a317-4a66-a987-3a438ba9cb9d,,,,,,,,,,,,,,,,United States,Texas,Upton,,At base of King Mountain 5 miles northeast of McCamey.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,8a1dd500-f972-44e9-860f-7e610dd3930a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14230214,Upton
14233486,BRIT,SMU,,PreservedSpecimen,03fb0557-0a1a-4bcb-879a-f03b63b70fae,BRIT291891,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Gaillardia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Gaillardia pinnatifida,3730.0,Torr.,Gaillardia,,pinnatifida,,,Species,,,,,,,,V. L. Cory,,53474,1947-04-24,,1947.0,4.0,24.0,114.0,,1947-04-24,Frequent.,On highway shoulder.,,"Annual; stems branched at base, up to 4 dm. tall.",,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b20220c1-290a-4210-9e79-ab527c489641,,,,,,,,,,,,,,,,United States,Texas,Upton,,5 miles east of Rankin; on highway shoulder.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,03fb0557-0a1a-4bcb-879a-f03b63b70fae,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14233486,Upton
14233715,BRIT,SMU,,PreservedSpecimen,9a6c3e64-12ca-4bf2-bf25-8d0d79dc4098,BRIT286640,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Engelmannia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Engelmannia peristenia,768.0,(Raf.) Goodman & Lawson,Engelmannia,,peristenia,,,Species,Billie Lee Turner,2000-00-00,,duplicate determined at LL,,,,Barton H. Warnock,,7705,1948-04-24,,1948.0,4.0,24.0,115.0,,,Frequent.,Along highway.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=35fe612b-51f6-4b24-b8d5-29f1053ad8c3,,,,,,,,,,,,,,,,United States,Texas,Upton,,Along highway about 2 miles east of Rankin.,,0.0,,,,,,,,,,,,762.0,,,,,2500 feet,,,,2024-04-29 09:07:58,,370,9a6c3e64-12ca-4bf2-bf25-8d0d79dc4098,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14233715,Upton
14234993,BRIT,SMU,,PreservedSpecimen,807e295b-b03e-4490-8507-51ee61d2152b,BRIT301374,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Gymnosperma,Plantae,Magnoliophyta,,Asterales,Asteraceae,Gymnosperma glutinosum,3750.0,(Spreng.) Less.,Gymnosperma,,glutinosum,,,Species,Meredith A. Lane,1980-08-00,,,,,,B. C. Tharp,,s.n.,1941-07-11,,1941.0,7.0,11.0,192.0,,1941-07-11,,Caliche.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Upton,,4 mi E. Rankin.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,807e295b-b03e-4490-8507-51ee61d2152b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14234993,Upton
14241120,BRIT,SMU,,PreservedSpecimen,9f2d4458-887f-4ae9-813d-24395494cf03,BRIT326792,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Melampodium|Melampodium leucanthum,Plantae,Magnoliophyta,,Asterales,Asteraceae,Melampodium leucanthum var. leucanthum,164425.0,,Melampodium,,leucanthum,var.,leucanthum,Variety,Tod F. Stuessy,1968-00-00,,,,,,Lloyd H. Shinners,,31286,1966-05-09,,1966.0,5.0,9.0,129.0,,1966-05-09,,"Roadside, yellow-gray silt and limestone gravel.",,"Flowers with moderate sickly-sweet scent. rays white, disk yellow.",,,,,,,,,,,,,,,,,,,,,,United States,Texas,Upton,,4.1 miles north of Rankin.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-18 10:32:36,,370,9f2d4458-887f-4ae9-813d-24395494cf03,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14241120,Upton
14241121,BRIT,SMU,,PreservedSpecimen,120b970c-2397-460f-809f-e4e3d6be3e1e,BRIT326791,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Melampodium|Melampodium leucanthum,Plantae,Magnoliophyta,,Asterales,Asteraceae,Melampodium leucanthum var. leucanthum,164425.0,,Melampodium,,leucanthum,var.,leucanthum,Variety,Tod F. Stuessy,1968-00-00,,,,,,Barton H. Warnock,,21625,1937-04-18,,1937.0,4.0,18.0,108.0,,1937-04-18,Frequent.,Along roadsides.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2af51888-0c99-4f70-99e5-69f20361af42,,,,,,,,,,,,,,,,United States,Texas,Upton,,Rankin.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-18 10:32:36,,370,120b970c-2397-460f-809f-e4e3d6be3e1e,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14241121,Upton
