id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
27501703,ACU,,,PreservedSpecimen,4273f364-9461-4b23-b69f-4b11985ce930,ACU0003667,3317,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Gnaphalium,Plantae,Magnoliophyta,,Asterales,Asteraceae,Gnaphalium purpureum,8857.0,L.,Gnaphalium,,purpureum,,,Species,Iris Sneed,1970-06-21,,,,,,Iris Sneed,,s.n.,1970-06-21,,1970.0,6.0,21.0,172.0,,,,Sandy roadside.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Ward,,15 mi. E. of Monahans on U.S. Hwy 80.,,,,,,,,,,,,,,914.0,,,,,3000',,,apbordelon,2023-07-16 07:02:03,,485,4273f364-9461-4b23-b69f-4b11985ce930,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=27501703,Ward
14219485,BRIT,BRIT,,PreservedSpecimen,d998a5ed-6ab6-46a4-802c-ad5d1652e59f,BRIT218017,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Nerisyrenia,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Nerisyrenia camporum,18454.0,(A. Gray) Greene,Nerisyrenia,,camporum,,,Species,,,,,,,,Jackie Wiles,,85,1962-06-30,,1962.0,6.0,30.0,181.0,,1962-06-30,Infrequent.,Deep sandy loam of abandoned cotton field.,,Corollas white.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Ward,,Abandoned cotton field approximately 3 miles north of Pyote.,,0.0,,,,,,,,,,,,792.0,,,,,"approx. 2,600 ft.",,,,2023-07-16 07:02:03,,370,d998a5ed-6ab6-46a4-802c-ad5d1652e59f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14219485,Ward
14221415,BRIT,BRIT,,PreservedSpecimen,b2cc7353-6816-451c-9365-b516bb9c771f,BRIT228563,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Malvales|Malvaceae|Sphaeralcea,Plantae,Magnoliophyta,,Malvales,Malvaceae,Sphaeralcea coccinea,3802.0,(Nutt.) Rydb.,Sphaeralcea,,coccinea,,,Species,,,,,,,,Jackie Wiles,,78,1962-06-30,,1962.0,6.0,30.0,181.0,,1962-06-30,Frequent.,Deep sandy loam of abandoned cotton field.,,Corollas orange.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Ward,,Abandoned cotton field approximately 3 miles north of Pyote.,,0.0,,,,,,,,,,,,792.0,,,,,"approx. 2,600 ft.",,,,2023-07-16 07:02:03,,370,b2cc7353-6816-451c-9365-b516bb9c771f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221415,Ward
14221613,BRIT,BRIT,,PreservedSpecimen,8ef25efe-1418-4676-890f-73b8aea73204,BRIT217136,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Caryophyllales|Amaranthaceae|Atriplex,Plantae,Magnoliophyta,,Caryophyllales,Amaranthaceae,Atriplex canescens,127.0,(Pursh) Nutt.,Atriplex,,canescens,,,Species,,,,,,,,Jackie Wiles,,87,1962-06-30,,1962.0,6.0,30.0,181.0,,1962-06-30,Frequent.,Sandy loam of open mesquite-grassland.,,Corollas yellow.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Ward,,"Approximately 12 miles south, southeast of Pyote on state road 1927.",,0.0,,,,,,,,,,,,762.0,,,,,approximately 2500 ft,,,,2023-07-16 07:02:03,,370,8ef25efe-1418-4676-890f-73b8aea73204,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14221613,Ward
14222489,BRIT,SMU,,PreservedSpecimen,e5de2cbb-78ab-44c1-bcc0-a1424957cf8d,BRIT224797,200406,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Asparagaceae|Agavoideae|Yucca,Plantae,Magnoliophyta,,Asparagales,Asparagaceae,Yucca campestris,18864.0,McKelvey,Yucca,,campestris,,,Species,,,,,,,,Barton H. Warnock,,8848,1949-07-06,,1949.0,7.0,6.0,187.0,,1949-07-06,Frequent.,"In sand, along highway.",,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=632a42c5-5838-4b19-a8dc-5e77d61b1dfd,,,,,,,,,,,,,,,,United States,Texas,Ward,,"Along highway, 3 miles south of Monahans.",,0.0,,,,,,,,,,,,800.0,,,,,2626 ft.,,,,2023-07-16 07:02:03,,370,e5de2cbb-78ab-44c1-bcc0-a1424957cf8d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222489,Ward
14222889,BRIT,SMU,,PreservedSpecimen,b7669ef2-ab0d-4d81-aef4-3ba6ca48ce3a,BRIT232626,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Eurytaenia,Plantae,Magnoliophyta,,Apiales,Apiaceae,Eurytaenia texana,18238.0,Torr. & A. Gray,Eurytaenia,,texana,,,Species,,,,,,,,Rogers McVaugh,,8192,1947-05-06,,1947.0,5.0,6.0,126.0,,1947-05-06,Abundant.,"Loose blowing yellow sand, dune-like hills among shinnery oak.",,Mostly not yet in flower. Flowers white.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,b7669ef2-ab0d-4d81-aef4-3ba6ca48ce3a,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222889,Ward
14222890,BRIT,SMU,,PreservedSpecimen,771c0a40-fb69-4e8a-a865-575392378784,BRIT232625,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Eurytaenia,Plantae,Magnoliophyta,,Apiales,Apiaceae,Eurytaenia hinckleyi,84325.0,Mathias & Constance,Eurytaenia,,hinckleyi,,,Species,Mildred E. Mathias & Lincoln Constance,1949-00-00,,,,,,V. L. Cory,,51963,1946-05-04,,1946.0,5.0,4.0,124.0,,1946-05-04,Frequent.,In sand along highway.,,Plant umbelliferous; mostly less than 3 dm. tall.,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=16776b0b-b97a-4582-b9d4-c4e0162f4075,,,,,,,,,,,,,,,,United States,Texas,Ward,,3 miles northwest of Monahans; along highway 51.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,771c0a40-fb69-4e8a-a865-575392378784,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222890,Ward
14222891,BRIT,BRIT,,PreservedSpecimen,07a8da92-3e0d-49d2-b681-356cc23aa4dd,BRIT232624,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Apiales|Apiaceae|Apioideae|Eurytaenia,Plantae,Magnoliophyta,,Apiales,Apiaceae,Eurytaenia hinckleyi,84325.0,Mathias & Constance,Eurytaenia,,hinckleyi,,,Species,,,,,,,,Wm. F. Mahler,,9663,1983-07-24,,1983.0,7.0,24.0,205.0,,1983-07-24,,Sand; shinnery.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Ward,,"Jct of Hwys 18 & 1219, N of Manahans.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,07a8da92-3e0d-49d2-b681-356cc23aa4dd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222891,Ward
14225025,BRIT,BRIT,,PreservedSpecimen,8c47ec80-8a85-4d6d-814d-c97a422ede66,BRIT244881,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,B. Lipscome,,,,,,,Dora Sylvester,Glenn Kroh,3025,2003-06-28,,2003.0,6.0,28.0,179.0,,2003-06-28,,Open - ephemeral pond - dry.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Ward,,Monahans Sand Hills State Park; ephemeral pond.,,0.0,,31.643361,-102.825167,,,"31° 38' 36.1"" N 102° 49' 30.6"" W",,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,8c47ec80-8a85-4d6d-814d-c97a422ede66,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225025,Ward
14225026,BRIT,BRIT,,PreservedSpecimen,c0b1de8d-7352-4e5e-b2a7-841f7ec5ecdc,BRIT244880,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,,,,,,,,Richard Carter,,8204,1989-08-16,,1989.0,8.0,16.0,228.0,,1989-08-16,Locally abundant; smaller plants from dryer site.,Sandhills; in moist swale between dunes.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=3584de28-fc78-4778-9e27-c904959c1ad7 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a021b507-257d-4270-bd7e-a8e2b5f2ac30 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=urn:catalog:MO:Tropicos:263801 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=70f873ec-1a19-4162-b8dc-b2b5f902bbfc | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=78d29177-acf2-4ad7-90f1-a13131ae00a2 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8c568f71-ed59-46a5-922f-618ee0c51159 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=805b58b6-956b-4884-b546-da4a8342c194,,,,,,,,,,,,,,,,United States,Texas,Ward,,About 5 miles east of Monahans.,,0.0,,31.60012,-102.829427,WGS84,7651.0,,Tiana Rehman,,GeoLocate,,copied from duplicate VDB BRIT247530; NULL,,,,,,,,,,2023-09-29 10:26:23,,370,c0b1de8d-7352-4e5e-b2a7-841f7ec5ecdc,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225026,Ward
