id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collID,recordID,references,normalized_county
14219521,BRIT,BRIT,,PreservedSpecimen,54bb6a9e-8af5-4c53-a4ac-8243f56a631b,BRIT217877,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Malvids|Rosids|Brassicales|Brassicaceae|Lepidium|Lepidium alyssoides,Plantae,Magnoliophyta,,Brassicales,Brassicaceae,Lepidium alyssoides var. alyssoides,13271.0,,Lepidium,,alyssoides,var.,alyssoides,Variety,,,,,,,,Lynn Sherrod,,58,1962-04-14,,1962.0,4.0,14.0,104.0,,1962-04-14,Occasional.,"In loam with rocky limestone outcrops, area dominated by 4-wing salt bush and greasewood.",,Corolla white.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Winkler,,6 mi. W. of Notrees Hwy 302.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-18 10:32:36,,370,54bb6a9e-8af5-4c53-a4ac-8243f56a631b,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14219521,Winkler
14220649,BRIT,BRIT,,PreservedSpecimen,087b338e-1de7-461e-8182-31c5131a5f57,BRIT223164,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Palafoxia,Plantae,Magnoliophyta,,Asterales,Asteraceae,Palafoxia sphacelata,18509.0,(Nutt. ex Torr.) Cory,Palafoxia,,sphacelata,,,Species,,,,,,,,Jackie Wiles,,79,1962-06-30,,1962.0,6.0,30.0,181.0,,1962-06-30,Frequent.,"Permanent inter-dune pool and adjacent moist areas, unstabilized deep sands.",,Corollas light lavender.,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Winkler,,Approximately 10 miles north east of Kermit.,,0.0,,,,,,,,,,,,853.0,,,,,approx. 2800 ft.,,,,2023-07-16 07:02:03,,370,087b338e-1de7-461e-8182-31c5131a5f57,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14220649,Winkler
14222490,BRIT,SMU,,PreservedSpecimen,baddbaf8-68ec-44b6-b71c-6889ab18b5fd,BRIT224798,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Asparagales|Asparagaceae|Agavoideae|Yucca,Plantae,Magnoliophyta,,Asparagales,Asparagaceae,Yucca campestris,18864.0,McKelvey,Yucca,,campestris,,,Species,,,,,,,,Turner Collins,,1315,1966-06-11,,1966.0,6.0,11.0,162.0,,1966-06-11,,Deep sand of moving dunes.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=feb77763-cffc-475e-bb33-d021f39ad83e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cdb353a8-1ed4-430f-b546-cb35d2dd2ffa | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=1f6e531b-7319-4e20-bf27-88cdb0570b0f,,,,,,,,,,,,,,,,United States,Texas,Winkler,,"Waddell Ranch, 15 miles northeast of Kermit on State Highway 302.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,baddbaf8-68ec-44b6-b71c-6889ab18b5fd,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14222490,Winkler
14223148,BRIT,SMU,,PreservedSpecimen,92b55996-1826-4652-9ebd-fde88fba1c52,BRIT233115,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Campanulids|Asterids|Asterales|Asteraceae|Xanthisma,Plantae,Magnoliophyta,,Asterales,Asteraceae,Xanthisma viscidum,134527.0,(Wooton & Standl.) D.R.Morgan & R.L.Hartm.,Xanthisma,,viscidum,,,Species,Nesom,2007-00-00,,,,,,Turner Collins,,1056,1965-11-12,,1965.0,11.0,12.0,316.0,,1965-11-12,,In draw along bluff.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=94dee12e-bea2-45d6-86d2-31e70d97e47c,,,,,,,,,,,,,,,,United States,Texas,Winkler,,In draw along Concho Bluff. 12-16 miles northeast of Kermit.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,92b55996-1826-4652-9ebd-fde88fba1c52,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14223148,Winkler
14225018,BRIT,SMU,,PreservedSpecimen,a8563e31-cf49-4c74-85a4-dfa32d6f7ef4,BRIT244888,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,Stanley D. Jones,1997-04-00,,,,,,Barton H. Warnock,J. O. Parks,8789,1950-06-07,,1950.0,6.0,7.0,158.0,,1950-06-07,Frequent.,At abandoned watering place; deep sand.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=22abfb69-caca-46e4-a6b8-8116cf9af1aa | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7c927cdf-85ef-41ed-b6ea-612bf2246a73 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=cd6a760d-f645-4d37-bd58-bae66ddf5f02,,,,,,,,,,,,,,,,United States,Texas,Winkler,,20 miles northwest of Monahans.,,0.0,,,,,,,,,,,,853.0,,,,,2800 Feet,,,,2023-07-16 07:02:03,,370,a8563e31-cf49-4c74-85a4-dfa32d6f7ef4,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225018,Winkler
14225019,BRIT,SMU,,PreservedSpecimen,667db9f3-d573-4614-b4e7-dfcaf0d09d2f,BRIT244887,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,Stanley D. Jones,1997-04-00,,,,,TOPOTYPE,Chester M. Rowell,,11525,1966-06-11,,1966.0,6.0,11.0,162.0,,1966-06-11,,Permanent dune pool in moving dune area.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a2b87208-d028-4e82-a3f7-446529b0a9b4 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=242c21e6-38e4-4a7b-aa52-9ed3dd795200 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=b8ed21d8-3d8a-4f16-8334-4b4f3103359e | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=8067e546-2b91-42a1-b543-ecd198928db9 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=808142cb-3eae-43ec-bd2a-f76b1a58d7d5 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=67272943-ecc4-479c-b557-a106c2686570,,,,,,,,,,,,,,,,United States,Texas,Winkler,,6 mi. east northeast of Monahans.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,667db9f3-d573-4614-b4e7-dfcaf0d09d2f,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225019,Winkler
14225020,BRIT,SMU,,PreservedSpecimen,5c19a681-c1ca-4583-be3e-a8459d9c4029,BRIT244886,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,Stanley D. Jones,1997-04-00,,,,,,Chester M. Rowell Jr.,,8266,1961-10-07,,1961.0,10.0,7.0,280.0,,1961-10-07,,Along margins of inter-dune pool in deep sands of dune area.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=5cc963e9-dd35-4080-b714-856b02fe97aa | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=a951eebc-68d1-459c-b4b8-1f2fb77e91dd,,,,,,,,,,,,,,,,United States,Texas,Winkler,,"10 miles north, 1 mile west of Kermit.",,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,5c19a681-c1ca-4583-be3e-a8459d9c4029,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225020,Winkler
14225021,BRIT,SMU,,PreservedSpecimen,dc3fd865-572d-45f9-9e14-bc9a1c350917,BRIT244885,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,Stanley D. Jones,1997-04-00,,,,,,Turner Collins,,1094,1965-12-08,,1965.0,12.0,8.0,342.0,,1965-12-08,,Inter dune swales and ponds.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=e4663046-54b8-4cb2-9d6a-46092f513703 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=7ef63d9a-c3bf-4fb9-9ba8-963883cc4842,,,,,,,,,,,,,,,,United States,Texas,Winkler,,10 miles north of Kermit on F.M. 874.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,dc3fd865-572d-45f9-9e14-bc9a1c350917,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225021,Winkler
14225022,BRIT,SMU,,PreservedSpecimen,6d020aea-870a-4811-8b67-7e34603404c9,BRIT244884,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,Stanley D. Jones,1997-04-00,,,,,,Turner Collins,,690,1965-09-04,,1965.0,9.0,4.0,247.0,,1965-09-04,,Inter dune swales and ponds.,,,,,,,,,,,,,,,,,,,,,,,,United States,Texas,Winkler,,10 miles north of Kermit on F. M. 874.,,0.0,,,,,,,,,,,,,,,,,,,,,2023-07-16 07:02:03,,370,6d020aea-870a-4811-8b67-7e34603404c9,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225022,Winkler
14225023,BRIT,SMU,,PreservedSpecimen,61f865ff-2837-4838-b155-7d15ee4d544d,BRIT244883,,Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Monocots|Commelinids|Poales|Cyperaceae|Cyperus,Plantae,Magnoliophyta,,Poales,Cyperaceae,Cyperus onerosus,80328.0,M.C. Johnst.,Cyperus,,onerosus,,,Species,Stanley D. Jones,1997-04-00,,,,,,Barton H. Warnock,J. O. Parks,8788,1950-06-07,,1950.0,6.0,7.0,158.0,,1950-06-07,Frequent.,At abandoned watering place; deep sand.,,,,,,,,herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=ee5fe074-de65-4b1c-99ed-89e9530d2b48 | herbariumSpecimenDuplicate: https://portal.torcherbaria.org/portal/collections/individual/index.php?guid=2105d3c3-9e72-4e1c-a17d-333c95c7933a,,,,,,,,,,,,,,,,United States,Texas,Winkler,,20 miles northwest of Monahans.,,0.0,,,,,,,,,,,,853.0,,,,,2800 Feet,,,,2023-07-16 07:02:03,,370,61f865ff-2837-4838-b155-7d15ee4d544d,https://portal.torcherbaria.org/portal/collections/individual/index.php?occid=14225023,Winkler
