Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
70,88,13458761,LL,LL00400689,Barton H. Warnock,,14640.0,1957-05-23,Abundant; large white flowers; annual.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13459963,LL,LL00405446,Barton H. Warnock,,14635.0,1957-05-23,Infrequent perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13448721,LL,LL00354843,Barton H. Warnock,,14642.0,1957-05-23,Infrequent perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles W of Crane.,,,,,,,,,,,,36
70,88,13433399,LL,LL00299555,Barton H. Warnock,,14645.0,1957-05-23,Frequent tall perennial herb; stems brittle.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13433157,LL,LL00298747,Barton H. Warnock,,14643.0,1957-05-23,"Abundant, tall, white flowered annual.",United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13427779,LL,LL00281187,Barton H. Warnock,,14648.0,1957-05-23,Flowers yellow; infrequent perennial herb; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13437528,LL,LL00313921,Barton H. Warnock,,14630.0,1957-05-23,Frequent perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13442279,LL,LL00330867,Barton H. Warnock,,14632.0,1957-05-23,Frequent much branched annual; small lavender flowers; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13458563,LL,LL00400066,Barton H. Warnock,,14636.0,1957-05-23,Frequent low annual; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13443735,LL,LL00337112,Barton H. Warnock,,14646.0,1957-05-23,Infrequent perennial herb; pink-red flowers.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,88,13434717,LL,LL00304332,Barton H. Warnock,,14639.0,1957-05-25,Frequent perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13438811,LL,LL00318428,Barton H. Warnock,,14662.0,1957-05-23,"Abundant; green fleshy flowers; very soft, clump forming; limestone soil.",United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13462607,LL,LL00415693,Barton H. Warnock,,14665.0,1957-05-23,Abundant; perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13438810,LL,LL00318427,Barton H. Warnock,,14662.0,1957-05-23,"Abundant; green fleshy flowers; very soft, clump forming; limestone soil.",United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13432692,LL,LL00296830,Barton H. Warnock,,14652.0,1957-05-23,Abundant; low annual; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13437818,LL,LL00315032,Barton H. Warnock,,14666.0,1957-05-23,Infrequent perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13438422,LL,LL00317113,Barton H. Warnock,,14669.0,1957-05-23,Infrequent; perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13438233,LL,LL00316445,Barton H. Warnock,,14663.0,1957-05-23,Infrequent; perennial; stiff inflorescence; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,29183562,LL,LL00003830,Barton H. Warnock,,14661.0,1957-05-23,Limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13434763,LL,LL00304495,Barton H. Warnock,,14667.0,1957-05-23,Frequent; perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13428137,LL,LL00282532,Barton H. Warnock,,14670.0,1957-05-23,Appear very interesting; plant perennial; and scabrous; infrequent tube flower greenish; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13461888,LL,LL00413132,Barton H. Warnock,,14658.0,1957-05-23,Infrequent; perennial; limestone soil; poison to stock.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13607525,TEX,TEX00413133,Barton H. Warnock,,14658.0,1957-05-23,Infrequent; perennial; limestone soil; poison to stock.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,89,13547849,TEX,TEX00323174,Barton H. Warnock,,14668.0,1957-05-23,Infrequent; perennial; gyp soil; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13429728,LL,LL00287762,Barton H. Warnock,,14618.0,1957-05-23,Infrequent perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13437197,LL,LL00312781,Barton H. Warnock,,14627.0,1957-05-23,Infrequent perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13440362,LL,LL00323762,Barton H. Warnock,,14628.0,1957-05-23,Abundant erect perennial; tufted; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,31.39889,-102.47833,,10000.0,,,,,,,36
70,90,13439020,LL,LL00319126,Barton H. Warnock,,14622.0,1957-05-23,Frequent annual; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13434697,LL,LL00304285,Barton H. Warnock,,14626.0,1957-05-23,Abundant; limestone soil; stoloniferous.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13430147,LL,LL00289064,Barton H. Warnock,,14616.0,1957-05-23,Sparse; low tree; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13451661,LL,LL00367593,Barton H. Warnock,,14624.0,1957-05-23,Abundant climas grass of area.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13437663,LL,LL00314393,Barton H. Warnock,,14617.0,1957-05-23,Frequent annual; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,31.39889,-102.51611,,10000.0,,,,,,,36
70,90,13462102,LL,LL00413994,Barton H. Warnock,,14621.0,1957-05-23,Very abundant; annual; showy flowers; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13540639,TEX,TEX00313038,Barton H. Warnock,,14619.0,1957-05-23,Abundant perennial; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,13547561,TEX,TEX00322761,Barton H. Warnock,,14627.0,1957-05-23,Infrequent annual; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
70,90,28260998,BAYLU,BAYLU029270,Barton H. Warnock,,14616.0,1957-05-23,,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,31.397362,-102.350142,WGS84,2093.0,,albert_zertuche (2024-02-08 14:08:00),,georef batch tool 2024-02-08; GeoLocate,,,36
70,90,28268573,BAYLU,BAYLU062788,Barton H. Warnock,,14625.0,1957-05-23,,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,31.397362,-102.350142,WGS84,2093.0,,albert_zertuche (2024-02-08 14:08:00),,georef batch tool 2024-02-08; GeoLocate,,,36
70,91,13444194,LL,LL00338798,Barton H. Warnock,,14651.0,1957-05-23,Abundant tall annual; two to four feet tall; limestone soil.,United States,Texas,Crane,,Three to sixteen miles west of Crane.,,,,,,,,,,,,36
69,82,13427597,LL,LL00280629,Barton H. Warnock|Wanda Mullins,,14394.0,1957-05-04,Frequent annual; flower white turning pink; in sandy soil.,United States,Texas,Crane,,Six-fourteen miles west of Crane (road 329).,,31.39889,-102.48139,,10000.0,,,,,,,23
69,82,13442411,LL,LL00331483,Barton H. Warnock|Wanda Mullins,,14390.0,1957-05-04,Frequent perennial; in sandy soil.,United States,Texas,Crane,,Six-fourteen miles west of Crane (road 329).,,,,,,,,,,,,23
69,82,13460384,LL,LL00406908,Barton H. Warnock|Wanda Mullins,,14389.0,1957-05-04,Frequent annual; in sandy soil.,United States,Texas,Crane,,Six-fourteen miles west of Crane (road 329).,,,,,,,,,,,,23
69,82,13437800,LL,LL00314938,Barton H. Warnock|Wanda Mullins,,14400.0,1957-05-04,Abundant locally in mats; limestone soil.,United States,Texas,Crane,,Six-fourteen miles west of Crane (road 329).,,,,,,,,,,,,23
69,82,13448947,LL,LL00355686,Barton H. Warnock|Wanda Mullins,,14404.0,1957-05-04,In sandy soil.,United States,Texas,Crane,,Six to fourteen miles west of Crane (road 329).,,,,,,,,,,,,23
69,83,13451493,LL,LL00366705,Barton H. Warnock|Wanda Mullins,,14418.0,1957-05-04,Infrequent perennial; sandy soil.,United States,Texas,Crane,,"Six-fourteen miles west of Crane, road 329.",,,,,,,,,,,,23
69,83,13425216,LL,LL00041362,Barton H. Warnock|Wanda Mullins,,14423.0,1957-05-04,Frequent annual; sandy soil.,United States,Texas,Crane,,Six-fourteen miles west of Crane (road 329).,,,,,,,,,,,,23
69,83,13455468,LL,LL00387939,Barton H. Warnock|Wanda Mullins,,14415.0,1957-05-04,Abundant annual. Sandy soil.,United States,Texas,Crane,,Six to fourteen miles west of Crane (road 329).,,,,,,,,,,,,23
69,83,13442471,LL,LL00331785,Barton H. Warnock|Wanda Mullins,,14422.0,1957-05-04,Infrequent annual; limestone soil.,United States,Texas,Crane,,Six-fourteen miles west of Crane; road 329.,,31.398242,-102.523283,,10000.0,,,,,,,23
69,83,13461669,LL,LL00412423,Barton H. Warnock|Wanda Mullins,,14417.0,1957-05-04,Abundant annual; yellow flower; sandy soil.,United States,Texas,Crane,,Six-fourteen miles west of Crane; (road 329).,,,,,,,,,,,,23
