Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
183,227,13437624,LL,LL00314301,Barton H. Warnock|Wilbur D. McBryde,,15363.0,1957-06-05,Infrequent perennial; staminate plant.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13460445,LL,LL00407169,Barton H. Warnock|Wilbur D. McBryde,,15372.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13440135,LL,LL00323050,Barton H. Warnock|Wilbur D. McBryde,,15369.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13456983,LL,LL00393657,Barton H. Warnock|Wilbur D. McBryde,,15356.0,1957-06-05,Infrequent perennial vine; flower white to pink.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13442395,LL,LL00331387,Barton H. Warnock|Wilbur D. McBryde,,15373.0,1957-06-05,Frequent perennial with rhizomes.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13446126,LL,LL00346155,Barton H. Warnock|Wilbur D. McBryde,,15365.0,1957-06-05,Frequent; flower pale white.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13434764,LL,LL00304496,Barton H. Warnock|Wilbur D. McBryde,,15370.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13442187,LL,LL00330535,Barton H. Warnock|Wilbur D. McBryde,,15367.0,1957-06-05,"Infrequent, succulent vine.",United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,227,13442307,LL,LL00330948,Barton H. Warnock|Wilbur D. McBryde,,15368.0,1957-06-05,Infrequent perennial; blue flowers.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13444860,LL,LL00341267,Barton H. Warnock|Wilbur D. McBryde,,15282.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13451365,LL,LL00366184,Barton H. Warnock|Wilbur D. McBryde,,15291.0,1957-06-05,Abundant locally; perennial; with stout rhizomes.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13432659,LL,LL00296732,Barton H. Warnock|Wilbur D. McBryde,,15274.0,1957-06-05,Frequent annual.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13451064,LL,LL00364717,Barton H. Warnock|Wilbur D. McBryde,,15283.0,1957-06-05,Infrequent annual.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13452246,LL,LL00369926,Barton H. Warnock|Wilbur D. McBryde,,15292.0,1957-06-05,Infrequent perennial herb; flowers lavender.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13434718,LL,LL00304335,Barton H. Warnock|Wilbur D. McBryde,,15286.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13441884,LL,LL00329184,Barton H. Warnock|Wilbur D. McBryde,,15281.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,228,13540641,TEX,TEX00313041,Barton H. Warnock|Wilbur D. McBryde,,15281.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,229,13457116,LL,LL00394093,Barton H. Warnock|Wilbur D. McBryde,,15329.0,1957-06-05,Frequent; flower white.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,229,13437754,LL,LL00314790,Barton H. Warnock|Wilbur D. McBryde,,15320.0,1957-06-05,,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,229,13439597,LL,LL00321172,Barton H. Warnock|Wilbur D. McBryde,,15331.0,1957-06-05,Infrequent annual; rich soil beneath shrubs.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,229,13436198,LL,LL00310235,Barton H. Warnock|Wilbur D. McBryde,,15339.0,1957-06-05,Infrequent perennial; shrub; one to three feet tall.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
183,229,13457781,LL,LL00397146,Barton H. Warnock|Wilbur D. McBryde,,15322.0,1957-06-05,Infrequent perennial; flowers yellow.,United States,Texas,Crockett,,Thirty miles north of Juno.,,,,,,,,,,,,58
