Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
32,44,14223017,BRIT,BRIT232925,Barton H. Warnock,,12077.0,1954-09-05,Limestone soil.,United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe mts. J.C. Hunter ranch.,,,,,,,,,,,,76
32,44,14237175,BRIT,BRIT311813,Barton H. Warnock,,12079.0,1954-09-05,Under pine on sandy soil.,United States,Texas,Culberson,,"South McKittrick canyon, top of Guadalupe Mts. J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,14238499,BRIT,BRIT319566,Barton H. Warnock,,12073.0,1954-09-05,Limestone soil.,United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe mountains J.C. Hunter ranch,,,,,,,,,,,,76
32,44,14254142,BRIT,BRIT338877,Barton H. Warnock,,12072.0,1954-09-05,Limestone soil.,United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe mountains - J.C. Hunter ranch.,,,,,,,,,,,,76
32,44,14263346,BRIT,BRIT342783,Barton H. Warnock,,12078.0,1954-09-05,Stone soil; canyon top of mountain.,United States,Texas,Culberson,,South McKittrick Canyon top of Guadalupe Mountains; J. C. Hunter ranch.,,,,,,,,,,,,76
32,44,24845516,BRIT,BRIT359770,Barton H. Warnock,,12075.0,1954-09-05,Limestone soil.,United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe mountains - J.C. Hunter ranch.,,,,,,,,,,,,76
32,44,24845517,BRIT,BRIT359771,Barton H. Warnock,,12075.0,1954-09-05,Limestone soil.,United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mountains; J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,24931184,BRIT,BRIT386733,Barton H. Warnock,,12068.0,1954-09-05,"Infrequent Perennial, limestone soil.",United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe mountains J.C. Hunter ranch,,,,,,,,,,,,76
32,44,13450905,LL,LL00364088,Barton H. Warnock,,12086.0,1954-09-05,Wiry bases; probably the most abundant single species above 7000 feet elevation.,United States,Texas,Culberson,,"In South McKittrick Canyon, top of Guadalupe Mts. J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,13450864,LL,LL00363951,Barton H. Warnock,,12084.0,1954-09-05,Infrequent locally.,United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mts. J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,13444571,LL,LL00340088,Barton H. Warnock,,12085.0,1954-09-05,Frequent among low browse shrubs.,United States,Texas,Culberson,,"In South McKittrick Canyon, top of Guadalupe Mts. J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,31274438,LL,LL00373204,Barton H. Warnock,,12078.0,1954-09-05,Limestone soil.,United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe Mountains; J. C. Hunter ranch.,,,,,,,,,,,,76
32,44,13448905,LL,LL00355567,Barton H. Warnock,,12071.0,1954-09-05,"Flowers orange and yellow; infrequent perennial, limestone soil.",United States,Texas,Culberson,,"South McKittrick Canyon top of Guadalupe mountains, J. C. Hunter ranch.",,,,,,,,,,,,76
32,44,13449626,LL,LL00359597,Barton H. Warnock,,12069.0,1954-09-05,"Infrequent shrub up to 12-15 ft. high, good browse, limestone soil. SHEET 1 OF 2.",United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mountains, J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,13464633,LL,LL00450399,Barton H. Warnock,,12082.0,1954-09-05,"Frequent and widespread, especially in pine forest, limestone soil.",United States,Texas,Culberson,,"South Mckittrick Canyon, top of Guadalupe Mountains. J.C. Hunter Ranch.",,,,,,,,,,,,76
32,44,13461757,LL,LL00412654,Barton H. Warnock,,12079.0,1954-09-05,Frequent perennial; evidently heavily browsed under pine on sandy soil.,United States,Texas,Culberson,,"South McKittrick canyon, top of Guadalupe Mts., J. C. Hunter ranch.",,,,,,,,,,,,76
32,44,13449627,LL,LL00359598,Barton H. Warnock,,12069.0,1954-09-05,"Infrequent shrub up to 12-15 ft. high, good browse, limestone soil. SHEET 1 OF 2.",United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mountains, J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,13414397,LL,LL00005814,Barton H. Warnock,,12077.0,1954-09-05,"Infrequent perennial up to 3 ft. high; many later branches; densely flowering, limestone soil.",United States,Texas,Culberson,,"So. McKittrick Canyon, top of Guadalupe Mts. J. C. Hunter ranch.",,,,,,,,,,,,76
32,44,13450863,LL,LL00363950,Barton H. Warnock,,12081.0,1954-09-05,Frequent bunch grass.,United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mts. J. C. Hunter Ranch.",,,,,,,,,,,,76
32,44,13464741,LL,LL00459700,Barton H. Warnock,,12074.0,1954-09-05,On limestone bluffs.,United States,Texas,Culberson,,J.C. Hunter Ranch. South McKittrick Canyon top of Guadalupe Mountains.,,,,,,,,,,,,76
32,44,13454267,LL,LL00382255,Barton H. Warnock,,12075.0,1954-09-05,"Abundant perennial; flowers pale white with purple flecks - known as Elk weed because it's a good browse, limestone soil.",United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe Mountains - J. C. Hunter ranch.,,31.960929,-104.82353,,10000.0,,,,,,,76
32,44,13502692,TEX,TEX00039460,Barton H. Warnock,,12067.0,1954-09-05,"Leaves-rough (subulate); infrequent perennial, limestone soil.",United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mts., J. C. Hunter ranch.",,,,,,,,,,,,76
32,44,13568072,TEX,TEX00350611,Barton H. Warnock,,12078.0,1954-09-05,"Large white fruits; infrequent browse shrub, limestone soil.",United States,Texas,Culberson,,South McKittrick canyon top of Guadalupe Mountains; J. C. Hunter ranch.,,,,,,,,,,,,76
32,45,14227334,BRIT,BRIT272371,Barton H. Warnock,,12019.0,1954-09-05,,United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mountains; J. C. Hunter Ranch.",,,,,,,,,,,,76
32,45,14234969,BRIT,BRIT301381,Barton H. Warnock,,12022.0,1954-09-05,,United States,Texas,Culberson,,"In South McKittrick Canyon, top of Guadalupe Mts.; J.C. Hunter Ranch.",,,,,,,,,,,,76
32,45,14245964,BRIT,BRIT333960,Barton H. Warnock,,12011.0,1954-09-05,,United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mountains, J. C. Hunter Ranch",,,,,,,,,,,,76
32,45,14263606,BRIT,BRIT369119,Barton H. Warnock,,12025.0,1954-09-05,,United States,Texas,Culberson,,"South McKittrick Canyon, top of Guadalupe Mts. J. C. Hunter Ranch.",,,,,,,,,,,,76
