Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
22,30,14223907,BRIT,BRIT256754,D. H. Riskind,,1584.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,14249771,BRIT,BRIT489212,D. H. Riskind,,1590.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,14259388,BRIT,BRIT369626,D. H. Riskind,,1586.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,19970336,BRIT,BRIT08417,D. H. Riskind,,1578.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24839293,BRIT,BRIT351208,D. H. Riskind,,1574.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24842432,BRIT,BRIT355354,D. H. Riskind,,1589.0,1973-10-31,,United States,Texas,El Paso,,Huece Tanks State Park.,,,,,,,,,,,,40
22,30,24842433,BRIT,BRIT355355,D. H. Riskind,,1582.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24845328,BRIT,BRIT359522,D. H. Riskind,,1581.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24921706,BRIT,BRIT453237,D. H. Riskind,,1576.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24922941,BRIT,BRIT398485,D. H. Riskind,,1577.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24923375,BRIT,BRIT455156,D. H. Riskind,,1588.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24923656,BRIT,BRIT456608,D. H. Riskind,,1585.0,1973-10-31,"slope forest of acer, quercus, magnolia, carya, etc. common shrubs to ca 3m tall. flowers yellow to orange- red. variable in size! strongly flared",United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24925959,BRIT,BRIT488684,D. H. Riskind,,1580.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,24926653,BRIT,BRIT485952,D. H. Riskind,,1583.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,26805107,BRIT,BRIT487117,D. H. Riskind,,1587.0,1973-10-31,,United States,Texas,El Paso,,Hueco Tanks State Park,,,,,,,,,,,,40
22,30,14230633,BRIT,BRIT274441,D. H. Riskind,,1593.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,30,19968377,BRIT,BRIT04874,D.H. Riskind,,1592.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park,,,,,,,,,,,,40
22,30,26807070,BRIT,BRIT367959,D. H. Riskind,,1591.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park,,,,,,,,,,,,40
22,30,26816451,BRIT,BRIT383348,D. H. Riskind,,1594.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,14228404,BRIT,BRIT261250,D. H. Riskind,,1613.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,14233192,BRIT,BRIT292831,D. H. Riskind,,1609.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,14240869,BRIT,BRIT309787,D. H. Riskind,,1615.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,14241872,BRIT,BRIT309777,D. H. Riskind,,1614.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,14259028,BRIT,BRIT343083,D. H. Riskind,,1618.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,24845327,BRIT,BRIT359521,D. H. Riskind,,1610.0,1973-11-01,Hueco Tanks State Park.,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,24846972,BRIT,BRIT361742,D. H. Riskind,,1606.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,24928216,BRIT,BRIT387645,D. H. Riskind,,1617.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
22,31,24929239,BRIT,BRIT452354,D. H. Riskind,,1604.0,1973-11-01,,United States,Texas,El Paso,,Hueco Tanks State Park.,,,,,,,,,,,,40
