Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
482,530,26818099,BRIT,BRIT397923,Barton H. Warnock,,7794.0,1948-05-30,Among boulders.,United States,Texas,Hudspeth,,Quitman Mountains; 8 miles west of Sierra Blanca.,,,,,,,,,,,,30
482,531,8865621,BRIT,NLU0090588,Barton H. Warnock,,13844.0,1955-09-06,,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,,,,,,,,,,,30
482,531,13451481,LL,LL00366629,Barton H. Warnock,,13839.0,1955-09-06,,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,32.796,-95.4511,,10000.0,,,,,,,30
482,531,13437400,LL,LL00313480,Barton H. Warnock,,13837.0,1955-09-06,Frequent annual.,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,32.796,-95.4511,,10000.0,,,,,,,30
482,531,13440255,LL,LL00323452,Barton H. Warnock,,13840.0,1955-09-06,Frequent perennials.,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,31.45,-97.6667,,10000.0,,,,,,,30
482,531,13462454,LL,LL00415204,Barton H. Warnock,,13844.0,1955-09-06,,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,,,,,,,,,,,30
482,531,13438672,LL,LL00317998,Barton H. Warnock,,13836.0,1955-09-06,,United States,Texas,Hudspeth,,Quitman mountains; 10 miles west of Sierra Blanca.,,32.796,-95.4511,,10000.0,,,,,,,30
482,531,13442330,LL,LL00331043,Barton H. Warnock,,13843.0,1955-09-06,,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,,,,,,,,,,,30
482,531,13438300,LL,LL00316664,Barton H. Warnock,,13842.0,1955-09-06,,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,,,,,,,,,,,30
482,531,13603390,TEX,TEX00406320,Barton H. Warnock,,13841.0,1955-09-06,Infrequent erect perennial herb.,United States,Texas,Hudspeth,,Quitman Mountains; 10 miles west of Sierra Blanca.,,,,,,,,,,,,30
482,532,25269886,BRIT,BRIT540626,Barton H. Warnock,,13592.0,1955-09-07,sandy soil,United States,Texas,Hudspeth,,10 miles west of Sierra Blanca; Quitman Mountains,,,,,,,,,,,,30
482,532,13428502,LL,LL00283699,Barton H. Warnock,,13595.0,1955-09-07,Infrequent prostrate perennial herb. Sandy soil.,United States,Texas,Hudspeth,,10 miles west of Sierra Blanca; Quitman Mountains.,,32.796,-95.4511,,10000.0,,,,,,,30
482,532,13430255,LL,LL00289386,Barton H. Warnock,,13585.0,1955-09-07,Infrequent shrub; sandy soil.,United States,Texas,Hudspeth,,10 miles west of Sierra Blanca; Quitman Mountains.,,,,,,,,,,,,30
482,532,13432316,LL,LL00295449,Barton H. Warnock,,13592.0,1955-09-07,Frequent annual herb; sandy soil.,United States,Texas,Hudspeth,,10 miles west of Sierra Blanca; Quitman Mountains.,,,,,,,,,,,,30
