Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
246,341,13584554,TEX,TEX00380321,L. C. Hinckley,,,1934-01-01,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13588690,TEX,TEX00386437,L. C. Hinckley,,,1934-06-10,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13533297,TEX,TEX00300924,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13593591,TEX,TEX00393116,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13533295,TEX,TEX00300922,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13576638,TEX,TEX00363660,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13555500,TEX,TEX00333560,L. C. Hinckley,,10.0,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,30.63543,-104.17325,,10000.0,,,,,,,227
246,341,13578905,TEX,TEX00366610,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13534238,TEX,TEX00302224,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13576414,TEX,TEX00363381,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13580897,TEX,TEX00369138,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13551911,TEX,TEX00328841,L. C. Hinckley,,,1934-09-08,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13432867,LL,LL00297513,L. C. Hinckley,,,1934-09-15,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13564159,TEX,TEX00345317,L. C. Hinckley,,,1934-09-15,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,27417088,TEX,TEX00478620,L. C. Hinckley,,,1934-09-15,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13600794,TEX,TEX00402841,L. C. Hinckley,,,1934-09-15,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13567882,TEX,TEX00350372,L. C. Hinckley,,,1934-09-15,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13457972,LL,LL00398070,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13568683,TEX,TEX00351464,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13580526,TEX,TEX00368672,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13576367,TEX,TEX00363323,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13533684,TEX,TEX00301424,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13569734,TEX,TEX00352940,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13583905,TEX,TEX00379353,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13532244,TEX,TEX00299617,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13581078,TEX,TEX00369449,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13567388,TEX,TEX00349668,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13596609,TEX,TEX00397023,L. C. Hinckley,,537.0,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13583288,TEX,TEX00378441,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13552453,TEX,TEX00329567,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13549134,TEX,TEX00325040,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13580199,TEX,TEX00368243,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13552433,TEX,TEX00329539,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13569736,TEX,TEX00352942,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13567164,TEX,TEX00349385,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13530692,TEX,TEX00297507,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13530168,TEX,TEX00296782,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13549114,TEX,TEX00325016,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13598168,TEX,TEX00399078,L. C. Hinckley,,4457.0,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13564624,TEX,TEX00345887,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13583285,TEX,TEX00378438,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
246,341,13599138,TEX,TEX00400542,L. C. Hinckley,,,1934-09-22,,United States,Texas,Jeff Davis,,Mt. Livermore.,,,,,,,,,,,,227
