Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
1,1,14225208,BRIT,BRIT245089,Barton H. Warnock,,10657.0,1952-07-13,In deep sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,14265432,BRIT,BRIT346858,Barton H. Warnock,,10666.0,1952-07-13,Sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,14265576,BRIT,BRIT347048,Barton H. Warnock,,10666.0,1952-07-13,Sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,14267387,BRIT,BRIT371484,Barton H. Warnock,,10655.0,1952-07-13,In deep sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,14267641,BRIT,BRIT345648,Barton H. Warnock,,10660.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,19518152,BRIT,BRIT463686,Barton H. Warnock,,10656.0,1952-07-13,In deep sandy soil.,United States,Texas,Loving,,Along Highway between Wink and Mentene.,,,,,,,,,,,,81
1,1,24838030,BRIT,BRIT344007,Barton H. Warnock,,10658.0,1952-07-13,In sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,24846841,BRIT,BRIT361589,Barton H. Warnock,,10664.0,1952-07-13,,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,24850334,BRIT,BRIT365773,Barton H. Warnock,,10665.0,1952-07-13,In sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,24852311,BRIT,BRIT374403,Barton H. Warnock,,10661.0,1952-07-13,,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,26785379,BRIT,BRIT344806,Barton H. Warnock,,10663.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,26812968,BRIT,BRIT394756,Barton H. Warnock,,10667.0,1952-07-13,Sandy soil; along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,26826665,BRIT,BRIT403123,BartonÂ H.Â Warnock,,10662.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13440766,LL,LL00325075,Barton H. Warnock,,10656.0,1952-07-13,Infrequent perennial in deep sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13428546,LL,LL00283801,Barton H. Warnock,,10664.0,1952-07-13,Infrequent perennial in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13433152,LL,LL00298737,Barton H. Warnock,,10662.0,1952-07-13,Flowers white or pink; annual; frequent in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13423840,LL,LL00036638,Barton H. Warnock,,10663.0,1952-07-13,Frequent and widespread perennial in sandy soil.,United States,Texas,Loving,,Along highway betw. Wink and Mentone.,,,,,,,,,,,,81
1,1,13451641,LL,LL00367509,Barton H. Warnock,,10667.0,1952-07-13,Frequent perennial; sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13436287,LL,LL00310435,Barton H. Warnock,,10657.0,1952-07-13,Infrequent low shrub in deep sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13423948,LL,LL00037093,Barton H. Warnock,,10660.0,1952-07-13,Frequent annual in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13430676,LL,LL00290744,Barton H. Warnock,,10665.0,1952-07-13,Frequent annual; large; sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,1,13422157,LL,LL00031828,Barton H. Warnock,,10655.0,1952-07-13,Very sparse vine in deep sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14225209,BRIT,BRIT245088,Barton H. Warnock,,10713.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14225210,BRIT,BRIT245087,Barton H. Warnock,,10713.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14229316,BRIT,BRIT251642,Barton H. Warnock,,10708.0,1952-07-13,In deep sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14249408,BRIT,BRIT490246,Barton H. Warnock,,10703.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14249458,BRIT,BRIT490002,Barton H. Warnock,,10703.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14255312,BRIT,BRIT349278,Barton H. Warnock,,10711.0,1952-07-13,In deep sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14259823,BRIT,BRIT370163,Barton H. Warnock,,10718.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,14265642,BRIT,BRIT346991,Barton H. Warnock,,10723.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Mentone and Wink.,,,,,,,,,,,,81
1,2,14265812,BRIT,BRIT347148,Barton H. Warnock,,10704.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,19517725,BRIT,BRIT480454,Barton H. Warnock,,10709.0,1952-07-13,In deep sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,19518151,BRIT,BRIT463687,Barton H. Warnock,,10712.0,1952-07-13,Infrequent and widespread in deep sand soil,United States,Texas,Loving,,Along highway between Mentone and Wink.,,,,,,,,,,,,81
1,2,24852643,BRIT,BRIT375072,Barton H. Warnock,,10705.0,1952-07-13,Along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,26807291,BRIT,BRIT375081,Barton H. Warnock,,10705.0,1952-07-13,Sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,26808410,BRIT,BRIT375103,Barton H. Warnock,,10710.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,26821653,BRIT,BRIT385384,BartonÂ H.Â Warnock,,10707.0,1952-07-13,Sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,26821800,BRIT,BRIT376423,Barton H. Warnock,,10721.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Mentone and Wink.,,,,,,,,,,,,81
1,2,26826505,BRIT,BRIT403129,BartonÂ H.Â Warnock,,10716.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,13421057,LL,LL00027096,Barton H. Warnock,,10721.0,1952-07-13,Frequent perennial in sandy soil.,United States,Texas,Loving,,Along highway between Mentone and Wink.,,,,,,,,,,,,81
1,2,13435782,LL,LL00309031,Barton H. Warnock,,10712.0,1952-07-13,Infrequent and widespread in deep sandy soil along highway.,United States,Texas,Loving,,Along highway between Mentone and Wink.,,,,,,,,,,,,81
1,2,13428091,LL,LL00282381,Barton H. Warnock,,10710.0,1952-07-13,Frequent perennial in deep sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,13436286,LL,LL00310434,Barton H. Warnock,,10713.0,1952-07-13,Infrequent perennial in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,13431269,LL,LL00292263,Barton H. Warnock,,10714.0,1952-07-13,Infrequent perennial in sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,13428288,LL,LL00283042,Barton H. Warnock,,10707.0,1952-07-13,Flowers pale lavender; sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,2,13427596,LL,LL00280627,Barton H. Warnock,,10716.0,1952-07-13,Infrequent annual in sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,14244042,BRIT,BRIT329114,Barton H. Warnock,,10692.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,14247316,BRIT,BRIT335166,Barton H. Warnock,,10686.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,14247790,BRIT,BRIT336985,Barton H. Warnock,,10690.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,14249275,BRIT,BRIT338158,Barton H. Warnock,,10693.0,1952-07-13,Sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,14253779,BRIT,BRIT339347,Barton H. Warnock,,10684.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,14264100,BRIT,BRIT373803,Barton H. Warnock,,10699.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,14267574,BRIT,BRIT344353,Barton H. Warnock,,10685.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,24849918,BRIT,BRIT365356,Barton H. Warnock,,10691.0,1952-07-13,In sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,24853249,BRIT,BRIT381244,Barton H. Warnock,,10701.0,1952-07-13,In sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,26789177,BRIT,BRIT391002,BartonÂ H.Â Warnock,,10689.0,1952-07-13,Among shrubs in sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,26789328,BRIT,BRIT391186,BartonÂ H.Â Warnock,,10689.0,1952-07-13,Among shrubs in sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,26791981,BRIT,BRIT413098,Barton H. Warnock,,10687.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,26795783,BRIT,BRIT412450,BartonÂ H.Â Warnock,,10682.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,26797053,BRIT,BRIT410021,BartonÂ H.Â Warnock,,10688.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,26807409,BRIT,BRIT374485,Barton H. Warnock,,10698.0,1952-07-13,In deep sandy soil along highway.,United States,Texas,Loving,,along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,26810586,BRIT,BRIT458135,Barton H. Warnock,,10683.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,13437194,LL,LL00312776,Barton H. Warnock,,10688.0,1952-07-13,Frequent perennial in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,13458807,LL,LL00400856,Barton H. Warnock,,10684.0,1952-07-13,Sandy soil.,United States,Texas,Loving,,"Between Wink and Mentone, along highway.",,,,,,,,,,,,81
1,3,13437790,LL,LL00314905,Barton H. Warnock,,10682.0,1952-07-13,Frequent annual in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,13437817,LL,LL00315029,Barton H. Warnock,,10687.0,1952-07-13,Frequent perennial in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,13457545,LL,LL00395950,Barton H. Warnock,,10701.0,1952-07-13,Frequent in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,13430618,LL,LL00290548,Barton H. Warnock,,10691.0,1952-07-13,Infrequent annual in sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,3,13544909,TEX,TEX00319009,Barton H. Warnock,,10689.0,1952-07-13,Frequent perennial among shrubs in sandy soil.,United States,Texas,Loving,,Along highway between Mink and Mentone.,,,,,,,,,,,,81
1,4,14248729,BRIT,BRIT338191,Barton H. Warnock,,10633.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,4,14249393,BRIT,BRIT338290,Barton H. Warnock,,10632.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,4,14262085,BRIT,BRIT338378,Barton H. Warnock,,10632.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,4,24851479,BRIT,BRIT369932,Barton H. Warnock,,10643.0,1952-07-13,,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,4,26810783,BRIT,BRIT415928,Barton H. Warnock,,10625.0,1952-07-13,In sandy soil along highway.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,4,30674612,BRIT,BRIT776058,Barton H. Warnock,,10631.0,1952-07-13,In sandy soil.,United States,Texas,Loving,,Along highway between Wink and Mentone.,,,,,,,,,,,,81
1,4,13448432,LL,LL00353925,Barton H. Warnock,,10631.0,1952-07-13,Infrequent perennial in sandy soil.,United States,Texas,Loving,,Along highway between Wink and Montone.,,,,,,,,,,,,81
