Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
108,130,13616598,TEX,TEX00439782,L. C. Hinckley,,,1936-01-01,No data given.,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13598421,TEX,TEX00399463,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13554875,TEX,TEX00332721,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13574601,TEX,TEX00360719,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13553437,TEX,TEX00330856,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13531807,TEX,TEX00299019,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13591140,TEX,TEX00389804,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13604169,TEX,TEX00407363,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13587066,TEX,TEX00384290,L. C. Hinckley,,654.0,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13619247,TEX,TEX00442647,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13583760,TEX,TEX00379117,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13595662,TEX,TEX00395853,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13595378,TEX,TEX00395473,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13604885,TEX,TEX00408355,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13531137,TEX,TEX00298082,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13530347,TEX,TEX00297037,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13601321,TEX,TEX00403548,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13619921,TEX,TEX00443442,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13560611,TEX,TEX00340464,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13558243,TEX,TEX00337165,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13589790,TEX,TEX00387887,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13597475,TEX,TEX00398148,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13603804,TEX,TEX00406880,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13577161,TEX,TEX00364353,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13593341,TEX,TEX00392809,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13568618,TEX,TEX00351361,L. C. Hinckley,,,1936-01-01,[Turner 2005 annotation indicates somewhat intermediate toward var. laevissimus].,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13560804,TEX,TEX00340702,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13530459,TEX,TEX00297192,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13485975,TEX,TEX00012695,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13557755,TEX,TEX00336550,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13529206,TEX,TEX00295457,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13517286,TEX,TEX00211058,L. C. Hinckley,,658.0,1936-01-01,,United States,Texas,Presidio,,Marfa.,,30.307938,-104.019072,,10000.0,,,,,,,83
108,130,13529910,TEX,TEX00296429,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13596777,TEX,TEX00397281,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13535268,TEX,TEX00303803,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13572446,TEX,TEX00356937,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13531605,TEX,TEX00298698,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13575898,TEX,TEX00362739,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13518445,TEX,TEX00262464,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13601625,TEX,TEX00403947,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13532361,TEX,TEX00299778,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13530969,TEX,TEX00297845,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13587065,TEX,TEX00384289,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13530436,TEX,TEX00297160,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13528798,TEX,TEX00294883,L. C. Hinckley,,,1936-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,14233473,BRIT,BRIT293287,L. C. Hinckley,,651.0,1936-06-00,On vacant lots and along roadsides.,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13415751,LL,LL00009842,L. C. Hinckley,,659.0,1936-06-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13489237,TEX,TEX00017477,L. C. Hinckley,,,1936-06-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13496760,TEX,TEX00030090,L. C. Hinckley,,,1937-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
108,130,13569226,TEX,TEX00352236,L. C. Hinckley,,,1937-01-01,,United States,Texas,Presidio,,Marfa.,,,,,,,,,,,,83
