Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
5,6,14221284,BRIT,BRIT231400,Delzie Demaree,,,1963-07-11,Moist areas.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,27409713,TEX,TEX00470756,Delzie Demaree,,48408.0,1963-07-11,Rocky dry bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,24885289,KANU,221628,Delzie Demaree,,48401.0,1963-07-11,Dry bottoms of creek below. Rocks - sand.,United States,Texas,Terrell,,"Independence Creek near Pecos River, Dryden",,30.449099,-101.72866,WGS84,894.0,,Craig C Freeman,online gazetteer,GEOLocate,,2019-08-11,59
5,6,14243920,BRIT,BRIT328500,Delzie Demaree,,48403.0,1963-07-13,Gravel bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,6,16647898,BRIT,BRIT322250,Delzie Demaree,,48398.0,1963-07-13,Dry ridges above creek.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,6,16670119,BRIT,BRIT296906,Delzie Demaree,,48415.0,1963-07-13,Sandy dry bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,6,24896241,BRIT,BRIT522297,Delzie Demaree,,48421.0,1963-07-13,creek,United States,Texas,Terrell,,P. O. Dryden. Independence Creek near Pecos River.,,,,,,,,,,,,59
5,6,24896740,BRIT,BRIT524223,Delzie Demaree,,48417.0,1963-07-13,rocky dry bottoms,United States,Texas,Terrell,,P. O. Dryden; Independence Creek near Pecos River.,,,,,,,,,,,,59
5,6,27409670,TEX,TEX00470713,Delzie Demaree,,48402.0,1963-07-13,,United States,Texas,Terrell,,Independence Creek near Pecos River. Dryden.,,30.449099,-101.72866,,1600.0,,,,,,,59
5,6,27409384,TEX,TEX00470427,Delzie Demaree,,48403.0,1963-07-13,Gravel bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,27409750,TEX,TEX00470793,Delzie Demaree,,48415.0,1963-07-13,Sandy dry bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,27416469,TEX,TEX00478008,Delzie Demaree,,48412.0,1963-07-13,Dry rocky bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. Dryden.,,,,,,,,,,,,59
5,6,27416485,TEX,TEX00478024,Delzie Demaree,,48398.0,1963-07-13,Dry ridges above creek.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,22473853,KANU,166764,Delzie Demaree,,48402.0,1963-07-13,Bottoms.,United States,Texas,Terrell,,"Independence Creek near Pecos River, Dryden",,30.449099,-101.72866,WGS84,894.0,,Craig C Freeman,online gazetteer,GEOLocate,,2019-08-11,59
5,6,24880651,KANU,162573,Delzie Demaree,,48400.0,1963-07-13,Dry rocky-sandy bottoms of creek below.,United States,Texas,Terrell,,"Independence Creek near Pecos River, Dryden",,30.449099,-101.72866,WGS84,894.0,,Craig C Freeman,online gazetteer,GEOLocate,,2019-08-11,59
5,6,27409670,TEX,TEX00470713,Delzie Demaree,,48402.0,1963-07-13,,United States,Texas,Terrell,,Independence Creek near Pecos River. Dryden.,,30.449099,-101.72866,,1600.0,,,,,,,59
5,6,14249661,BRIT,BRIT489011,Delzie Demaree,,48425.0,1963-07-14,Dry low ridge.,United States,Texas,Terrell,,near Pecos River. Independence Creek. P. O. Dryden.,,,,,,,,,,,,59
5,6,26784838,BRIT,BRIT342975,Delzie Demaree,,48436.0,1963-07-14,Sand creek bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,8920449,BRIT,NLU0115425,Delzie Demaree,,48436.0,1963-07-14,Sand creek bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,9086336,BRIT,NLU0213292,Delzie Demaree,,48426.0,1963-07-14,Dry rocky ridges. On Prosopis,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,27582727,BRIT,BRIT577233,Delzie Demaree,,48426.0,1963-07-14,On Prosopis. Dry rocky ridges.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,6,28461004,BRIT,BRIT653626,Delzie Demaree,,48430.0,1963-07-14,Moist creek banks.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,6,27416470,TEX,TEX00478009,Delzie Demaree,,,1963-07-14,Dry ridges.,United States,Texas,Terrell,,Independence Creek near Pecos River. Dryden.,,,,,,,,,,,,59
5,6,27416501,TEX,TEX00478040,Delzie Demaree,,48424.0,1963-07-14,Low dry ridges and bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,30.449099,-101.72866,,1600.0,,,,,,,59
5,6,27910927,KANU,175124,Delzie Demaree,,48424.0,1963-07-14,Dry rocky sandy bottoms.,United States,Texas,Terrell,,"Independence Creek near Pecos River, Dryden",,30.449099,-101.72866,WGS84,894.0,,Craig C Freeman,online gazetteer,GEOLocate,,2019-08-11,59
5,6,27416501,TEX,TEX00478040,Delzie Demaree,,48424.0,1963-07-14,Low dry ridges and bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,30.449099,-101.72866,,1600.0,,,,,,,59
5,7,14227703,BRIT,BRIT259513,Delzie Demaree,,63333.0,1971-04-11,High gravel bottom.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,8,14237141,BRIT,BRIT312353,Delzie Demaree,,509181.0,1964-07-19,Dry ridges.,United States,Texas,Terrell,,"Independence Creek near Pecos River, P. O. Dryden.",,,,,,,,,,,,59
5,9,14242219,BRIT,BRIT329357,Delzie Demaree,,50904.0,1964-09-19,Sandy rocky dry areas in creek bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,10,14259715,BRIT,BRIT369653,Delzie Demaree,,48510.0,1963-07-18,Sandy bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,11,14267608,BRIT,BRIT347306,Delzie Demaree,,63332.0,1971-03-11,Rocky creek,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,12,24848209,BRIT,BRIT363181,Delzie Demaree,,50906.0,1964-07-19,Shrubs in rocky bottoms.,United States,Texas,Terrell,,Independent Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,12,27409680,TEX,TEX00470723,Delzie Demaree,,50905.0,1964-07-19,,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,12,27409386,TEX,TEX00470429,Delzie Demaree,,50904.0,1964-07-19,Sandy rocky dry areas in creek bottoms. Clumps.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,12,13501975,TEX,TEX00038354,Delzie Demaree,,50907.0,1964-07-19,Dry rocky areas in creek.,United States,Texas,Terrell,,"Independence Creek near Pecos River, P. O. Dryden.",,,,,,,,,,,,59
5,12,24466786,BRIT,BRIT492730,Delzie Demaree,,50912.0,1964-07-20,In dry sandy areas of creeks.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,12,24837516,BRIT,BRIT341973,Delzie Demaree,,50916.0,1964-07-20,In rocks and gravel of creek.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,12,24842813,BRIT,BRIT355735,Delzie Demaree,,50915.0,1964-07-20,Low ridges and rocky bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,12,24842817,BRIT,BRIT355739,Delzie Demaree,,50913.0,1964-07-20,In dry gravel and sand.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,12,13493430,TEX,TEX00023634,Delzie Demaree,,50917.0,1964-07-20,Big clump above creek. 10-12 feet tall. Fine fruit.,United States,Texas,Terrell,,P.O. Dryden Independence Creek near Pecos River.,,30.609055,-102.129546,,10000.0,,,,,,,59
5,12,27416463,TEX,TEX00478002,Delzie Demaree,,50915.0,1964-07-20,Low ridges and rocky bottoms. Spreading.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,12,24852743,BRIT,BRIT375451,Delzie Demaree,,50919.0,1964-07-21,Sandy dry areas in creek.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,12,16645377,BRIT,BRIT324387,Delzie Demaree,,50920.0,1964-07-21,Gravel bars in creek.,United States,Texas,Terrell,,"Independence Creek near Pecos River, P. O. Dryden",,,,,,,,,,,,59
5,12,13447855,LL,LL00352411,Delzie Demaree,,50922.0,1964-07-21,Sandy bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,13,24844790,BRIT,BRIT358590,Delzie Demaree,,4852.0,1963-07-16,,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,14,26853842,BRIT,BRIT547834,Delzie Demaree,,48443.0,1963-07-15,Banks of creek.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,14,24845292,BRIT,BRIT359464,Delzie Demaree,,48449.0,1963-07-16,Water's edge.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,14,24930210,BRIT,BRIT484486,Delzie Demaree,,48454.0,1963-07-16,Bluff.,United States,Texas,Terrell,,Near Pecos River; Independence Creek; P.O. Dryden.,,,,,,,,,,,,59
5,14,16647247,BRIT,BRIT319752,Delzie Demaree,,48452.0,1963-07-16,,United States,Texas,Terrell,,Independence Creek near Pecos River P.O. Dryden,,,,,,,,,,,,59
5,14,16648774,BRIT,BRIT324388,Delzie Demaree,,48458.0,1963-07-16,Sandy bottoms of creek.,United States,Texas,Terrell,,"Independence Creek near Pecos River, P.O. Dryden",,,,,,,,,,,,59
5,14,24893909,BRIT,BRIT521222,Delzie Demaree,,48457.0,1963-07-16,rocky bottoms,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden,,,,,,,,,,,,59
5,14,26836349,BRIT,BRIT517206,Delzie Demaree,,48449.0,1963-07-16,Waters edge.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,15,24849924,BRIT,BRIT365362,Delzie Demaree,,50899.0,1964-07-19,Dry sandy bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,15,26807020,BRIT,BRIT368002,Delzie Demaree,,50900.0,1964-07-19,sandy areas in creek bottoms,United States,Texas,Terrell,,"Independence Creek near Pecos River, P. O. Dryden.",,,,,,,,,,,,59
5,15,31059048,BRIT,BRIT713721,Delzie Demaree,,50898.0,1964-07-19,River bottoms near the mouth of the creek below.,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,15,9086039,BRIT,NLU0213029,Delzie Demaree,,50899.0,1964-07-19,Dry sandy bottoms.,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden,,,,,,,,,,,,59
5,16,24923936,BRIT,BRIT452101,Delzie Demaree,,48417.0,1963-07-16,Rocky bottom,United States,Texas,Terrell,,Independence Creek near Pecos River. P. O. Dryden.,,,,,,,,,,,,59
5,17,16688275,BRIT,BRIT291524,Delzie Demaree,,50886.0,1964-07-19,Sandy bottoms of creek,United States,Texas,Terrell,,Independence Creek near Pecos River. P.O. Dryden.,,,,,,,,,,,,59
5,18,24896742,BRIT,BRIT524219,Delzie Demaree,,50923.0,1964-07-21,sandy areas of creek,United States,Texas,Terrell,,P. O. Dryden; Independence Creek near Pecos River,,,,,,,,,,,,59
