Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
101,103,13506072,TEX,TEX00048174,Billie Lee Turner,,,1999-04-21,,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13506070,TEX,TEX00048172,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13506069,TEX,TEX00048171,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,30.13333,-102.26667,,,,,,,,,30
101,103,13603463,TEX,TEX00406429,Billie Lee Turner,,,1999-04-21,Limestone soils. Both rayed and non-rayed forms!.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13506141,TEX,TEX00048254,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13591202,TEX,TEX00389883,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles W of McCamey along US Highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13506037,TEX,TEX00048139,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13603462,TEX,TEX00406428,Billie Lee Turner,,,1999-04-21,Limestone soils. Plants mostly without rays; some with!.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13506056,TEX,TEX00048158,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13558269,TEX,TEX00337198,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13506071,TEX,TEX00048173,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
101,103,13506152,TEX,TEX00048265,Billie Lee Turner,,,1999-04-21,Limestone soils.,United States,Texas,Upton,,3.1 miles west of McCamey along US highway 67.,,31.13333,-102.26667,,,,,,,,,30
