Group_ID,Sub_Group_ID,id,institutionCode,catalogNumber,recordedBy,associatedCollectors,recordNumber,eventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,allowed_institution_count
276,337,13421747,LL,LL00030353,Albert Michael Powell,,2146.0,1971-06-24,Sandy gypseous soil.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13481516,TEX,TEX00005849,Albert Michael Powell,,2148.0,1971-06-24,Sandy gypseous soil. Biennial; disc flwrs. yellow.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13600000,TEX,TEX00401767,Albert Michael Powell,,2156.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13606520,TEX,TEX00411743,Albert Michael Powell,,2152.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13608985,TEX,TEX00415147,Albert Michael Powell,,2153.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13485289,TEX,TEX00011631,Albert Michael Powell,,2154.0,1971-06-24,Sandy gypseous soil.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13595220,TEX,TEX00395262,Albert Michael Powell,,2149.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miels S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13605336,TEX,TEX00409036,Albert Michael Powell,,2151.0,1971-06-24,Sandy gypseous soil.,United States,Texas,Ward,,"6/4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,337,13520602,TEX,TEX00282494,Albert Michael Powell,,2150.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13495574,TEX,TEX00026979,Albert Michael Powell,,2157.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13505220,TEX,TEX00044019,Albert Michael Powell,,2162.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13603614,TEX,TEX00406627,Albert Michael Powell,,2160.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13558268,TEX,TEX00337196,Albert Michael Powell,,2161.0,1971-06-24,Sandy-gypseous soil. Flowers hot orange.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13569924,TEX,TEX00353260,Albert Michael Powell,,2164.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,6.4 miles S of Pyote near FM 1927.,,,,,,,,,,,,22
276,338,13506235,TEX,TEX00048385,Albert Michael Powell,,2165.0,1971-06-24,Sandy-gypseous soil. Shrubs about 21/2 feet high.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13492395,TEX,TEX00022037,Albert Michael Powell,,2163.0,1971-06-24,Sandy gypseous soil.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13494834,TEX,TEX00025906,Albert Michael Powell,,2158.0,1971-06-24,Sandy gypseous soil.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13500434,TEX,TEX00036217,Albert Michael Powell,,2167.0,1971-06-24,Sandy-gypseous soil. Prostrate.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,338,13600758,TEX,TEX00402784,Albert Michael Powell,,2159.0,1971-06-24,Sandy-gypseous soil; flowers purple.,United States,Texas,Ward,,"6.4 miles S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,339,13540638,TEX,TEX00313037,Albert Michael Powell,,2171.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,6.4 miles S of Pyote near FM 1927.,,,,,,,,,,,,22
276,339,13547848,TEX,TEX00323173,Albert Michael Powell,,2170.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 miels S of Pyote, near FM 1927.",,,,,,,,,,,,22
276,339,13496656,TEX,TEX00028921,Albert Michael Powell,,2168.0,1971-06-24,Sandy-gypseous soil.,United States,Texas,Ward,,"6.4 mi. S of Pyote, near FM 1927.",,,,,,,,,,,,22
5,5,13585774,TEX,TEX00382049,Rogers McVaugh,,8183.0,1947-05-05,"Loose blowing yellow sand, dune-like hills among shinnery oak. Abundant; corolla lavender, fluted in tube; filaments purple; anthers blue; odor of plant strong.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,14222889,BRIT,BRIT232626,Rogers McVaugh,,8192.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,14231468,BRIT,BRIT286651,Rogers McVaugh,,8190.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,14254953,BRIT,BRIT340631,Rogers McVaugh,,8189.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,14255808,BRIT,BRIT338842,Rogers McVaugh,,8191.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,14257172,BRIT,BRIT491896,Rogers McVaugh,,8182.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,14257250,BRIT,BRIT493399,Rogers McVaugh,,8193.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,14265723,BRIT,BRIT347188,Rogers McVaugh,,8184.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E of Monahans.,,,,,,,,,,,,16
5,5,19518486,BRIT,BRIT480590,Rogers McVaugh,,8188.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,24844353,BRIT,BRIT357707,Rogers McVaugh,,8195.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak; forming extensive thickets even on the high dunes.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,24846564,BRIT,BRIT361098,Rogers McVaugh,,8183.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,26785728,BRIT,BRIT344541,Rogers McVaugh,,8187.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak; about edges of blowouts in sand.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,26821956,BRIT,BRIT379090,Rogers McVaugh,,8186.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,5,13538457,TEX,TEX00309298,Rogers McVaugh,,8188.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak. Abundant. Flowers violet-blue; plants often suffused with red, glaucous.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,6,14254831,BRIT,BRIT340208,Rogers McVaugh,,8181.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
5,6,9228968,BRIT,NLU0305178,Rogers McVaugh,"A. M. Harvill, Jr.",8180.0,1947-05-06,"Loose blowing yellow sand, dune-like hills among shinnery oak.",United States,Texas,Ward,,3 miles E.N.E. of Monahans.,,,,,,,,,,,,16
92,109,19965700,BRIT,BRIT20260,Dora Sylvester,Glenn Kroh (TCU),3022.0,2003-06-02,Equestrian area on sand hill above picnic area Soil: sand,United States,Texas,Ward,,Monahans Sand Hills State Park,,30.6214,-102.813,,,,,,,,,12
92,110,21539609,BRIT,BRIT446948,Dora Sylvester,Glenn Kroh,3006.0,2003-05-10,Growing in sand along road under a mesquite tree,United States,Texas,Ward,,Monahans Sand Hills State Park.,,31.64,-102.819167,,,"31Â° 38' 24""N, 102Â° 49' 09"" W",,,,,,12
92,110,26785604,BRIT,BRIT344540,Dora Sylvester,Glenn Kroh,3008.0,2003-05-10,On top of dune.,United States,Texas,Ward,,Monahans Sand Hills State Park.,,31.622222,-102.729722,,,"31Â° 37' 20"" N 102Â° 43' 47"" W",,,,,,12
92,110,21301466,BRIT,BRIT372779,Dora Sylvester,Glenn Kroh (TCU),3010.0,2003-05-11,Small tree - grows in deep sand.,United States,Texas,Ward,,Monahans Sand Hills State Park.,,31.622222,-102.829722,,,31d 37m 20s N; 102d 49m 47s,,1=present on sheet,,,,12
